Frequency (Hz)	Level (dB)
0.672913	-93.351051
1.345825	-93.393364
2.018738	-93.261330
2.691650	-93.241585
3.364563	-92.875816
4.037476	-93.291328
4.710388	-92.850105
5.383301	-92.731766
6.056213	-92.386932
6.729126	-91.896095
7.402039	-92.978699
8.074951	-92.587715
8.747864	-92.306923
9.420776	-91.141541
10.093689	-90.674721
10.766602	-89.337357
11.439514	-89.100838
12.112427	-89.140533
12.785339	-89.646233
13.458252	-89.353004
14.131165	-89.098083
14.804077	-89.610947
15.476990	-88.503510
16.149902	-89.402077
16.822815	-87.664711
17.495728	-88.516785
18.168640	-89.184402
18.841553	-87.225670
19.514465	-88.467331
20.187378	-88.342575
20.860291	-87.748573
21.533203	-86.437958
22.206116	-86.193741
22.879028	-84.844849
23.551941	-85.187935
24.224854	-86.644875
24.897766	-86.270721
25.570679	-86.237015
26.243591	-85.644569
26.916504	-86.048325
27.589417	-85.343147
28.262329	-84.457504
28.935242	-84.158478
29.608154	-85.199455
30.281067	-82.334183
30.953979	-85.353714
31.626892	-86.509956
32.299805	-86.416046
32.972717	-85.519485
33.645630	-85.394302
34.318542	-86.837852
34.991455	-84.495796
35.664368	-85.812988
36.337280	-84.944672
37.010193	-85.953041
37.683105	-85.103691
38.356018	-84.705460
39.028931	-85.567451
39.701843	-85.281555
40.374756	-85.489494
41.047668	-84.939644
41.720581	-84.198830
42.393494	-84.159882
43.066406	-84.671082
43.739319	-84.700195
44.412231	-83.369354
45.085144	-84.190643
45.758057	-82.905724
46.430969	-83.465607
47.103882	-83.373665
47.776794	-84.609398
48.449707	-83.476120
49.122620	-83.859604
49.795532	-83.623337
50.468445	-82.470047
51.141357	-82.220932
51.814270	-84.212204
52.487183	-81.625153
53.160095	-81.601112
53.833008	-80.863586
54.505920	-81.189659
55.178833	-81.295479
55.851746	-80.793945
56.524658	-80.480072
57.197571	-79.966400
57.870483	-81.931610
58.543396	-82.012115
59.216309	-80.988304
59.889221	-80.358917
60.562134	-81.347198
61.235046	-81.161812
61.907959	-79.915550
62.580872	-80.372177
63.253784	-79.214226
63.926697	-81.097885
64.599609	-82.042595
65.272522	-81.545952
65.945435	-80.589783
66.618347	-79.883270
67.291260	-82.299370
67.964172	-81.231216
68.637085	-81.407280
69.309998	-81.152687
69.982910	-80.622993
