Frequency (Hz)	Level (dB)
0.672913	-95.576584
1.345825	-95.491318
2.018738	-95.487160
2.691650	-95.276703
3.364563	-94.794716
4.037476	-95.046684
4.710388	-95.081734
5.383301	-94.209991
6.056213	-93.462761
6.729126	-92.317734
7.402039	-93.667549
8.074951	-94.353210
8.747864	-93.381607
9.420776	-92.715706
10.093689	-91.644890
10.766602	-90.182442
11.439514	-89.887451
12.112427	-89.995300
12.785339	-89.199623
13.458252	-88.492279
14.131165	-88.639603
14.804077	-90.255074
15.476990	-90.018845
16.149902	-90.279427
16.822815	-88.598701
17.495728	-90.454544
18.168640	-88.618767
18.841553	-87.460815
19.514465	-86.826668
20.187378	-88.712578
20.860291	-86.387527
21.533203	-86.211014
22.206116	-86.726814
22.879028	-85.568993
23.551941	-85.021477
24.224854	-86.932404
24.897766	-87.162193
25.570679	-87.176682
26.243591	-86.664574
26.916504	-85.179329
27.589417	-85.986679
28.262329	-84.881821
28.935242	-85.098824
29.608154	-82.873322
30.281067	-85.855621
30.953979	-86.291573
31.626892	-86.727013
32.299805	-86.566132
32.972717	-86.003746
33.645630	-85.149635
34.318542	-86.853561
34.991455	-85.613014
35.664368	-85.541672
36.337280	-85.385284
37.010193	-86.204849
37.683105	-84.085754
38.356018	-85.674698
39.028931	-86.346535
39.701843	-85.452927
40.374756	-83.877899
41.047668	-85.748680
41.720581	-83.730377
42.393494	-84.384552
43.066406	-84.883057
43.739319	-83.760086
44.412231	-85.721184
45.085144	-85.628860
45.758057	-82.702866
46.430969	-84.087013
47.103882	-85.105423
47.776794	-84.923538
48.449707	-83.225143
49.122620	-84.329659
49.795532	-83.026413
50.468445	-83.161980
51.141357	-83.454384
51.814270	-83.362709
52.487183	-82.832817
53.160095	-83.920815
53.833008	-83.010803
54.505920	-82.395874
55.178833	-82.352425
55.851746	-81.794014
56.524658	-82.201241
57.197571	-81.020897
57.870483	-80.416733
58.543396	-79.161995
59.216309	-79.741226
59.889221	-80.484833
60.562134	-81.312904
61.235046	-79.847076
61.907959	-78.686119
62.580872	-80.514557
63.253784	-79.309113
63.926697	-80.724297
64.599609	-82.791649
65.272522	-82.426628
65.945435	-82.646790
66.618347	-81.479256
67.291260	-82.077805
67.964172	-82.934471
