Frequency (Hz)	Level (dB)
0.672913	-97.617950
1.345825	-97.612648
2.018738	-97.521317
2.691650	-97.518402
3.364563	-97.177254
4.037476	-95.113419
4.710388	-95.469391
5.383301	-95.811172
6.056213	-94.660141
6.729126	-92.954071
7.402039	-94.308350
8.074951	-95.803993
8.747864	-94.670868
9.420776	-94.190361
10.093689	-91.278259
10.766602	-88.848511
11.439514	-89.013840
12.112427	-87.059456
12.785339	-88.898941
13.458252	-88.590881
14.131165	-90.395325
14.804077	-89.765617
15.476990	-89.406639
16.149902	-89.516953
16.822815	-88.121750
17.495728	-87.595932
18.168640	-88.190468
18.841553	-87.681946
19.514465	-88.432724
20.187378	-89.594505
20.860291	-87.155891
21.533203	-87.226822
22.206116	-85.840446
22.879028	-82.111977
23.551941	-83.740677
24.224854	-84.828171
24.897766	-84.737450
25.570679	-85.318748
26.243591	-85.961182
26.916504	-86.367630
27.589417	-84.683365
28.262329	-85.339844
28.935242	-82.831703
29.608154	-84.444992
30.281067	-84.318054
30.953979	-84.384537
31.626892	-85.044106
32.299805	-85.940887
32.972717	-86.387344
33.645630	-85.318993
34.318542	-84.641991
34.991455	-85.597488
35.664368	-85.233780
36.337280	-85.823830
37.010193	-85.216743
37.683105	-84.216728
38.356018	-85.331604
39.028931	-85.052399
39.701843	-85.462082
40.374756	-84.625748
41.047668	-85.243729
41.720581	-83.269783
42.393494	-83.812859
43.066406	-85.098450
43.739319	-84.826462
44.412231	-83.695763
45.085144	-82.721184
45.758057	-82.647865
46.430969	-84.768486
47.103882	-84.536758
47.776794	-84.264465
48.449707	-84.707352
49.122620	-85.406700
49.795532	-82.338943
50.468445	-83.151955
51.141357	-82.742599
51.814270	-82.375443
52.487183	-82.474243
53.160095	-83.990852
53.833008	-81.576797
54.505920	-82.507751
55.178833	-82.381714
55.851746	-82.815987
56.524658	-81.101463
57.197571	-82.150986
57.870483	-82.728752
58.543396	-81.045982
59.216309	-80.626701
59.889221	-81.673798
60.562134	-78.773842
61.235046	-80.553017
61.907959	-80.202705
62.580872	-79.864136
63.253784	-77.961807
63.926697	-78.850746
64.599609	-82.514938
65.272522	-82.381554
65.945435	-81.962067
66.618347	-81.704712
67.291260	-83.354935
67.964172	-83.154755
68.637085	-83.289574
69.309998	-81.313110
69.982910	-81.892693
70.655823	-81.892464
71.328735	-81.895554
72.001648	-81.468842
72.674561	-82.946823
73.347473	-81.244095
74.020386	-81.669495
74.693298	-81.458183
75.366211	-81.032097
76.039124	-81.921272
76.712036	-82.616440
77.384949	-81.879837
78.057861	-83.256805
78.730774	-82.742996
79.403687	-83.248482
80.076599	-82.460014
80.749512	-82.549149
81.422424	-83.320450
82.095337	-82.789040
82.768250	-82.632729
83.441162	-83.131828
84.114075	-82.981606
84.786987	-82.125580
85.459900	-81.804543
86.132812	-82.690193
86.805725	-82.676819
87.478638	-81.403145
88.151550	-80.984642
88.824463	-81.152954
89.497375	-81.622375
90.170288	-81.739120
90.843201	-81.681084
91.516113	-82.581749
92.189026	-82.490677
92.861938	-82.056732
93.534851	-81.707314
94.207764	-82.183014
94.880676	-83.173882
95.553589	-82.222176
96.226501	-82.256042
96.899414	-82.057785
97.572327	-82.884750
98.245239	-83.967606
98.918152	-83.195709
99.591064	-82.861145
100.263977	-82.094154
100.936890	-81.887276
101.609802	-81.953804
102.282715	-81.301979
102.955627	-80.580391
103.628540	-82.241844
104.301453	-81.973076
104.974365	-82.557518
105.647278	-80.891602
106.320190	-80.748932
106.993103	-81.207626
107.666016	-82.058250
108.338928	-81.335281
109.011841	-81.334038
109.684753	-81.326019
110.357666	-81.200310
111.030579	-81.402664
111.703491	-82.000931
112.376404	-80.876991
113.049316	-80.633400
113.722229	-80.067039
114.395142	-79.725815
115.068054	-80.860817
115.740967	-80.151520
116.413879	-80.469734
117.086792	-80.851097
117.759705	-81.844833
118.432617	-78.763512
119.105530	-80.367172
119.778442	-76.896225
120.451355	-72.753990
121.124268	-75.208984
121.797180	-79.288071
122.470093	-79.686256
123.143005	-80.023651
123.815918	-79.874153
124.488831	-80.472351
125.161743	-82.088829
125.834656	-80.421272
126.507568	-81.093613
127.180481	-81.109505
127.853394	-80.843697
128.526306	-81.149391
129.199219	-81.827599
129.872131	-81.661171
130.545044	-81.526505
131.217957	-81.197739
131.890869	-80.246231
132.563782	-80.530106
133.236694	-80.664360
133.909607	-80.452225
134.582520	-80.875679
135.255432	-80.573494
135.928345	-79.694389
136.601257	-80.314568
137.274170	-81.313850
137.947083	-80.032326
138.619995	-81.136978
139.292908	-79.390602
139.965820	-80.476265
140.638733	-80.177650
141.311646	-79.997208
141.984558	-79.794228
142.657471	-80.106018
143.330383	-80.147507
144.003296	-80.765282
144.676208	-80.138519
145.349121	-78.570808
146.022034	-79.135635
146.694946	-79.684799
147.367859	-79.608208
148.040771	-79.134407
148.713684	-80.053749
149.386597	-79.001282
150.059509	-79.998985
150.732422	-78.225616
151.405334	-79.870628
152.078247	-79.580528
152.751160	-80.360161
153.424072	-79.638634
154.096985	-79.905106
154.769897	-79.671066
155.442810	-79.777016
156.115723	-80.577606
156.788635	-79.721260
157.461548	-78.833595
158.134460	-79.882584
158.807373	-79.193642
159.480286	-78.757874
160.153198	-80.287537
160.826111	-79.554512
161.499023	-79.284607
162.171936	-78.656006
162.844849	-77.529816
163.517761	-78.782120
164.190674	-78.997025
164.863586	-79.228943
165.536499	-79.803299
166.209412	-79.070366
166.882324	-78.401398
167.555237	-80.128258
168.228149	-79.766663
168.901062	-79.189331
169.573975	-78.724403
170.246887	-78.923874
170.919800	-78.376434
171.592712	-78.160881
172.265625	-78.125786
172.938538	-79.202042
173.611450	-78.360497
174.284363	-79.167809
174.957275	-77.963463
175.630188	-78.428886
176.303101	-76.769691
176.976013	-78.241661
177.648926	-78.614487
178.321838	-77.715981
178.994751	-76.592270
179.667664	-77.344780
180.340576	-77.176277
181.013489	-78.320175
181.686401	-77.694016
182.359314	-78.652367
183.032227	-77.217018
183.705139	-76.404778
184.378052	-76.376129
185.050964	-77.226662
185.723877	-77.767677
186.396790	-77.603867
187.069702	-77.275337
187.742615	-78.064629
188.415527	-77.031822
189.088440	-76.627274
189.761353	-77.695854
190.434265	-76.439064
191.107178	-77.383072
191.780090	-77.059265
192.453003	-76.204285
193.125916	-77.379227
193.798828	-76.915077
194.471741	-76.109352
195.144653	-76.151947
195.817566	-76.964966
196.490479	-76.064659
197.163391	-75.442657
197.836304	-75.882744
198.509216	-75.223099
199.182129	-75.027863
199.855042	-76.716431
200.527954	-76.481705
201.200867	-75.951523
201.873779	-76.152184
202.546692	-76.404015
203.219604	-75.959961
203.892517	-77.216545
204.565430	-76.482246
205.238342	-74.660004
205.911255	-74.838982
206.584167	-74.742012
207.257080	-74.434715
207.929993	-74.391945
208.602905	-74.169464
209.275818	-75.155968
209.948730	-74.414993
210.621643	-75.808258
211.294556	-73.106277
211.967468	-74.831032
212.640381	-74.319283
213.313293	-74.921196
213.986206	-73.304283
214.659119	-74.023277
215.332031	-73.665932
216.004944	-74.539085
216.677856	-74.512787
217.350769	-72.624550
218.023682	-74.028931
218.696594	-71.517647
219.369507	-72.580551
220.042419	-72.974548
220.715332	-72.177170
221.388245	-72.622955
222.061157	-73.732628
222.734070	-73.059921
223.406982	-72.689400
224.079895	-73.186493
224.752808	-73.098465
225.425720	-72.031807
226.098633	-71.698364
226.771545	-71.120224
227.444458	-71.784889
228.117371	-72.691093
228.790283	-71.338959
229.463196	-71.614670
230.136108	-71.363319
230.809021	-71.012062
231.481934	-71.963104
232.154846	-71.923683
232.827759	-70.885963
233.500671	-70.950966
234.173584	-70.859894
234.846497	-70.913040
235.519409	-70.726669
236.192322	-70.358490
236.865234	-68.380547
237.538147	-68.105347
238.211060	-69.259659
238.883972	-69.770126
239.556885	-69.326897
240.229797	-70.295891
240.902710	-68.134911
241.575623	-63.832119
242.248535	-67.437126
242.921448	-68.209190
243.594360	-69.007843
244.267273	-68.060890
244.940186	-67.567017
245.613098	-67.794083
246.286011	-67.571091
246.958923	-67.028534
247.631836	-66.051826
248.304749	-67.293907
248.977661	-64.549255
249.650574	-65.809990
250.323486	-66.749779
250.996399	-66.281204
251.669312	-65.336197
252.342224	-65.589066
253.015137	-65.141518
253.688049	-65.692886
254.360962	-64.704208
255.033875	-64.620041
255.706787	-64.682137
256.379700	-64.102943
257.052612	-65.051674
257.725525	-63.141403
258.398438	-63.954002
259.071350	-63.215046
259.744263	-63.131348
260.417175	-63.763004
261.090088	-62.679417
261.763000	-63.247459
262.435913	-64.778160
263.108826	-62.786789
263.781738	-64.173332
264.454651	-63.979763
265.127563	-63.370327
265.800476	-63.522488
266.473389	-63.241226
267.146301	-62.452972
267.819214	-62.476761
268.492126	-63.132179
269.165039	-63.127533
269.837952	-63.554840
270.510864	-64.227142
271.183777	-63.782974
271.856689	-63.929672
272.529602	-63.460140
273.202515	-63.048763
273.875427	-64.969345
274.548340	-65.097969
275.221252	-64.153572
275.894165	-65.160500
276.567078	-65.435875
277.239990	-64.948006
277.912903	-65.469322
278.585815	-64.251472
279.258728	-66.952515
279.931641	-64.393677
280.604553	-65.476585
281.277466	-66.011360
281.950378	-66.590378
282.623291	-66.464462
283.296204	-66.894730
283.969116	-67.396591
284.642029	-67.320396
285.314941	-67.270927
285.987854	-68.141670
286.660767	-67.112549
287.333679	-68.086784
288.006592	-67.684013
288.679504	-67.443176
289.352417	-67.734764
290.025330	-69.117699
290.698242	-68.197975
291.371155	-67.402916
292.044067	-68.104454
292.716980	-69.403824
293.389893	-69.352570
294.062805	-69.349861
294.735718	-69.997787
295.408630	-70.311966
296.081543	-69.497963
296.754456	-68.972809
297.427368	-68.527733
298.100281	-71.148056
298.773193	-70.713783
299.446106	-70.553406
300.119019	-71.010918
300.791931	-69.642273
301.464844	-69.452446
302.137756	-69.724106
302.810669	-71.261757
303.483582	-70.737671
304.156494	-72.130928
304.829407	-72.283958
305.502319	-72.119919
306.175232	-72.709679
306.848145	-70.701035
307.521057	-70.940659
308.193970	-71.279617
308.866882	-71.832520
309.539795	-71.703568
310.212708	-71.554199
310.885620	-72.790611
311.558533	-72.064766
312.231445	-72.334351
312.904358	-72.266327
313.577271	-73.686821
314.250183	-72.520554
314.923096	-72.188805
315.596008	-72.646347
316.268921	-72.250595
316.941833	-71.982025
317.614746	-72.855591
318.287659	-74.314552
318.960571	-74.470253
319.633484	-73.715279
320.306396	-72.825386
320.979309	-73.486244
321.652222	-73.017471
322.325134	-73.883553
322.998047	-74.157150
323.670959	-74.711189
324.343872	-73.830132
325.016785	-74.917595
325.689697	-75.317032
326.362610	-74.980606
327.035522	-73.865768
327.708435	-73.913422
328.381348	-74.704132
329.054260	-74.333237
329.727173	-75.047958
330.400085	-73.272278
331.072998	-74.204849
331.745911	-75.749260
332.418823	-74.947235
333.091736	-75.095047
333.764648	-75.084717
334.437561	-74.764633
335.110474	-74.771156
335.783386	-74.884109
336.456299	-75.193314
337.129211	-75.390198
337.802124	-75.360313
338.475037	-74.472160
339.147949	-75.664230
339.820862	-74.473419
340.493774	-75.664162
341.166687	-75.186050
341.839600	-75.736588
342.512512	-75.488838
343.185425	-74.576393
343.858337	-75.554382
344.531250	-76.494423
345.204163	-75.829071
345.877075	-76.054802
346.549988	-76.992271
347.222900	-74.813751
347.895813	-75.131996
348.568726	-75.402359
349.241638	-73.622078
349.914551	-76.008652
350.587463	-75.462318
351.260376	-76.065422
351.933289	-76.219154
352.606201	-75.163490
353.279114	-76.822983
353.952026	-76.324265
354.624939	-77.454834
355.297852	-76.061630
355.970764	-76.338112
356.643677	-76.604012
357.316589	-76.269623
357.989502	-75.658165
358.662415	-75.266830
359.335327	-76.328148
360.008240	-76.000893
360.681152	-75.749504
361.354065	-76.056023
362.026978	-75.754089
362.699890	-76.173553
363.372803	-75.607018
364.045715	-75.241013
364.718628	-75.395615
365.391541	-76.815979
366.064453	-75.185699
366.737366	-76.072327
367.410278	-75.420280
368.083191	-76.593025
368.756104	-75.420685
369.429016	-76.617401
370.101929	-76.276619
370.774841	-75.443390
371.447754	-76.817688
372.120667	-76.198708
372.793579	-75.095291
373.466492	-77.076141
374.139404	-76.815170
374.812317	-76.182617
375.485229	-76.690895
376.158142	-76.894531
376.831055	-76.931335
377.503967	-76.578438
378.176880	-75.558548
378.849792	-75.750145
379.522705	-76.649834
380.195618	-76.856689
380.868530	-76.452827
381.541443	-76.372574
382.214355	-76.552193
382.887268	-77.204300
383.560181	-75.800224
384.233093	-76.900406
384.906006	-76.018181
385.578918	-76.868629
386.251831	-77.760178
386.924744	-75.638657
387.597656	-76.039703
388.270569	-75.869125
388.943481	-77.290817
389.616394	-76.398163
390.289307	-75.646454
390.962219	-76.957642
391.635132	-77.811798
392.308044	-77.024139
392.980957	-76.122047
393.653870	-76.960541
394.326782	-76.816620
394.999695	-76.523628
395.672607	-75.318649
396.345520	-78.293243
397.018433	-75.961525
397.691345	-75.543015
398.364258	-77.328201
399.037170	-77.779984
399.710083	-77.843353
400.382996	-77.743805
401.055908	-77.707581
401.728821	-76.973289
402.401733	-76.712013
403.074646	-76.130592
403.747559	-77.095284
404.420471	-76.712852
405.093384	-75.084381
405.766296	-77.086365
406.439209	-76.255066
407.112122	-77.314705
407.785034	-76.363869
408.457947	-76.045898
409.130859	-75.947006
409.803772	-76.024979
410.476685	-76.660255
411.149597	-76.765602
411.822510	-77.367485
412.495422	-75.718498
413.168335	-76.929077
413.841248	-77.198776
414.514160	-76.161285
415.187073	-77.214920
415.859985	-77.209465
416.532898	-77.589584
417.205811	-76.512253
417.878723	-77.088142
418.551636	-77.767509
419.224548	-77.190567
419.897461	-76.974571
420.570374	-76.422058
421.243286	-75.600723
421.916199	-77.027718
422.589111	-76.576286
423.262024	-75.303177
423.934937	-75.830963
424.607849	-75.368950
425.280762	-76.460182
425.953674	-76.043594
426.626587	-75.960144
427.299500	-75.719208
427.972412	-76.321640
428.645325	-74.637001
429.318237	-77.030724
429.991150	-77.257866
430.664062	-76.073593
431.336975	-74.911545
432.009888	-76.251389
432.682800	-76.578270
433.355713	-75.377808
434.028625	-76.037109
434.701538	-75.612076
435.374451	-76.254692
436.047363	-76.784821
436.720276	-75.894897
437.393188	-74.050285
438.066101	-76.236481
438.739014	-76.459984
439.411926	-75.919052
440.084839	-76.319984
440.757751	-76.356911
441.430664	-75.218979
442.103577	-75.583260
442.776489	-74.414062
443.449402	-75.254272
444.122314	-75.307014
444.795227	-76.080299
445.468140	-75.269302
446.141052	-74.222282
446.813965	-75.033768
447.486877	-75.131271
448.159790	-73.405281
448.832703	-74.280670
449.505615	-73.687317
450.178528	-74.139877
450.851440	-74.544693
451.524353	-74.744064
452.197266	-74.743027
452.870178	-75.314941
453.543091	-74.529556
454.216003	-73.184677
454.888916	-74.629700
455.561829	-75.690292
456.234741	-72.483307
456.907654	-73.905602
457.580566	-74.568878
458.253479	-75.016991
458.926392	-75.363480
459.599304	-74.428764
460.272217	-74.071014
460.945129	-74.590187
461.618042	-73.997635
462.290955	-73.385475
462.963867	-72.848663
463.636780	-72.991074
464.309692	-73.566856
464.982605	-73.421753
465.655518	-71.966064
466.328430	-72.744232
467.001343	-72.127396
467.674255	-72.408035
468.347168	-71.954788
469.020081	-72.912750
469.692993	-71.924057
470.365906	-73.801598
471.038818	-72.521492
471.711731	-73.181519
472.384644	-73.312386
473.057556	-72.010262
473.730469	-73.947052
474.403381	-72.478355
475.076294	-73.140221
475.749207	-72.832367
476.422119	-72.137192
477.095032	-72.330894
477.767944	-72.087563
478.440857	-71.203690
479.113770	-72.115784
479.786682	-71.953812
480.459595	-70.855438
481.132507	-71.718719
481.805420	-71.855476
482.478333	-72.763893
483.151245	-71.122734
483.824158	-73.053474
484.497070	-70.399109
485.169983	-71.563545
485.842896	-71.189728
486.515808	-70.810852
487.188721	-70.618446
487.861633	-69.599098
488.534546	-70.336960
489.207458	-71.583488
489.880371	-70.203583
490.553284	-69.614342
491.226196	-70.239777
491.899109	-70.115761
492.572021	-70.061829
493.244934	-69.144875
493.917847	-68.693802
494.590759	-69.274300
495.263672	-70.222115
495.936584	-69.878624
496.609497	-68.393921
497.282410	-68.613762
497.955322	-68.743027
498.628235	-67.578911
499.301147	-68.292297
499.974060	-68.665283
500.646973	-69.557213
501.319885	-67.194435
501.992798	-67.361847
502.665710	-67.630875
503.338623	-67.196266
504.011536	-67.706680
504.684448	-66.781158
505.357361	-67.841721
506.030273	-66.697685
506.703186	-66.015137
507.376099	-67.291092
508.049011	-66.776314
508.721924	-65.419914
509.394836	-64.623337
510.067749	-65.763763
510.740662	-65.550217
511.413574	-64.814758
512.086487	-63.785229
512.759399	-64.796852
513.432312	-64.332916
514.105225	-64.358528
514.778137	-65.689865
515.451050	-64.079697
516.123962	-63.623066
516.796875	-64.464294
517.469788	-63.145180
518.142700	-63.461853
518.815613	-64.083282
519.488525	-63.145149
520.161438	-62.709541
520.834351	-62.598709
521.507263	-62.996937
522.180176	-62.630856
522.853088	-62.669136
523.526001	-62.700863
524.198914	-63.113464
524.871826	-62.726913
525.544739	-63.399418
526.217651	-62.152065
526.890564	-62.038536
527.563477	-61.270119
528.236389	-62.349525
528.909302	-63.344196
529.582214	-60.258427
530.255127	-60.147560
530.928040	-61.733437
531.600952	-61.745865
532.273865	-60.248581
532.946777	-62.883812
533.619690	-62.709766
534.292603	-61.949924
534.965515	-62.992756
535.638428	-61.739559
536.311340	-62.133224
536.984253	-62.397297
537.657166	-62.854233
538.330078	-62.352154
539.002991	-63.306847
539.675903	-62.882069
540.348816	-62.380508
541.021729	-63.531555
541.694641	-63.675304
542.367554	-63.073662
543.040466	-63.875278
543.713379	-64.101601
544.386292	-63.265976
545.059204	-64.782562
545.732117	-64.693443
546.405029	-64.245125
547.077942	-64.765053
547.750854	-65.552887
548.423767	-65.169472
549.096680	-64.806229
549.769592	-64.431816
550.442505	-64.453362
551.115417	-64.956963
551.788330	-65.465675
552.461243	-66.143280
553.134155	-67.828674
553.807068	-66.056770
554.479980	-67.433540
555.152893	-65.948792
555.825806	-66.617744
556.498718	-67.102119
557.171631	-67.019455
557.844543	-67.110382
558.517456	-67.492004
559.190369	-66.922699
559.863281	-68.186226
560.536194	-68.569519
561.209106	-67.800072
561.882019	-68.431183
562.554932	-68.950157
563.227844	-69.085403
563.900757	-67.477081
564.573669	-67.897346
565.246582	-68.292435
565.919495	-68.218971
566.592407	-68.203011
567.265320	-69.129875
567.938232	-69.294380
568.611145	-69.964027
569.284058	-69.865860
569.956970	-68.814720
570.629883	-69.654961
