Frequency (Hz)	Level (dB)
0.672913	-90.586754
1.345825	-90.641525
2.018738	-90.599480
2.691650	-90.692917
3.364563	-90.282959
4.037476	-90.136261
4.710388	-90.118515
5.383301	-90.494797
6.056213	-89.403214
6.729126	-89.104179
7.402039	-89.697998
8.074951	-89.879211
8.747864	-89.607971
9.420776	-89.256348
10.093689	-88.567612
10.766602	-87.774734
11.439514	-87.156853
12.112427	-86.294418
12.785339	-87.752029
13.458252	-86.355965
14.131165	-87.804535
14.804077	-86.348778
15.476990	-85.681564
16.149902	-86.708450
16.822815	-86.721466
17.495728	-86.330132
18.168640	-85.575851
18.841553	-85.517120
19.514465	-85.872421
20.187378	-86.043579
20.860291	-85.298279
21.533203	-85.835320
22.206116	-84.575188
22.879028	-83.046974
23.551941	-83.385338
24.224854	-86.024597
24.897766	-84.642082
25.570679	-83.856186
26.243591	-84.557442
26.916504	-83.477982
27.589417	-82.805000
28.262329	-83.901909
28.935242	-85.667107
29.608154	-82.844719
30.281067	-83.531227
30.953979	-84.496605
31.626892	-84.836929
32.299805	-85.004486
32.972717	-83.939987
33.645630	-84.521935
34.318542	-85.730026
34.991455	-83.741837
35.664368	-83.885567
36.337280	-83.004913
37.010193	-82.791794
37.683105	-84.742050
38.356018	-85.106415
39.028931	-84.917900
39.701843	-84.058510
40.374756	-83.830673
41.047668	-84.288010
41.720581	-83.709053
42.393494	-83.721527
43.066406	-83.451180
43.739319	-84.039589
44.412231	-83.931526
45.085144	-82.797981
45.758057	-81.583878
46.430969	-83.678093
47.103882	-83.342415
47.776794	-82.344910
48.449707	-81.906250
49.122620	-82.172134
49.795532	-82.772270
50.468445	-81.771675
51.141357	-81.652328
51.814270	-82.047264
52.487183	-80.965172
53.160095	-80.676964
53.833008	-80.764618
54.505920	-80.728752
55.178833	-80.188583
55.851746	-80.306534
56.524658	-79.192596
57.197571	-79.414024
57.870483	-79.029465
58.543396	-79.421371
59.216309	-77.781654
59.889221	-80.529434
60.562134	-79.245064
61.235046	-78.953773
61.907959	-79.079994
62.580872	-78.314461
63.253784	-77.566559
63.926697	-79.211456
64.599609	-81.562759
65.272522	-81.093918
65.945435	-80.146309
66.618347	-80.378609
67.291260	-80.958321
67.964172	-82.243164
68.637085	-79.189667
69.309998	-79.904045
69.982910	-79.145607
70.655823	-78.780441
71.328735	-81.516129
72.001648	-80.076027
72.674561	-81.391472
73.347473	-79.855598
74.020386	-79.811859
74.693298	-79.873619
75.366211	-78.197227
76.039124	-78.562874
76.712036	-81.460800
77.384949	-80.488022
78.057861	-80.221756
78.730774	-80.261932
79.403687	-81.911591
80.076599	-80.114517
80.749512	-79.920876
81.422424	-82.129555
82.095337	-79.876137
82.768250	-81.089798
83.441162	-81.406105
84.114075	-78.969109
84.786987	-78.777870
85.459900	-78.577744
86.132812	-79.548729
86.805725	-79.035439
87.478638	-79.861511
88.151550	-78.535507
88.824463	-79.713646
89.497375	-78.773827
90.170288	-78.836868
90.843201	-79.447937
91.516113	-79.801636
92.189026	-80.694275
92.861938	-79.920441
93.534851	-78.653976
94.207764	-79.297440
94.880676	-79.629677
95.553589	-79.876945
96.226501	-79.885071
96.899414	-79.620712
97.572327	-79.980392
98.245239	-80.305878
98.918152	-79.363190
99.591064	-79.139008
100.263977	-78.593758
100.936890	-79.412590
101.609802	-78.802292
102.282715	-78.142090
102.955627	-77.773621
103.628540	-78.794601
104.301453	-79.674957
104.974365	-78.924438
105.647278	-78.527245
106.320190	-77.493225
106.993103	-77.751205
107.666016	-78.981812
108.338928	-78.497154
109.011841	-78.438293
109.684753	-78.510208
110.357666	-78.780113
111.030579	-79.024529
111.703491	-79.267708
112.376404	-77.953293
113.049316	-77.123688
113.722229	-77.933273
114.395142	-77.741096
115.068054	-76.860573
115.740967	-77.299049
116.413879	-76.974945
117.086792	-76.941635
117.759705	-78.112045
118.432617	-75.481003
119.105530	-77.338387
119.778442	-73.958778
120.451355	-74.950508
121.124268	-72.062042
121.797180	-76.354034
122.470093	-76.245369
123.143005	-77.046738
123.815918	-76.469193
124.488831	-77.502876
125.161743	-78.101631
125.834656	-77.704964
126.507568	-77.244354
127.180481	-76.839752
127.853394	-77.109467
128.526306	-76.503761
129.199219	-77.662781
129.872131	-77.027420
130.545044	-76.890541
131.217957	-77.396004
131.890869	-76.946281
132.563782	-76.219772
133.236694	-76.336014
133.909607	-76.402603
134.582520	-75.629326
135.255432	-75.491165
135.928345	-76.133110
136.601257	-76.621506
137.274170	-76.107124
137.947083	-75.770409
138.619995	-75.737389
139.292908	-75.230087
139.965820	-75.635307
140.638733	-75.115677
141.311646	-75.282883
141.984558	-74.722366
142.657471	-75.318947
143.330383	-75.438324
144.003296	-75.305969
144.676208	-75.164719
145.349121	-73.132950
