Frequency (Hz)	Level (dB)
0.672913	-99.495361
1.345825	-99.885666
2.018738	-99.472855
2.691650	-99.602463
3.364563	-99.608650
4.037476	-95.880493
4.710388	-98.646736
5.383301	-98.550346
6.056213	-95.921455
6.729126	-97.314156
7.402039	-100.866745
8.074951	-98.969368
8.747864	-98.853851
9.420776	-94.922882
10.093689	-94.326233
10.766602	-91.142929
11.439514	-92.288834
12.112427	-87.655205
12.785339	-89.599411
13.458252	-93.949081
14.131165	-91.703827
14.804077	-94.239410
15.476990	-92.472900
16.149902	-91.817245
16.822815	-92.765694
17.495728	-91.543884
18.168640	-89.444641
18.841553	-89.951591
19.514465	-89.387733
20.187378	-91.523376
20.860291	-87.319832
21.533203	-89.206718
22.206116	-87.503059
22.879028	-90.521248
23.551941	-87.043167
24.224854	-88.327316
24.897766	-89.085846
25.570679	-90.988457
26.243591	-86.575294
26.916504	-82.045097
27.589417	-84.410637
28.262329	-84.090897
28.935242	-83.998558
29.608154	-83.306145
30.281067	-82.721405
30.953979	-87.071365
31.626892	-83.271004
32.299805	-84.977760
32.972717	-89.405846
33.645630	-86.799438
34.318542	-83.317696
34.991455	-83.897209
35.664368	-86.051170
36.337280	-86.091774
37.010193	-83.192581
37.683105	-85.147995
38.356018	-86.855774
39.028931	-87.802444
39.701843	-84.188927
40.374756	-81.248611
41.047668	-84.564209
41.720581	-83.937065
42.393494	-86.625572
43.066406	-86.923378
43.739319	-86.285355
44.412231	-83.445114
45.085144	-84.391312
45.758057	-80.566292
46.430969	-83.012932
47.103882	-82.771820
47.776794	-82.700371
48.449707	-83.342896
49.122620	-83.022377
49.795532	-82.795105
50.468445	-83.421120
51.141357	-85.591499
51.814270	-86.525482
52.487183	-87.343575
53.160095	-82.287750
53.833008	-81.992104
54.505920	-81.465630
55.178833	-77.599678
55.851746	-79.510681
56.524658	-77.019470
57.197571	-76.894157
57.870483	-79.109070
58.543396	-77.144783
59.216309	-77.164734
59.889221	-77.699783
60.562134	-77.253860
61.235046	-77.169739
61.907959	-78.522926
62.580872	-76.337532
63.253784	-76.588066
63.926697	-77.842903
64.599609	-81.075630
65.272522	-81.362923
65.945435	-81.562447
66.618347	-78.157990
67.291260	-78.303551
67.964172	-84.293045
68.637085	-81.324844
69.309998	-80.749695
69.982910	-78.709511
70.655823	-80.125298
71.328735	-79.223045
72.001648	-79.004089
72.674561	-84.448288
73.347473	-80.603363
74.020386	-81.396805
74.693298	-79.437439
75.366211	-76.409058
76.039124	-83.723320
76.712036	-80.792824
77.384949	-81.750946
78.057861	-83.409950
78.730774	-79.654419
79.403687	-80.531998
80.076599	-81.200790
80.749512	-78.422783
81.422424	-82.141472
82.095337	-80.412437
82.768250	-79.998405
83.441162	-82.257111
84.114075	-80.765495
84.786987	-83.886887
85.459900	-76.104721
86.132812	-86.143852
86.805725	-79.594482
87.478638	-80.026688
88.151550	-76.343697
88.824463	-78.474594
89.497375	-78.522362
90.170288	-82.020088
90.843201	-81.643631
91.516113	-82.050461
92.189026	-82.864449
92.861938	-80.047684
93.534851	-81.593292
94.207764	-80.198387
94.880676	-79.844467
95.553589	-76.980080
96.226501	-82.204094
96.899414	-82.158844
97.572327	-78.796181
98.245239	-86.308693
98.918152	-83.653435
99.591064	-81.191994
100.263977	-77.885071
100.936890	-79.223289
101.609802	-81.832779
102.282715	-80.309586
102.955627	-76.479790
103.628540	-82.438911
104.301453	-80.307220
104.974365	-79.618530
105.647278	-77.874641
