Frequency (Hz)	Level (dB)
0.672913	-92.354424
1.345825	-92.458275
2.018738	-92.440430
2.691650	-92.348389
3.364563	-92.704567
4.037476	-91.719223
4.710388	-92.356140
5.383301	-91.763367
6.056213	-91.774429
6.729126	-91.000763
7.402039	-91.848114
8.074951	-91.712517
8.747864	-91.734398
9.420776	-90.645645
10.093689	-90.363586
10.766602	-89.592651
11.439514	-89.045326
12.112427	-89.585037
12.785339	-89.795921
13.458252	-88.644012
14.131165	-90.389206
14.804077	-89.037308
15.476990	-87.693657
16.149902	-89.166656
16.822815	-88.432449
17.495728	-89.129951
18.168640	-88.412941
18.841553	-86.886597
19.514465	-88.189301
20.187378	-88.064224
20.860291	-87.052101
21.533203	-86.520515
22.206116	-86.001663
22.879028	-85.387856
23.551941	-85.562393
24.224854	-87.593575
24.897766	-88.078850
25.570679	-87.333458
26.243591	-86.972473
26.916504	-85.962410
27.589417	-87.425552
28.262329	-85.908646
28.935242	-86.244972
29.608154	-84.937637
30.281067	-85.459518
30.953979	-86.545006
31.626892	-86.674667
32.299805	-86.776352
32.972717	-87.334740
33.645630	-86.926834
34.318542	-85.928833
34.991455	-85.309784
35.664368	-84.926041
36.337280	-85.796402
37.010193	-86.774956
37.683105	-84.044685
38.356018	-84.848610
39.028931	-84.215370
39.701843	-85.460617
40.374756	-85.578499
41.047668	-86.172691
41.720581	-85.761879
42.393494	-83.624954
43.066406	-83.515709
43.739319	-84.914673
44.412231	-85.016808
45.085144	-86.214516
45.758057	-83.854286
46.430969	-83.617401
47.103882	-83.159348
47.776794	-83.062805
48.449707	-82.978691
49.122620	-83.919037
49.795532	-83.119087
50.468445	-82.159027
51.141357	-82.374397
51.814270	-82.153786
52.487183	-81.283752
53.160095	-81.364365
53.833008	-80.362823
54.505920	-82.840622
55.178833	-80.661102
55.851746	-80.721336
56.524658	-80.735069
57.197571	-80.956863
57.870483	-81.334892
58.543396	-79.686165
59.216309	-81.793114
59.889221	-81.388145
60.562134	-79.272079
61.235046	-79.525398
61.907959	-79.578003
62.580872	-79.454803
63.253784	-79.216461
63.926697	-78.508720
64.599609	-81.318169
65.272522	-80.502785
65.945435	-79.545952
66.618347	-79.958656
67.291260	-80.881729
67.964172	-80.721489
68.637085	-80.402390
69.309998	-79.627075
69.982910	-79.768440
70.655823	-80.304817
71.328735	-80.028130
72.001648	-79.088341
72.674561	-80.641624
73.347473	-80.654938
74.020386	-79.753975
74.693298	-80.108566
75.366211	-79.054245
76.039124	-79.440353
76.712036	-80.348991
77.384949	-80.412384
78.057861	-79.750107
78.730774	-79.825546
79.403687	-80.168953
80.076599	-80.368484
80.749512	-80.020927
81.422424	-80.325386
82.095337	-80.284714
82.768250	-80.020164
83.441162	-79.991425
84.114075	-78.912575
84.786987	-79.789955
85.459900	-78.367073
86.132812	-78.855705
86.805725	-78.737625
87.478638	-78.653175
88.151550	-78.273354
88.824463	-78.536484
89.497375	-78.472290
90.170288	-78.832771
90.843201	-79.024574
91.516113	-78.349709
92.189026	-79.830467
92.861938	-80.146072
93.534851	-80.275909
94.207764	-79.546402
94.880676	-79.240494
95.553589	-79.708549
96.226501	-79.935303
96.899414	-78.812027
97.572327	-79.536285
98.245239	-79.845802
98.918152	-78.516922
99.591064	-79.018814
100.263977	-77.743797
100.936890	-78.828560
101.609802	-79.253136
102.282715	-77.698494
102.955627	-76.591240
103.628540	-79.094116
104.301453	-79.802628
104.974365	-78.861221
105.647278	-77.446373
106.320190	-77.572357
106.993103	-78.017731
107.666016	-78.078987
108.338928	-78.464264
109.011841	-78.256851
109.684753	-79.010597
110.357666	-79.059799
111.030579	-78.686981
111.703491	-78.909966
112.376404	-78.638382
113.049316	-77.480080
113.722229	-78.179054
114.395142	-76.823990
115.068054	-77.633461
115.740967	-76.316673
116.413879	-77.021004
117.086792	-77.250145
117.759705	-79.163292
118.432617	-76.803795
119.105530	-77.291656
119.778442	-76.936638
120.451355	-78.059044
121.124268	-76.791779
121.797180	-76.763969
122.470093	-76.268875
123.143005	-77.096527
123.815918	-76.932785
124.488831	-77.161003
125.161743	-77.494240
125.834656	-78.112122
126.507568	-77.184364
127.180481	-77.029572
127.853394	-77.253563
128.526306	-76.532593
129.199219	-77.586426
129.872131	-76.770134
130.545044	-77.626244
131.217957	-78.092484
131.890869	-77.024017
132.563782	-75.807045
133.236694	-76.205528
133.909607	-76.426704
134.582520	-72.793724
135.255432	-74.948944
135.928345	-76.640480
136.601257	-75.192406
137.274170	-75.776520
137.947083	-76.494873
138.619995	-75.467926
139.292908	-75.309067
139.965820	-77.475792
140.638733	-76.016182
141.311646	-75.956001
141.984558	-77.017830
142.657471	-77.317314
143.330383	-77.587013
144.003296	-77.074966
144.676208	-75.969414
145.349121	-75.022720
146.022034	-75.854553
146.694946	-76.985420
147.367859	-77.118538
148.040771	-76.312859
148.713684	-76.857582
149.386597	-76.242867
150.059509	-77.136124
150.732422	-75.021263
151.405334	-75.378510
152.078247	-76.407104
152.751160	-76.624870
153.424072	-75.261147
154.096985	-76.609322
154.769897	-76.593384
155.442810	-76.617851
156.115723	-77.331230
156.788635	-75.644806
157.461548	-75.304573
158.134460	-76.489731
158.807373	-75.995338
159.480286	-74.292191
160.153198	-76.137360
160.826111	-75.827385
161.499023	-75.577538
162.171936	-75.840454
162.844849	-74.567085
163.517761	-75.461746
164.190674	-75.887466
164.863586	-76.386292
165.536499	-76.443153
166.209412	-75.555389
166.882324	-75.028854
167.555237	-76.314682
168.228149	-75.326004
168.901062	-75.569702
169.573975	-76.137123
170.246887	-75.449364
170.919800	-74.696930
171.592712	-74.780548
172.265625	-74.986015
172.938538	-76.511688
173.611450	-75.329910
174.284363	-75.809883
174.957275	-74.021797
175.630188	-75.321030
176.303101	-73.984047
176.976013	-74.520729
177.648926	-75.383423
178.321838	-74.412140
178.994751	-74.395309
179.667664	-74.724503
180.340576	-75.136131
181.013489	-75.147514
181.686401	-74.541740
182.359314	-75.670853
183.032227	-73.362946
183.705139	-73.061272
184.378052	-72.911140
185.050964	-74.366379
185.723877	-74.620102
186.396790	-74.817032
187.069702	-74.228325
187.742615	-74.699600
188.415527	-73.688820
189.088440	-74.352760
189.761353	-75.183289
190.434265	-73.194473
191.107178	-74.184296
191.780090	-73.446419
192.453003	-73.653435
193.125916	-75.099068
193.798828	-73.752396
194.471741	-73.774536
195.144653	-73.331429
195.817566	-74.848595
196.490479	-73.203232
197.163391	-72.692451
197.836304	-73.320099
198.509216	-72.267586
199.182129	-73.284882
199.855042	-72.854324
200.527954	-73.104622
201.200867	-73.566048
201.873779	-73.272614
202.546692	-73.739616
203.219604	-73.365051
203.892517	-76.385658
204.565430	-73.836739
205.238342	-71.914589
205.911255	-72.613327
206.584167	-72.181099
207.257080	-71.293625
207.929993	-72.349632
208.602905	-72.695267
209.275818	-72.436783
209.948730	-71.751945
210.621643	-72.598412
211.294556	-72.376213
211.967468	-72.418877
212.640381	-73.077293
213.313293	-72.767456
213.986206	-71.885033
214.659119	-72.884140
215.332031	-71.421379
216.004944	-72.624306
216.677856	-72.678223
217.350769	-71.602341
218.023682	-72.518517
218.696594	-71.048958
219.369507	-70.954018
220.042419	-70.977844
220.715332	-70.355431
221.388245	-71.419022
222.061157	-71.277039
222.734070	-71.314278
223.406982	-71.168243
224.079895	-72.169930
224.752808	-71.636253
225.425720	-70.921478
226.098633	-71.011345
226.771545	-70.086357
227.444458	-70.716385
228.117371	-71.871353
228.790283	-70.600853
229.463196	-71.406799
230.136108	-70.663757
230.809021	-69.492287
231.481934	-72.296272
232.154846	-70.826172
232.827759	-69.719185
233.500671	-70.701157
234.173584	-69.984329
234.846497	-69.485992
235.519409	-69.812386
236.192322	-69.877319
236.865234	-69.137268
237.538147	-68.345390
238.211060	-68.945915
238.883972	-69.232803
239.556885	-69.408432
240.229797	-69.352859
240.902710	-68.967575
241.575623	-68.710907
242.248535	-68.511734
242.921448	-67.980743
243.594360	-68.009872
244.267273	-69.387383
244.940186	-69.389572
245.613098	-69.023918
246.286011	-67.790413
246.958923	-67.257439
247.631836	-66.567429
248.304749	-67.355370
248.977661	-65.736328
249.650574	-68.673752
250.323486	-67.221909
250.996399	-66.732430
251.669312	-67.056686
252.342224	-66.755150
253.015137	-66.311089
253.688049	-67.319695
254.360962	-66.259453
255.033875	-66.149117
255.706787	-67.452583
256.379700	-66.506981
257.052612	-66.340591
257.725525	-64.793686
258.398438	-66.103027
259.071350	-64.858231
259.744263	-64.789520
260.417175	-64.962257
261.090088	-64.115227
261.763000	-65.714172
262.435913	-65.505478
263.108826	-64.681229
263.781738	-64.901871
264.454651	-64.857788
265.127563	-64.623566
265.800476	-65.200348
266.473389	-63.830601
267.146301	-62.077484
267.819214	-62.883831
268.492126	-63.087734
269.165039	-62.733063
269.837952	-61.240273
270.510864	-62.668522
271.183777	-62.420227
271.856689	-62.673264
272.529602	-61.938107
273.202515	-60.363686
273.875427	-61.739010
274.548340	-61.812611
275.221252	-60.472652
275.894165	-61.095276
276.567078	-61.232529
277.239990	-60.572693
277.912903	-59.790306
278.585815	-59.760643
279.258728	-62.218525
279.931641	-57.825089
280.604553	-59.003536
281.277466	-58.686287
281.950378	-58.611816
282.623291	-59.404617
283.296204	-58.692135
283.969116	-59.025745
284.642029	-58.656017
285.314941	-58.091805
285.987854	-59.197464
286.660767	-57.298809
287.333679	-57.950592
288.006592	-57.918896
288.679504	-56.618446
289.352417	-56.878017
290.025330	-57.653652
290.698242	-57.798531
291.371155	-56.109032
292.044067	-56.619381
292.716980	-58.122746
293.389893	-57.983326
294.062805	-57.288460
294.735718	-58.482422
295.408630	-58.312714
296.081543	-57.778709
296.754456	-57.091621
297.427368	-55.977509
298.100281	-59.198166
298.773193	-59.885925
299.446106	-58.358112
300.119019	-59.725609
300.791931	-58.073818
301.464844	-58.471462
302.137756	-58.385681
302.810669	-59.250324
303.483582	-59.785488
304.156494	-60.429989
304.829407	-61.030491
