Frequency (Hz)	Level (dB)
0.672913	-93.383453
1.345825	-93.355637
2.018738	-93.400375
2.691650	-93.216576
3.364563	-93.219200
4.037476	-92.624435
4.710388	-93.257889
5.383301	-92.965454
6.056213	-93.249413
6.729126	-92.021904
7.402039	-92.389740
8.074951	-91.953156
8.747864	-91.977104
9.420776	-91.728256
10.093689	-91.719246
10.766602	-89.189781
11.439514	-89.235779
12.112427	-89.239975
12.785339	-89.304962
13.458252	-89.568878
14.131165	-89.266273
14.804077	-90.471359
15.476990	-89.390579
16.149902	-88.870552
16.822815	-88.973930
17.495728	-88.651512
18.168640	-88.162468
18.841553	-87.191017
19.514465	-88.747818
20.187378	-88.856987
20.860291	-87.051926
21.533203	-86.511604
22.206116	-85.903442
22.879028	-82.627136
23.551941	-86.313538
24.224854	-86.382706
24.897766	-85.230019
25.570679	-84.935959
26.243591	-84.368828
26.916504	-86.205238
27.589417	-85.599770
28.262329	-85.592934
28.935242	-83.931931
29.608154	-84.065376
30.281067	-85.436386
30.953979	-84.854637
31.626892	-85.326820
32.299805	-85.742760
32.972717	-87.403641
33.645630	-86.781921
34.318542	-86.514175
34.991455	-85.975624
35.664368	-86.762878
36.337280	-85.165733
37.010193	-85.920959
37.683105	-84.187706
38.356018	-85.244354
39.028931	-86.002663
39.701843	-86.448929
40.374756	-85.029701
41.047668	-84.155937
41.720581	-84.790192
42.393494	-84.684669
43.066406	-83.590202
43.739319	-85.468910
44.412231	-83.733932
45.085144	-83.319817
45.758057	-83.087425
46.430969	-84.425095
47.103882	-84.752968
47.776794	-83.148277
48.449707	-83.718872
49.122620	-85.145088
49.795532	-84.149590
50.468445	-81.924988
51.141357	-83.057297
51.814270	-84.010033
52.487183	-81.836403
53.160095	-83.161049
53.833008	-81.778168
54.505920	-81.506180
55.178833	-81.466377
55.851746	-81.477303
56.524658	-81.758331
57.197571	-81.147911
57.870483	-81.279396
58.543396	-81.373085
59.216309	-80.343338
59.889221	-81.676949
60.562134	-80.495804
61.235046	-80.847321
61.907959	-80.752487
62.580872	-79.495331
63.253784	-80.228142
63.926697	-79.437904
64.599609	-81.734406
65.272522	-80.524773
65.945435	-80.754066
66.618347	-80.469498
67.291260	-82.191345
67.964172	-81.511360
68.637085	-81.436440
69.309998	-81.028114
69.982910	-82.333580
70.655823	-81.138443
71.328735	-81.586395
72.001648	-80.194550
72.674561	-80.378288
73.347473	-82.053337
74.020386	-79.937805
74.693298	-80.225601
75.366211	-79.273003
76.039124	-81.090240
76.712036	-82.321320
77.384949	-80.613907
78.057861	-80.957970
78.730774	-80.662262
79.403687	-81.676788
80.076599	-81.443199
80.749512	-80.989670
81.422424	-81.726402
82.095337	-80.958290
82.768250	-80.927559
83.441162	-81.297119
84.114075	-80.066422
84.786987	-80.403069
85.459900	-79.452309
86.132812	-79.777840
86.805725	-79.775223
87.478638	-81.170547
88.151550	-79.865166
88.824463	-79.999794
89.497375	-78.608711
90.170288	-80.045151
90.843201	-80.306534
91.516113	-80.408310
92.189026	-81.063454
92.861938	-79.794106
93.534851	-79.978271
94.207764	-80.886238
94.880676	-80.765076
95.553589	-80.074600
96.226501	-81.039749
96.899414	-80.531502
97.572327	-80.254333
98.245239	-81.479195
98.918152	-80.595360
99.591064	-81.349289
100.263977	-79.809746
100.936890	-79.836914
101.609802	-79.676285
102.282715	-78.788284
102.955627	-78.544762
103.628540	-80.848633
104.301453	-79.702209
104.974365	-80.222710
105.647278	-79.328568
106.320190	-79.296814
106.993103	-79.390968
107.666016	-80.175041
108.338928	-79.485817
109.011841	-78.867355
109.684753	-79.912949
110.357666	-79.679100
111.030579	-79.018974
111.703491	-80.167526
112.376404	-79.804276
113.049316	-79.024841
113.722229	-78.110611
114.395142	-77.839928
115.068054	-78.983589
115.740967	-77.968971
116.413879	-78.665413
117.086792	-79.087776
117.759705	-80.825134
118.432617	-78.238503
119.105530	-78.919144
119.778442	-77.502235
120.451355	-76.647255
121.124268	-77.717155
121.797180	-78.271355
122.470093	-77.508995
123.143005	-77.739464
123.815918	-78.401924
124.488831	-78.258247
125.161743	-79.726746
125.834656	-79.157906
126.507568	-78.545235
127.180481	-78.152267
127.853394	-78.956192
128.526306	-78.562607
129.199219	-79.367188
129.872131	-79.213356
130.545044	-78.927551
131.217957	-79.174324
131.890869	-77.832657
132.563782	-77.753754
133.236694	-78.410179
133.909607	-78.167549
134.582520	-78.839333
135.255432	-78.261642
135.928345	-77.522133
136.601257	-78.874748
137.274170	-77.956436
137.947083	-77.807220
138.619995	-78.568413
139.292908	-77.333122
139.965820	-78.196800
140.638733	-78.275620
141.311646	-77.334625
141.984558	-78.544258
142.657471	-77.742989
143.330383	-78.449287
144.003296	-77.779747
144.676208	-76.894882
145.349121	-76.766388
146.022034	-76.751839
146.694946	-78.143806
147.367859	-79.163841
148.040771	-78.062714
148.713684	-78.351967
149.386597	-76.850670
150.059509	-77.920395
150.732422	-77.211021
151.405334	-77.873871
152.078247	-78.003807
152.751160	-78.355164
153.424072	-77.644379
154.096985	-77.994560
154.769897	-78.768173
155.442810	-77.851646
156.115723	-78.033890
156.788635	-77.223862
157.461548	-76.946472
158.134460	-77.287041
158.807373	-77.181290
159.480286	-76.803864
160.153198	-78.246841
160.826111	-77.939285
161.499023	-77.030045
162.171936	-76.959618
162.844849	-75.859306
163.517761	-77.151833
164.190674	-77.120628
164.863586	-77.366760
165.536499	-77.057228
166.209412	-77.441704
166.882324	-77.081192
167.555237	-77.632179
168.228149	-76.683083
168.901062	-77.465408
169.573975	-77.800774
170.246887	-77.135574
170.919800	-77.008575
171.592712	-76.490860
172.265625	-76.518845
172.938538	-77.427063
173.611450	-76.850304
174.284363	-77.661888
174.957275	-75.659988
175.630188	-77.365288
176.303101	-75.452263
176.976013	-76.155876
177.648926	-76.589386
178.321838	-76.398857
178.994751	-75.916451
179.667664	-75.280952
180.340576	-75.880272
181.013489	-76.589302
181.686401	-76.086060
182.359314	-76.848579
183.032227	-75.619621
183.705139	-74.679405
184.378052	-74.061630
185.050964	-75.788155
185.723877	-76.438782
186.396790	-76.636505
187.069702	-75.965096
187.742615	-75.601929
188.415527	-74.633492
189.088440	-75.634109
189.761353	-77.248817
190.434265	-74.665443
191.107178	-75.662941
191.780090	-75.682411
192.453003	-75.604996
193.125916	-75.774925
193.798828	-75.072212
194.471741	-75.602684
195.144653	-74.959435
195.817566	-75.260941
196.490479	-74.618462
197.163391	-74.899864
197.836304	-74.095627
198.509216	-74.047585
199.182129	-74.125732
199.855042	-74.539383
200.527954	-75.199440
201.200867	-75.434486
201.873779	-75.261108
202.546692	-74.782196
203.219604	-74.918839
203.892517	-76.531494
204.565430	-75.826340
205.238342	-73.699974
205.911255	-74.530212
206.584167	-73.845612
207.257080	-73.529930
207.929993	-74.025848
208.602905	-73.488075
209.275818	-74.343727
209.948730	-73.091385
210.621643	-74.259949
211.294556	-73.703400
211.967468	-74.360847
212.640381	-73.679832
213.313293	-74.215843
213.986206	-73.301628
214.659119	-73.583679
215.332031	-72.713074
216.004944	-74.016357
216.677856	-74.585907
217.350769	-73.139687
218.023682	-73.535416
218.696594	-72.039246
219.369507	-72.186607
220.042419	-72.721092
220.715332	-72.726532
221.388245	-73.016220
222.061157	-73.417320
222.734070	-73.358131
223.406982	-73.359222
224.079895	-73.059555
224.752808	-72.994293
225.425720	-71.787674
226.098633	-72.052071
226.771545	-72.536736
227.444458	-71.594460
228.117371	-72.661125
228.790283	-72.447075
229.463196	-72.389946
230.136108	-71.230301
230.809021	-71.576889
231.481934	-72.849770
232.154846	-72.409195
232.827759	-71.646179
233.500671	-72.165627
234.173584	-71.830475
234.846497	-72.071243
235.519409	-71.244026
236.192322	-71.805969
236.865234	-70.447861
237.538147	-69.354240
238.211060	-70.739273
238.883972	-70.544884
239.556885	-70.492744
240.229797	-71.180679
240.902710	-69.920433
241.575623	-68.974457
242.248535	-69.236542
242.921448	-69.823647
243.594360	-70.149391
244.267273	-70.508743
244.940186	-69.830948
245.613098	-70.547165
246.286011	-70.331398
246.958923	-69.257301
247.631836	-67.845840
248.304749	-69.048103
248.977661	-67.218658
249.650574	-68.969673
250.323486	-69.187523
250.996399	-68.620827
251.669312	-68.909309
252.342224	-68.751945
253.015137	-67.611877
253.688049	-69.010796
254.360962	-68.566864
255.033875	-67.231178
255.706787	-68.323891
256.379700	-66.777611
257.052612	-67.515923
257.725525	-66.460373
258.398438	-67.161995
259.071350	-67.073997
259.744263	-66.000664
260.417175	-67.288422
261.090088	-66.256218
261.763000	-66.250580
262.435913	-67.414291
263.108826	-65.634445
263.781738	-66.753326
264.454651	-66.554466
265.127563	-65.603180
265.800476	-65.775642
266.473389	-65.342430
267.146301	-64.183357
267.819214	-63.873661
268.492126	-64.407425
269.165039	-64.654335
269.837952	-63.957760
270.510864	-64.299667
271.183777	-64.251228
271.856689	-64.425926
272.529602	-63.174496
273.202515	-62.170876
273.875427	-63.081711
274.548340	-62.740108
275.221252	-62.055702
275.894165	-62.230461
276.567078	-62.879314
277.239990	-61.901955
277.912903	-61.596237
278.585815	-60.319599
279.258728	-62.397755
279.931641	-59.663437
280.604553	-60.353035
281.277466	-59.856201
281.950378	-59.948807
282.623291	-60.700432
283.296204	-59.948460
283.969116	-59.852577
284.642029	-59.898148
285.314941	-59.162781
285.987854	-60.291348
286.660767	-59.171577
287.333679	-59.543659
288.006592	-58.862919
288.679504	-57.896748
289.352417	-57.864258
290.025330	-59.052170
290.698242	-58.363518
291.371155	-57.615574
292.044067	-57.926594
292.716980	-59.251011
293.389893	-58.486141
294.062805	-58.520641
294.735718	-59.126503
295.408630	-59.559258
296.081543	-58.753967
296.754456	-58.533115
297.427368	-57.818863
298.100281	-60.320038
298.773193	-60.208187
299.446106	-59.902592
300.119019	-60.780361
300.791931	-59.006718
301.464844	-59.217812
302.137756	-59.478157
302.810669	-60.732208
303.483582	-60.522984
304.156494	-62.405281
304.829407	-62.232201
305.502319	-62.864620
306.175232	-61.566723
306.848145	-61.243996
307.521057	-62.656372
308.193970	-61.874264
308.866882	-62.362453
309.539795	-62.221676
310.212708	-62.239365
310.885620	-62.725330
311.558533	-63.584938
312.231445	-63.686298
312.904358	-62.723263
313.577271	-64.861671
314.250183	-63.987843
314.923096	-63.721111
315.596008	-64.228394
316.268921	-64.242432
316.941833	-63.672832
317.614746	-64.773636
318.287659	-65.630928
318.960571	-66.433922
319.633484	-66.209694
320.306396	-65.331154
320.979309	-65.987984
321.652222	-65.203140
322.325134	-65.747681
322.998047	-66.755569
323.670959	-67.080994
324.343872	-66.663940
325.016785	-68.077721
325.689697	-67.390297
326.362610	-68.115738
327.035522	-66.566422
327.708435	-66.321075
328.381348	-66.626305
329.054260	-67.833298
329.727173	-68.252380
330.400085	-66.415535
331.072998	-67.094559
331.745911	-68.045883
332.418823	-68.229904
333.091736	-68.701759
333.764648	-68.090721
334.437561	-68.234657
335.110474	-68.480072
335.783386	-67.862038
336.456299	-69.088455
337.129211	-68.838562
337.802124	-69.827972
338.475037	-68.429817
339.147949	-69.033775
339.820862	-68.441841
340.493774	-69.329018
341.166687	-68.498940
341.839600	-68.980309
342.512512	-70.029007
343.185425	-69.137482
343.858337	-69.582001
344.531250	-69.441376
345.204163	-69.545357
345.877075	-70.722473
346.549988	-70.790428
347.222900	-68.963333
347.895813	-68.995476
348.568726	-69.404327
349.241638	-68.155678
349.914551	-70.344627
350.587463	-70.156929
351.260376	-70.456223
351.933289	-70.627724
352.606201	-70.313622
353.279114	-71.743233
353.952026	-70.397186
354.624939	-72.022369
355.297852	-71.280899
355.970764	-70.211838
356.643677	-70.550789
357.316589	-71.690865
357.989502	-70.873970
358.662415	-69.772812
359.335327	-70.376358
360.008240	-70.894936
360.681152	-70.920982
361.354065	-70.714561
362.026978	-70.681084
362.699890	-71.172218
363.372803	-70.539795
364.045715	-70.096519
364.718628	-70.967873
365.391541	-71.957207
366.064453	-70.347618
366.737366	-71.419701
367.410278	-70.718513
368.083191	-71.871040
368.756104	-71.249359
369.429016	-71.943840
370.101929	-71.739243
370.774841	-71.205055
371.447754	-72.303360
372.120667	-71.770065
372.793579	-70.751991
373.466492	-72.048164
374.139404	-72.463493
374.812317	-71.916794
375.485229	-72.524536
376.158142	-73.145782
376.831055	-72.081398
377.503967	-72.394196
378.176880	-71.819290
378.849792	-71.320633
379.522705	-72.064102
380.195618	-72.694336
380.868530	-72.345306
381.541443	-71.997276
382.214355	-71.953148
382.887268	-72.762665
383.560181	-72.416298
384.233093	-72.818787
384.906006	-71.798241
385.578918	-73.007683
386.251831	-73.704597
386.924744	-71.824318
387.597656	-71.775772
388.270569	-72.399963
388.943481	-72.852402
389.616394	-72.654892
390.289307	-72.508331
390.962219	-73.218315
391.635132	-74.011436
392.308044	-72.301918
392.980957	-72.739105
393.653870	-73.335945
394.326782	-72.978439
394.999695	-73.557755
395.672607	-71.867203
