Frequency (Hz)	Level (dB)
0.672913	-92.995506
1.345825	-93.002083
2.018738	-92.913742
2.691650	-92.818512
3.364563	-93.121628
4.037476	-92.679771
4.710388	-92.657471
5.383301	-92.967705
6.056213	-92.777802
6.729126	-92.101036
7.402039	-92.114120
8.074951	-91.763390
8.747864	-91.174217
9.420776	-92.032829
10.093689	-91.697067
10.766602	-90.771812
11.439514	-90.134354
12.112427	-91.057220
12.785339	-89.680092
13.458252	-89.177628
14.131165	-92.051041
14.804077	-90.478928
15.476990	-89.806480
16.149902	-90.510284
16.822815	-89.641289
17.495728	-89.176865
18.168640	-88.563637
18.841553	-88.416092
19.514465	-89.870064
20.187378	-89.979027
20.860291	-87.914673
21.533203	-87.385590
22.206116	-87.855179
22.879028	-86.753906
23.551941	-88.352951
24.224854	-86.890358
24.897766	-87.948364
25.570679	-88.199692
26.243591	-87.501015
26.916504	-86.162422
27.589417	-87.077911
28.262329	-86.378899
28.935242	-87.949265
29.608154	-86.052292
30.281067	-86.552704
30.953979	-87.718750
31.626892	-86.895103
32.299805	-86.263222
32.972717	-86.006958
33.645630	-87.840736
34.318542	-87.100037
34.991455	-86.964249
35.664368	-86.666679
36.337280	-86.005394
37.010193	-86.774460
37.683105	-86.637741
38.356018	-86.487053
39.028931	-87.559578
39.701843	-86.892128
40.374756	-86.387108
41.047668	-85.928589
41.720581	-86.825684
42.393494	-85.660461
43.066406	-85.815292
43.739319	-86.970657
44.412231	-85.253769
45.085144	-85.301468
45.758057	-84.682915
46.430969	-84.943092
47.103882	-85.666023
47.776794	-83.438362
48.449707	-84.018631
49.122620	-84.437454
49.795532	-83.665718
50.468445	-84.177094
51.141357	-83.111023
51.814270	-82.992920
52.487183	-82.897789
53.160095	-82.416367
53.833008	-82.258362
54.505920	-82.633972
55.178833	-82.066780
55.851746	-81.702415
56.524658	-81.237007
57.197571	-80.731018
57.870483	-81.137444
58.543396	-82.500694
59.216309	-79.985924
59.889221	-81.176201
60.562134	-79.656609
61.235046	-81.006737
61.907959	-79.561394
62.580872	-79.452751
63.253784	-81.522766
63.926697	-79.927361
64.599609	-83.657455
65.272522	-81.870071
65.945435	-82.361275
66.618347	-81.667526
67.291260	-81.732971
67.964172	-82.846581
68.637085	-82.153511
69.309998	-82.379707
69.982910	-80.897606
70.655823	-81.012611
71.328735	-81.542381
72.001648	-81.469208
72.674561	-80.972221
73.347473	-80.532127
74.020386	-80.295876
74.693298	-79.956169
75.366211	-79.693871
76.039124	-81.482559
76.712036	-82.012123
77.384949	-80.881058
78.057861	-80.562531
78.730774	-81.294571
79.403687	-81.693542
80.076599	-81.452301
80.749512	-80.928810
81.422424	-82.251884
82.095337	-81.754730
82.768250	-81.837029
83.441162	-81.114296
84.114075	-80.690086
84.786987	-81.197281
85.459900	-78.928581
86.132812	-80.678024
86.805725	-79.786293
87.478638	-81.041519
88.151550	-79.723145
88.824463	-80.097618
89.497375	-79.891022
90.170288	-80.231773
90.843201	-80.699387
91.516113	-80.032745
92.189026	-80.889481
92.861938	-80.864265
93.534851	-80.275902
94.207764	-81.950401
94.880676	-80.571297
95.553589	-80.117287
96.226501	-81.728798
96.899414	-80.430206
97.572327	-79.872940
98.245239	-80.280151
98.918152	-80.035149
99.591064	-81.878677
100.263977	-79.665512
100.936890	-79.642776
101.609802	-79.028687
102.282715	-78.634834
102.955627	-78.635818
103.628540	-79.661865
104.301453	-79.679909
104.974365	-80.120667
105.647278	-79.632065
106.320190	-78.504745
106.993103	-78.583580
107.666016	-79.690788
108.338928	-80.086761
109.011841	-78.931114
109.684753	-80.437386
110.357666	-79.736732
111.030579	-79.356133
111.703491	-80.434364
112.376404	-78.694229
113.049316	-78.548546
113.722229	-78.843597
114.395142	-78.800446
115.068054	-79.196503
115.740967	-79.586205
116.413879	-78.513405
117.086792	-77.699005
117.759705	-80.254730
118.432617	-77.886177
119.105530	-78.683090
119.778442	-77.239845
120.451355	-79.268463
121.124268	-77.870491
121.797180	-78.563232
122.470093	-77.661819
123.143005	-77.989151
123.815918	-78.024796
124.488831	-79.191467
125.161743	-79.415123
125.834656	-79.093292
126.507568	-78.901863
127.180481	-78.406509
127.853394	-78.190071
128.526306	-77.656624
129.199219	-78.938721
129.872131	-79.033875
130.545044	-78.763481
131.217957	-78.470863
131.890869	-78.267876
132.563782	-76.796143
133.236694	-77.051819
133.909607	-78.235443
134.582520	-77.308670
135.255432	-76.464958
135.928345	-77.753952
136.601257	-77.856209
137.274170	-78.547989
137.947083	-77.634193
138.619995	-78.281105
139.292908	-77.861427
139.965820	-79.357216
140.638733	-79.127708
141.311646	-78.197792
141.984558	-77.881042
142.657471	-77.998672
143.330383	-77.948029
144.003296	-78.827072
144.676208	-76.890968
145.349121	-76.785744
146.022034	-77.425262
146.694946	-78.327736
147.367859	-78.467667
148.040771	-78.215660
148.713684	-77.724701
149.386597	-77.637657
150.059509	-78.855293
150.732422	-77.214157
151.405334	-77.558533
152.078247	-77.066582
152.751160	-79.263786
153.424072	-77.103188
154.096985	-78.480354
154.769897	-78.454460
155.442810	-78.142128
156.115723	-79.464882
156.788635	-77.195999
157.461548	-76.821442
158.134460	-78.036629
158.807373	-77.077698
159.480286	-76.512459
160.153198	-78.171906
160.826111	-77.398895
161.499023	-77.807632
162.171936	-77.855011
162.844849	-76.972931
163.517761	-77.415695
164.190674	-77.504044
164.863586	-78.233879
165.536499	-78.215141
166.209412	-77.494492
166.882324	-76.892204
167.555237	-76.712852
168.228149	-77.085411
168.901062	-77.342155
169.573975	-77.590782
170.246887	-77.705040
170.919800	-76.745140
171.592712	-76.687225
172.265625	-76.453560
172.938538	-77.700058
173.611450	-77.530685
174.284363	-77.685432
174.957275	-75.835709
175.630188	-77.379181
176.303101	-75.476486
176.976013	-76.826187
177.648926	-78.493034
178.321838	-76.532204
178.994751	-76.137238
179.667664	-76.254356
180.340576	-76.805840
181.013489	-77.798454
181.686401	-76.991196
182.359314	-78.045319
183.032227	-75.638664
183.705139	-75.537590
184.378052	-74.962227
185.050964	-76.780762
185.723877	-76.799614
186.396790	-76.922897
187.069702	-76.969124
187.742615	-76.731812
188.415527	-75.891975
189.088440	-76.208351
189.761353	-77.443420
190.434265	-75.551819
191.107178	-77.114388
191.780090	-76.370605
192.453003	-75.976540
193.125916	-77.414406
193.798828	-76.722153
194.471741	-76.609543
195.144653	-75.949783
195.817566	-76.591095
196.490479	-75.453003
197.163391	-75.701210
197.836304	-75.563522
198.509216	-75.060760
199.182129	-75.874763
199.855042	-76.974106
200.527954	-76.175804
201.200867	-75.781013
201.873779	-76.900681
202.546692	-76.164551
203.219604	-76.489944
203.892517	-78.291832
204.565430	-77.579185
205.238342	-75.118530
205.911255	-75.426331
206.584167	-75.592651
207.257080	-74.725365
207.929993	-75.702049
208.602905	-75.521347
209.275818	-76.304192
209.948730	-75.173553
210.621643	-75.714546
211.294556	-76.206726
211.967468	-76.520988
212.640381	-75.818329
213.313293	-75.910866
213.986206	-75.186676
214.659119	-76.584518
215.332031	-75.147369
216.004944	-75.890793
216.677856	-75.940239
217.350769	-75.163666
218.023682	-76.002220
218.696594	-74.957817
219.369507	-75.154335
220.042419	-74.736649
220.715332	-74.477760
221.388245	-75.342613
222.061157	-75.890472
222.734070	-75.861717
223.406982	-74.851074
224.079895	-75.763412
224.752808	-75.715652
225.425720	-75.073883
226.098633	-75.465927
226.771545	-74.620552
227.444458	-74.131729
228.117371	-75.300644
228.790283	-75.932083
229.463196	-75.626976
230.136108	-74.665733
230.809021	-74.522865
231.481934	-76.107979
232.154846	-75.230743
232.827759	-75.341080
233.500671	-75.003311
234.173584	-74.904320
234.846497	-74.326378
235.519409	-74.449837
236.192322	-75.050209
236.865234	-74.176704
237.538147	-73.129669
238.211060	-74.324936
238.883972	-75.129295
239.556885	-74.797203
240.229797	-75.364044
240.902710	-74.136024
241.575623	-73.766800
242.248535	-73.988777
242.921448	-73.833771
243.594360	-75.141190
244.267273	-75.114220
244.940186	-74.662506
245.613098	-74.484085
246.286011	-73.724808
246.958923	-73.561714
247.631836	-72.346909
248.304749	-74.261116
248.977661	-71.732910
249.650574	-74.476578
250.323486	-74.052757
250.996399	-73.684120
251.669312	-73.391792
252.342224	-73.437927
253.015137	-73.284637
253.688049	-74.194206
