Frequency (Hz)	Level (dB)
0.672913	-93.276237
1.345825	-93.382149
2.018738	-93.299065
2.691650	-93.295761
3.364563	-92.866295
4.037476	-92.106804
4.710388	-92.820686
5.383301	-92.607719
6.056213	-91.666595
6.729126	-90.213112
7.402039	-91.780090
8.074951	-92.723000
8.747864	-91.423615
9.420776	-91.321732
10.093689	-89.457878
10.766602	-87.848007
11.439514	-86.738312
12.112427	-86.943024
12.785339	-88.440971
13.458252	-86.693581
14.131165	-87.636078
14.804077	-87.162285
15.476990	-88.319832
16.149902	-88.090363
16.822815	-85.893082
17.495728	-86.533943
18.168640	-86.478569
18.841553	-85.735298
19.514465	-86.292557
20.187378	-87.601852
20.860291	-84.689949
21.533203	-85.014587
22.206116	-84.542511
22.879028	-80.224869
23.551941	-82.045700
24.224854	-85.303192
24.897766	-84.329506
25.570679	-83.902695
26.243591	-85.115868
26.916504	-84.856636
27.589417	-83.505081
28.262329	-83.989777
28.935242	-82.015533
29.608154	-82.917152
30.281067	-81.490593
30.953979	-81.535660
31.626892	-84.770332
32.299805	-85.460297
32.972717	-85.030884
33.645630	-86.199020
34.318542	-85.790222
34.991455	-84.843018
35.664368	-83.857048
36.337280	-83.350792
37.010193	-84.127388
37.683105	-83.806122
38.356018	-83.696526
39.028931	-85.043037
39.701843	-83.952156
40.374756	-83.076164
41.047668	-83.554207
41.720581	-82.853065
42.393494	-82.676476
43.066406	-82.973083
43.739319	-82.718132
44.412231	-82.440964
45.085144	-81.948174
45.758057	-80.963562
46.430969	-84.405472
47.103882	-84.122658
47.776794	-81.954857
48.449707	-84.469826
49.122620	-82.757866
49.795532	-83.250114
50.468445	-83.098099
51.141357	-81.790909
51.814270	-81.709503
52.487183	-82.559052
53.160095	-81.607422
53.833008	-80.471138
54.505920	-80.513100
55.178833	-80.195984
55.851746	-80.558586
56.524658	-78.700035
57.197571	-79.716576
57.870483	-78.498482
58.543396	-79.384865
59.216309	-78.907433
59.889221	-80.310799
60.562134	-79.726936
61.235046	-79.442665
61.907959	-80.608543
62.580872	-79.697945
63.253784	-78.301033
63.926697	-79.839828
64.599609	-82.800545
65.272522	-82.540115
65.945435	-81.617668
66.618347	-80.946625
67.291260	-82.151558
67.964172	-80.754402
68.637085	-82.700127
69.309998	-82.638115
69.982910	-79.865196
70.655823	-80.577454
71.328735	-81.173058
72.001648	-81.459320
72.674561	-81.351326
73.347473	-81.025665
74.020386	-79.963402
74.693298	-79.860306
75.366211	-79.991806
76.039124	-81.019890
76.712036	-80.449501
77.384949	-81.551491
78.057861	-81.872238
78.730774	-81.325111
79.403687	-80.917015
80.076599	-82.743835
80.749512	-82.599159
81.422424	-82.560165
82.095337	-81.700073
82.768250	-82.018616
83.441162	-83.019890
84.114075	-80.081635
84.786987	-81.048958
85.459900	-80.681892
86.132812	-80.298721
86.805725	-79.015617
87.478638	-80.271935
88.151550	-80.045250
88.824463	-80.509750
89.497375	-80.268471
90.170288	-80.718224
90.843201	-80.477844
91.516113	-80.773384
92.189026	-80.274300
92.861938	-80.798286
93.534851	-80.838867
94.207764	-81.851082
94.880676	-82.572899
95.553589	-81.569374
96.226501	-81.009773
96.899414	-80.857185
97.572327	-81.802223
98.245239	-81.648941
98.918152	-81.220543
99.591064	-81.084076
100.263977	-80.623627
100.936890	-80.863968
101.609802	-80.099876
102.282715	-80.119530
102.955627	-78.821930
103.628540	-79.840561
104.301453	-80.699959
104.974365	-81.772194
105.647278	-79.832474
106.320190	-79.513329
106.993103	-79.626335
107.666016	-80.317947
108.338928	-78.999458
109.011841	-80.277756
109.684753	-80.899338
110.357666	-80.194733
111.030579	-79.659546
111.703491	-80.422508
112.376404	-80.006889
113.049316	-78.685837
113.722229	-77.903854
114.395142	-78.575317
115.068054	-79.074074
115.740967	-78.578270
116.413879	-78.759148
117.086792	-79.860634
117.759705	-80.218811
118.432617	-77.972084
119.105530	-78.284012
119.778442	-74.241554
120.451355	-71.597466
121.124268	-72.650246
121.797180	-78.005371
122.470093	-77.557320
123.143005	-78.471634
123.815918	-78.462013
124.488831	-78.371002
125.161743	-79.639786
125.834656	-80.197372
126.507568	-79.605347
127.180481	-78.848732
127.853394	-79.178391
128.526306	-78.393669
129.199219	-80.454346
129.872131	-80.578735
130.545044	-79.134033
131.217957	-79.483948
131.890869	-78.885406
132.563782	-78.171776
133.236694	-78.939095
133.909607	-78.879143
134.582520	-79.526581
135.255432	-78.819695
135.928345	-78.092957
136.601257	-77.955421
137.274170	-79.162949
137.947083	-78.353638
138.619995	-78.796776
139.292908	-77.370964
139.965820	-78.519348
140.638733	-77.634361
141.311646	-77.071220
141.984558	-77.609459
142.657471	-77.942207
143.330383	-77.504692
144.003296	-78.895088
144.676208	-77.463730
145.349121	-76.859718
146.022034	-76.550926
146.694946	-77.992569
147.367859	-77.061111
148.040771	-76.077003
148.713684	-76.404037
149.386597	-76.122101
150.059509	-76.905296
150.732422	-74.441681
151.405334	-77.334740
152.078247	-76.640900
152.751160	-77.599281
153.424072	-77.137604
154.096985	-78.315750
154.769897	-77.983177
155.442810	-77.529976
156.115723	-78.703835
156.788635	-76.507263
157.461548	-75.950218
158.134460	-76.893906
158.807373	-76.867439
159.480286	-76.208977
160.153198	-77.798096
160.826111	-77.076363
161.499023	-76.986214
162.171936	-76.554581
162.844849	-75.617973
