Frequency (Hz)	Level (dB)
0.672913	-89.688843
1.345825	-89.703392
2.018738	-89.695183
2.691650	-89.603989
3.364563	-89.775345
4.037476	-89.459885
4.710388	-89.475182
5.383301	-89.825829
6.056213	-88.974258
6.729126	-88.664711
7.402039	-89.062408
8.074951	-89.276550
8.747864	-89.322418
9.420776	-88.933006
10.093689	-88.239075
10.766602	-87.604538
11.439514	-87.066010
12.112427	-86.818779
12.785339	-86.258789
13.458252	-86.019272
14.131165	-86.886925
14.804077	-86.435715
15.476990	-85.537369
16.149902	-85.805977
16.822815	-86.152039
17.495728	-86.138199
18.168640	-85.316940
18.841553	-83.710625
19.514465	-84.524933
20.187378	-84.292831
20.860291	-82.331047
21.533203	-82.427399
22.206116	-80.635475
22.879028	-79.229523
23.551941	-81.239082
24.224854	-81.430298
24.897766	-81.855164
25.570679	-80.660690
26.243591	-78.712639
26.916504	-79.553413
27.589417	-78.343384
28.262329	-77.850685
28.935242	-78.288834
29.608154	-77.970276
30.281067	-75.503441
30.953979	-77.021431
31.626892	-77.825027
32.299805	-77.913750
32.972717	-77.191757
33.645630	-77.188942
34.318542	-77.905754
34.991455	-76.795517
35.664368	-75.912766
36.337280	-75.561516
37.010193	-75.025040
37.683105	-75.514969
38.356018	-75.482910
39.028931	-75.123245
39.701843	-75.562622
40.374756	-75.333160
41.047668	-73.411842
41.720581	-73.012711
42.393494	-74.983383
43.066406	-74.158211
43.739319	-73.030106
44.412231	-72.716103
45.085144	-72.191406
45.758057	-69.969017
46.430969	-71.686417
47.103882	-71.815414
47.776794	-71.594948
48.449707	-70.651604
49.122620	-71.217926
49.795532	-70.407486
50.468445	-69.000656
51.141357	-68.768105
51.814270	-69.474739
52.487183	-67.860016
53.160095	-67.754265
53.833008	-66.265114
54.505920	-66.448578
55.178833	-66.144936
55.851746	-64.922112
56.524658	-63.291870
57.197571	-62.751442
57.870483	-63.672302
58.543396	-63.383305
59.216309	-64.139488
59.889221	-63.500641
60.562134	-62.316193
61.235046	-62.617897
61.907959	-61.934769
62.580872	-60.064213
63.253784	-60.026440
63.926697	-62.492168
64.599609	-64.749023
65.272522	-66.543793
65.945435	-65.752174
66.618347	-63.931511
67.291260	-64.723541
67.964172	-66.653717
68.637085	-65.141975
69.309998	-63.029194
69.982910	-61.956947
70.655823	-60.102203
71.328735	-59.965321
72.001648	-61.735031
72.674561	-60.239532
73.347473	-57.545025
74.020386	-58.164539
74.693298	-58.677406
75.366211	-56.998920
76.039124	-57.561783
76.712036	-59.276714
77.384949	-57.844345
78.057861	-60.328991
78.730774	-60.597279
79.403687	-60.038513
80.076599	-60.763821
80.749512	-60.211777
81.422424	-59.902470
82.095337	-60.826988
82.768250	-61.168949
83.441162	-57.971695
84.114075	-53.263145
84.786987	-52.771889
85.459900	-53.455505
86.132812	-52.800106
86.805725	-52.212952
87.478638	-52.975750
88.151550	-53.521816
88.824463	-54.248543
89.497375	-53.463093
90.170288	-52.250534
90.843201	-53.821270
91.516113	-55.177807
92.189026	-55.285385
92.861938	-55.074799
93.534851	-54.439041
94.207764	-57.637020
94.880676	-56.559746
95.553589	-56.592648
96.226501	-58.123344
96.899414	-57.962917
97.572327	-58.406151
98.245239	-59.081787
98.918152	-59.102406
99.591064	-60.035179
100.263977	-60.905369
100.936890	-59.535450
