Frequency (Hz)	Level (dB)
0.672913	-91.002655
1.345825	-90.868408
2.018738	-90.897987
2.691650	-91.012268
3.364563	-91.070351
4.037476	-90.746246
4.710388	-90.802864
5.383301	-90.652222
6.056213	-90.632057
6.729126	-90.269890
7.402039	-90.596107
8.074951	-90.616196
8.747864	-90.648193
9.420776	-90.085121
10.093689	-89.722420
10.766602	-89.786880
11.439514	-88.870712
12.112427	-89.031860
12.785339	-90.127068
13.458252	-89.826790
14.131165	-89.816666
14.804077	-89.790535
15.476990	-89.148232
16.149902	-89.154495
16.822815	-88.988449
17.495728	-89.143127
18.168640	-88.702309
18.841553	-88.611603
19.514465	-89.237717
20.187378	-90.198959
20.860291	-87.735123
21.533203	-87.294777
22.206116	-87.309418
22.879028	-88.199432
23.551941	-87.571663
24.224854	-88.834084
24.897766	-88.202965
25.570679	-88.010696
26.243591	-87.101448
26.916504	-86.545456
27.589417	-87.236298
28.262329	-87.551422
28.935242	-87.184044
29.608154	-86.787598
30.281067	-87.803772
30.953979	-87.466713
31.626892	-87.731216
32.299805	-87.296158
32.972717	-87.745560
33.645630	-88.073669
34.318542	-87.911057
34.991455	-86.515671
35.664368	-87.879852
36.337280	-87.394722
37.010193	-87.025238
37.683105	-86.579529
38.356018	-87.636711
39.028931	-87.566658
39.701843	-87.394653
40.374756	-88.253052
41.047668	-86.151779
41.720581	-87.175797
42.393494	-86.836845
43.066406	-87.061531
43.739319	-86.725281
44.412231	-87.889290
45.085144	-87.245247
45.758057	-85.936531
46.430969	-86.164337
47.103882	-85.862259
47.776794	-86.741669
48.449707	-86.290993
49.122620	-86.322861
49.795532	-85.629959
50.468445	-85.695885
51.141357	-86.313103
51.814270	-84.776054
52.487183	-84.811653
53.160095	-85.771751
53.833008	-83.934807
54.505920	-84.497147
55.178833	-84.291542
55.851746	-83.576775
56.524658	-83.266991
57.197571	-83.239388
57.870483	-83.355064
58.543396	-84.018684
59.216309	-83.861313
59.889221	-82.877129
60.562134	-83.471634
61.235046	-81.554092
61.907959	-82.992340
62.580872	-82.165634
63.253784	-81.245522
63.926697	-84.553482
64.599609	-84.158051
65.272522	-84.650230
65.945435	-85.775429
66.618347	-84.501030
67.291260	-84.863373
67.964172	-84.673004
68.637085	-84.260979
69.309998	-84.371849
69.982910	-83.981697
