Frequency (Hz)	Level (dB)
0.672913	-42.765057
1.345825	-43.924412
2.018738	-42.298363
2.691650	-42.168640
3.364563	-42.821827
4.037476	-42.892975
4.710388	-43.740479
5.383301	-43.184002
6.056213	-42.828522
6.729126	-42.684532
7.402039	-43.013870
8.074951	-43.033482
8.747864	-42.735527
9.420776	-44.621899
10.093689	-42.145222
10.766602	-43.476723
11.439514	-42.074463
12.112427	-43.433418
12.785339	-42.623096
13.458252	-43.304489
14.131165	-43.274292
14.804077	-41.580330
15.476990	-42.362858
16.149902	-42.577728
16.822815	-42.073635
17.495728	-43.895966
18.168640	-43.241272
18.841553	-42.136189
19.514465	-42.974934
20.187378	-43.485340
20.860291	-43.465027
21.533203	-43.114361
22.206116	-43.421543
22.879028	-42.177280
23.551941	-44.677231
24.224854	-41.995602
24.897766	-42.394833
25.570679	-42.352993
26.243591	-44.614296
26.916504	-44.197273
27.589417	-42.916409
28.262329	-42.874157
28.935242	-42.647270
29.608154	-44.646969
30.281067	-43.234615
30.953979	-42.966896
31.626892	-42.712906
32.299805	-42.863842
32.972717	-43.899429
33.645630	-42.588852
34.318542	-43.020130
34.991455	-42.639664
35.664368	-43.465847
36.337280	-43.089573
37.010193	-42.460018
37.683105	-42.618050
38.356018	-44.569717
39.028931	-43.317497
39.701843	-43.573818
40.374756	-43.314007
41.047668	-42.589302
41.720581	-42.711048
42.393494	-43.267002
43.066406	-43.015858
43.739319	-43.388981
44.412231	-42.829731
45.085144	-44.128082
45.758057	-43.192734
46.430969	-44.133709
47.103882	-42.862854
47.776794	-42.672337
48.449707	-42.548237
49.122620	-44.390541
49.795532	-43.330109
50.468445	-43.432323
51.141357	-42.805908
51.814270	-42.711117
52.487183	-42.068909
53.160095	-42.592102
53.833008	-42.771297
54.505920	-42.550575
55.178833	-42.034004
55.851746	-43.736767
56.524658	-42.678463
57.197571	-43.012436
57.870483	-43.264336
58.543396	-42.316509
59.216309	-42.079590
59.889221	-43.131855
60.562134	-42.275341
61.235046	-42.747585
61.907959	-44.243687
62.580872	-43.316719
63.253784	-42.149715
63.926697	-43.018421
64.599609	-44.125797
65.272522	-42.056000
65.945435	-41.527538
66.618347	-41.420242
67.291260	-42.763119
67.964172	-42.279911
68.637085	-42.549610
69.309998	-42.742939
69.982910	-43.248550
70.655823	-43.279766
71.328735	-43.780254
72.001648	-42.264793
72.674561	-42.819611
73.347473	-43.263527
74.020386	-42.462757
74.693298	-42.749161
75.366211	-42.821472
76.039124	-43.818481
76.712036	-43.544781
77.384949	-42.525059
78.057861	-42.943146
78.730774	-43.042007
79.403687	-43.963779
80.076599	-43.013771
80.749512	-42.966309
81.422424	-44.108620
82.095337	-43.168159
82.768250	-43.068611
83.441162	-43.545071
84.114075	-42.742744
84.786987	-42.342129
85.459900	-42.472576
86.132812	-42.907658
86.805725	-42.687191
87.478638	-42.929989
88.151550	-41.656189
88.824463	-42.102192
89.497375	-41.859104
90.170288	-42.653019
90.843201	-42.422207
91.516113	-42.395832
92.189026	-43.943302
92.861938	-43.023136
93.534851	-43.154186
94.207764	-43.258110
94.880676	-43.798458
95.553589	-42.814350
96.226501	-43.273323
96.899414	-42.762325
97.572327	-43.451382
98.245239	-44.519855
98.918152	-43.886589
99.591064	-43.604130
100.263977	-42.425919
100.936890	-42.671310
101.609802	-42.326740
102.282715	-42.606567
102.955627	-41.466763
103.628540	-43.048512
104.301453	-43.667736
104.974365	-43.495556
105.647278	-42.512997
106.320190	-42.289307
106.993103	-42.775223
107.666016	-43.879227
108.338928	-43.047710
109.011841	-42.510265
109.684753	-42.962219
110.357666	-43.209934
111.030579	-42.944973
111.703491	-44.041687
112.376404	-42.976833
113.049316	-42.855988
113.722229	-42.318954
114.395142	-42.604729
115.068054	-42.715481
115.740967	-41.999874
116.413879	-42.006191
117.086792	-42.492657
117.759705	-43.855755
118.432617	-41.922066
119.105530	-42.799255
119.778442	-41.944790
120.451355	-42.739258
121.124268	-42.171719
121.797180	-42.388611
122.470093	-42.067558
123.143005	-42.090714
123.815918	-42.188061
124.488831	-42.539223
125.161743	-43.620964
125.834656	-42.974049
126.507568	-43.315559
127.180481	-43.024311
127.853394	-42.416935
128.526306	-42.324154
129.199219	-43.719639
129.872131	-43.545658
130.545044	-43.106293
131.217957	-42.956497
131.890869	-42.574100
132.563782	-42.596413
133.236694	-42.727982
133.909607	-42.711430
134.582520	-43.254021
135.255432	-42.576180
135.928345	-41.966702
136.601257	-43.296543
137.274170	-43.702179
137.947083	-43.110600
138.619995	-43.268238
139.292908	-42.324524
139.965820	-43.145325
140.638733	-42.467087
141.311646	-42.476463
141.984558	-42.626175
142.657471	-42.383175
143.330383	-43.237286
144.003296	-43.311935
144.676208	-42.680813
145.349121	-41.790428
146.022034	-42.173534
146.694946	-43.406197
147.367859	-43.505623
148.040771	-43.152153
148.713684	-43.433777
149.386597	-42.625324
150.059509	-43.317318
150.732422	-42.173405
151.405334	-43.123112
152.078247	-42.994846
152.751160	-44.101540
153.424072	-42.501354
154.096985	-43.417450
154.769897	-43.942272
155.442810	-43.095654
156.115723	-43.889061
156.788635	-42.542526
157.461548	-42.309719
158.134460	-43.286621
158.807373	-42.801960
159.480286	-42.093208
160.153198	-43.695694
160.826111	-43.263660
161.499023	-42.919727
162.171936	-42.751926
162.844849	-41.452404
163.517761	-42.764626
164.190674	-42.912273
164.863586	-43.347443
165.536499	-43.459961
166.209412	-42.907475
166.882324	-42.301594
167.555237	-43.737225
168.228149	-43.614155
168.901062	-42.795414
169.573975	-42.903900
170.246887	-43.112339
170.919800	-42.859478
171.592712	-42.339355
172.265625	-42.680885
172.938538	-43.606522
173.611450	-42.908363
174.284363	-43.855236
174.957275	-42.325378
175.630188	-43.460197
176.303101	-41.654526
176.976013	-42.982143
177.648926	-43.509136
178.321838	-42.621017
178.994751	-41.919163
179.667664	-42.027699
180.340576	-42.176888
181.013489	-43.038914
181.686401	-42.843887
182.359314	-43.654514
183.032227	-42.573723
183.705139	-41.829548
184.378052	-41.783348
185.050964	-42.400272
185.723877	-43.180401
186.396790	-42.894554
187.069702	-42.766537
187.742615	-43.570263
188.415527	-42.835106
189.088440	-42.171501
189.761353	-43.309685
190.434265	-42.231335
191.107178	-43.405003
191.780090	-43.145672
192.453003	-42.383858
193.125916	-43.654617
193.798828	-43.167297
194.471741	-42.534374
195.144653	-42.239285
195.817566	-43.519493
196.490479	-42.676872
197.163391	-41.928352
197.836304	-42.601833
198.509216	-42.014343
199.182129	-41.735062
199.855042	-43.567196
200.527954	-43.451298
201.200867	-43.019638
201.873779	-43.211540
202.546692	-43.496880
203.219604	-43.142914
203.892517	-44.718079
204.565430	-44.282291
205.238342	-42.143139
205.911255	-42.174774
206.584167	-42.718987
207.257080	-42.527504
207.929993	-42.681591
208.602905	-42.517475
209.275818	-43.112137
