Frequency (Hz)	Level (dB)
0.488281	-103.614677
0.976562	-104.148628
1.464844	-104.101936
1.953125	-103.978874
2.441406	-103.440536
2.929688	-102.494598
3.417969	-101.712601
3.906250	-101.289078
4.394531	-100.974937
4.882812	-103.444839
5.371094	-100.368721
5.859375	-101.609337
6.347656	-96.473419
6.835938	-93.690529
7.324219	-93.139969
7.812500	-97.028290
8.300781	-98.346710
8.789062	-98.481766
9.277344	-99.608002
9.765625	-93.534370
10.253906	-95.333488
10.742188	-95.958153
11.230469	-89.576141
11.718750	-91.153786
12.207031	-94.210358
12.695312	-88.262878
13.183594	-86.655342
13.671875	-88.742065
14.160156	-91.190727
14.648438	-89.125862
15.136719	-89.513855
15.625000	-92.170967
16.113281	-92.443230
16.601562	-94.007172
17.089844	-96.372124
17.578125	-92.465385
18.066406	-86.277046
18.554688	-92.054657
19.042969	-86.708778
19.531250	-98.145119
20.019531	-87.612083
20.507812	-89.282822
20.996094	-83.399841
21.484375	-84.104836
21.972656	-85.765015
22.460938	-88.507744
22.949219	-96.881111
23.437500	-93.000725
23.925781	-93.861298
24.414062	-94.575531
24.902344	-85.309181
25.390625	-93.530746
25.878906	-89.339470
26.367188	-87.476173
26.855469	-90.430374
27.343750	-91.169563
27.832031	-87.841934
28.320312	-96.560928
28.808594	-86.442238
29.296875	-86.687164
29.785156	-82.633415
30.273438	-89.759430
30.761719	-88.526138
31.250000	-83.742691
31.738281	-84.406273
32.226562	-91.206062
32.714844	-90.215660
33.203125	-89.834747
33.691406	-92.265518
34.179688	-88.532364
34.667969	-82.839935
35.156250	-85.979721
35.644531	-93.767685
36.132812	-86.889351
36.621094	-90.266800
37.109375	-85.104584
37.597656	-81.550568
38.085938	-95.780235
38.574219	-82.236916
39.062500	-88.384476
39.550781	-87.452225
40.039062	-89.193176
40.527344	-87.340515
41.015625	-85.083107
41.503906	-90.542343
41.992188	-83.956917
42.480469	-86.013474
42.968750	-92.266693
43.457031	-87.131378
43.945312	-83.991814
44.433594	-89.096313
44.921875	-86.647110
45.410156	-82.780853
45.898438	-83.354195
46.386719	-85.972961
46.875000	-86.326721
47.363281	-86.210037
47.851562	-83.628326
48.339844	-87.105690
48.828125	-91.893997
49.316406	-86.649887
49.804688	-82.825584
50.292969	-87.336212
50.781250	-92.466377
51.269531	-86.484505
51.757812	-86.211861
52.246094	-84.828285
52.734375	-83.777397
53.222656	-85.959137
53.710938	-85.155983
54.199219	-82.021889
54.687500	-91.518784
55.175781	-80.834320
55.664062	-83.115257
56.152344	-85.621033
56.640625	-83.286896
57.128906	-79.879784
57.617188	-83.634933
58.105469	-86.897072
58.593750	-81.230972
59.082031	-85.729736
59.570312	-83.149979
60.058594	-84.339882
60.546875	-78.978889
61.035156	-80.121681
61.523438	-81.341949
62.011719	-78.105087
62.500000	-80.219810
62.988281	-75.220398
63.476562	-81.816933
63.964844	-78.445190
64.453125	-90.977486
64.941406	-82.511337
65.429688	-90.462418
65.917969	-86.109596
66.406250	-87.020653
66.894531	-87.509422
67.382812	-81.958328
67.871094	-83.022255
68.359375	-85.464767
68.847656	-87.547417
69.335938	-89.547150
69.824219	-83.090874
70.312500	-80.718216
70.800781	-78.787254
71.289062	-84.219261
71.777344	-81.712051
72.265625	-85.491592
72.753906	-80.867111
73.242188	-81.816612
73.730469	-78.629349
74.218750	-77.508110
74.707031	-84.524254
75.195312	-85.950317
75.683594	-85.221001
76.171875	-84.115417
76.660156	-88.282906
77.148438	-83.257027
77.636719	-81.605255
78.125000	-85.527740
78.613281	-83.916092
79.101562	-91.042313
79.589844	-85.400726
80.078125	-86.562889
80.566406	-93.828819
81.054688	-84.141731
81.542969	-83.855125
82.031250	-84.831558
82.519531	-82.925339
83.007812	-83.376991
83.496094	-79.665283
83.984375	-82.863113
84.472656	-83.921730
84.960938	-79.371002
85.449219	-80.293495
85.937500	-79.928955
86.425781	-82.531227
86.914062	-79.713707
87.402344	-89.101410
87.890625	-83.417160
88.378906	-84.890060
88.867188	-88.983521
89.355469	-85.516617
89.843750	-81.930397
90.332031	-82.839569
90.820312	-84.089279
91.308594	-82.816292
91.796875	-82.098343
92.285156	-84.356468
92.773438	-84.091759
93.261719	-82.567528
93.750000	-79.201706
94.238281	-85.225258
94.726562	-89.973145
95.214844	-90.733284
95.703125	-86.284294
96.191406	-89.148415
96.679688	-81.617439
97.167969	-80.050163
97.656250	-85.891685
98.144531	-78.531754
98.632812	-82.127426
99.121094	-84.992020
99.609375	-79.737610
100.097656	-79.064415
100.585938	-78.008858
101.074219	-85.813332
101.562500	-78.623817
102.050781	-80.259315
102.539062	-77.337952
103.027344	-79.720871
103.515625	-83.343452
104.003906	-84.501366
104.492188	-79.368210
104.980469	-74.508194
105.468750	-81.133583
105.957031	-80.209015
106.445312	-81.319031
106.933594	-83.200111
107.421875	-80.590843
107.910156	-85.718246
108.398438	-86.985329
108.886719	-81.324905
109.375000	-83.365456
109.863281	-77.428001
110.351562	-76.527367
110.839844	-77.615669
111.328125	-80.626640
111.816406	-83.360207
112.304688	-83.828323
112.792969	-87.596123
113.281250	-80.637535
113.769531	-77.042816
114.257812	-79.460274
114.746094	-81.847534
115.234375	-81.555313
115.722656	-84.253021
116.210938	-80.050850
116.699219	-79.841309
117.187500	-78.281319
117.675781	-81.316536
118.164062	-77.060623
118.652344	-77.415550
119.140625	-82.401550
119.628906	-74.596146
120.117188	-73.238014
120.605469	-70.133362
121.093750	-82.009766
121.582031	-83.686882
122.070312	-83.018906
122.558594	-74.738091
123.046875	-85.191475
123.535156	-81.603783
124.023438	-76.448944
124.511719	-79.808617
125.000000	-79.198647
125.488281	-85.542091
125.976562	-77.670853
126.464844	-80.339455
126.953125	-86.707794
127.441406	-81.009468
127.929688	-78.495079
128.417969	-83.356537
128.906250	-70.767998
129.394531	-79.700562
129.882812	-84.044899
130.371094	-79.504875
130.859375	-78.073273
131.347656	-78.562027
131.835938	-84.028282
132.324219	-85.871796
132.812500	-86.000969
133.300781	-81.399498
133.789062	-77.779732
134.277344	-86.751556
134.765625	-80.841988
135.253906	-80.659668
135.742188	-71.818336
136.230469	-79.599373
136.718750	-86.954208
137.207031	-81.731544
137.695312	-80.686874
138.183594	-79.086143
138.671875	-91.177605
139.160156	-83.621681
139.648438	-74.568672
140.136719	-79.886925
140.625000	-84.964615
141.113281	-84.019928
141.601562	-75.760765
142.089844	-74.960693
142.578125	-78.941841
143.066406	-77.046539
143.554688	-76.373795
144.042969	-72.618820
144.531250	-82.514320
145.019531	-75.147629
145.507812	-77.467377
145.996094	-80.581917
146.484375	-73.322205
146.972656	-79.656670
147.460938	-74.899559
147.949219	-83.514786
148.437500	-76.000076
148.925781	-73.916878
149.414062	-78.979004
149.902344	-75.964752
150.390625	-76.291626
150.878906	-79.282455
151.367188	-76.780182
151.855469	-74.117851
152.343750	-83.942696
152.832031	-78.196716
