Frequency (Hz)	Level (dB)
0.488281	-92.953697
0.976562	-92.982559
1.464844	-92.912048
1.953125	-92.985703
2.441406	-93.191246
2.929688	-92.697517
3.417969	-92.898758
3.906250	-92.168190
4.394531	-92.264748
4.882812	-92.259880
5.371094	-92.359718
5.859375	-92.592010
6.347656	-90.644020
6.835938	-91.827927
7.324219	-91.740410
7.812500	-92.559929
8.300781	-93.250145
8.789062	-92.792152
9.277344	-91.982277
9.765625	-91.984619
10.253906	-90.994873
10.742188	-90.334846
11.230469	-90.168579
11.718750	-89.917282
12.207031	-89.675446
12.695312	-88.892784
13.183594	-88.803810
13.671875	-88.094101
14.160156	-88.135399
14.648438	-89.319870
15.136719	-89.078896
15.625000	-89.121788
16.113281	-88.532417
16.601562	-89.227554
17.089844	-90.495300
17.578125	-88.676735
18.066406	-88.114967
18.554688	-88.117867
19.042969	-86.886551
19.531250	-89.641342
20.019531	-88.182091
20.507812	-87.267006
20.996094	-86.496719
21.484375	-85.953125
21.972656	-86.285332
22.460938	-84.702484
22.949219	-86.052505
23.437500	-85.771667
23.925781	-84.581055
24.414062	-86.681091
24.902344	-86.352058
25.390625	-87.205368
25.878906	-87.312103
26.367188	-86.061722
26.855469	-85.254402
27.343750	-85.363556
27.832031	-85.169434
28.320312	-84.987633
28.808594	-85.082733
29.296875	-86.944229
29.785156	-83.985779
30.273438	-85.025787
30.761719	-85.611496
31.250000	-85.594063
31.738281	-87.268814
32.226562	-86.904190
32.714844	-88.562813
33.203125	-87.017746
33.691406	-88.134079
34.179688	-86.148148
34.667969	-84.880753
35.156250	-84.981873
35.644531	-85.887749
36.132812	-86.523636
36.621094	-84.331818
37.109375	-86.307442
37.597656	-85.629333
38.085938	-85.140442
38.574219	-84.065468
39.062500	-86.409149
39.550781	-87.621971
40.039062	-85.770660
40.527344	-84.516129
41.015625	-84.653038
41.503906	-87.377579
41.992188	-85.510139
42.480469	-83.872055
42.968750	-85.177513
43.457031	-85.852219
43.945312	-84.376984
44.433594	-83.953423
44.921875	-84.814758
45.410156	-85.290253
45.898438	-84.310272
46.386719	-82.789047
46.875000	-85.126602
47.363281	-84.568970
47.851562	-84.682732
48.339844	-83.944229
48.828125	-84.829086
49.316406	-84.460228
49.804688	-83.745407
50.292969	-83.607826
50.781250	-83.130112
51.269531	-82.329811
51.757812	-82.414566
52.246094	-83.884636
52.734375	-82.155983
53.222656	-82.579796
53.710938	-82.158096
54.199219	-82.574440
54.687500	-82.125275
55.175781	-81.232178
55.664062	-81.718468
56.152344	-81.891640
56.640625	-84.066383
57.128906	-80.593109
57.617188	-82.322220
58.105469	-80.667679
58.593750	-81.552132
59.082031	-82.714584
59.570312	-80.494118
60.058594	-80.214844
60.546875	-79.272171
61.035156	-80.183578
61.523438	-80.360092
62.011719	-81.094116
62.500000	-79.246445
62.988281	-79.786484
63.476562	-81.072342
63.964844	-80.914940
64.453125	-82.502075
64.941406	-85.275467
65.429688	-84.720886
65.917969	-84.177078
66.406250	-82.656357
66.894531	-83.954918
67.382812	-83.507080
67.871094	-82.754364
68.359375	-84.356194
68.847656	-83.981758
69.335938	-81.290077
69.824219	-81.838921
70.312500	-81.604294
70.800781	-82.096397
71.289062	-82.993660
71.777344	-80.967529
72.265625	-80.859337
72.753906	-81.821274
73.242188	-82.924034
73.730469	-80.978996
74.218750	-80.175499
74.707031	-80.569237
75.195312	-80.751472
75.683594	-80.419182
76.171875	-84.185432
76.660156	-83.540543
77.148438	-81.079239
77.636719	-80.828484
78.125000	-82.294960
78.613281	-84.144753
79.101562	-84.271545
79.589844	-83.598694
80.078125	-83.732834
80.566406	-83.345314
81.054688	-84.125191
81.542969	-83.503448
82.031250	-80.995789
82.519531	-82.632812
83.007812	-84.404663
83.496094	-81.874359
83.984375	-81.984650
84.472656	-81.352318
84.960938	-81.539444
85.449219	-82.417671
85.937500	-80.939026
86.425781	-81.035286
86.914062	-80.745132
87.402344	-80.766327
87.890625	-81.260071
88.378906	-81.539993
88.867188	-82.535416
89.355469	-83.940331
89.843750	-81.114975
90.332031	-82.864342
90.820312	-80.492287
91.308594	-82.247665
91.796875	-82.103592
92.285156	-80.440437
92.773438	-81.583405
93.261719	-82.389809
93.750000	-81.500252
94.238281	-82.196335
94.726562	-81.597641
95.214844	-81.828331
95.703125	-81.761688
96.191406	-81.128105
96.679688	-79.654984
97.167969	-81.159058
97.656250	-84.075714
98.144531	-80.362831
98.632812	-81.731430
99.121094	-81.544930
99.609375	-80.097466
100.097656	-80.420914
100.585938	-82.764153
101.074219	-82.756119
101.562500	-80.150978
102.050781	-79.358063
102.539062	-80.918694
103.027344	-82.176567
103.515625	-79.786102
104.003906	-81.257370
104.492188	-81.118698
104.980469	-81.422905
105.468750	-81.454521
105.957031	-80.443291
106.445312	-81.308052
106.933594	-80.157913
107.421875	-80.960762
107.910156	-81.934669
108.398438	-80.981628
108.886719	-80.873138
109.375000	-79.457649
109.863281	-80.671913
110.351562	-79.915977
110.839844	-79.217377
111.328125	-80.285889
111.816406	-81.072350
112.304688	-80.229347
112.792969	-79.660439
113.281250	-78.987854
113.769531	-79.497322
114.257812	-79.856430
114.746094	-80.454636
115.234375	-80.146545
115.722656	-80.350502
116.210938	-80.083687
116.699219	-78.670403
117.187500	-80.044632
117.675781	-80.132774
118.164062	-80.070885
118.652344	-77.591240
119.140625	-79.872398
119.628906	-78.763893
120.117188	-77.535728
120.605469	-71.478966
121.093750	-76.858986
121.582031	-80.932198
122.070312	-79.485695
122.558594	-78.189659
123.046875	-79.598053
123.535156	-79.232941
124.023438	-78.815659
124.511719	-80.859520
125.000000	-78.596680
125.488281	-79.017067
125.976562	-79.996376
126.464844	-79.242149
126.953125	-81.155807
127.441406	-80.023125
127.929688	-78.850174
128.417969	-79.975815
128.906250	-77.713181
129.394531	-78.725983
129.882812	-78.360138
130.371094	-76.549072
130.859375	-80.281464
131.347656	-78.741089
131.835938	-79.772507
132.324219	-80.325356
132.812500	-78.156258
133.300781	-79.915283
133.789062	-77.678268
134.277344	-79.067848
134.765625	-79.016296
135.253906	-78.516403
135.742188	-76.599159
136.230469	-78.544456
136.718750	-78.720871
137.207031	-79.372833
137.695312	-79.874138
138.183594	-78.062614
138.671875	-78.951088
139.160156	-81.052040
139.648438	-77.625298
140.136719	-77.489342
140.625000	-77.839882
141.113281	-78.607567
141.601562	-78.292427
142.089844	-77.296494
142.578125	-77.452881
143.066406	-77.838829
143.554688	-77.926842
144.042969	-76.306953
144.531250	-78.463074
145.019531	-77.449799
145.507812	-77.967064
145.996094	-77.391739
146.484375	-77.442253
146.972656	-78.332672
147.460938	-77.384247
147.949219	-76.313232
148.437500	-76.381744
148.925781	-76.347450
149.414062	-75.561043
149.902344	-75.684265
150.390625	-76.737549
150.878906	-76.105301
151.367188	-79.216362
151.855469	-78.118347
152.343750	-77.012802
152.832031	-77.508842
153.320312	-79.390732
153.808594	-76.567871
154.296875	-76.298897
154.785156	-75.492020
155.273438	-76.510147
155.761719	-75.704109
156.250000	-75.553696
156.738281	-78.177521
157.226562	-77.281143
157.714844	-77.463890
158.203125	-76.011024
158.691406	-75.579094
159.179688	-76.642029
159.667969	-77.579742
160.156250	-75.206406
160.644531	-76.126640
161.132812	-77.340706
161.621094	-76.883751
162.109375	-75.289070
162.597656	-74.038879
163.085938	-78.307167
163.574219	-77.196594
164.062500	-75.608803
164.550781	-75.558426
165.039062	-76.174751
165.527344	-77.116844
166.015625	-74.739677
166.503906	-74.186806
166.992188	-73.510071
167.480469	-75.525475
167.968750	-75.505081
168.457031	-76.326797
168.945312	-77.599571
169.433594	-75.118622
169.921875	-74.962608
170.410156	-74.638535
170.898438	-75.380936
171.386719	-75.013458
171.875000	-75.631210
172.363281	-74.479691
172.851562	-74.438736
173.339844	-73.789818
173.828125	-76.178932
174.316406	-73.438919
174.804688	-74.153580
175.292969	-74.209831
175.781250	-74.908760
176.269531	-74.340660
176.757812	-73.508049
177.246094	-74.310753
177.734375	-73.543564
178.222656	-73.069252
178.710938	-73.781059
179.199219	-72.811615
179.687500	-73.439308
180.175781	-71.338013
180.664062	-72.993736
181.152344	-73.384407
181.640625	-74.943077
182.128906	-74.400673
182.617188	-73.125237
183.105469	-73.124512
183.593750	-73.553787
184.082031	-72.905319
184.570312	-71.814491
185.058594	-72.286827
185.546875	-71.272209
186.035156	-73.227814
186.523438	-72.625603
187.011719	-73.781525
187.500000	-74.478073
187.988281	-70.980179
188.476562	-72.197243
188.964844	-72.301697
189.453125	-72.917595
189.941406	-70.378006
190.429688	-71.804283
190.917969	-71.048302
191.406250	-71.477135
191.894531	-71.385384
192.382812	-69.684868
192.871094	-71.034462
193.359375	-70.666321
193.847656	-69.873940
194.335938	-69.488548
194.824219	-68.594666
195.312500	-67.626434
195.800781	-69.475121
196.289062	-72.021927
196.777344	-70.892143
197.265625	-70.441093
197.753906	-71.371658
198.242188	-69.814888
198.730469	-69.295319
199.218750	-68.816841
199.707031	-68.584221
200.195312	-68.178108
200.683594	-68.152458
201.171875	-67.955269
201.660156	-68.933258
202.148438	-66.772728
202.636719	-66.117561
203.125000	-68.637161
203.613281	-68.621605
204.101562	-66.442924
204.589844	-67.419991
205.078125	-68.189987
205.566406	-65.939453
206.054688	-66.192551
206.542969	-65.895477
207.031250	-65.238960
207.519531	-67.660767
208.007812	-65.631783
208.496094	-66.946625
208.984375	-66.424774
209.472656	-66.562508
209.960938	-64.478806
210.449219	-65.494522
210.937500	-65.125969
211.425781	-64.609558
211.914062	-64.625961
212.402344	-63.929935
212.890625	-65.160141
213.378906	-61.101147
213.867188	-62.810600
214.355469	-63.806007
214.843750	-64.233940
215.332031	-62.427887
215.820312	-64.641487
216.308594	-63.415672
216.796875	-62.816967
217.285156	-60.556831
217.773438	-63.772758
218.261719	-63.511238
218.750000	-63.787346
219.238281	-63.633739
219.726562	-61.904514
220.214844	-61.460258
220.703125	-61.739666
221.191406	-62.635971
221.679688	-63.513618
222.167969	-63.476177
222.656250	-62.652458
223.144531	-61.958725
223.632812	-60.497364
224.121094	-61.960876
224.609375	-61.933151
225.097656	-62.962090
225.585938	-62.875057
226.074219	-63.187878
226.562500	-63.145027
227.050781	-63.253288
227.539062	-62.095001
228.027344	-63.588619
228.515625	-63.061859
229.003906	-63.210331
229.492188	-62.726376
229.980469	-63.516174
230.468750	-62.923031
230.957031	-64.297905
231.445312	-63.778419
231.933594	-62.440762
232.421875	-63.438976
232.910156	-64.211159
233.398438	-62.924294
233.886719	-62.913948
234.375000	-62.890404
234.863281	-64.815948
235.351562	-65.204826
235.839844	-65.369972
236.328125	-66.691986
236.816406	-66.348038
237.304688	-64.780014
237.792969	-67.426987
238.281250	-67.834412
238.769531	-66.639198
239.257812	-65.821213
239.746094	-65.442307
240.234375	-65.575821
240.722656	-66.345123
241.210938	-65.499870
241.699219	-67.520187
242.187500	-66.533638
242.675781	-66.201950
243.164062	-69.404678
243.652344	-66.115318
244.140625	-67.398773
244.628906	-65.875748
245.117188	-67.132126
245.605469	-68.049263
246.093750	-68.491127
246.582031	-67.621231
