Frequency (Hz)	Level (dB)
0.488281	-94.920166
0.976562	-94.338371
1.464844	-94.951775
1.953125	-94.461777
2.441406	-94.623665
2.929688	-94.423111
3.417969	-93.848991
3.906250	-93.664871
4.394531	-94.632912
4.882812	-95.028877
5.371094	-94.178024
5.859375	-94.234428
6.347656	-92.657005
6.835938	-93.297523
7.324219	-93.393509
7.812500	-93.361061
8.300781	-93.058472
8.789062	-92.453255
9.277344	-91.670090
9.765625	-93.435768
10.253906	-91.470734
10.742188	-89.443420
11.230469	-90.112328
11.718750	-89.350090
12.207031	-90.377167
12.695312	-89.514465
13.183594	-90.667595
13.671875	-90.106659
14.160156	-91.145958
14.648438	-89.584351
15.136719	-90.795074
15.625000	-87.319893
16.113281	-88.576775
16.601562	-88.672684
17.089844	-90.279274
17.578125	-91.596725
18.066406	-88.171463
18.554688	-87.308548
19.042969	-88.339760
19.531250	-89.464195
20.019531	-88.480118
20.507812	-89.221146
20.996094	-88.455338
21.484375	-87.690269
21.972656	-87.559135
22.460938	-87.490891
22.949219	-85.253632
23.437500	-85.173286
23.925781	-86.573082
24.414062	-87.524239
24.902344	-87.412720
25.390625	-87.505753
25.878906	-85.879112
26.367188	-85.444336
26.855469	-87.923531
27.343750	-86.694748
27.832031	-86.930969
28.320312	-86.069702
28.808594	-86.280602
29.296875	-86.526566
29.785156	-84.913918
30.273438	-85.134132
30.761719	-85.796387
31.250000	-85.939812
31.738281	-86.860725
32.226562	-86.797501
32.714844	-87.056808
33.203125	-86.145622
33.691406	-86.967270
34.179688	-87.450623
34.667969	-85.286674
35.156250	-85.922821
35.644531	-85.655960
36.132812	-85.726425
36.621094	-86.431404
37.109375	-85.459946
37.597656	-85.455788
38.085938	-87.535339
38.574219	-87.283104
39.062500	-85.779503
39.550781	-85.634369
40.039062	-85.088081
40.527344	-84.220695
41.015625	-86.241661
41.503906	-86.252159
41.992188	-86.815796
42.480469	-84.770569
42.968750	-84.436226
43.457031	-86.258057
43.945312	-87.011421
44.433594	-86.686241
44.921875	-85.233711
45.410156	-84.526115
45.898438	-85.738190
46.386719	-85.198593
46.875000	-85.218254
47.363281	-83.870117
47.851562	-84.892250
48.339844	-85.991074
48.828125	-86.231926
49.316406	-84.555397
49.804688	-84.092896
50.292969	-83.239021
50.781250	-82.646950
51.269531	-81.796082
51.757812	-81.846191
52.246094	-83.529137
52.734375	-83.243408
53.222656	-83.253807
53.710938	-82.815872
54.199219	-82.392982
54.687500	-82.744904
55.175781	-82.566780
55.664062	-82.942490
56.152344	-82.140785
56.640625	-81.002930
57.128906	-82.189674
57.617188	-79.749687
58.105469	-82.120346
58.593750	-79.584564
59.082031	-80.655823
59.570312	-79.979652
60.058594	-81.398117
60.546875	-80.364662
61.035156	-81.891151
61.523438	-81.081596
62.011719	-78.811127
62.500000	-80.225113
62.988281	-79.695282
63.476562	-80.450867
63.964844	-81.679466
64.453125	-82.136032
64.941406	-83.012375
65.429688	-83.037682
65.917969	-82.350609
66.406250	-81.617401
66.894531	-82.424599
67.382812	-82.872635
67.871094	-83.381821
68.359375	-83.648361
68.847656	-83.081093
69.335938	-80.337227
69.824219	-81.067268
70.312500	-81.057549
70.800781	-82.446617
71.289062	-82.398659
71.777344	-81.776733
72.265625	-82.278961
72.753906	-81.455864
73.242188	-82.700012
73.730469	-80.552330
74.218750	-80.203590
74.707031	-80.400078
75.195312	-81.386353
75.683594	-81.643822
76.171875	-81.081276
76.660156	-82.401802
77.148438	-80.980927
77.636719	-79.714195
78.125000	-80.398338
78.613281	-81.485550
79.101562	-82.198219
79.589844	-81.931984
80.078125	-81.760750
80.566406	-80.832199
81.054688	-82.561615
81.542969	-83.541443
82.031250	-82.328514
82.519531	-80.655792
83.007812	-80.354591
83.496094	-81.613174
83.984375	-82.038803
84.472656	-80.340462
84.960938	-80.596230
85.449219	-81.311699
85.937500	-81.035141
86.425781	-79.503319
86.914062	-80.916084
87.402344	-79.902496
87.890625	-79.896713
88.378906	-79.849655
88.867188	-80.105545
89.355469	-81.066704
89.843750	-80.818001
90.332031	-80.308357
90.820312	-81.205345
91.308594	-81.985268
91.796875	-81.619766
92.285156	-79.748383
92.773438	-81.388062
93.261719	-80.459984
93.750000	-80.076149
94.238281	-81.159531
94.726562	-81.129280
95.214844	-81.166656
95.703125	-82.061340
96.191406	-80.746376
96.679688	-78.690041
97.167969	-80.297684
97.656250	-82.327477
98.144531	-79.487892
98.632812	-81.035851
99.121094	-79.675743
99.609375	-78.710625
100.097656	-78.932884
100.585938	-80.639420
101.074219	-81.137131
101.562500	-80.079369
102.050781	-78.612183
102.539062	-78.941422
103.027344	-79.338531
103.515625	-78.709969
104.003906	-80.206131
104.492188	-80.131615
104.980469	-80.499329
105.468750	-79.130928
105.957031	-78.807610
106.445312	-80.067558
106.933594	-78.884834
107.421875	-80.364143
107.910156	-80.160019
108.398438	-80.289215
108.886719	-79.331978
109.375000	-78.482468
109.863281	-79.586494
110.351562	-79.395012
110.839844	-79.015572
111.328125	-79.195129
111.816406	-78.941986
112.304688	-79.773140
112.792969	-80.198387
113.281250	-78.378082
113.769531	-80.340065
114.257812	-78.994087
114.746094	-78.657387
115.234375	-79.280136
115.722656	-78.056572
116.210938	-80.095612
116.699219	-78.251686
117.187500	-79.252914
117.675781	-80.293892
118.164062	-79.653923
118.652344	-78.167671
119.140625	-79.613800
119.628906	-78.281189
120.117188	-77.587624
120.605469	-71.305344
121.093750	-77.104828
121.582031	-78.569008
122.070312	-77.628296
122.558594	-77.629646
123.046875	-78.336594
123.535156	-78.084724
124.023438	-78.933678
124.511719	-79.438591
125.000000	-77.795937
125.488281	-77.505753
125.976562	-79.442451
126.464844	-77.698257
126.953125	-79.719849
127.441406	-78.855713
127.929688	-78.554062
128.417969	-79.918564
128.906250	-77.131561
129.394531	-77.806923
129.882812	-77.376839
130.371094	-75.437859
130.859375	-80.172935
131.347656	-78.095741
131.835938	-78.512276
132.324219	-79.188034
132.812500	-76.982918
133.300781	-79.293846
133.789062	-76.598831
134.277344	-77.817192
134.765625	-78.234596
135.253906	-77.294861
135.742188	-76.497902
136.230469	-77.586548
136.718750	-77.408249
137.207031	-78.930092
137.695312	-78.695160
138.183594	-76.829453
138.671875	-77.351906
139.160156	-79.229851
139.648438	-75.466171
140.136719	-76.248726
140.625000	-75.908142
141.113281	-77.872528
141.601562	-77.407135
142.089844	-76.216072
142.578125	-77.502472
143.066406	-76.751694
143.554688	-76.915787
144.042969	-75.985001
144.531250	-77.117050
145.019531	-77.265427
145.507812	-77.466805
145.996094	-77.318130
146.484375	-76.700333
146.972656	-77.232590
147.460938	-76.995888
147.949219	-76.435173
148.437500	-76.546707
148.925781	-75.001602
149.414062	-75.010323
149.902344	-75.110497
150.390625	-76.271500
150.878906	-77.122139
151.367188	-78.123894
151.855469	-76.929367
152.343750	-76.624908
152.832031	-74.901901
153.320312	-77.307373
153.808594	-76.297966
154.296875	-76.029938
154.785156	-74.322281
155.273438	-75.680969
155.761719	-73.966156
156.250000	-73.926064
156.738281	-75.333321
157.226562	-74.664955
157.714844	-75.797508
158.203125	-74.425453
158.691406	-73.966522
159.179688	-76.021591
159.667969	-75.044838
160.156250	-73.218071
160.644531	-74.106895
161.132812	-75.415604
161.621094	-74.643707
162.109375	-73.237053
162.597656	-72.367699
163.085938	-76.010796
163.574219	-75.892540
164.062500	-74.134438
164.550781	-74.318817
165.039062	-75.427612
165.527344	-75.755714
166.015625	-72.427086
166.503906	-72.720093
166.992188	-72.215408
167.480469	-74.708160
167.968750	-73.775131
168.457031	-75.717331
168.945312	-75.156654
169.433594	-74.180466
169.921875	-73.653824
170.410156	-72.980957
170.898438	-74.725014
171.386719	-74.812057
171.875000	-75.170670
172.363281	-73.013390
172.851562	-73.048988
173.339844	-72.387909
173.828125	-74.628670
174.316406	-72.249901
174.804688	-72.320206
175.292969	-73.300049
175.781250	-73.912582
176.269531	-73.556091
176.757812	-72.856049
177.246094	-72.668953
177.734375	-71.600838
178.222656	-71.871437
178.710938	-72.701370
179.199219	-72.492348
179.687500	-72.336288
180.175781	-70.938004
180.664062	-71.950195
181.152344	-72.478043
181.640625	-73.464806
182.128906	-73.143379
182.617188	-71.463013
183.105469	-71.409561
183.593750	-71.734550
184.082031	-71.604774
184.570312	-70.651665
185.058594	-70.562080
185.546875	-70.389526
186.035156	-71.490128
186.523438	-71.683304
187.011719	-72.502930
187.500000	-73.022804
187.988281	-70.343468
188.476562	-71.389427
188.964844	-71.592041
189.453125	-71.987656
189.941406	-68.603264
190.429688	-71.075783
190.917969	-70.528160
191.406250	-70.542992
191.894531	-70.228325
192.382812	-68.661163
192.871094	-69.973045
193.359375	-69.691101
193.847656	-68.671745
194.335938	-68.177330
194.824219	-67.351494
195.312500	-66.838997
195.800781	-67.973450
196.289062	-70.632103
196.777344	-70.089561
197.265625	-68.770538
197.753906	-69.652229
198.242188	-68.870544
198.730469	-68.492661
199.218750	-68.276794
199.707031	-67.859566
200.195312	-67.276909
200.683594	-67.044937
201.171875	-66.205200
201.660156	-67.678345
202.148438	-65.990326
202.636719	-64.765694
203.125000	-66.904121
203.613281	-67.706032
204.101562	-65.448799
204.589844	-66.034439
205.078125	-67.131355
205.566406	-64.370537
206.054688	-65.064621
206.542969	-64.656349
207.031250	-64.578079
207.519531	-66.657310
208.007812	-64.549271
208.496094	-65.455185
208.984375	-65.280472
209.472656	-65.082954
209.960938	-63.188038
210.449219	-64.370636
210.937500	-63.553490
211.425781	-63.268173
211.914062	-63.801991
212.402344	-62.917126
212.890625	-63.502148
213.378906	-59.894272
213.867188	-61.423744
214.355469	-62.438904
214.843750	-62.963486
215.332031	-61.451382
215.820312	-62.940201
216.308594	-62.167118
216.796875	-61.665913
217.285156	-58.944382
217.773438	-62.100681
218.261719	-61.841103
218.750000	-61.891712
219.238281	-62.581413
219.726562	-60.716160
220.214844	-60.622803
220.703125	-60.239811
221.191406	-60.569458
221.679688	-61.647167
222.167969	-61.563667
222.656250	-61.956337
223.144531	-60.610558
223.632812	-59.688431
224.121094	-60.750923
224.609375	-60.365932
225.097656	-61.534023
225.585938	-61.110924
226.074219	-61.801807
226.562500	-62.144646
227.050781	-62.150764
227.539062	-61.039303
228.027344	-62.611954
228.515625	-62.159683
229.003906	-62.159676
229.492188	-61.058044
229.980469	-62.733391
230.468750	-61.575150
230.957031	-63.094139
231.445312	-62.943085
231.933594	-61.347534
232.421875	-62.201912
232.910156	-62.839699
233.398438	-61.964920
233.886719	-61.340733
234.375000	-61.680973
234.863281	-63.881145
235.351562	-64.014351
235.839844	-64.570938
236.328125	-65.447006
236.816406	-64.740715
237.304688	-63.572937
237.792969	-66.021751
238.281250	-66.639015
238.769531	-65.455353
239.257812	-65.079475
239.746094	-64.709465
240.234375	-65.543396
240.722656	-64.631554
241.210938	-62.423775
241.699219	-64.778069
242.187500	-64.767746
242.675781	-65.377693
243.164062	-68.538345
243.652344	-64.828041
244.140625	-66.129784
244.628906	-64.795547
245.117188	-66.307709
245.605469	-67.189987
246.093750	-67.245338
246.582031	-66.131783
247.070312	-67.337173
247.558594	-67.929672
248.046875	-69.253784
248.535156	-66.091057
249.023438	-66.821564
249.511719	-69.076950
250.000000	-66.643898
250.488281	-68.041946
250.976562	-68.411697
251.464844	-67.160706
251.953125	-67.435295
252.441406	-69.265526
252.929688	-67.629471
253.417969	-66.508598
253.906250	-68.106651
254.394531	-69.237633
254.882812	-67.276840
255.371094	-66.005020
255.859375	-67.190582
256.347656	-67.809410
256.835938	-69.709892
257.324219	-68.564003
257.812500	-68.591133
258.300781	-68.686050
258.789062	-69.930161
259.277344	-69.623222
259.765625	-70.059113
260.253906	-70.613922
260.742188	-70.417900
261.230469	-69.015205
261.718750	-69.692513
262.207031	-72.787682
262.695312	-69.149460
263.183594	-69.984795
263.671875	-69.949547
264.160156	-71.487297
264.648438	-71.388634
265.136719	-70.447006
265.625000	-69.198402
266.113281	-70.161270
266.601562	-71.129570
267.089844	-69.968491
267.578125	-70.491096
268.066406	-70.726608
268.554688	-68.581863
269.042969	-70.900024
269.531250	-71.274849
270.019531	-71.303879
270.507812	-71.483490
270.996094	-71.266617
271.484375	-71.909309
271.972656	-70.281296
272.460938	-70.844612
272.949219	-72.293533
273.437500	-72.616745
273.925781	-71.761650
274.414062	-71.639839
274.902344	-72.504120
275.390625	-71.764725
275.878906	-70.243896
276.367188	-71.324959
276.855469	-70.349136
277.343750	-71.250549
277.832031	-72.449638
278.320312	-72.332504
278.808594	-71.788017
279.296875	-73.588318
279.785156	-73.230057
280.273438	-73.316643
280.761719	-73.370094
281.250000	-72.379646
281.738281	-73.276596
282.226562	-71.230812
282.714844	-73.491692
283.203125	-71.532471
283.691406	-71.978065
284.179688	-73.371620
284.667969	-72.339668
285.156250	-72.891724
285.644531	-73.036652
286.132812	-71.634628
286.621094	-73.541382
287.109375	-71.966881
287.597656	-73.543282
288.085938	-71.651054
288.574219	-72.716537
289.062500	-72.294823
289.550781	-73.412010
290.039062	-73.291512
290.527344	-71.809570
291.015625	-73.361183
291.503906	-72.329178
291.992188	-72.913963
292.480469	-72.554962
292.968750	-72.603477
293.457031	-72.489037
293.945312	-73.498611
294.433594	-73.150528
294.921875	-73.745087
295.410156	-73.231857
295.898438	-73.793472
296.386719	-75.247246
296.875000	-74.064522
297.363281	-73.534142
297.851562	-75.584923
298.339844	-73.541130
298.828125	-74.194191
299.316406	-74.395126
299.804688	-73.081108
300.292969	-74.626495
300.781250	-74.557068
301.269531	-74.638344
301.757812	-74.005234
302.246094	-74.357582
302.734375	-72.405296
303.222656	-73.894333
303.710938	-74.751640
304.199219	-74.459618
304.687500	-76.049599
305.175781	-75.819550
305.664062	-74.269691
306.152344	-73.614311
306.640625	-72.431023
307.128906	-74.708046
307.617188	-73.912827
308.105469	-73.099823
308.593750	-75.155174
309.082031	-73.652390
309.570312	-73.562958
310.058594	-72.790718
310.546875	-75.781204
311.035156	-73.611092
311.523438	-76.520874
312.011719	-76.476921
312.500000	-72.701363
312.988281	-74.144272
313.476562	-75.299339
313.964844	-72.630524
314.453125	-73.213219
314.941406	-73.578972
315.429688	-73.673134
315.917969	-73.283127
316.406250	-74.743134
316.894531	-73.345894
317.382812	-75.043098
317.871094	-74.875435
318.359375	-73.184761
318.847656	-74.686630
319.335938	-75.601883
319.824219	-74.064529
320.312500	-74.587631
320.800781	-73.970901
321.289062	-75.146095
321.777344	-75.426170
322.265625	-75.265144
322.753906	-74.480118
323.242188	-73.956696
323.730469	-74.636978
324.218750	-74.107544
324.707031	-73.961166
325.195312	-75.608749
325.683594	-75.110100
326.171875	-74.762024
326.660156	-74.842621
327.148438	-74.054947
327.636719	-75.207802
328.125000	-76.314980
328.613281	-74.128166
329.101562	-73.272850
329.589844	-72.335274
