Frequency (Hz)	Level (dB)
0.488281	-68.971230
0.976562	-68.975868
1.464844	-68.963760
1.953125	-68.929665
2.441406	-68.898987
2.929688	-68.940796
3.417969	-68.677788
3.906250	-68.531624
4.394531	-68.705475
4.882812	-68.407448
5.371094	-68.544151
5.859375	-69.728828
6.347656	-66.948448
6.835938	-66.615906
7.324219	-65.903542
7.812500	-64.792931
8.300781	-66.310020
8.789062	-64.049408
9.277344	-64.202232
9.765625	-62.517067
10.253906	-62.988808
10.742188	-61.455738
11.230469	-62.572166
11.718750	-61.691620
12.207031	-58.819229
12.695312	-58.018280
13.183594	-56.792248
13.671875	-56.174099
14.160156	-53.037003
14.648438	-51.280941
15.136719	-50.095150
15.625000	-46.146877
16.113281	-47.903996
16.601562	-47.083229
17.089844	-46.845409
17.578125	-42.264282
18.066406	-44.890965
18.554688	-45.292137
19.042969	-44.009720
19.531250	-44.775139
20.019531	-46.243427
20.507812	-48.360195
20.996094	-49.553345
21.484375	-50.217808
21.972656	-53.818562
22.460938	-52.310253
22.949219	-52.742168
23.437500	-54.181137
23.925781	-51.597858
24.414062	-50.518467
24.902344	-51.381897
25.390625	-51.568264
25.878906	-50.379200
26.367188	-48.932617
26.855469	-50.181206
27.343750	-51.432648
27.832031	-48.268181
28.320312	-48.148949
28.808594	-47.933495
29.296875	-47.678997
29.785156	-47.079422
30.273438	-44.798157
30.761719	-46.111317
31.250000	-44.920795
31.738281	-46.731590
32.226562	-42.760975
32.714844	-43.131344
33.203125	-43.422939
33.691406	-42.854824
34.179688	-42.173382
34.667969	-43.982838
35.156250	-43.348942
35.644531	-41.885399
36.132812	-42.254669
36.621094	-41.534676
37.109375	-39.266712
37.597656	-40.365017
38.085938	-41.312782
38.574219	-41.298401
39.062500	-39.988945
39.550781	-43.033165
40.039062	-40.897114
40.527344	-40.037380
41.015625	-41.736828
41.503906	-40.326035
41.992188	-42.162178
42.480469	-44.043262
42.968750	-43.217300
43.457031	-43.811588
43.945312	-42.694626
44.433594	-45.636044
44.921875	-45.321880
45.410156	-42.802937
45.898438	-46.595787
46.386719	-47.032494
46.875000	-45.794830
47.363281	-42.848061
47.851562	-46.417000
48.339844	-46.483082
48.828125	-45.907116
49.316406	-45.858711
49.804688	-47.283073
50.292969	-47.779861
50.781250	-45.567310
51.269531	-46.183784
51.757812	-47.253941
52.246094	-48.434097
52.734375	-50.521908
53.222656	-50.032570
53.710938	-47.602898
54.199219	-48.071846
54.687500	-48.752842
55.175781	-48.226646
55.664062	-48.861298
56.152344	-46.656033
56.640625	-46.298946
57.128906	-47.014656
57.617188	-46.768772
58.105469	-48.626743
58.593750	-47.102619
59.082031	-46.898998
59.570312	-48.095070
60.058594	-47.068974
60.546875	-48.576088
61.035156	-47.742649
61.523438	-45.294907
62.011719	-45.984642
62.500000	-47.453220
62.988281	-46.101719
63.476562	-45.480988
63.964844	-47.419769
64.453125	-45.673637
64.941406	-44.405872
65.429688	-49.946491
65.917969	-48.509022
66.406250	-45.409790
66.894531	-50.407829
67.382812	-51.815445
67.871094	-50.318172
68.359375	-48.364616
68.847656	-46.360317
69.335938	-47.322891
69.824219	-47.843143
70.312500	-49.544956
70.800781	-47.767750
71.289062	-47.309589
71.777344	-48.956268
72.265625	-49.755856
72.753906	-49.743977
73.242188	-47.521664
73.730469	-49.478657
74.218750	-51.315960
74.707031	-49.178421
75.195312	-50.368271
75.683594	-51.078175
76.171875	-46.918083
76.660156	-47.863487
77.148438	-48.870819
77.636719	-48.910667
78.125000	-49.030060
78.613281	-47.577278
79.101562	-46.437782
79.589844	-46.928219
80.078125	-47.148575
80.566406	-47.673641
81.054688	-48.894615
81.542969	-46.675354
82.031250	-46.517757
82.519531	-48.628380
83.007812	-48.684566
83.496094	-49.913406
83.984375	-47.412460
84.472656	-49.417671
84.960938	-51.341415
85.449219	-50.093128
85.937500	-50.770344
86.425781	-46.919086
86.914062	-47.507103
87.402344	-50.459240
87.890625	-50.752850
88.378906	-50.205570
88.867188	-51.198399
89.355469	-47.183430
89.843750	-47.712048
90.332031	-51.586559
90.820312	-49.389538
91.308594	-47.909885
91.796875	-49.962257
92.285156	-49.727039
92.773438	-49.698105
93.261719	-50.481003
93.750000	-49.663502
94.238281	-52.094048
94.726562	-47.786983
95.214844	-48.263737
95.703125	-49.181862
96.191406	-50.910526
96.679688	-50.819332
97.167969	-48.466904
97.656250	-47.653900
98.144531	-49.544540
98.632812	-48.387810
99.121094	-49.439610
99.609375	-48.434242
100.097656	-48.911499
100.585938	-48.589134
101.074219	-51.199074
101.562500	-47.554295
102.050781	-48.686882
102.539062	-49.020676
103.027344	-49.040672
103.515625	-50.418217
104.003906	-48.724991
104.492188	-47.672619
104.980469	-49.650421
105.468750	-51.460712
105.957031	-48.661423
106.445312	-49.481453
106.933594	-49.754955
107.421875	-47.357224
107.910156	-48.826370
108.398438	-46.945873
108.886719	-49.148170
109.375000	-51.070034
109.863281	-49.146763
110.351562	-46.771599
110.839844	-47.889164
111.328125	-46.914803
111.816406	-48.524727
112.304688	-50.107162
112.792969	-46.137619
113.281250	-49.564877
113.769531	-50.266277
114.257812	-47.054413
114.746094	-50.660988
115.234375	-48.524963
115.722656	-50.477303
116.210938	-46.105576
116.699219	-49.902164
117.187500	-46.277103
117.675781	-45.501785
118.164062	-50.018326
118.652344	-50.567360
119.140625	-46.863079
119.628906	-49.205639
120.117188	-48.607689
120.605469	-48.958019
121.093750	-48.779869
121.582031	-51.236225
122.070312	-50.081436
122.558594	-49.439045
123.046875	-51.493176
123.535156	-50.743633
124.023438	-49.703861
124.511719	-47.950436
125.000000	-49.449646
125.488281	-51.771996
125.976562	-46.684395
126.464844	-49.459255
126.953125	-48.139683
127.441406	-46.498177
127.929688	-48.412533
128.417969	-48.814220
128.906250	-47.835262
129.394531	-45.449638
129.882812	-49.067810
130.371094	-49.375469
130.859375	-47.967346
131.347656	-45.307922
131.835938	-47.325840
132.324219	-48.610912
132.812500	-47.960587
133.300781	-48.825699
133.789062	-49.875019
134.277344	-47.694489
134.765625	-48.098923
135.253906	-50.006802
135.742188	-48.754917
136.230469	-49.869843
136.718750	-49.418167
137.207031	-44.772354
137.695312	-46.734818
138.183594	-47.114117
138.671875	-47.915634
139.160156	-47.993515
139.648438	-44.991680
140.136719	-44.614864
140.625000	-47.147717
141.113281	-47.500252
141.601562	-48.875267
142.089844	-49.211960
142.578125	-49.421295
143.066406	-51.006920
143.554688	-47.447056
144.042969	-45.480053
144.531250	-46.861805
145.019531	-48.578434
145.507812	-49.289562
145.996094	-45.532734
146.484375	-45.887592
146.972656	-45.967464
147.460938	-48.870308
147.949219	-48.266575
148.437500	-47.091030
148.925781	-46.100853
149.414062	-47.953682
149.902344	-46.497276
150.390625	-46.328819
150.878906	-48.140835
151.367188	-46.990112
151.855469	-46.333504
152.343750	-46.188503
152.832031	-45.911304
153.320312	-46.272297
153.808594	-46.656971
154.296875	-47.117409
154.785156	-48.413731
155.273438	-48.283539
155.761719	-45.562759
156.250000	-47.484825
156.738281	-47.314426
157.226562	-46.646389
157.714844	-45.349037
158.203125	-45.083714
158.691406	-45.027668
159.179688	-46.657650
159.667969	-45.922981
160.156250	-46.276344
160.644531	-45.978214
161.132812	-48.747860
161.621094	-48.313793
162.109375	-47.678452
162.597656	-49.651573
163.085938	-45.004250
163.574219	-49.908199
164.062500	-46.274673
164.550781	-48.502060
165.039062	-47.699020
165.527344	-45.976929
166.015625	-49.122452
166.503906	-44.977051
166.992188	-43.910137
167.480469	-49.208229
167.968750	-47.071583
168.457031	-47.334026
168.945312	-44.607105
169.433594	-46.471836
169.921875	-46.917240
170.410156	-45.146614
170.898438	-49.196205
171.386719	-46.636387
171.875000	-47.155567
172.363281	-46.998348
172.851562	-46.766529
173.339844	-45.392570
173.828125	-47.843449
174.316406	-45.628433
174.804688	-45.404449
175.292969	-47.646908
175.781250	-48.943909
176.269531	-51.821594
176.757812	-48.472000
177.246094	-47.086571
177.734375	-45.848991
178.222656	-43.886978
178.710938	-43.858814
179.199219	-47.869102
179.687500	-47.353737
180.175781	-45.304825
180.664062	-48.279613
181.152344	-48.996868
181.640625	-46.745747
182.128906	-47.186138
182.617188	-45.713799
183.105469	-45.567566
183.593750	-46.267414
184.082031	-46.727184
184.570312	-47.851768
185.058594	-46.527721
185.546875	-45.808216
186.035156	-48.027210
186.523438	-47.301140
187.011719	-44.376225
187.500000	-45.631828
187.988281	-45.296940
188.476562	-46.772861
188.964844	-46.142075
189.453125	-43.720051
189.941406	-46.790375
190.429688	-46.744514
190.917969	-46.515839
191.406250	-47.822258
191.894531	-45.099545
192.382812	-46.124130
192.871094	-46.155174
193.359375	-45.711926
193.847656	-45.282700
194.335938	-48.030254
194.824219	-45.068451
195.312500	-46.666695
195.800781	-45.456066
196.289062	-45.038338
196.777344	-45.176823
197.265625	-46.113255
197.753906	-45.195984
198.242188	-46.239460
198.730469	-45.777016
199.218750	-47.928474
199.707031	-45.027542
200.195312	-46.555130
200.683594	-45.897785
201.171875	-45.414604
