Frequency (Hz)	Level (dB)
0.488281	-68.754807
0.976562	-68.745033
1.464844	-68.731102
1.953125	-68.710693
2.441406	-68.672005
2.929688	-68.635536
3.417969	-68.588882
3.906250	-68.719879
4.394531	-68.319016
4.882812	-68.525261
5.371094	-68.020210
5.859375	-67.448647
6.347656	-67.465157
6.835938	-67.270912
7.324219	-66.516350
7.812500	-65.868790
8.300781	-66.548386
8.789062	-64.493690
9.277344	-63.044739
9.765625	-63.612110
10.253906	-61.964779
10.742188	-61.524918
11.230469	-60.198483
11.718750	-59.987209
12.207031	-58.650185
12.695312	-56.523247
13.183594	-56.403675
13.671875	-54.360874
14.160156	-54.158066
14.648438	-50.851170
15.136719	-51.676098
15.625000	-51.301628
16.113281	-47.858479
16.601562	-45.859673
17.089844	-44.577194
17.578125	-44.836014
18.066406	-45.007168
18.554688	-43.893524
19.042969	-42.145184
19.531250	-45.726357
20.019531	-48.657074
20.507812	-49.527748
20.996094	-50.540634
21.484375	-52.609631
21.972656	-54.356369
22.460938	-54.095810
22.949219	-52.781048
23.437500	-51.744007
23.925781	-52.831760
24.414062	-50.725563
24.902344	-50.511032
25.390625	-51.432373
25.878906	-49.342072
26.367188	-49.510376
26.855469	-50.196133
27.343750	-49.684277
27.832031	-49.795120
28.320312	-49.442558
28.808594	-47.834644
29.296875	-47.413094
29.785156	-47.476322
30.273438	-47.664070
30.761719	-44.208038
31.250000	-43.607418
31.738281	-42.313419
32.226562	-43.285606
32.714844	-42.672737
33.203125	-41.334461
33.691406	-42.090519
34.179688	-41.864056
34.667969	-41.959637
35.156250	-41.565998
35.644531	-41.196705
36.132812	-41.120945
36.621094	-41.115791
37.109375	-39.521339
37.597656	-40.211349
38.085938	-40.077923
38.574219	-40.345146
39.062500	-39.143040
39.550781	-39.013435
40.039062	-41.161869
40.527344	-43.446301
41.015625	-42.341496
41.503906	-42.405384
41.992188	-44.306065
42.480469	-41.998844
42.968750	-42.585655
43.457031	-43.400581
43.945312	-46.118950
44.433594	-44.014179
44.921875	-47.212967
45.410156	-46.239128
45.898438	-46.402828
46.386719	-46.005501
46.875000	-45.950611
47.363281	-45.699139
47.851562	-46.728966
48.339844	-45.673809
48.828125	-47.712803
49.316406	-47.526890
49.804688	-48.027878
50.292969	-47.806889
50.781250	-46.379269
51.269531	-48.407784
51.757812	-47.591892
52.246094	-47.893578
52.734375	-45.531651
53.222656	-47.638744
53.710938	-47.496014
54.199219	-46.683304
54.687500	-46.009640
55.175781	-47.346794
55.664062	-46.517227
56.152344	-46.532616
56.640625	-47.080635
57.128906	-46.683804
57.617188	-48.026535
58.105469	-47.513985
58.593750	-45.897102
59.082031	-47.208267
59.570312	-47.030640
60.058594	-48.240543
60.546875	-45.979443
61.035156	-48.133171
61.523438	-48.358288
62.011719	-49.677063
62.500000	-46.997665
62.988281	-47.454510
63.476562	-47.605972
63.964844	-46.912521
64.453125	-46.809765
64.941406	-45.192657
65.429688	-46.752846
65.917969	-48.041397
66.406250	-48.202934
66.894531	-46.368824
67.382812	-48.040695
67.871094	-47.636154
68.359375	-49.206966
68.847656	-47.337498
69.335938	-47.194405
69.824219	-47.450256
70.312500	-48.319653
70.800781	-47.337364
71.289062	-47.820278
71.777344	-48.372402
72.265625	-48.328499
72.753906	-49.266788
73.242188	-49.096901
73.730469	-48.935722
74.218750	-49.270344
74.707031	-49.060490
75.195312	-47.629311
75.683594	-49.501915
76.171875	-50.305511
76.660156	-47.147526
77.148438	-48.147793
77.636719	-48.112873
78.125000	-47.653271
78.613281	-49.543571
79.101562	-49.117081
79.589844	-47.389446
80.078125	-47.125336
80.566406	-49.731586
81.054688	-47.971722
81.542969	-48.301311
82.031250	-49.538631
82.519531	-50.328259
83.007812	-48.924271
83.496094	-50.296112
83.984375	-50.078297
84.472656	-49.177944
84.960938	-50.187225
85.449219	-48.840683
85.937500	-49.844215
86.425781	-49.730877
86.914062	-50.177662
87.402344	-50.230167
87.890625	-49.677490
88.378906	-48.535709
88.867188	-48.725143
89.355469	-48.082100
89.843750	-47.684551
90.332031	-48.369263
90.820312	-48.694057
91.308594	-47.790394
91.796875	-48.609074
92.285156	-48.599735
92.773438	-49.847183
93.261719	-49.408695
93.750000	-47.161552
94.238281	-50.720718
94.726562	-50.571789
95.214844	-48.623856
95.703125	-47.177990
96.191406	-48.069462
96.679688	-48.273640
97.167969	-48.644104
97.656250	-48.812843
98.144531	-48.211105
98.632812	-47.964268
99.121094	-48.025574
99.609375	-46.760773
100.097656	-50.092403
100.585938	-50.247162
101.074219	-48.107925
101.562500	-49.159393
102.050781	-49.049900
102.539062	-51.266563
103.027344	-48.965057
103.515625	-48.609138
104.003906	-49.806740
104.492188	-47.296997
104.980469	-48.967667
105.468750	-49.040035
105.957031	-48.772263
106.445312	-47.591675
106.933594	-47.263996
107.421875	-48.717731
107.910156	-48.381519
108.398438	-48.986088
108.886719	-47.700600
109.375000	-48.780502
109.863281	-50.516079
110.351562	-50.844414
110.839844	-48.540977
111.328125	-48.388313
111.816406	-49.969147
112.304688	-49.533585
112.792969	-48.601887
113.281250	-49.640682
113.769531	-47.312969
114.257812	-46.267769
114.746094	-47.763126
115.234375	-48.798409
115.722656	-47.978901
116.210938	-51.012207
116.699219	-47.299454
117.187500	-47.640369
117.675781	-46.026199
118.164062	-47.913918
118.652344	-48.071724
119.140625	-47.298489
119.628906	-47.225025
120.117188	-46.866451
120.605469	-50.617508
121.093750	-49.438686
121.582031	-49.661488
122.070312	-47.749115
122.558594	-48.203709
123.046875	-46.967148
123.535156	-48.999653
124.023438	-49.713615
124.511719	-48.552391
125.000000	-50.070244
125.488281	-48.412109
125.976562	-51.843857
126.464844	-50.100769
126.953125	-47.976955
127.441406	-46.971104
127.929688	-48.334305
128.417969	-48.716255
128.906250	-47.209217
129.394531	-48.567722
129.882812	-49.459534
130.371094	-48.225368
130.859375	-48.840267
131.347656	-48.566570
131.835938	-48.321304
132.324219	-47.960934
132.812500	-47.009247
133.300781	-47.887703
133.789062	-48.795177
134.277344	-48.307327
134.765625	-47.129200
135.253906	-46.862888
135.742188	-47.606850
136.230469	-49.517338
136.718750	-47.904060
137.207031	-47.828194
137.695312	-47.787033
138.183594	-47.750221
138.671875	-48.150883
139.160156	-47.745914
139.648438	-48.114059
140.136719	-47.646084
140.625000	-48.181629
141.113281	-46.981232
141.601562	-46.653450
