Frequency (Hz)	Level (dB)
0.488281	-97.167679
0.976562	-97.538475
1.464844	-96.968506
1.953125	-97.002800
2.441406	-97.152107
2.929688	-96.907272
3.417969	-96.025803
3.906250	-96.916176
4.394531	-98.605873
4.882812	-98.730988
5.371094	-95.486168
5.859375	-97.275291
6.347656	-94.732544
6.835938	-97.340279
7.324219	-97.358200
7.812500	-99.821747
8.300781	-97.125282
8.789062	-98.822144
9.277344	-94.149689
9.765625	-93.460991
10.253906	-93.014290
10.742188	-100.822189
11.230469	-87.722725
11.718750	-93.506187
12.207031	-92.966446
12.695312	-91.575844
13.183594	-97.203873
13.671875	-92.978378
14.160156	-100.502075
14.648438	-88.364639
15.136719	-91.931259
15.625000	-91.413551
16.113281	-91.696487
16.601562	-87.571625
17.089844	-93.537132
17.578125	-97.340462
18.066406	-91.850868
18.554688	-87.865227
19.042969	-89.222954
19.531250	-94.276245
20.019531	-90.217964
20.507812	-88.440758
20.996094	-86.832253
21.484375	-91.410484
21.972656	-93.026176
22.460938	-85.467026
22.949219	-85.227043
23.437500	-93.379295
23.925781	-84.985016
24.414062	-84.471153
24.902344	-89.361320
25.390625	-90.394417
25.878906	-91.504349
26.367188	-90.362221
26.855469	-93.237801
27.343750	-85.762497
27.832031	-82.036911
28.320312	-79.627968
28.808594	-89.527657
29.296875	-83.587791
29.785156	-86.977249
30.273438	-85.057953
30.761719	-84.967682
31.250000	-92.174515
31.738281	-91.489777
32.226562	-94.252686
32.714844	-87.892738
33.203125	-87.219307
33.691406	-87.992355
34.179688	-97.707458
34.667969	-87.447487
35.156250	-83.806175
35.644531	-92.494576
36.132812	-91.832458
36.621094	-92.481819
37.109375	-92.820656
37.597656	-84.687431
38.085938	-88.567558
38.574219	-87.644028
39.062500	-88.215172
39.550781	-83.670128
40.039062	-89.254356
40.527344	-82.974342
41.015625	-91.535004
41.503906	-82.123528
41.992188	-85.366730
42.480469	-82.791016
42.968750	-83.823273
43.457031	-84.535210
43.945312	-84.207489
44.433594	-98.035690
44.921875	-80.067032
45.410156	-84.439217
45.898438	-85.125923
46.386719	-82.920570
46.875000	-86.605019
47.363281	-84.817726
47.851562	-85.936615
48.339844	-88.061989
48.828125	-83.678665
49.316406	-85.781929
49.804688	-81.830254
50.292969	-85.632607
50.781250	-86.643814
51.269531	-83.387024
51.757812	-80.479454
52.246094	-92.312592
52.734375	-84.460106
53.222656	-86.528778
53.710938	-80.792023
54.199219	-83.805984
54.687500	-83.527863
55.175781	-81.910332
55.664062	-89.397278
56.152344	-76.242004
56.640625	-88.126854
57.128906	-79.187416
57.617188	-77.536057
58.105469	-83.614845
58.593750	-81.773575
59.082031	-82.939171
59.570312	-84.178314
60.058594	-77.672958
60.546875	-81.247101
61.035156	-82.478821
61.523438	-86.932106
62.011719	-76.044189
62.500000	-77.643410
62.988281	-78.773285
63.476562	-79.225243
63.964844	-79.374229
64.453125	-84.289993
64.941406	-88.045105
65.429688	-82.344780
65.917969	-80.086983
66.406250	-85.205658
66.894531	-83.719795
67.382812	-83.870621
67.871094	-79.670181
68.359375	-87.160156
68.847656	-81.292763
69.335938	-85.921928
69.824219	-90.713585
70.312500	-90.542168
70.800781	-86.594711
71.289062	-76.934959
71.777344	-86.369995
72.265625	-82.793182
72.753906	-83.190323
73.242188	-78.043716
73.730469	-80.904175
74.218750	-83.074440
74.707031	-84.953758
75.195312	-81.441856
75.683594	-80.372238
76.171875	-82.111816
76.660156	-86.669609
77.148438	-98.218552
77.636719	-79.899536
78.125000	-86.880409
78.613281	-85.671043
79.101562	-83.545395
79.589844	-81.723114
80.078125	-83.240120
