Frequency (Hz)	Level (dB)
0.488281	-96.133804
0.976562	-96.144096
1.464844	-96.043022
1.953125	-96.146568
2.441406	-96.089127
2.929688	-95.824142
3.417969	-96.070854
3.906250	-95.854141
4.394531	-95.194023
4.882812	-95.200989
5.371094	-95.475578
5.859375	-95.417038
6.347656	-93.992165
6.835938	-93.858719
7.324219	-94.688683
7.812500	-95.293945
8.300781	-95.172096
8.789062	-94.870415
9.277344	-94.303284
9.765625	-93.674263
10.253906	-91.070908
10.742188	-91.958443
11.230469	-91.794128
11.718750	-90.445900
12.207031	-91.480362
12.695312	-91.343361
13.183594	-89.873199
13.671875	-89.966965
14.160156	-90.985352
14.648438	-91.732399
15.136719	-90.939667
15.625000	-89.321663
16.113281	-90.287453
16.601562	-89.638649
17.089844	-89.246033
17.578125	-90.652428
18.066406	-88.929779
18.554688	-88.579575
19.042969	-89.340927
19.531250	-90.764038
20.019531	-90.248672
20.507812	-89.012161
20.996094	-88.595886
21.484375	-89.072685
21.972656	-86.959023
22.460938	-86.566879
22.949219	-86.182991
23.437500	-87.043152
23.925781	-87.078445
24.414062	-87.966537
24.902344	-87.783218
25.390625	-89.614059
25.878906	-88.066658
26.367188	-86.952438
26.855469	-86.598061
27.343750	-87.385902
27.832031	-87.263176
28.320312	-87.516777
28.808594	-87.686012
29.296875	-87.659584
29.785156	-85.022171
30.273438	-87.828400
30.761719	-85.220734
31.250000	-87.886353
31.738281	-88.456757
32.226562	-87.592911
32.714844	-87.523415
33.203125	-88.574226
33.691406	-86.901054
34.179688	-86.930809
34.667969	-87.793594
35.156250	-86.336319
35.644531	-85.738281
36.132812	-86.088539
36.621094	-87.219193
37.109375	-87.223488
37.597656	-87.363571
38.085938	-88.619034
38.574219	-87.384583
39.062500	-88.517448
39.550781	-86.761940
40.039062	-86.353539
40.527344	-85.875725
41.015625	-87.069588
41.503906	-86.591675
41.992188	-86.745102
42.480469	-86.803116
42.968750	-85.557602
43.457031	-85.584549
43.945312	-87.811531
44.433594	-84.820297
44.921875	-86.458931
45.410156	-83.726318
45.898438	-84.488686
46.386719	-83.852409
46.875000	-84.762360
47.363281	-83.057129
47.851562	-85.193077
48.339844	-84.661819
48.828125	-86.472809
49.316406	-83.421997
49.804688	-84.151947
50.292969	-82.094391
50.781250	-83.574982
51.269531	-85.460632
51.757812	-83.502029
52.246094	-84.096077
52.734375	-83.495590
53.222656	-82.618652
53.710938	-81.933372
54.199219	-84.160912
54.687500	-81.322876
55.175781	-80.717117
55.664062	-84.360191
56.152344	-83.316269
56.640625	-81.272491
57.128906	-81.866516
57.617188	-81.679131
58.105469	-81.283249
58.593750	-82.706322
59.082031	-81.352821
59.570312	-79.941933
60.058594	-82.010124
60.546875	-80.729973
61.035156	-81.248734
61.523438	-79.694313
62.011719	-79.772141
62.500000	-80.002464
62.988281	-80.769806
63.476562	-81.091705
63.964844	-82.414612
64.453125	-82.227394
64.941406	-84.377029
65.429688	-82.815712
65.917969	-82.352463
66.406250	-83.094124
66.894531	-82.548607
67.382812	-81.651985
67.871094	-82.179474
68.359375	-83.958908
68.847656	-82.913803
69.335938	-81.768898
69.824219	-82.205566
70.312500	-82.067520
70.800781	-81.453392
71.289062	-81.816284
71.777344	-81.688347
72.265625	-82.988205
72.753906	-81.110283
73.242188	-80.949364
73.730469	-78.895172
74.218750	-80.390205
74.707031	-80.895859
75.195312	-80.092537
75.683594	-80.603142
76.171875	-82.170036
76.660156	-81.702797
77.148438	-80.581665
77.636719	-80.247734
78.125000	-79.737091
78.613281	-82.254250
79.101562	-82.839561
79.589844	-81.113708
80.078125	-83.199623
80.566406	-82.269691
81.054688	-83.180031
81.542969	-84.100601
82.031250	-81.358612
82.519531	-80.689529
83.007812	-81.448868
83.496094	-81.628693
83.984375	-80.854515
84.472656	-80.246315
84.960938	-81.164436
85.449219	-80.889824
85.937500	-80.906219
86.425781	-80.623375
86.914062	-81.076111
87.402344	-79.945694
87.890625	-80.522293
88.378906	-80.967720
88.867188	-82.622581
89.355469	-81.552261
89.843750	-80.790352
90.332031	-82.782333
90.820312	-81.092155
91.308594	-81.615219
91.796875	-81.030365
92.285156	-81.635468
92.773438	-81.089310
93.261719	-80.816315
93.750000	-81.007088
94.238281	-79.852013
94.726562	-81.060493
95.214844	-81.078354
95.703125	-82.501205
96.191406	-80.768585
96.679688	-78.797966
97.167969	-80.156021
97.656250	-82.836418
98.144531	-79.565437
98.632812	-81.116508
99.121094	-80.948280
99.609375	-79.757286
100.097656	-80.373566
100.585938	-80.757446
101.074219	-82.369667
101.562500	-79.876579
102.050781	-78.641884
102.539062	-79.396812
103.027344	-80.311684
103.515625	-78.434448
104.003906	-80.260925
104.492188	-80.357224
104.980469	-81.946526
105.468750	-80.768471
