Frequency (Hz)	Level (dB)
0.488281	-95.042854
0.976562	-95.024460
1.464844	-95.080574
1.953125	-94.932808
2.441406	-95.001045
2.929688	-94.991920
3.417969	-94.979630
3.906250	-93.925880
4.394531	-94.838966
4.882812	-93.903526
5.371094	-94.158981
5.859375	-94.536652
6.347656	-92.892555
6.835938	-93.722046
7.324219	-93.844170
7.812500	-94.204926
8.300781	-94.429649
8.789062	-93.418221
9.277344	-91.961739
9.765625	-92.976067
10.253906	-91.765518
10.742188	-91.911690
11.230469	-89.383751
11.718750	-90.212364
12.207031	-91.570885
12.695312	-89.371811
13.183594	-90.771126
13.671875	-90.346642
14.160156	-90.432549
14.648438	-90.032066
15.136719	-89.778290
15.625000	-92.516273
16.113281	-89.206139
16.601562	-91.522461
17.089844	-90.238022
17.578125	-89.018364
18.066406	-88.905815
18.554688	-89.289658
19.042969	-88.263359
19.531250	-89.961365
20.019531	-89.264549
20.507812	-88.923447
20.996094	-86.830765
21.484375	-87.688354
21.972656	-87.392258
22.460938	-86.457085
22.949219	-88.393509
23.437500	-88.010719
23.925781	-87.044975
24.414062	-87.903915
24.902344	-86.508835
25.390625	-88.800537
25.878906	-88.939835
26.367188	-88.543167
26.855469	-86.383003
27.343750	-87.479065
27.832031	-85.402809
28.320312	-85.054329
28.808594	-85.683327
29.296875	-85.374207
29.785156	-84.122284
30.273438	-84.352486
30.761719	-86.914337
31.250000	-88.054947
31.738281	-88.129272
32.226562	-88.097198
32.714844	-88.354988
33.203125	-87.713165
33.691406	-87.034737
34.179688	-86.185669
34.667969	-86.011559
35.156250	-86.965523
35.644531	-87.918808
36.132812	-87.385834
36.621094	-86.610115
37.109375	-86.152809
37.597656	-86.367516
38.085938	-85.865288
38.574219	-88.376175
39.062500	-86.051094
39.550781	-84.903984
40.039062	-85.940994
40.527344	-84.073723
41.015625	-85.686569
41.503906	-84.253349
41.992188	-85.038872
42.480469	-84.182442
42.968750	-84.401756
43.457031	-85.721283
43.945312	-84.838051
44.433594	-84.700150
44.921875	-84.007004
45.410156	-85.010590
45.898438	-84.126266
46.386719	-84.033096
46.875000	-85.558159
47.363281	-84.305824
47.851562	-87.174217
48.339844	-83.980370
48.828125	-85.623474
49.316406	-84.215149
49.804688	-82.853935
50.292969	-83.254318
50.781250	-83.926506
51.269531	-83.974144
51.757812	-82.320053
52.246094	-82.985664
52.734375	-82.786034
53.222656	-82.313377
53.710938	-81.287872
54.199219	-83.260681
54.687500	-81.224243
55.175781	-81.587006
55.664062	-81.886925
56.152344	-79.893692
56.640625	-81.033356
57.128906	-81.275475
57.617188	-81.586838
58.105469	-80.724625
58.593750	-82.783051
59.082031	-82.823975
59.570312	-79.801231
60.058594	-80.585335
60.546875	-81.049469
61.035156	-80.996803
61.523438	-80.044945
62.011719	-80.683487
62.500000	-79.328163
62.988281	-80.726685
63.476562	-80.406387
63.964844	-80.119438
64.453125	-81.841026
64.941406	-83.935532
65.429688	-82.499229
65.917969	-82.647644
66.406250	-81.997078
66.894531	-83.278000
67.382812	-81.746979
67.871094	-82.269928
68.359375	-84.901581
68.847656	-82.803009
69.335938	-81.078606
69.824219	-83.026657
70.312500	-82.081184
70.800781	-82.562614
71.289062	-81.895012
71.777344	-82.484428
72.265625	-81.462883
72.753906	-80.223618
73.242188	-79.405998
73.730469	-80.120117
74.218750	-79.383286
74.707031	-79.220627
75.195312	-80.203644
75.683594	-80.103188
76.171875	-80.583122
76.660156	-81.831970
77.148438	-81.791885
77.636719	-80.218208
78.125000	-80.415115
78.613281	-82.406677
79.101562	-81.736992
79.589844	-80.026360
80.078125	-81.504234
80.566406	-82.369392
81.054688	-82.323235
81.542969	-82.618423
82.031250	-80.884148
82.519531	-81.651634
83.007812	-80.540962
83.496094	-81.236008
83.984375	-81.100212
84.472656	-80.439857
84.960938	-81.007774
85.449219	-81.835022
85.937500	-80.022011
86.425781	-79.224037
86.914062	-80.128082
87.402344	-78.961700
87.890625	-80.401688
88.378906	-80.254250
88.867188	-80.966682
89.355469	-81.491493
89.843750	-81.236885
90.332031	-81.221237
90.820312	-82.527725
91.308594	-80.816277
91.796875	-81.097183
92.285156	-80.567482
92.773438	-80.839882
93.261719	-81.108681
93.750000	-80.377235
94.238281	-80.219810
94.726562	-80.954819
95.214844	-80.158043
95.703125	-81.899208
96.191406	-79.921211
96.679688	-78.171265
97.167969	-80.410545
97.656250	-82.955902
98.144531	-79.325333
98.632812	-80.813889
99.121094	-80.628197
99.609375	-80.091393
100.097656	-79.787361
100.585938	-80.119553
101.074219	-81.342552
101.562500	-79.653992
102.050781	-77.503761
102.539062	-78.727997
103.027344	-79.924873
103.515625	-78.192802
104.003906	-80.017662
104.492188	-80.277237
104.980469	-80.685028
105.468750	-79.925117
105.957031	-79.280304
106.445312	-79.866280
106.933594	-78.944351
107.421875	-81.225204
107.910156	-81.373581
108.398438	-79.311996
108.886719	-80.233467
109.375000	-78.715012
109.863281	-79.050934
110.351562	-79.034691
110.839844	-78.576111
111.328125	-79.545708
111.816406	-79.762558
112.304688	-80.888710
112.792969	-81.302170
113.281250	-79.125908
113.769531	-80.004173
114.257812	-79.297562
114.746094	-79.743645
115.234375	-79.797417
115.722656	-79.095070
116.210938	-80.145454
116.699219	-78.030937
117.187500	-79.843193
117.675781	-79.158493
118.164062	-79.672401
118.652344	-78.717628
119.140625	-79.711357
119.628906	-78.381935
120.117188	-77.572762
120.605469	-76.375137
121.093750	-78.051216
121.582031	-79.828888
122.070312	-77.976845
122.558594	-78.421219
123.046875	-79.664566
123.535156	-79.410156
124.023438	-79.624855
124.511719	-80.979286
125.000000	-78.956017
125.488281	-79.187378
125.976562	-80.460663
126.464844	-79.106834
126.953125	-80.362633
127.441406	-79.867538
127.929688	-78.874161
128.417969	-79.963196
128.906250	-78.474380
