Frequency (Hz)	Level (dB)
0.488281	-96.158630
0.976562	-96.649055
1.464844	-97.395081
1.953125	-96.683960
2.441406	-95.098213
2.929688	-95.983353
3.417969	-97.581673
3.906250	-100.360474
4.394531	-94.109726
4.882812	-94.571877
5.371094	-98.784645
5.859375	-102.206467
6.347656	-106.088425
6.835938	-90.410454
7.324219	-94.043579
7.812500	-97.692238
8.300781	-93.275520
8.789062	-96.370811
9.277344	-94.868958
9.765625	-91.565781
10.253906	-89.703979
10.742188	-92.828369
11.230469	-88.218590
11.718750	-96.756264
12.207031	-93.200104
12.695312	-87.972221
13.183594	-85.999008
13.671875	-103.631165
14.160156	-88.002892
14.648438	-101.734253
15.136719	-85.564667
15.625000	-93.497169
16.113281	-92.900642
16.601562	-87.740623
17.089844	-100.945068
17.578125	-87.305420
18.066406	-103.983925
18.554688	-87.711487
19.042969	-89.499084
19.531250	-95.368347
20.019531	-96.132645
20.507812	-88.961502
20.996094	-87.498505
21.484375	-87.569008
21.972656	-89.650871
22.460938	-81.711670
22.949219	-90.412086
23.437500	-88.113968
23.925781	-89.766449
24.414062	-89.379860
24.902344	-90.688454
25.390625	-90.956154
25.878906	-94.968483
26.367188	-86.577950
26.855469	-87.240051
27.343750	-83.847946
27.832031	-96.707741
28.320312	-100.960091
28.808594	-85.097260
29.296875	-88.493591
29.785156	-86.753693
30.273438	-87.420319
30.761719	-87.531830
31.250000	-93.290588
31.738281	-85.494957
32.226562	-86.269920
32.714844	-88.289688
33.203125	-87.456451
33.691406	-83.971054
34.179688	-86.085930
34.667969	-82.316162
35.156250	-93.307175
35.644531	-91.286514
36.132812	-87.945877
36.621094	-87.426926
37.109375	-84.840584
37.597656	-96.584785
38.085938	-88.704247
38.574219	-85.968925
39.062500	-81.266190
39.550781	-90.311623
40.039062	-88.114609
40.527344	-85.365646
41.015625	-85.813187
41.503906	-87.478043
41.992188	-82.599609
42.480469	-83.590057
42.968750	-80.346397
43.457031	-83.560738
43.945312	-85.617714
44.433594	-94.132370
44.921875	-82.224068
45.410156	-83.402756
45.898438	-86.335007
46.386719	-80.016891
46.875000	-87.125893
47.363281	-78.740143
47.851562	-92.350693
48.339844	-85.707321
48.828125	-90.616760
49.316406	-84.261032
49.804688	-82.065231
50.292969	-90.670662
50.781250	-88.157463
51.269531	-91.624649
51.757812	-83.980354
52.246094	-85.821304
52.734375	-84.001740
53.222656	-85.903358
53.710938	-89.339310
54.199219	-93.930122
54.687500	-86.183418
55.175781	-78.511635
55.664062	-81.143143
56.152344	-84.318176
56.640625	-85.385048
57.128906	-85.313362
57.617188	-83.637573
58.105469	-89.998322
58.593750	-83.947617
59.082031	-89.884392
59.570312	-83.552521
60.058594	-80.208740
60.546875	-78.974739
61.035156	-91.734200
61.523438	-82.411148
62.011719	-90.729965
62.500000	-81.627464
62.988281	-76.407913
63.476562	-95.788368
63.964844	-83.375397
64.453125	-86.085213
64.941406	-81.305473
65.429688	-86.738373
65.917969	-80.936821
66.406250	-96.874756
66.894531	-81.681053
67.382812	-89.536736
67.871094	-77.921822
68.359375	-95.491669
68.847656	-81.028503
69.335938	-82.751488
69.824219	-88.720726
70.312500	-84.983955
70.800781	-89.803970
71.289062	-105.466949
71.777344	-85.631386
72.265625	-82.321053
72.753906	-85.111282
73.242188	-79.743042
73.730469	-77.858543
74.218750	-80.919014
74.707031	-78.252258
75.195312	-82.257477
75.683594	-90.836296
76.171875	-77.627205
76.660156	-86.163330
77.148438	-84.578819
77.636719	-78.924683
78.125000	-88.762245
78.613281	-80.675018
79.101562	-79.870689
79.589844	-80.266022
80.078125	-80.412483
80.566406	-89.084091
81.054688	-97.068329
81.542969	-91.574211
82.031250	-86.314919
82.519531	-76.677048
83.007812	-82.190002
83.496094	-80.641121
83.984375	-77.546738
84.472656	-81.886444
84.960938	-77.480453
85.449219	-83.133430
85.937500	-79.422737
86.425781	-79.645279
86.914062	-79.663147
87.402344	-83.434914
87.890625	-80.441849
88.378906	-92.460449
88.867188	-86.494347
89.355469	-79.728065
89.843750	-85.015717
90.332031	-82.501640
90.820312	-87.079758
91.308594	-78.191460
91.796875	-78.453903
92.285156	-79.589256
92.773438	-81.640907
93.261719	-79.151962
93.750000	-77.125557
94.238281	-88.368340
94.726562	-94.154503
95.214844	-86.067940
95.703125	-83.310463
96.191406	-84.351410
96.679688	-81.968460
97.167969	-77.021126
97.656250	-82.885536
98.144531	-74.766197
98.632812	-88.182663
99.121094	-88.961006
99.609375	-79.302948
100.097656	-77.155449
100.585938	-72.392410
101.074219	-83.389793
101.562500	-76.769417
102.050781	-79.704582
102.539062	-80.966316
103.027344	-78.451561
103.515625	-81.303314
104.003906	-84.261742
104.492188	-79.221672
104.980469	-76.215042
105.468750	-78.908997
105.957031	-79.196388
106.445312	-80.153870
106.933594	-93.433594
107.421875	-82.283188
107.910156	-83.355324
108.398438	-94.647461
108.886719	-81.692047
109.375000	-83.738190
109.863281	-80.534935
110.351562	-73.714867
110.839844	-82.609383
111.328125	-88.867302
111.816406	-80.414360
112.304688	-80.116600
112.792969	-87.060188
113.281250	-78.678650
113.769531	-85.399422
114.257812	-76.035744
114.746094	-86.644585
115.234375	-78.148254
115.722656	-85.485870
116.210938	-79.931412
116.699219	-92.493782
117.187500	-74.349342
117.675781	-85.006996
118.164062	-79.246735
118.652344	-86.590805
119.140625	-81.601059
119.628906	-79.412811
120.117188	-87.750786
120.605469	-73.411789
121.093750	-86.559479
121.582031	-79.043968
122.070312	-81.317200
122.558594	-80.674942
123.046875	-86.183487
123.535156	-81.036179
124.023438	-75.921860
124.511719	-86.185425
125.000000	-83.880074
125.488281	-84.406807
125.976562	-82.076004
126.464844	-78.186951
126.953125	-95.571091
127.441406	-83.619255
127.929688	-82.398102
128.417969	-82.836105
128.906250	-72.771721
129.394531	-76.687691
129.882812	-92.429039
130.371094	-76.876701
130.859375	-78.899071
131.347656	-78.361168
131.835938	-81.347916
132.324219	-87.537964
132.812500	-83.684082
133.300781	-88.596878
133.789062	-77.144417
134.277344	-98.906876
134.765625	-82.356949
135.253906	-81.866966
135.742188	-76.271248
136.230469	-89.843018
136.718750	-85.538536
137.207031	-81.412498
137.695312	-83.513435
138.183594	-94.213715
138.671875	-84.033546
139.160156	-86.062126
139.648438	-75.762978
140.136719	-86.181335
140.625000	-92.492981
141.113281	-83.363014
141.601562	-77.917847
142.089844	-75.350235
142.578125	-93.321907
143.066406	-78.272537
143.554688	-105.486565
144.042969	-76.695595
144.531250	-85.631844
145.019531	-72.117722
145.507812	-79.580223
145.996094	-80.774101
146.484375	-74.561432
146.972656	-85.155075
147.460938	-78.378548
147.949219	-84.041428
148.437500	-77.633499
148.925781	-83.181992
149.414062	-78.864777
149.902344	-81.599930
150.390625	-83.179237
150.878906	-78.593910
151.367188	-78.786057
151.855469	-73.271797
152.343750	-86.669746
152.832031	-80.547287
153.320312	-87.625748
153.808594	-79.472305
154.296875	-78.691269
154.785156	-76.353035
155.273438	-75.653641
155.761719	-81.875023
156.250000	-69.476601
156.738281	-83.288544
157.226562	-72.970139
157.714844	-76.490311
158.203125	-81.141960
158.691406	-84.399712
159.179688	-78.032990
159.667969	-78.222008
160.156250	-77.910805
160.644531	-73.302895
161.132812	-84.699783
161.621094	-98.248299
162.109375	-71.619164
162.597656	-83.486557
163.085938	-77.566505
163.574219	-75.993698
164.062500	-83.968567
164.550781	-85.905983
165.039062	-75.850227
165.527344	-75.788452
166.015625	-74.504913
166.503906	-91.085258
166.992188	-72.925858
167.480469	-80.258194
167.968750	-74.017899
168.457031	-71.914307
168.945312	-77.317940
169.433594	-75.270920
169.921875	-78.371300
170.410156	-71.587509
170.898438	-71.413933
171.386719	-83.573845
171.875000	-75.478279
172.363281	-83.178780
172.851562	-83.333694
173.339844	-74.711868
173.828125	-108.222313
174.316406	-78.502251
174.804688	-74.454208
175.292969	-80.939430
175.781250	-78.866013
176.269531	-80.917641
176.757812	-69.703499
177.246094	-78.897552
177.734375	-79.531357
