Frequency (Hz)	Level (dB)
0.488281	-98.377502
0.976562	-98.698502
1.464844	-98.552628
1.953125	-98.576393
2.441406	-98.411079
2.929688	-98.476845
3.417969	-98.037796
3.906250	-96.749321
4.394531	-98.218185
4.882812	-97.831657
5.371094	-97.684250
5.859375	-96.964500
6.347656	-96.770439
6.835938	-94.099693
7.324219	-95.655457
7.812500	-97.303566
8.300781	-95.961456
8.789062	-96.652924
9.277344	-95.066360
9.765625	-94.654800
10.253906	-91.921738
10.742188	-91.073402
11.230469	-88.728119
11.718750	-91.488808
12.207031	-92.542892
12.695312	-90.864044
13.183594	-90.625450
13.671875	-90.963158
14.160156	-91.046005
14.648438	-90.829346
15.136719	-90.951164
15.625000	-89.744232
16.113281	-90.857414
16.601562	-88.684921
17.089844	-91.829567
17.578125	-90.269424
18.066406	-90.919624
18.554688	-87.964363
19.042969	-87.615250
19.531250	-89.932045
20.019531	-91.972374
20.507812	-88.390823
20.996094	-89.175705
21.484375	-88.409225
21.972656	-88.210716
22.460938	-87.941422
22.949219	-86.160599
23.437500	-87.110062
23.925781	-89.034203
24.414062	-88.824928
24.902344	-88.677826
25.390625	-85.991280
25.878906	-86.253372
26.367188	-86.489403
26.855469	-86.080017
27.343750	-85.483635
27.832031	-85.999466
28.320312	-86.468544
28.808594	-88.112701
29.296875	-87.840210
29.785156	-84.529152
30.273438	-88.047089
30.761719	-88.133667
31.250000	-86.756645
31.738281	-87.800964
32.226562	-87.452530
32.714844	-87.375832
33.203125	-86.342484
33.691406	-87.784843
34.179688	-86.963799
34.667969	-86.378098
35.156250	-87.422287
35.644531	-87.593498
36.132812	-86.431374
36.621094	-86.177452
37.109375	-85.292458
37.597656	-86.050354
38.085938	-87.130150
38.574219	-86.190620
39.062500	-86.873695
39.550781	-86.628510
40.039062	-88.185959
40.527344	-89.272537
41.015625	-86.536934
41.503906	-86.784836
41.992188	-87.454620
42.480469	-86.500107
42.968750	-86.592247
43.457031	-86.631660
43.945312	-86.831360
44.433594	-87.517059
44.921875	-88.160889
45.410156	-86.600250
45.898438	-85.326813
46.386719	-85.870934
46.875000	-85.030670
47.363281	-84.803223
47.851562	-86.090294
48.339844	-87.943321
48.828125	-84.910393
