Frequency (Hz)	Level (dB)
0.488281	-104.340797
0.976562	-104.430145
1.464844	-102.028709
1.953125	-102.337219
2.441406	-106.774796
2.929688	-102.502304
3.417969	-106.917969
3.906250	-97.738091
4.394531	-99.282387
4.882812	-98.611954
5.371094	-102.857506
5.859375	-92.568047
6.347656	-96.685989
6.835938	-103.217522
7.324219	-106.921738
7.812500	-101.019577
8.300781	-98.698135
8.789062	-93.698944
9.277344	-94.256920
9.765625	-95.409241
10.253906	-98.300812
10.742188	-91.002029
11.230469	-87.788658
11.718750	-92.488960
12.207031	-94.824394
12.695312	-93.408463
13.183594	-99.082886
13.671875	-94.130081
14.160156	-100.836304
14.648438	-90.609947
15.136719	-91.759766
15.625000	-113.318451
16.113281	-92.925285
16.601562	-96.009285
17.089844	-99.277344
17.578125	-87.750244
18.066406	-89.064545
18.554688	-94.665512
19.042969	-88.081413
19.531250	-96.458626
20.019531	-96.391991
20.507812	-90.017105
20.996094	-97.939339
21.484375	-82.651787
21.972656	-100.058678
22.460938	-92.482841
22.949219	-85.831390
23.437500	-86.456078
23.925781	-91.329155
24.414062	-96.183968
24.902344	-87.123352
25.390625	-87.554138
25.878906	-84.347923
26.367188	-85.545540
26.855469	-87.024887
27.343750	-95.161896
27.832031	-92.797897
28.320312	-85.512085
28.808594	-88.779434
29.296875	-104.642395
29.785156	-85.928253
30.273438	-95.693848
30.761719	-90.916840
31.250000	-86.708946
31.738281	-87.601761
32.226562	-89.283844
32.714844	-87.289207
33.203125	-87.325806
33.691406	-87.311485
34.179688	-91.592674
34.667969	-101.438019
35.156250	-88.381927
35.644531	-92.636452
36.132812	-83.897827
36.621094	-92.772377
37.109375	-92.140816
37.597656	-88.863754
38.085938	-94.193085
38.574219	-90.575485
39.062500	-89.563354
39.550781	-83.000427
40.039062	-87.210381
40.527344	-85.124893
41.015625	-87.399498
41.503906	-96.819519
41.992188	-87.787209
42.480469	-93.650276
42.968750	-86.246361
43.457031	-88.065109
43.945312	-112.484032
44.433594	-95.939140
44.921875	-82.925728
45.410156	-81.529808
45.898438	-84.509644
46.386719	-95.461960
46.875000	-84.069801
47.363281	-88.696884
47.851562	-81.379295
48.339844	-90.569893
48.828125	-88.197105
49.316406	-84.219856
49.804688	-90.604980
50.292969	-89.010445
50.781250	-80.980942
51.269531	-82.812523
51.757812	-89.686806
52.246094	-83.517548
52.734375	-81.443275
53.222656	-83.957016
53.710938	-82.965561
54.199219	-83.952011
54.687500	-87.119850
55.175781	-84.595909
55.664062	-75.378830
56.152344	-89.911667
56.640625	-93.667610
57.128906	-84.858574
57.617188	-84.428596
58.105469	-91.872383
58.593750	-91.019485
59.082031	-78.099953
59.570312	-80.120064
60.058594	-83.244164
60.546875	-85.741440
61.035156	-83.276421
61.523438	-89.216064
62.011719	-76.448631
62.500000	-76.969444
62.988281	-80.171562
63.476562	-80.522118
63.964844	-76.212067
64.453125	-80.919991
64.941406	-88.424423
65.429688	-87.451538
65.917969	-80.342827
66.406250	-88.570496
66.894531	-94.070236
67.382812	-87.350876
67.871094	-76.556206
68.359375	-98.073570
68.847656	-84.971870
69.335938	-88.942978
69.824219	-83.659622
70.312500	-78.894348
70.800781	-106.130157
71.289062	-81.528030
71.777344	-86.234955
72.265625	-81.873978
72.753906	-76.402786
73.242188	-81.937683
73.730469	-87.668289
74.218750	-79.176170
74.707031	-89.452232
75.195312	-79.762161
75.683594	-87.335442
76.171875	-80.541763
76.660156	-86.479950
77.148438	-99.895813
77.636719	-83.464348
78.125000	-83.548027
78.613281	-88.595917
79.101562	-88.674408
79.589844	-82.987610
80.078125	-84.474174
80.566406	-85.305443
81.054688	-84.629700
81.542969	-84.910896
82.031250	-90.340637
82.519531	-75.840134
83.007812	-86.400681
83.496094	-80.041977
83.984375	-81.978317
84.472656	-78.068497
84.960938	-84.996361
85.449219	-99.413307
85.937500	-81.802528
86.425781	-85.332794
86.914062	-83.051537
87.402344	-94.254410
87.890625	-79.586082
88.378906	-84.762840
88.867188	-85.456863
89.355469	-83.809227
89.843750	-79.339935
90.332031	-79.642509
90.820312	-84.057663
91.308594	-78.862473
91.796875	-81.508781
92.285156	-94.777840
92.773438	-86.054527
93.261719	-94.876144
93.750000	-75.927689
94.238281	-90.020035
94.726562	-94.897835
95.214844	-85.270897
95.703125	-83.246025
96.191406	-89.822456
96.679688	-88.167847
97.167969	-83.559570
97.656250	-84.214714
98.144531	-76.823402
98.632812	-88.876305
99.121094	-89.124702
99.609375	-82.387634
100.097656	-78.501190
100.585938	-76.165283
101.074219	-89.943092
101.562500	-79.090805
102.050781	-81.271088
102.539062	-79.174408
103.027344	-83.750122
103.515625	-89.381569
104.003906	-94.158791
104.492188	-80.576691
104.980469	-76.639481
105.468750	-81.264389
105.957031	-81.371010
106.445312	-81.960243
106.933594	-94.106819
107.421875	-84.822304
107.910156	-91.423187
108.398438	-84.996826
108.886719	-82.268761
109.375000	-92.547928
109.863281	-90.811859
110.351562	-77.346169
110.839844	-81.965500
111.328125	-93.121574
111.816406	-87.514992
112.304688	-84.154091
112.792969	-87.753357
113.281250	-93.223503
113.769531	-84.693573
114.257812	-83.426414
114.746094	-85.363991
115.234375	-84.011391
115.722656	-85.951958
116.210938	-86.570602
116.699219	-90.823219
117.187500	-78.110817
117.675781	-92.081718
118.164062	-84.575691
118.652344	-100.598991
119.140625	-84.396851
119.628906	-81.529816
120.117188	-83.196609
120.605469	-88.010658
121.093750	-98.452011
121.582031	-89.922806
122.070312	-88.466621
122.558594	-81.240219
123.046875	-92.377708
123.535156	-87.160660
124.023438	-79.162491
124.511719	-83.354492
125.000000	-84.039001
125.488281	-86.440315
125.976562	-89.985168
126.464844	-84.907928
126.953125	-84.091866
127.441406	-86.864555
127.929688	-87.877487
128.417969	-89.858696
128.906250	-76.670883
129.394531	-83.654343
129.882812	-84.033363
130.371094	-84.250191
130.859375	-88.034630
131.347656	-83.105141
131.835938	-82.794724
132.324219	-91.455513
132.812500	-87.745193
133.300781	-96.691742
133.789062	-79.230972
134.277344	-105.693291
134.765625	-90.174637
135.253906	-83.895477
135.742188	-78.485107
136.230469	-100.289536
136.718750	-91.427162
137.207031	-85.062729
137.695312	-86.248299
138.183594	-95.645035
138.671875	-86.096306
139.160156	-85.090881
139.648438	-79.106705
140.136719	-86.143120
140.625000	-88.014862
141.113281	-87.239143
141.601562	-79.889488
142.089844	-77.422348
142.578125	-89.044922
143.066406	-79.346809
143.554688	-96.348114
144.042969	-81.497192
144.531250	-82.560089
145.019531	-78.864952
145.507812	-85.914574
145.996094	-90.351646
146.484375	-76.077263
146.972656	-86.554985
147.460938	-83.469482
147.949219	-91.180969
148.437500	-86.658348
148.925781	-86.343544
149.414062	-81.026695
149.902344	-94.514946
150.390625	-93.619530
150.878906	-84.296532
151.367188	-82.086105
151.855469	-78.868660
152.343750	-91.729279
152.832031	-86.120186
153.320312	-96.114899
153.808594	-89.391518
154.296875	-84.663971
154.785156	-80.834885
155.273438	-78.510201
155.761719	-86.617134
156.250000	-75.070198
156.738281	-88.362701
157.226562	-79.863304
157.714844	-82.229515
158.203125	-84.310379
158.691406	-90.495163
159.179688	-80.942596
159.667969	-83.532158
160.156250	-85.698227
160.644531	-81.096817
161.132812	-89.455360
161.621094	-97.394737
162.109375	-78.467598
162.597656	-89.599121
163.085938	-87.337471
163.574219	-79.765831
164.062500	-94.288132
164.550781	-83.642105
165.039062	-80.774170
165.527344	-83.441452
166.015625	-82.411209
166.503906	-101.548515
166.992188	-77.103455
167.480469	-83.293152
167.968750	-83.146233
168.457031	-79.383812
168.945312	-88.605896
169.433594	-83.076759
169.921875	-85.962433
170.410156	-80.188904
170.898438	-77.826828
171.386719	-93.191170
171.875000	-84.738930
172.363281	-92.997925
172.851562	-96.410995
173.339844	-81.118279
173.828125	-92.064369
174.316406	-83.690697
174.804688	-78.576477
175.292969	-83.331322
175.781250	-84.514145
176.269531	-88.795410
176.757812	-75.282867
177.246094	-83.632622
177.734375	-84.010628
178.222656	-80.692329
178.710938	-83.946243
179.199219	-83.985405
179.687500	-85.537971
180.175781	-89.147110
180.664062	-84.226601
181.152344	-81.302437
181.640625	-87.729126
182.128906	-83.143372
182.617188	-88.451149
183.105469	-85.800934
183.593750	-84.682686
184.082031	-85.221260
184.570312	-86.244331
185.058594	-89.177475
185.546875	-77.021210
186.035156	-94.947678
186.523438	-83.662140
187.011719	-92.080467
187.500000	-91.875702
187.988281	-82.104095
188.476562	-79.392197
188.964844	-88.723633
189.453125	-84.374046
189.941406	-86.407722
190.429688	-90.790955
190.917969	-95.243324
191.406250	-90.159561
191.894531	-81.630386
192.382812	-93.720345
192.871094	-85.925636
193.359375	-83.452904
193.847656	-89.502213
194.335938	-80.808090
194.824219	-82.714737
195.312500	-89.539375
195.800781	-82.667480
196.289062	-86.928711
196.777344	-78.737732
197.265625	-95.651131
197.753906	-94.626282
198.242188	-88.476646
198.730469	-84.221184
199.218750	-84.445419
199.707031	-86.571709
200.195312	-82.646049
200.683594	-89.119545
201.171875	-79.283958
201.660156	-85.904716
202.148438	-87.470428
202.636719	-87.113037
203.125000	-88.240120
203.613281	-94.988556
204.101562	-93.971443
204.589844	-78.573936
205.078125	-84.974022
205.566406	-84.890259
206.054688	-79.696175
206.542969	-77.435753
207.031250	-84.354927
207.519531	-89.621727
208.007812	-80.088287
208.496094	-82.707718
208.984375	-87.630432
209.472656	-85.154060
209.960938	-81.575432
210.449219	-81.872734
210.937500	-87.813133
211.425781	-81.349174
211.914062	-81.504425
212.402344	-80.818619
