Frequency (Hz)	Level (dB)
0.488281	-102.007957
0.976562	-101.929428
1.464844	-101.778618
1.953125	-101.879051
2.441406	-101.731430
2.929688	-101.220970
3.417969	-99.953262
3.906250	-99.892303
4.394531	-100.573814
4.882812	-101.275009
5.371094	-99.675285
5.859375	-97.702377
6.347656	-97.985519
6.835938	-98.352760
7.324219	-100.077675
7.812500	-99.707649
8.300781	-99.429428
8.789062	-98.172783
9.277344	-96.950340
9.765625	-96.080208
10.253906	-95.963066
10.742188	-92.985756
11.230469	-90.367081
11.718750	-92.484581
12.207031	-92.073601
12.695312	-92.447731
13.183594	-93.217789
13.671875	-91.504028
14.160156	-92.310204
14.648438	-92.136909
15.136719	-91.951698
15.625000	-93.855499
16.113281	-93.533661
16.601562	-90.718651
17.089844	-91.717537
17.578125	-91.564590
18.066406	-90.257210
18.554688	-90.633369
19.042969	-89.252724
19.531250	-91.071228
20.019531	-92.060707
20.507812	-90.936516
20.996094	-88.789009
21.484375	-87.050385
21.972656	-89.596130
22.460938	-88.163681
22.949219	-87.172134
23.437500	-89.142479
23.925781	-88.049583
24.414062	-89.783363
24.902344	-88.263138
25.390625	-88.678101
25.878906	-88.997253
26.367188	-88.136955
26.855469	-87.115059
27.343750	-87.504959
27.832031	-87.678970
28.320312	-87.755684
28.808594	-88.648468
29.296875	-86.911674
29.785156	-84.071236
30.273438	-86.426964
30.761719	-88.526413
31.250000	-89.108932
31.738281	-88.838600
32.226562	-86.868217
32.714844	-90.826057
33.203125	-87.592995
33.691406	-87.550148
34.179688	-89.369072
34.667969	-88.850708
35.156250	-85.929611
35.644531	-89.243767
36.132812	-88.347847
36.621094	-86.403633
37.109375	-86.877960
37.597656	-86.258949
38.085938	-88.664436
38.574219	-89.692863
39.062500	-86.498245
39.550781	-86.579712
40.039062	-86.150093
40.527344	-86.196686
41.015625	-86.560280
41.503906	-87.523766
41.992188	-85.346275
42.480469	-86.199455
42.968750	-86.452065
43.457031	-86.906288
43.945312	-86.999275
44.433594	-85.764496
44.921875	-83.758530
45.410156	-84.010895
45.898438	-84.719086
46.386719	-84.708466
46.875000	-84.084419
47.363281	-85.954613
47.851562	-84.768272
48.339844	-82.744965
48.828125	-84.083794
49.316406	-85.294571
49.804688	-85.566780
50.292969	-83.903267
50.781250	-82.605301
51.269531	-84.644440
51.757812	-85.349548
52.246094	-83.878342
52.734375	-82.358444
53.222656	-83.309128
53.710938	-81.958221
54.199219	-82.460709
54.687500	-82.602348
55.175781	-81.493950
55.664062	-81.670547
56.152344	-83.133278
56.640625	-81.642906
57.128906	-81.527695
57.617188	-79.171310
58.105469	-80.954468
58.593750	-82.116089
59.082031	-80.369133
59.570312	-80.216156
60.058594	-79.954376
60.546875	-79.118439
61.035156	-79.121391
61.523438	-79.335289
62.011719	-79.434357
62.500000	-76.611008
62.988281	-77.998367
63.476562	-80.611000
63.964844	-80.993279
64.453125	-83.054993
64.941406	-83.425255
65.429688	-83.860962
65.917969	-82.283752
66.406250	-82.313286
66.894531	-83.820938
67.382812	-85.031487
67.871094	-82.521812
68.359375	-85.822929
68.847656	-83.082069
69.335938	-81.908516
69.824219	-82.834198
70.312500	-82.305031
70.800781	-83.270065
71.289062	-81.635269
71.777344	-81.686722
72.265625	-82.963692
72.753906	-81.658203
73.242188	-81.438271
73.730469	-81.481697
74.218750	-81.094635
74.707031	-82.730560
75.195312	-81.795593
