Frequency (Hz)	Level (dB)
0.488281	-99.983070
0.976562	-100.471230
1.464844	-100.151688
1.953125	-99.721878
2.441406	-97.752449
2.929688	-99.685883
3.417969	-97.529259
3.906250	-98.188904
4.394531	-97.035515
4.882812	-100.225227
5.371094	-103.482292
5.859375	-99.467293
6.347656	-101.893196
6.835938	-97.049995
7.324219	-98.674736
7.812500	-102.167381
8.300781	-101.353355
8.789062	-97.324913
9.277344	-96.951157
9.765625	-98.044716
10.253906	-96.552696
10.742188	-100.135567
11.230469	-98.144478
11.718750	-90.627579
12.207031	-99.707596
12.695312	-90.448021
13.183594	-94.342216
13.671875	-103.662048
14.160156	-91.827690
14.648438	-98.637428
15.136719	-94.493378
15.625000	-93.183968
16.113281	-93.930801
16.601562	-93.906509
17.089844	-94.145226
17.578125	-91.230522
18.066406	-87.806114
18.554688	-98.975258
19.042969	-91.152771
19.531250	-87.087662
20.019531	-97.006897
20.507812	-98.792160
20.996094	-98.490128
21.484375	-94.709244
21.972656	-96.958122
22.460938	-103.238914
22.949219	-91.786957
23.437500	-87.648354
23.925781	-87.434128
24.414062	-86.491631
24.902344	-92.741676
25.390625	-89.259636
25.878906	-85.528023
26.367188	-89.383621
26.855469	-97.875389
27.343750	-93.094376
27.832031	-86.895081
28.320312	-93.206207
28.808594	-93.712044
29.296875	-92.220673
29.785156	-90.527077
30.273438	-84.817955
30.761719	-98.270714
31.250000	-91.527969
31.738281	-96.681305
32.226562	-89.981789
32.714844	-87.434944
33.203125	-91.780907
33.691406	-89.353958
34.179688	-87.878014
34.667969	-95.488670
35.156250	-84.729424
35.644531	-88.820198
36.132812	-94.281166
36.621094	-87.227074
37.109375	-86.871216
37.597656	-82.754868
38.085938	-91.947418
38.574219	-97.334999
39.062500	-90.028885
39.550781	-91.495911
40.039062	-84.960167
40.527344	-89.033409
41.015625	-87.628586
41.503906	-89.371002
41.992188	-82.758118
42.480469	-90.745300
42.968750	-92.003998
43.457031	-90.879280
43.945312	-87.469131
44.433594	-90.556931
44.921875	-90.036911
45.410156	-86.796265
45.898438	-91.229156
46.386719	-91.979256
46.875000	-87.232422
47.363281	-92.603508
47.851562	-90.548576
48.339844	-86.245613
48.828125	-90.657959
49.316406	-88.022430
49.804688	-87.304665
50.292969	-89.241241
50.781250	-86.803795
51.269531	-94.752075
51.757812	-84.186325
52.246094	-86.979195
52.734375	-84.316521
53.222656	-86.986908
53.710938	-87.321457
54.199219	-86.530983
54.687500	-84.391556
55.175781	-81.147636
55.664062	-79.965897
56.152344	-86.278664
56.640625	-83.121025
57.128906	-92.134903
57.617188	-86.324493
58.105469	-84.750664
58.593750	-90.060394
59.082031	-83.579346
59.570312	-90.595734
60.058594	-81.535545
60.546875	-83.998123
61.035156	-79.912956
61.523438	-82.389008
62.011719	-81.721664
62.500000	-81.672081
62.988281	-82.925148
63.476562	-82.160324
63.964844	-81.136688
64.453125	-88.357315
64.941406	-90.961655
65.429688	-93.730904
65.917969	-93.206284
66.406250	-83.453400
66.894531	-91.194038
67.382812	-86.182838
67.871094	-84.069885
68.359375	-85.128967
68.847656	-82.665184
69.335938	-86.054100
69.824219	-82.769783
70.312500	-88.925949
70.800781	-77.509781
71.289062	-85.252525
71.777344	-81.058037
72.265625	-90.841019
72.753906	-84.536942
73.242188	-84.858383
73.730469	-82.181496
74.218750	-76.865646
74.707031	-79.617821
75.195312	-80.631477
75.683594	-81.849152
76.171875	-85.208954
76.660156	-83.068260
77.148438	-90.151054
77.636719	-82.373604
78.125000	-86.344223
78.613281	-82.610138
79.101562	-88.053696
79.589844	-84.343323
80.078125	-84.798347
80.566406	-86.587112
81.054688	-86.054199
81.542969	-85.508888
82.031250	-90.544601
82.519531	-79.389771
83.007812	-81.212120
83.496094	-84.321251
83.984375	-86.235390
84.472656	-84.292175
84.960938	-84.078247
85.449219	-80.150726
85.937500	-79.091019
86.425781	-77.879135
86.914062	-82.043427
87.402344	-82.108986
87.890625	-83.776451
88.378906	-88.862488
88.867188	-87.415085
89.355469	-85.455582
89.843750	-96.405220
90.332031	-82.169235
90.820312	-84.737030
91.308594	-83.577515
91.796875	-84.839630
92.285156	-84.647255
92.773438	-83.018806
93.261719	-84.873306
93.750000	-81.484421
94.238281	-84.920715
94.726562	-92.034081
95.214844	-92.603867
95.703125	-87.406487
96.191406	-89.036644
96.679688	-88.491875
97.167969	-82.116707
97.656250	-81.405060
98.144531	-77.732025
98.632812	-79.916512
99.121094	-87.096901
99.609375	-78.668983
100.097656	-77.718681
100.585938	-77.131790
101.074219	-84.317245
101.562500	-79.049278
102.050781	-83.177040
102.539062	-82.088051
103.027344	-79.356140
103.515625	-82.313171
104.003906	-90.696854
104.492188	-85.247688
104.980469	-76.243660
105.468750	-78.936440
105.957031	-81.661667
106.445312	-83.192085
106.933594	-81.950974
107.421875	-83.927338
107.910156	-93.004631
108.398438	-89.637741
108.886719	-84.285057
109.375000	-87.461357
109.863281	-79.305084
110.351562	-78.259277
110.839844	-81.941521
