Frequency (Hz)	Level (dB)
0.488281	-96.222313
0.976562	-96.251808
1.464844	-96.229660
1.953125	-96.123047
2.441406	-96.054245
2.929688	-96.535194
3.417969	-96.296616
3.906250	-95.380264
4.394531	-95.989578
4.882812	-95.878311
5.371094	-95.548096
5.859375	-96.992668
6.347656	-95.404938
6.835938	-94.588226
7.324219	-96.044952
7.812500	-95.630630
8.300781	-95.279663
8.789062	-94.831726
9.277344	-95.248283
9.765625	-96.160217
10.253906	-94.379211
10.742188	-92.877052
11.230469	-92.446182
11.718750	-92.064980
12.207031	-92.170708
12.695312	-91.995567
13.183594	-92.861870
13.671875	-90.522285
14.160156	-93.206795
14.648438	-92.767487
15.136719	-93.111214
15.625000	-93.096237
16.113281	-91.505806
16.601562	-93.559776
17.089844	-91.176582
17.578125	-91.760002
18.066406	-92.022934
18.554688	-91.922386
19.042969	-90.951294
19.531250	-91.090591
20.019531	-91.096024
20.507812	-91.113586
20.996094	-89.993492
21.484375	-89.474281
21.972656	-88.918129
22.460938	-89.219994
22.949219	-88.656738
23.437500	-91.362778
23.925781	-90.750175
24.414062	-90.544144
24.902344	-90.252548
25.390625	-90.345413
25.878906	-90.807327
26.367188	-88.209419
26.855469	-88.433769
27.343750	-88.829269
27.832031	-89.943718
28.320312	-90.772659
28.808594	-90.811172
29.296875	-89.100555
29.785156	-87.833160
30.273438	-88.776772
30.761719	-89.365417
31.250000	-89.458061
31.738281	-89.434494
32.226562	-89.091034
32.714844	-88.654472
33.203125	-90.116600
33.691406	-89.651665
34.179688	-88.862671
34.667969	-88.375160
35.156250	-87.197845
35.644531	-89.513176
36.132812	-89.871445
36.621094	-89.543854
37.109375	-88.172882
37.597656	-88.150826
38.085938	-89.344261
38.574219	-88.991180
39.062500	-89.489006
39.550781	-87.686478
40.039062	-87.686119
40.527344	-87.885513
41.015625	-87.961189
41.503906	-89.111809
41.992188	-87.719528
42.480469	-88.875244
42.968750	-89.438568
43.457031	-87.798882
43.945312	-86.411049
44.433594	-86.629082
44.921875	-89.347588
45.410156	-88.892029
45.898438	-89.269333
46.386719	-87.581757
46.875000	-87.504997
47.363281	-87.188828
47.851562	-87.480339
48.339844	-87.609299
48.828125	-86.793716
49.316406	-87.540619
49.804688	-87.206322
50.292969	-87.314606
50.781250	-84.940865
51.269531	-86.731476
51.757812	-86.033569
52.246094	-85.456833
52.734375	-84.989365
53.222656	-84.826965
53.710938	-87.683464
54.199219	-84.900360
54.687500	-84.394539
55.175781	-83.691559
