Frequency (Hz)	Level (dB)
0.488281	-95.365608
0.976562	-95.166565
1.464844	-95.329979
1.953125	-95.645508
2.441406	-95.707672
2.929688	-94.464333
3.417969	-94.619789
3.906250	-90.884018
4.394531	-95.402946
4.882812	-94.926292
5.371094	-93.155624
5.859375	-92.882408
6.347656	-92.026604
6.835938	-98.167435
7.324219	-95.579819
7.812500	-102.523354
8.300781	-94.184784
8.789062	-97.218422
9.277344	-95.464027
9.765625	-96.408112
10.253906	-93.738060
10.742188	-92.969048
11.230469	-87.583565
11.718750	-95.129089
12.207031	-93.592834
12.695312	-97.451088
13.183594	-86.041916
13.671875	-91.408936
14.160156	-90.364304
14.648438	-91.142792
15.136719	-91.265869
15.625000	-91.259239
16.113281	-90.144203
16.601562	-90.570831
17.089844	-89.409233
17.578125	-92.100189
18.066406	-89.565384
18.554688	-88.260933
19.042969	-88.901207
19.531250	-89.794289
20.019531	-87.358315
20.507812	-88.797302
20.996094	-89.574722
21.484375	-85.686256
21.972656	-90.949608
22.460938	-90.888336
22.949219	-89.385620
23.437500	-91.333504
23.925781	-86.832825
24.414062	-85.357910
24.902344	-88.207222
25.390625	-92.216682
25.878906	-89.392403
26.367188	-91.415955
26.855469	-99.374016
27.343750	-86.177299
27.832031	-87.925438
28.320312	-88.881447
28.808594	-85.914688
29.296875	-86.061142
29.785156	-94.502296
30.273438	-85.194710
30.761719	-93.346100
31.250000	-88.870316
31.738281	-91.116508
32.226562	-86.270981
32.714844	-87.049759
33.203125	-93.194733
33.691406	-88.060913
34.179688	-90.734070
34.667969	-87.568527
35.156250	-91.078972
35.644531	-93.356415
36.132812	-92.349663
36.621094	-91.275131
37.109375	-86.459755
37.597656	-81.190491
38.085938	-85.965645
38.574219	-86.373344
39.062500	-91.752914
39.550781	-88.483849
40.039062	-84.570763
40.527344	-90.924637
41.015625	-97.494141
41.503906	-82.269814
41.992188	-93.992035
42.480469	-82.266075
42.968750	-92.255432
43.457031	-83.168861
43.945312	-88.007492
44.433594	-86.868118
44.921875	-85.233765
45.410156	-82.085220
45.898438	-82.764175
46.386719	-91.887550
46.875000	-92.319145
47.363281	-89.872581
47.851562	-89.857559
48.339844	-84.881447
48.828125	-88.334564
49.316406	-99.492523
49.804688	-88.295097
50.292969	-90.078415
50.781250	-85.052544
51.269531	-85.310326
51.757812	-83.296349
52.246094	-84.740814
52.734375	-82.984665
53.222656	-84.023773
53.710938	-82.948563
54.199219	-81.338585
54.687500	-89.754868
55.175781	-83.276573
55.664062	-83.204163
56.152344	-82.349815
56.640625	-81.502609
57.128906	-83.721443
57.617188	-78.036392
58.105469	-81.469460
58.593750	-79.966728
59.082031	-82.237907
59.570312	-85.834221
60.058594	-83.709023
60.546875	-79.163078
61.035156	-85.743866
61.523438	-81.809807
62.011719	-76.094749
62.500000	-82.238464
62.988281	-81.432358
63.476562	-78.993706
63.964844	-82.637100
64.453125	-92.012939
64.941406	-81.923279
65.429688	-83.923370
65.917969	-83.804192
66.406250	-87.839279
66.894531	-86.429657
67.382812	-83.026505
67.871094	-83.693199
68.359375	-88.196014
68.847656	-81.919624
69.335938	-83.818108
69.824219	-85.344116
70.312500	-83.232903
70.800781	-82.296211
71.289062	-90.443436
71.777344	-83.944534
72.265625	-85.027328
72.753906	-83.859436
73.242188	-79.631622
73.730469	-80.934349
74.218750	-81.600006
74.707031	-80.750702
75.195312	-82.141258
75.683594	-80.036652
76.171875	-84.084610
76.660156	-83.745193
77.148438	-91.187042
77.636719	-80.945358
78.125000	-87.193451
78.613281	-82.454742
79.101562	-88.205925
79.589844	-83.896935
80.078125	-80.826790
80.566406	-87.994522
81.054688	-86.463753
81.542969	-90.941681
82.031250	-83.926620
82.519531	-77.977394
83.007812	-80.602776
83.496094	-78.052109
83.984375	-81.018211
84.472656	-81.403893
84.960938	-79.830826
85.449219	-80.431480
85.937500	-80.120239
86.425781	-77.680786
86.914062	-80.448906
87.402344	-80.628426
87.890625	-82.109253
88.378906	-91.360649
88.867188	-82.604721
89.355469	-85.502457
89.843750	-81.565407
90.332031	-80.481842
90.820312	-81.845772
91.308594	-82.769005
91.796875	-82.708305
92.285156	-84.104279
92.773438	-83.694183
93.261719	-83.416321
93.750000	-80.059227
94.238281	-85.405685
94.726562	-85.183983
95.214844	-82.820961
95.703125	-84.470383
96.191406	-85.146049
96.679688	-85.430717
97.167969	-81.312035
97.656250	-82.995628
98.144531	-77.143387
98.632812	-81.384903
99.121094	-85.294846
99.609375	-79.165695
100.097656	-75.514938
100.585938	-76.919312
101.074219	-83.118019
101.562500	-80.165520
102.050781	-82.288048
102.539062	-81.665375
103.027344	-81.076912
103.515625	-83.041779
104.003906	-88.849205
104.492188	-82.545395
104.980469	-75.712646
105.468750	-80.718002
105.957031	-79.128754
106.445312	-83.362831
106.933594	-80.801300
107.421875	-85.861191
107.910156	-89.500076
108.398438	-84.905754
108.886719	-84.051247
109.375000	-84.802826
109.863281	-79.503090
110.351562	-76.822769
110.839844	-81.144119
111.328125	-91.583389
111.816406	-82.061203
112.304688	-86.432747
112.792969	-85.484283
113.281250	-80.211441
113.769531	-84.055351
114.257812	-78.372147
114.746094	-84.152214
115.234375	-82.216675
115.722656	-84.324867
116.210938	-78.264465
116.699219	-86.002884
117.187500	-79.575302
117.675781	-82.231796
118.164062	-78.821808
118.652344	-81.531738
119.140625	-84.852608
119.628906	-75.248749
120.117188	-77.689476
120.605469	-82.588509
121.093750	-83.011047
121.582031	-80.720154
122.070312	-82.175209
122.558594	-75.658966
123.046875	-85.220032
123.535156	-80.467033
124.023438	-78.630920
124.511719	-85.924500
125.000000	-79.987137
125.488281	-84.263641
125.976562	-80.784431
126.464844	-82.124763
126.953125	-84.151779
127.441406	-82.923676
127.929688	-80.905739
128.417969	-88.512634
128.906250	-72.901489
129.394531	-80.422676
129.882812	-81.447342
130.371094	-84.137611
130.859375	-79.930443
131.347656	-81.399643
131.835938	-88.259697
132.324219	-99.379799
132.812500	-79.346802
133.300781	-88.625198
133.789062	-81.273857
134.277344	-85.004440
134.765625	-83.667656
135.253906	-83.919380
135.742188	-74.734894
136.230469	-80.986206
136.718750	-88.331955
137.207031	-89.778267
137.695312	-83.182434
138.183594	-84.879852
138.671875	-83.187935
139.160156	-100.042404
139.648438	-76.506035
140.136719	-79.640671
140.625000	-83.288727
141.113281	-83.873665
141.601562	-75.961967
142.089844	-77.516815
142.578125	-83.802368
143.066406	-78.979279
143.554688	-78.930161
144.042969	-75.833244
144.531250	-82.228554
145.019531	-76.054855
145.507812	-77.096443
145.996094	-85.144936
146.484375	-76.935257
146.972656	-81.837242
147.460938	-77.048790
147.949219	-84.842529
148.437500	-80.568878
148.925781	-75.203270
149.414062	-82.485542
149.902344	-78.731834
150.390625	-80.169235
150.878906	-80.780861
151.367188	-78.027481
151.855469	-78.123909
152.343750	-83.633240
152.832031	-82.067047
153.320312	-85.224297
153.808594	-82.327744
154.296875	-78.362694
154.785156	-82.038811
155.273438	-75.268211
155.761719	-85.955635
156.250000	-71.997093
156.738281	-81.913132
157.226562	-79.160606
157.714844	-76.785484
158.203125	-79.359344
158.691406	-80.203773
159.179688	-76.259026
159.667969	-79.344887
160.156250	-79.007561
160.644531	-79.680840
161.132812	-86.106171
161.621094	-85.840744
162.109375	-74.674530
162.597656	-91.088959
163.085938	-80.030396
163.574219	-78.824089
164.062500	-81.219658
164.550781	-86.650078
165.039062	-80.522629
165.527344	-78.689743
166.015625	-79.978157
166.503906	-88.052551
166.992188	-71.392563
167.480469	-80.324982
167.968750	-74.610306
168.457031	-77.409035
168.945312	-86.169762
169.433594	-78.170662
169.921875	-79.163467
170.410156	-73.567238
170.898438	-73.788620
171.386719	-84.769501
171.875000	-81.664368
172.363281	-80.634567
172.851562	-85.338638
173.339844	-79.964401
173.828125	-85.636421
174.316406	-84.833549
174.804688	-74.922058
175.292969	-80.427208
175.781250	-79.117012
176.269531	-88.885048
176.757812	-72.449181
177.246094	-78.226463
177.734375	-75.940437
178.222656	-76.865585
178.710938	-76.283257
179.199219	-78.872444
179.687500	-80.234238
180.175781	-80.187462
180.664062	-75.989090
181.152344	-79.367279
181.640625	-83.481453
182.128906	-77.720436
182.617188	-80.219910
183.105469	-80.179253
183.593750	-83.284111
184.082031	-88.679344
184.570312	-82.972610
185.058594	-79.839149
185.546875	-72.951813
186.035156	-83.528610
186.523438	-78.524689
187.011719	-82.882393
187.500000	-79.589317
187.988281	-76.168266
188.476562	-75.320084
188.964844	-79.846901
189.453125	-80.230659
189.941406	-80.220360
190.429688	-95.451408
190.917969	-82.330948
191.406250	-83.156219
191.894531	-75.604370
192.382812	-83.077126
192.871094	-82.443207
193.359375	-77.431091
193.847656	-81.100517
194.335938	-76.893684
194.824219	-75.020241
195.312500	-79.259857
195.800781	-77.780342
196.289062	-84.174866
196.777344	-74.343269
197.265625	-82.154533
197.753906	-77.399643
198.242188	-79.644112
198.730469	-78.492905
199.218750	-79.401520
199.707031	-74.760735
200.195312	-75.147873
200.683594	-77.196365
201.171875	-75.058052
201.660156	-79.644257
