Frequency (Hz)	Level (dB)
0.488281	-100.387405
0.976562	-100.534027
1.464844	-100.170074
1.953125	-100.671219
2.441406	-100.154518
2.929688	-100.439850
3.417969	-99.190163
3.906250	-100.204117
4.394531	-98.939941
4.882812	-98.757851
5.371094	-99.327034
5.859375	-97.568275
6.347656	-97.258713
6.835938	-95.913643
7.324219	-98.485146
7.812500	-96.388474
8.300781	-97.752983
8.789062	-98.033119
9.277344	-96.697594
9.765625	-95.923340
10.253906	-94.046730
10.742188	-93.212959
11.230469	-92.487549
11.718750	-91.756210
12.207031	-92.160316
12.695312	-92.277344
13.183594	-90.533485
13.671875	-90.337234
14.160156	-92.574928
14.648438	-90.943794
15.136719	-92.592056
15.625000	-88.671844
16.113281	-91.674362
16.601562	-91.335022
17.089844	-91.531296
17.578125	-91.764694
18.066406	-91.668922
18.554688	-89.905708
19.042969	-89.908699
19.531250	-89.968292
20.019531	-90.890923
20.507812	-91.442406
20.996094	-87.961731
21.484375	-89.052048
21.972656	-88.643921
22.460938	-87.901451
22.949219	-85.100983
23.437500	-88.861137
23.925781	-89.006058
24.414062	-89.251534
24.902344	-88.408516
25.390625	-88.284027
25.878906	-87.663963
26.367188	-86.728645
26.855469	-88.010735
27.343750	-87.146049
27.832031	-87.910782
28.320312	-89.951279
28.808594	-89.809044
29.296875	-89.167160
29.785156	-85.937782
30.273438	-88.135956
30.761719	-91.020020
31.250000	-88.619019
31.738281	-88.372345
32.226562	-88.747116
32.714844	-89.381706
33.203125	-88.042412
33.691406	-86.328674
34.179688	-87.510597
34.667969	-85.838898
35.156250	-86.381798
35.644531	-86.195702
36.132812	-86.499733
36.621094	-86.734512
37.109375	-88.640030
37.597656	-87.084412
38.085938	-88.579613
38.574219	-87.156723
39.062500	-89.644012
39.550781	-88.232079
40.039062	-85.967964
40.527344	-87.848053
41.015625	-87.983963
41.503906	-88.198082
41.992188	-87.305168
42.480469	-88.582176
42.968750	-87.931557
43.457031	-87.669991
43.945312	-87.342384
44.433594	-89.027565
44.921875	-88.100304
45.410156	-87.292984
45.898438	-87.342636
46.386719	-84.360870
46.875000	-86.285591
47.363281	-86.527046
47.851562	-87.578812
48.339844	-86.992432
48.828125	-88.196701
49.316406	-85.506447
49.804688	-83.301453
50.292969	-87.670891
50.781250	-85.215370
51.269531	-87.427155
51.757812	-86.890434
52.246094	-85.873009
52.734375	-85.347786
53.222656	-83.995552
53.710938	-83.885712
54.199219	-84.641876
54.687500	-85.060318
55.175781	-84.775322
55.664062	-85.930511
56.152344	-83.389046
56.640625	-83.450882
57.128906	-84.143120
57.617188	-83.660690
58.105469	-83.477554
58.593750	-87.065720
59.082031	-83.722580
59.570312	-83.024818
60.058594	-82.340492
60.546875	-83.486465
61.035156	-83.410797
61.523438	-81.441360
62.011719	-81.350899
62.500000	-82.010429
62.988281	-80.111923
63.476562	-81.393898
63.964844	-81.210876
64.453125	-82.620605
64.941406	-85.650604
65.429688	-84.217125
65.917969	-85.908035
66.406250	-84.048523
66.894531	-84.233139
67.382812	-86.830315
67.871094	-84.629456
68.359375	-87.049622
68.847656	-85.339569
69.335938	-84.593315
69.824219	-85.428253
70.312500	-85.073395
70.800781	-85.008446
71.289062	-85.222183
71.777344	-84.563103
72.265625	-84.809380
72.753906	-83.048538
73.242188	-82.951912
73.730469	-82.612526
74.218750	-84.053146
