Frequency (Hz)	Level (dB)
0.488281	-98.505539
0.976562	-98.362946
1.464844	-99.142090
1.953125	-97.203339
2.441406	-98.702560
2.929688	-98.987366
3.417969	-96.698929
3.906250	-99.243050
4.394531	-97.094330
4.882812	-100.960152
5.371094	-98.023170
5.859375	-99.710220
6.347656	-97.268105
6.835938	-97.856102
7.324219	-99.233879
7.812500	-97.982399
8.300781	-96.049225
8.789062	-98.784660
9.277344	-92.668251
9.765625	-98.895203
10.253906	-94.955490
10.742188	-95.370049
11.230469	-94.916641
11.718750	-95.706902
12.207031	-95.741798
12.695312	-95.537476
13.183594	-90.017975
13.671875	-100.667107
14.160156	-94.989464
14.648438	-92.825966
15.136719	-96.562996
15.625000	-97.686813
16.113281	-97.341209
16.601562	-91.675957
17.089844	-91.035912
17.578125	-100.428192
18.066406	-87.129623
18.554688	-95.715477
19.042969	-95.805504
19.531250	-94.588921
20.019531	-93.679298
20.507812	-88.650764
20.996094	-93.671402
21.484375	-98.627274
21.972656	-86.456421
22.460938	-95.129700
22.949219	-85.149590
23.437500	-84.841438
23.925781	-94.421600
24.414062	-92.272774
24.902344	-92.491829
25.390625	-91.608017
25.878906	-85.249260
26.367188	-92.420036
26.855469	-86.261650
27.343750	-90.880867
27.832031	-93.668983
28.320312	-100.420815
28.808594	-88.645897
29.296875	-94.411240
29.785156	-93.804390
30.273438	-92.976471
30.761719	-91.286354
31.250000	-97.332581
31.738281	-107.883148
32.226562	-92.128220
32.714844	-89.014114
33.203125	-86.246895
33.691406	-95.822533
34.179688	-95.732071
34.667969	-94.314255
35.156250	-92.193138
35.644531	-83.821159
36.132812	-92.684166
36.621094	-87.561279
37.109375	-86.369476
37.597656	-89.837105
38.085938	-95.056480
38.574219	-93.412193
39.062500	-94.004959
39.550781	-91.962273
40.039062	-96.578949
40.527344	-90.547142
41.015625	-92.886436
41.503906	-95.244576
41.992188	-86.311836
42.480469	-92.039978
42.968750	-96.025635
43.457031	-89.854736
43.945312	-94.400177
44.433594	-93.277397
44.921875	-93.546761
45.410156	-90.595337
45.898438	-92.850876
46.386719	-84.817909
46.875000	-88.362831
47.363281	-92.321648
47.851562	-90.592720
48.339844	-88.015549
48.828125	-91.033485
49.316406	-84.316254
49.804688	-87.781624
50.292969	-90.116287
50.781250	-85.266785
51.269531	-91.482597
51.757812	-97.392166
52.246094	-88.458382
52.734375	-92.168823
53.222656	-87.944794
53.710938	-95.675102
54.199219	-82.795784
54.687500	-96.105347
55.175781	-82.638779
55.664062	-90.068642
56.152344	-85.504082
56.640625	-97.392494
57.128906	-86.550850
57.617188	-89.143478
58.105469	-85.216713
58.593750	-85.226967
59.082031	-80.392754
59.570312	-79.231476
60.058594	-81.612549
60.546875	-82.928238
61.035156	-84.489471
61.523438	-86.092270
62.011719	-85.136696
62.500000	-95.347511
62.988281	-77.835007
63.476562	-90.022354
63.964844	-81.998772
64.453125	-90.294479
64.941406	-86.796715
65.429688	-89.069244
65.917969	-94.894844
66.406250	-86.607826
66.894531	-90.250137
67.382812	-92.135300
67.871094	-90.318146
68.359375	-91.995125
68.847656	-90.675446
69.335938	-89.045319
69.824219	-87.606255
70.312500	-90.535522
70.800781	-88.199722
71.289062	-86.040421
71.777344	-97.624847
72.265625	-89.180794
72.753906	-89.345169
73.242188	-91.252480
73.730469	-87.103027
74.218750	-88.053604
74.707031	-93.977448
75.195312	-87.204872
75.683594	-86.249619
76.171875	-81.552887
76.660156	-102.799553
77.148438	-85.797920
77.636719	-84.925789
78.125000	-86.150375
78.613281	-87.385338
79.101562	-103.057983
79.589844	-86.823196
80.078125	-90.612427
80.566406	-88.103027
81.054688	-87.193581
81.542969	-90.083450
82.031250	-91.152138
82.519531	-78.221001
83.007812	-92.123253
83.496094	-86.146744
83.984375	-84.836891
84.472656	-91.751137
84.960938	-87.350647
85.449219	-84.445496
85.937500	-83.469612
86.425781	-84.877403
86.914062	-93.311180
87.402344	-82.198753
87.890625	-95.633583
88.378906	-88.217865
88.867188	-110.653229
89.355469	-90.897583
89.843750	-91.668922
90.332031	-80.316940
90.820312	-83.360710
91.308594	-82.527435
91.796875	-87.639694
92.285156	-117.013657
92.773438	-83.058022
93.261719	-86.142014
93.750000	-80.608627
94.238281	-92.043907
94.726562	-93.755188
95.214844	-89.193359
95.703125	-92.014389
96.191406	-102.999893
96.679688	-87.342445
97.167969	-84.202255
97.656250	-83.096939
98.144531	-80.759399
98.632812	-96.254768
99.121094	-101.335739
99.609375	-87.819283
100.097656	-82.982056
100.585938	-79.392265
101.074219	-91.157669
101.562500	-81.302734
102.050781	-83.094727
102.539062	-87.650261
103.027344	-82.988205
103.515625	-86.030678
104.003906	-85.055618
104.492188	-86.339890
104.980469	-81.271614
105.468750	-86.999298
105.957031	-79.630653
106.445312	-91.618584
106.933594	-93.400085
107.421875	-84.827332
107.910156	-94.911720
108.398438	-88.904236
108.886719	-85.716469
109.375000	-86.503082
109.863281	-97.064095
110.351562	-79.093788
110.839844	-82.101387
111.328125	-84.332054
111.816406	-84.684807
112.304688	-102.562378
112.792969	-84.445694
113.281250	-84.222191
113.769531	-95.332542
114.257812	-77.448914
114.746094	-83.098534
115.234375	-76.208443
115.722656	-84.455208
116.210938	-80.573647
116.699219	-81.885620
117.187500	-81.841637
117.675781	-83.889046
118.164062	-86.480217
118.652344	-87.580574
119.140625	-84.992523
119.628906	-78.146202
120.117188	-84.436554
120.605469	-93.680229
121.093750	-97.779877
121.582031	-83.520172
122.070312	-82.666855
122.558594	-84.761581
123.046875	-79.710037
123.535156	-91.036072
124.023438	-78.651222
124.511719	-82.300812
125.000000	-78.866470
125.488281	-79.479095
125.976562	-78.228226
126.464844	-81.971542
126.953125	-82.573769
127.441406	-84.635666
127.929688	-82.876320
128.417969	-89.817337
128.906250	-74.642097
129.394531	-82.735527
129.882812	-85.151276
130.371094	-79.044868
130.859375	-80.312996
131.347656	-80.253799
131.835938	-83.828148
132.324219	-89.308617
132.812500	-89.598236
133.300781	-86.380203
133.789062	-75.882614
134.277344	-87.391029
134.765625	-85.605812
135.253906	-81.407013
135.742188	-75.342812
136.230469	-85.861549
136.718750	-68.950302
137.207031	-85.773972
