Frequency (Hz)	Level (dB)
0.488281	-94.970093
0.976562	-95.146027
1.464844	-94.996315
1.953125	-95.013466
2.441406	-94.975456
2.929688	-94.780449
3.417969	-94.800606
3.906250	-94.972130
4.394531	-94.569420
4.882812	-95.042336
5.371094	-94.805664
5.859375	-94.472412
6.347656	-94.452797
6.835938	-93.188835
7.324219	-94.635963
7.812500	-93.846458
8.300781	-94.552444
8.789062	-94.627197
9.277344	-92.997574
9.765625	-92.521729
10.253906	-92.941109
10.742188	-91.797501
11.230469	-91.780724
11.718750	-90.354645
12.207031	-91.735001
12.695312	-92.826401
13.183594	-90.291847
13.671875	-92.308640
14.160156	-92.183846
14.648438	-91.085510
15.136719	-92.393158
15.625000	-88.421349
16.113281	-90.310616
16.601562	-91.048668
17.089844	-91.524704
17.578125	-91.436371
18.066406	-92.114410
18.554688	-89.905373
19.042969	-88.707359
19.531250	-90.323982
20.019531	-91.529060
20.507812	-90.495834
20.996094	-89.850830
21.484375	-88.562859
21.972656	-87.833603
22.460938	-88.343254
22.949219	-88.707451
23.437500	-89.681664
23.925781	-88.799065
24.414062	-90.027702
24.902344	-88.292709
25.390625	-88.136879
25.878906	-86.247948
26.367188	-87.649544
26.855469	-87.806122
27.343750	-88.517685
27.832031	-88.892281
28.320312	-88.937637
28.808594	-89.021896
29.296875	-88.378250
29.785156	-86.847260
30.273438	-90.082855
30.761719	-86.919235
31.250000	-89.019585
31.738281	-88.729439
32.226562	-88.665184
32.714844	-90.462669
33.203125	-89.052711
33.691406	-88.229195
34.179688	-88.899910
34.667969	-89.832115
35.156250	-88.050873
35.644531	-89.002052
36.132812	-88.230385
36.621094	-87.644791
37.109375	-88.683800
37.597656	-89.035423
38.085938	-88.209908
38.574219	-88.894608
39.062500	-88.235390
39.550781	-87.510262
40.039062	-87.780350
40.527344	-87.281418
41.015625	-88.152184
41.503906	-88.537582
41.992188	-89.696373
42.480469	-87.715523
42.968750	-89.210945
43.457031	-88.133644
43.945312	-88.329239
44.433594	-87.102142
44.921875	-88.310387
45.410156	-88.465240
45.898438	-88.318062
46.386719	-88.325203
46.875000	-86.098465
47.363281	-87.414726
47.851562	-87.089447
48.339844	-86.573486
48.828125	-88.484146
49.316406	-86.182571
49.804688	-86.753197
50.292969	-85.494331
50.781250	-87.148422
51.269531	-86.827484
51.757812	-86.418358
52.246094	-87.094841
52.734375	-86.534172
53.222656	-84.718460
53.710938	-86.572853
54.199219	-85.261856
54.687500	-85.408936
55.175781	-84.561363
55.664062	-83.712852
56.152344	-85.243233
56.640625	-83.681755
57.128906	-82.781898
57.617188	-84.073029
58.105469	-84.922745
58.593750	-83.399506
59.082031	-85.518944
59.570312	-83.292915
60.058594	-83.611404
60.546875	-84.829224
61.035156	-84.007561
61.523438	-82.881844
62.011719	-80.601944
62.500000	-82.545609
62.988281	-82.670563
63.476562	-82.379028
63.964844	-84.292084
64.453125	-86.365471
64.941406	-85.768471
65.429688	-86.442825
65.917969	-86.136986
66.406250	-88.123810
66.894531	-88.313713
67.382812	-86.343941
67.871094	-84.883263
68.359375	-87.454735
68.847656	-88.187218
69.335938	-85.126656
69.824219	-85.350555
70.312500	-86.559105
70.800781	-85.609146
71.289062	-84.900101
71.777344	-85.387115
72.265625	-87.150551
72.753906	-86.175789
73.242188	-84.644218
73.730469	-85.567635
74.218750	-83.480835
74.707031	-84.540871
75.195312	-84.955048
75.683594	-85.741112
76.171875	-83.211739
76.660156	-84.558571
77.148438	-81.648888
77.636719	-82.439598
78.125000	-84.522301
78.613281	-86.212776
79.101562	-85.069008
79.589844	-85.759888
80.078125	-84.214035
80.566406	-84.587265
81.054688	-85.266136
81.542969	-83.603439
82.031250	-83.782257
82.519531	-83.150528
83.007812	-82.597763
83.496094	-82.283775
83.984375	-81.778427
84.472656	-82.828293
84.960938	-84.011017
85.449219	-82.511139
85.937500	-82.787514
86.425781	-83.406891
