Frequency (Hz)	Level (dB)
0.488281	-92.050812
0.976562	-92.611046
1.464844	-92.442650
1.953125	-91.915054
2.441406	-91.997055
2.929688	-90.653496
3.417969	-91.071945
3.906250	-89.963165
4.394531	-89.611694
4.882812	-89.642410
5.371094	-87.893639
5.859375	-87.740799
6.347656	-85.850441
6.835938	-85.511078
7.324219	-84.146423
7.812500	-83.119888
8.300781	-83.281097
8.789062	-81.778961
9.277344	-81.898331
9.765625	-81.202805
10.253906	-80.979691
10.742188	-80.224457
11.230469	-79.955017
11.718750	-79.339417
12.207031	-79.426262
12.695312	-78.910301
13.183594	-78.393555
13.671875	-78.447891
14.160156	-78.157684
14.648438	-77.159851
15.136719	-77.442276
15.625000	-77.285187
16.113281	-77.034653
16.601562	-76.523483
17.089844	-76.853050
17.578125	-77.746201
18.066406	-76.175377
18.554688	-76.859962
19.042969	-76.297630
19.531250	-76.327530
20.019531	-76.303589
20.507812	-75.743088
20.996094	-75.686348
21.484375	-75.992432
21.972656	-75.773308
22.460938	-75.805954
22.949219	-75.449791
23.437500	-75.656937
23.925781	-76.024475
24.414062	-76.294205
24.902344	-76.118301
25.390625	-75.940193
25.878906	-75.328835
26.367188	-75.755692
26.855469	-75.966370
27.343750	-75.785172
27.832031	-75.788498
28.320312	-75.508224
28.808594	-75.887558
29.296875	-76.231911
29.785156	-74.790009
30.273438	-76.585953
30.761719	-75.899406
31.250000	-76.713814
31.738281	-76.317940
32.226562	-76.244507
32.714844	-76.290337
33.203125	-76.581047
33.691406	-76.933815
34.179688	-76.508698
34.667969	-76.140160
35.156250	-76.474350
35.644531	-76.906265
36.132812	-77.048195
36.621094	-76.646973
37.109375	-76.806465
37.597656	-77.384537
38.085938	-77.091774
38.574219	-77.167900
39.062500	-77.166733
39.550781	-77.489433
40.039062	-77.054314
40.527344	-77.131691
41.015625	-77.699226
41.503906	-77.458633
41.992188	-78.231392
42.480469	-78.189323
42.968750	-78.644905
43.457031	-78.355103
43.945312	-78.688866
44.433594	-78.433983
44.921875	-78.197144
45.410156	-78.325752
45.898438	-78.954277
46.386719	-78.596077
46.875000	-79.097801
47.363281	-79.686356
47.851562	-79.660110
48.339844	-78.088058
48.828125	-80.296432
49.316406	-79.466866
49.804688	-79.948441
50.292969	-80.377914
50.781250	-79.857971
51.269531	-79.912781
51.757812	-79.704102
52.246094	-79.585678
52.734375	-79.004982
53.222656	-79.255539
53.710938	-78.881561
54.199219	-79.736992
54.687500	-80.852898
55.175781	-79.991379
55.664062	-81.413750
56.152344	-80.412483
56.640625	-81.301727
57.128906	-80.091919
57.617188	-80.247360
58.105469	-80.426964
58.593750	-80.936241
59.082031	-81.597420
59.570312	-80.027626
60.058594	-82.186485
60.546875	-81.768715
61.035156	-81.525925
61.523438	-81.154472
62.011719	-78.816086
62.500000	-82.045380
62.988281	-82.112411
63.476562	-80.894180
63.964844	-81.348709
64.453125	-83.487701
64.941406	-83.996323
65.429688	-83.888397
65.917969	-84.081604
66.406250	-82.523651
66.894531	-82.685837
67.382812	-84.052338
67.871094	-84.061996
68.359375	-84.040520
68.847656	-85.415817
69.335938	-83.144409
69.824219	-82.965752
70.312500	-83.327446
70.800781	-84.025841
71.289062	-84.700462
71.777344	-84.263466
72.265625	-84.739983
72.753906	-82.497635
73.242188	-83.205109
73.730469	-82.738419
74.218750	-81.688354
74.707031	-82.743225
75.195312	-83.216667
75.683594	-83.768021
76.171875	-84.369926
76.660156	-84.064644
77.148438	-81.682663
77.636719	-80.202209
78.125000	-82.211021
78.613281	-83.748398
79.101562	-85.160683
79.589844	-84.320236
80.078125	-83.156647
80.566406	-81.676964
81.054688	-84.048706
81.542969	-81.850975
82.031250	-79.529709
82.519531	-79.997025
83.007812	-79.828018
83.496094	-80.889992
83.984375	-80.717026
84.472656	-81.199402
84.960938	-81.571930
85.449219	-83.081635
85.937500	-82.275703
86.425781	-81.922966
86.914062	-81.888313
87.402344	-79.375343
87.890625	-81.446335
88.378906	-83.132858
88.867188	-82.739525
89.355469	-81.806305
89.843750	-81.961296
90.332031	-81.832909
90.820312	-82.162598
91.308594	-81.837791
91.796875	-80.515007
92.285156	-79.423996
92.773438	-79.941689
93.261719	-78.876167
93.750000	-78.463272
94.238281	-79.867630
94.726562	-79.669708
95.214844	-79.664131
95.703125	-81.058945
96.191406	-80.866966
96.679688	-79.207893
97.167969	-80.683296
97.656250	-80.820869
98.144531	-79.708382
98.632812	-81.667908
99.121094	-79.781219
99.609375	-79.220711
100.097656	-80.445427
100.585938	-80.725746
101.074219	-80.406227
101.562500	-79.844070
102.050781	-78.490555
102.539062	-77.878876
103.027344	-78.790276
103.515625	-77.696007
104.003906	-78.714119
104.492188	-79.875443
104.980469	-79.340942
105.468750	-79.179733
105.957031	-77.936668
106.445312	-78.605934
106.933594	-78.585815
107.421875	-77.351692
107.910156	-76.709885
108.398438	-75.011505
108.886719	-75.795059
109.375000	-75.091850
