Frequency (Hz)	Level (dB)
0.488281	-43.987000
0.976562	-51.165627
1.464844	-48.841984
1.953125	-41.641151
2.441406	-44.838760
2.929688	-42.018597
3.417969	-43.765392
3.906250	-51.943787
4.394531	-45.923027
4.882812	-42.276215
5.371094	-45.724495
5.859375	-45.729473
6.347656	-44.144844
6.835938	-43.651539
7.324219	-50.061954
7.812500	-45.628895
8.300781	-57.844147
8.789062	-42.663193
9.277344	-55.116142
9.765625	-44.461578
10.253906	-49.514175
10.742188	-40.499794
11.230469	-47.334949
11.718750	-48.716805
12.207031	-44.699661
12.695312	-48.064140
13.183594	-44.974907
13.671875	-49.956738
14.160156	-43.263439
14.648438	-45.482346
15.136719	-47.471870
15.625000	-49.535175
16.113281	-54.856102
16.601562	-43.478527
17.089844	-48.022400
17.578125	-41.233681
18.066406	-51.759434
18.554688	-42.798710
19.042969	-44.240810
19.531250	-49.345455
20.019531	-46.094227
20.507812	-44.102364
20.996094	-57.685364
21.484375	-42.582031
21.972656	-42.133114
22.460938	-50.476593
22.949219	-40.689384
23.437500	-48.750103
23.925781	-52.058132
24.414062	-47.280960
24.902344	-46.179436
25.390625	-47.457481
25.878906	-52.382790
26.367188	-43.931229
26.855469	-45.873440
27.343750	-50.670708
27.832031	-44.503433
28.320312	-55.988613
28.808594	-50.132206
29.296875	-58.086742
29.785156	-47.434444
30.273438	-58.176548
30.761719	-41.441547
31.250000	-46.557472
31.738281	-56.051712
32.226562	-47.520851
32.714844	-52.404827
33.203125	-43.634098
33.691406	-41.577850
34.179688	-52.992241
34.667969	-47.976826
35.156250	-50.084900
35.644531	-57.521515
36.132812	-43.662415
36.621094	-49.756538
37.109375	-45.057968
37.597656	-42.412254
38.085938	-54.569744
38.574219	-44.160320
39.062500	-46.621273
39.550781	-44.011581
40.039062	-48.076611
40.527344	-42.046581
41.015625	-47.637173
41.503906	-53.077232
41.992188	-51.080307
42.480469	-42.242519
42.968750	-41.326611
43.457031	-48.285049
43.945312	-47.057049
44.433594	-65.654633
44.921875	-40.777897
45.410156	-44.521656
45.898438	-45.181629
46.386719	-51.830692
46.875000	-49.229469
47.363281	-44.007141
47.851562	-44.923939
48.339844	-53.244453
48.828125	-53.222324
49.316406	-48.349674
49.804688	-58.066494
50.292969	-45.117157
50.781250	-46.293045
51.269531	-50.012245
51.757812	-47.377930
52.246094	-49.177994
52.734375	-43.774292
53.222656	-46.018833
53.710938	-45.389591
54.199219	-47.858856
54.687500	-46.398304
55.175781	-42.133900
55.664062	-45.688019
56.152344	-48.516174
56.640625	-51.671669
57.128906	-44.002441
57.617188	-47.796196
58.105469	-47.669014
58.593750	-54.376148
59.082031	-47.088776
59.570312	-56.003178
60.058594	-57.518879
60.546875	-47.863945
61.035156	-47.298401
61.523438	-54.037823
62.011719	-44.193844
62.500000	-52.408054
62.988281	-51.899956
63.476562	-57.718567
63.964844	-39.929676
64.453125	-51.060081
64.941406	-50.204750
65.429688	-54.517670
65.917969	-47.758770
66.406250	-46.830494
66.894531	-48.692097
67.382812	-52.326237
67.871094	-41.614338
68.359375	-56.812588
68.847656	-45.767651
69.335938	-51.115925
69.824219	-50.366272
70.312500	-49.065536
70.800781	-46.025105
71.289062	-48.701561
71.777344	-47.480412
