Frequency (Hz)	Level (dB)
0.976562	-94.472618
1.953125	-94.483894
2.929688	-94.211472
3.906250	-93.969040
4.882812	-93.947891
5.859375	-92.886353
6.835938	-90.444565
7.812500	-92.859085
8.789062	-92.100136
9.765625	-90.777138
10.742188	-88.023865
11.718750	-88.052948
12.695312	-87.601601
13.671875	-86.374977
14.648438	-87.333672
15.625000	-87.189766
16.601562	-87.284744
17.578125	-88.309700
18.554688	-85.452332
19.531250	-84.784492
20.507812	-86.204338
21.484375	-85.259415
22.460938	-84.778580
23.437500	-84.149475
24.414062	-83.333679
25.390625	-84.137451
26.367188	-83.809868
27.343750	-83.422394
28.320312	-82.949722
29.296875	-83.869164
30.273438	-82.561394
31.250000	-83.014832
32.226562	-83.711639
33.203125	-83.651375
34.179688	-83.266350
35.156250	-81.643219
36.132812	-84.587975
37.109375	-84.771477
38.085938	-83.279205
39.062500	-83.821053
40.039062	-83.064018
41.015625	-83.080536
41.992188	-83.174454
42.968750	-83.757286
43.945312	-82.873260
44.921875	-82.368217
45.898438	-83.602783
46.875000	-82.825867
47.851562	-83.193382
48.828125	-84.625679
49.804688	-82.444801
50.781250	-80.267639
51.757812	-81.261726
52.734375	-81.267723
53.710938	-78.995079
54.687500	-79.849014
55.664062	-80.994965
56.640625	-79.602020
57.617188	-79.695114
58.593750	-79.910355
59.570312	-79.419846
60.546875	-77.411842
61.523438	-76.877251
62.500000	-77.070122
63.476562	-77.429565
64.453125	-81.849068
65.429688	-82.611794
66.406250	-83.238739
67.382812	-81.744186
68.359375	-82.983246
69.335938	-82.582214
70.312500	-81.162041
71.289062	-81.850128
72.265625	-82.300415
73.242188	-81.098419
74.218750	-80.258347
75.195312	-80.381081
76.171875	-82.413010
77.148438	-81.739159
78.125000	-82.017563
79.101562	-84.068939
80.078125	-83.401001
81.054688	-83.761703
82.031250	-82.960533
83.007812	-82.338905
83.984375	-82.798950
84.960938	-81.271408
85.937500	-80.883301
86.914062	-80.042946
87.890625	-80.350456
88.867188	-82.819275
89.843750	-81.032463
90.820312	-81.915596
91.796875	-82.198318
92.773438	-82.562889
93.750000	-83.322090
94.726562	-82.891129
95.703125	-81.993477
96.679688	-82.129959
97.656250	-82.888435
98.632812	-82.668129
99.609375	-82.659790
100.585938	-81.185158
101.562500	-81.669327
102.539062	-79.972824
103.515625	-81.051567
104.492188	-79.939232
105.468750	-81.287308
106.445312	-81.433228
107.421875	-81.671463
108.398438	-82.133812
109.375000	-80.904228
110.351562	-80.892365
111.328125	-82.669548
112.304688	-81.940552
113.281250	-81.457756
114.257812	-79.919411
115.234375	-80.697075
116.210938	-80.819534
117.187500	-81.023888
118.164062	-79.179474
119.140625	-78.731682
120.117188	-76.532242
121.093750	-74.448463
122.070312	-81.696716
123.046875	-81.525063
124.023438	-80.809029
125.000000	-81.158035
125.976562	-81.473907
126.953125	-81.661629
127.929688	-82.333229
128.906250	-80.126633
129.882812	-81.461174
130.859375	-82.916054
131.835938	-82.249779
132.812500	-82.099960
133.789062	-82.155556
134.765625	-81.896591
135.742188	-81.257561
136.718750	-81.872360
137.695312	-81.648895
138.671875	-80.167122
139.648438	-80.189644
140.625000	-79.817383
141.601562	-80.942223
142.578125	-80.876183
143.554688	-80.188728
144.531250	-80.493202
145.507812	-80.423203
146.484375	-81.102989
147.460938	-82.300858
