Frequency (Hz)	Level (dB)
0.672913	-95.681107
1.345825	-95.786522
2.018738	-95.586044
2.691650	-95.596222
3.364563	-94.579384
4.037476	-94.776756
4.710388	-95.140495
5.383301	-94.570869
6.056213	-92.917595
6.729126	-94.323196
7.402039	-94.975586
8.074951	-95.243011
8.747864	-95.549606
9.420776	-92.807892
10.093689	-92.562164
10.766602	-92.232536
11.439514	-88.910141
12.112427	-89.767616
12.785339	-89.128456
13.458252	-87.553871
14.131165	-88.684814
14.804077	-88.673454
15.476990	-90.099129
16.149902	-89.896652
16.822815	-90.456352
17.495728	-91.797379
18.168640	-90.029549
18.841553	-88.399879
19.514465	-86.816307
20.187378	-86.626991
20.860291	-85.985153
21.533203	-86.530556
22.206116	-85.491653
22.879028	-85.603745
23.551941	-84.662827
24.224854	-87.161644
24.897766	-86.632050
25.570679	-84.991837
26.243591	-84.335236
26.916504	-85.736473
27.589417	-87.356514
28.262329	-84.765457
28.935242	-85.477608
29.608154	-83.179070
30.281067	-87.872810
30.953979	-86.754036
31.626892	-84.311501
32.299805	-85.212326
32.972717	-85.726997
33.645630	-86.197495
34.318542	-86.425171
34.991455	-86.146515
35.664368	-85.132874
36.337280	-85.394897
37.010193	-86.838692
37.683105	-85.172264
38.356018	-85.454773
39.028931	-85.873688
39.701843	-85.445480
40.374756	-85.871033
41.047668	-84.805168
41.720581	-85.249031
42.393494	-84.380539
43.066406	-86.384850
43.739319	-85.330063
44.412231	-84.912720
45.085144	-84.494064
45.758057	-84.418579
46.430969	-86.412666
47.103882	-84.252693
47.776794	-84.584068
48.449707	-82.057121
49.122620	-82.192970
49.795532	-83.420250
50.468445	-83.479645
51.141357	-82.619049
51.814270	-82.318924
52.487183	-83.165390
53.160095	-82.888153
53.833008	-82.120468
54.505920	-82.582314
55.178833	-80.440147
55.851746	-79.966499
56.524658	-81.574234
57.197571	-80.898712
57.870483	-81.955612
58.543396	-79.648178
59.216309	-82.046318
59.889221	-81.193275
60.562134	-80.109772
61.235046	-79.195999
61.907959	-78.189453
62.580872	-79.753654
63.253784	-80.861290
63.926697	-81.952499
64.599609	-81.539665
65.272522	-81.907005
65.945435	-81.301208
66.618347	-83.054688
67.291260	-83.502434
67.964172	-84.326881
68.637085	-83.234940
69.309998	-83.200951
69.982910	-83.860382
70.655823	-82.308495
71.328735	-81.977013
72.001648	-80.951813
72.674561	-75.072807
73.347473	-83.619576
74.020386	-82.889984
74.693298	-81.164696
