Frequency (Hz)	Level (dB)
0.672913	-94.432518
1.345825	-94.473976
2.018738	-94.459702
2.691650	-94.449974
3.364563	-94.307793
4.037476	-93.523293
4.710388	-93.697975
5.383301	-93.496880
6.056213	-93.638863
6.729126	-92.105179
7.402039	-93.047798
8.074951	-94.095512
8.747864	-93.133987
9.420776	-92.703621
10.093689	-90.754044
10.766602	-89.286514
11.439514	-89.289352
12.112427	-89.243126
12.785339	-89.363747
13.458252	-87.449249
14.131165	-88.374657
14.804077	-88.844612
15.476990	-89.886780
16.149902	-88.326637
16.822815	-87.943825
17.495728	-89.660889
18.168640	-87.631584
18.841553	-87.337532
19.514465	-86.151848
20.187378	-87.772423
20.860291	-86.676331
21.533203	-87.229149
22.206116	-85.887634
22.879028	-83.080559
23.551941	-84.638107
24.224854	-85.178055
24.897766	-86.608627
25.570679	-85.320618
26.243591	-84.213470
26.916504	-84.532181
27.589417	-85.004478
28.262329	-86.182388
28.935242	-87.091476
29.608154	-83.064751
30.281067	-86.075851
30.953979	-86.602295
31.626892	-83.188698
32.299805	-86.620796
32.972717	-85.551170
33.645630	-87.916512
34.318542	-85.642975
34.991455	-85.146912
35.664368	-85.145157
36.337280	-84.896416
37.010193	-85.420822
37.683105	-85.118385
38.356018	-85.867462
39.028931	-84.189125
39.701843	-84.658981
40.374756	-84.421806
41.047668	-83.137802
41.720581	-82.407356
42.393494	-84.072205
43.066406	-84.860397
43.739319	-85.391441
44.412231	-84.709183
45.085144	-83.819725
45.758057	-84.357887
46.430969	-85.499054
47.103882	-83.128487
47.776794	-83.952858
48.449707	-83.479584
49.122620	-83.556343
49.795532	-82.437828
50.468445	-82.871109
51.141357	-82.629349
51.814270	-81.359108
52.487183	-81.770554
53.160095	-82.995041
53.833008	-81.427444
54.505920	-81.608231
55.178833	-80.129967
55.851746	-80.707916
56.524658	-80.581902
57.197571	-80.697975
57.870483	-79.688828
58.543396	-78.745201
59.216309	-80.771568
59.889221	-79.590439
60.562134	-78.552025
61.235046	-81.055679
61.907959	-80.350121
62.580872	-79.444489
63.253784	-80.688255
63.926697	-82.806656
64.599609	-83.297752
65.272522	-81.586868
65.945435	-82.253761
66.618347	-80.265472
67.291260	-82.796745
67.964172	-80.473625
68.637085	-80.118965
69.309998	-81.665916
69.982910	-81.751686
70.655823	-81.403931
71.328735	-80.495064
72.001648	-80.165100
72.674561	-72.673538
73.347473	-79.594910
74.020386	-80.812088
74.693298	-80.089592
75.366211	-81.807327
76.039124	-82.224854
76.712036	-79.417877
77.384949	-81.458702
78.057861	-82.687454
78.730774	-81.920845
79.403687	-82.367943
80.076599	-82.324196
80.749512	-81.687813
81.422424	-83.308548
82.095337	-80.456772
82.768250	-80.755463
83.441162	-83.137001
84.114075	-79.822334
84.786987	-81.768532
85.459900	-80.608749
86.132812	-80.110031
86.805725	-80.397026
87.478638	-80.366669
88.151550	-81.421829
88.824463	-79.960434
89.497375	-79.552673
90.170288	-80.389381
90.843201	-81.771782
91.516113	-80.145691
92.189026	-80.578903
92.861938	-81.619835
93.534851	-79.541061
94.207764	-83.928047
94.880676	-81.781525
95.553589	-82.047188
96.226501	-80.352020
96.899414	-81.709518
97.572327	-81.614632
98.245239	-83.975571
98.918152	-79.859947
99.591064	-83.246117
100.263977	-81.342285
100.936890	-81.272720
101.609802	-80.202705
102.282715	-81.752167
102.955627	-79.549988
103.628540	-80.914169
104.301453	-80.907974
104.974365	-80.164619
105.647278	-79.464378
106.320190	-80.202835
106.993103	-81.000992
107.666016	-81.794014
108.338928	-79.348328
109.011841	-80.590271
109.684753	-81.150230
110.357666	-79.876770
111.030579	-82.015816
111.703491	-81.470863
112.376404	-82.545540
113.049316	-83.067528
113.722229	-78.563011
114.395142	-76.875320
115.068054	-80.437973
115.740967	-78.316711
116.413879	-79.154099
117.086792	-78.923065
117.759705	-79.128654
118.432617	-79.062515
119.105530	-78.261162
119.778442	-72.825539
120.451355	-77.988716
121.124268	-76.647652
121.797180	-77.186920
122.470093	-78.661720
123.143005	-78.692772
123.815918	-81.406609
124.488831	-80.819992
125.161743	-81.100143
125.834656	-81.162079
126.507568	-80.421791
127.180481	-79.786575
127.853394	-80.039207
128.526306	-77.942459
129.199219	-79.522385
129.872131	-80.988152
130.545044	-79.491920
131.217957	-79.931252
131.890869	-81.668579
132.563782	-78.845497
133.236694	-79.709259
133.909607	-78.234482
134.582520	-80.367668
135.255432	-78.555679
135.928345	-81.334557
136.601257	-79.762787
137.274170	-80.318146
137.947083	-80.227859
138.619995	-78.507423
139.292908	-79.675400
139.965820	-80.860489
140.638733	-78.517166
141.311646	-78.793335
141.984558	-78.687553
142.657471	-78.858620
143.330383	-82.111107
144.003296	-78.263252
144.676208	-77.112312
145.349121	-76.636375
146.022034	-77.613037
146.694946	-79.552193
147.367859	-78.944908
148.040771	-79.072647
148.713684	-77.672607
149.386597	-77.600456
150.059509	-80.734795
150.732422	-77.088493
151.405334	-79.553032
152.078247	-77.460381
152.751160	-76.826851
153.424072	-75.040833
154.096985	-80.062492
154.769897	-78.174347
155.442810	-79.719566
156.115723	-78.529587
156.788635	-79.385933
157.461548	-76.799355
158.134460	-76.221283
158.807373	-76.115883
159.480286	-76.331467
160.153198	-76.852493
160.826111	-77.350426
161.499023	-78.741844
162.171936	-78.049194
162.844849	-77.907166
163.517761	-76.877571
164.190674	-79.208466
164.863586	-80.135521
165.536499	-79.006729
166.209412	-77.437889
166.882324	-75.706482
167.555237	-77.876984
168.228149	-78.835335
168.901062	-78.661942
169.573975	-77.622353
170.246887	-78.540283
170.919800	-77.881493
171.592712	-76.432549
172.265625	-76.589005
172.938538	-78.302673
173.611450	-78.181572
174.284363	-77.336678
174.957275	-75.042305
175.630188	-76.558289
176.303101	-76.457848
176.976013	-75.713547
177.648926	-76.499092
178.321838	-76.026382
178.994751	-77.515434
179.667664	-75.070000
180.340576	-75.124527
181.013489	-76.807991
181.686401	-75.861504
182.359314	-76.880585
183.032227	-76.010757
183.705139	-77.063248
184.378052	-77.501122
185.050964	-74.745667
185.723877	-75.490814
186.396790	-77.568001
187.069702	-75.209419
187.742615	-78.299995
188.415527	-77.172523
189.088440	-75.423393
189.761353	-76.718605
190.434265	-75.630219
191.107178	-77.503853
191.780090	-76.940826
192.453003	-74.973633
193.125916	-76.616241
193.798828	-76.204529
194.471741	-75.720230
195.144653	-74.156105
195.817566	-75.017906
196.490479	-73.540108
197.163391	-73.063866
197.836304	-73.780212
198.509216	-75.271881
199.182129	-75.725403
199.855042	-74.766434
200.527954	-74.196266
201.200867	-74.291451
201.873779	-76.106682
202.546692	-74.728386
203.219604	-74.829239
203.892517	-75.545761
204.565430	-74.345207
205.238342	-73.042351
205.911255	-74.345474
206.584167	-73.877892
207.257080	-72.406906
207.929993	-74.873322
208.602905	-74.262917
209.275818	-73.702492
209.948730	-73.461212
210.621643	-74.677650
211.294556	-73.088181
211.967468	-73.283058
212.640381	-72.360703
213.313293	-73.174019
213.986206	-72.953392
214.659119	-74.288300
215.332031	-73.393517
216.004944	-72.609428
216.677856	-72.382980
217.350769	-70.279778
218.023682	-72.153625
218.696594	-71.907951
219.369507	-71.075371
220.042419	-72.920906
220.715332	-72.773964
221.388245	-70.529755
222.061157	-70.827293
222.734070	-70.066338
223.406982	-71.952896
224.079895	-70.854546
224.752808	-70.482658
225.425720	-69.336014
226.098633	-70.691299
226.771545	-69.516525
227.444458	-69.628853
228.117371	-72.357162
228.790283	-71.205109
229.463196	-71.755753
230.136108	-72.664116
230.809021	-70.270103
231.481934	-69.850670
232.154846	-68.706009
232.827759	-69.024055
233.500671	-67.864212
234.173584	-69.995949
234.846497	-70.011597
235.519409	-69.375969
236.192322	-69.418953
236.865234	-67.593948
237.538147	-66.911972
238.211060	-69.146523
238.883972	-67.966354
239.556885	-68.852417
240.229797	-67.528664
240.902710	-65.736893
241.575623	-62.907127
242.248535	-66.797829
242.921448	-65.434799
243.594360	-66.653069
244.267273	-67.620903
244.940186	-65.945312
245.613098	-66.403694
246.286011	-66.425133
246.958923	-64.775337
247.631836	-64.439690
248.304749	-67.509903
248.977661	-62.609177
249.650574	-64.963707
250.323486	-64.797340
250.996399	-66.045738
251.669312	-66.646057
252.342224	-64.555725
253.015137	-63.589218
253.688049	-65.686073
254.360962	-65.269035
255.033875	-64.376915
255.706787	-63.095226
256.379700	-63.284317
257.052612	-63.433094
257.725525	-63.679909
258.398438	-63.256104
259.071350	-63.668205
259.744263	-64.885109
260.417175	-62.874748
261.090088	-62.663807
261.763000	-63.643574
262.435913	-65.112747
263.108826	-60.876621
263.781738	-60.740395
264.454651	-62.980526
265.127563	-61.878025
265.800476	-62.091267
266.473389	-62.075287
267.146301	-61.411140
267.819214	-63.446846
268.492126	-61.785007
269.165039	-60.999580
269.837952	-63.078800
270.510864	-63.375305
271.183777	-63.538513
271.856689	-64.608734
272.529602	-62.920403
273.202515	-61.975574
273.875427	-66.049171
274.548340	-63.785347
275.221252	-64.062355
275.894165	-63.932541
276.567078	-63.466484
277.239990	-64.619286
277.912903	-62.873020
278.585815	-63.087315
279.258728	-64.019989
279.931641	-64.046005
280.604553	-63.361370
281.277466	-64.133064
281.950378	-64.915466
282.623291	-64.032799
283.296204	-65.317688
283.969116	-67.369080
284.642029	-67.730156
285.314941	-65.954819
285.987854	-67.638374
286.660767	-66.043289
287.333679	-67.819962
288.006592	-65.650246
288.679504	-67.677872
289.352417	-66.687546
290.025330	-68.796570
290.698242	-67.917686
291.371155	-66.089111
292.044067	-67.448380
292.716980	-67.776642
293.389893	-68.320343
294.062805	-68.394501
294.735718	-68.272934
295.408630	-68.927818
296.081543	-69.326721
296.754456	-66.458649
297.427368	-68.145935
298.100281	-70.234070
298.773193	-68.984573
299.446106	-68.859268
300.119019	-71.449249
300.791931	-69.696465
301.464844	-69.119583
302.137756	-69.165344
302.810669	-69.852730
303.483582	-71.114441
304.156494	-71.027878
304.829407	-73.396667
305.502319	-70.325012
306.175232	-69.318794
306.848145	-67.687950
307.521057	-69.664772
308.193970	-70.060341
308.866882	-72.122581
309.539795	-71.324455
310.212708	-70.522354
310.885620	-71.722237
311.558533	-71.355942
312.231445	-72.339851
312.904358	-71.473892
313.577271	-71.712143
314.250183	-70.189667
314.923096	-69.803474
315.596008	-69.132904
316.268921	-69.256805
316.941833	-70.883507
317.614746	-70.222733
318.287659	-72.317490
318.960571	-74.234444
319.633484	-73.127289
320.306396	-72.032814
320.979309	-73.514793
321.652222	-71.819389
322.325134	-71.314743
322.998047	-73.132629
323.670959	-73.043869
324.343872	-73.523750
325.016785	-72.546707
325.689697	-71.288498
326.362610	-74.732292
327.035522	-73.057770
327.708435	-72.091888
328.381348	-73.244370
329.054260	-73.350075
329.727173	-74.617523
330.400085	-72.452896
331.072998	-71.430489
331.745911	-73.955444
332.418823	-74.411179
333.091736	-73.328575
333.764648	-73.412552
334.437561	-72.865982
335.110474	-74.871880
335.783386	-73.222031
336.456299	-73.218956
337.129211	-75.379623
337.802124	-76.319931
338.475037	-73.826263
339.147949	-74.195808
339.820862	-71.044861
340.493774	-74.316025
341.166687	-74.153183
341.839600	-73.456627
342.512512	-74.462051
343.185425	-72.695641
343.858337	-75.267075
344.531250	-75.774521
345.204163	-75.386223
345.877075	-76.887398
346.549988	-76.015968
347.222900	-72.702812
347.895813	-73.815491
348.568726	-75.374138
349.241638	-74.117897
349.914551	-72.709167
350.587463	-74.465439
351.260376	-75.212700
351.933289	-75.340439
352.606201	-74.066231
353.279114	-73.966797
353.952026	-74.565041
354.624939	-77.023041
355.297852	-74.490700
355.970764	-75.815155
356.643677	-75.782768
357.316589	-74.664375
357.989502	-74.241165
358.662415	-74.322906
359.335327	-74.490364
360.008240	-74.381767
360.681152	-75.460770
361.354065	-74.419434
362.026978	-75.224617
362.699890	-76.528236
363.372803	-74.612389
364.045715	-73.866142
364.718628	-74.680519
365.391541	-75.175568
366.064453	-74.000099
366.737366	-75.243401
367.410278	-74.135658
368.083191	-74.791939
368.756104	-74.815674
369.429016	-74.964691
370.101929	-75.070427
370.774841	-74.842171
371.447754	-73.691727
372.120667	-73.098183
372.793579	-74.514641
373.466492	-75.248878
374.139404	-74.828812
374.812317	-75.359726
375.485229	-74.606262
376.158142	-74.435188
376.831055	-74.051254
377.503967	-74.275360
378.176880	-75.380226
378.849792	-74.655861
379.522705	-75.082199
380.195618	-75.479851
380.868530	-75.097694
381.541443	-75.062393
382.214355	-75.352371
382.887268	-76.153618
383.560181	-75.743820
384.233093	-73.986649
384.906006	-74.190506
385.578918	-75.463547
386.251831	-73.783485
386.924744	-74.644310
387.597656	-76.409744
388.270569	-76.328384
388.943481	-76.440865
389.616394	-76.095886
390.289307	-74.481331
390.962219	-76.271530
391.635132	-73.573013
392.308044	-73.267662
392.980957	-72.271103
393.653870	-74.624825
394.326782	-74.085197
394.999695	-73.610947
395.672607	-73.241501
396.345520	-77.849457
397.018433	-75.726799
397.691345	-76.931725
398.364258	-75.944168
399.037170	-75.122833
399.710083	-73.964600
400.382996	-75.911118
401.055908	-76.454453
401.728821	-74.400475
402.401733	-73.232605
403.074646	-74.402321
403.747559	-76.774475
404.420471	-76.378830
405.093384	-77.030159
405.766296	-76.710762
406.439209	-73.155365
407.112122	-75.168350
407.785034	-77.101585
408.457947	-74.046898
409.130859	-73.451729
409.803772	-74.022614
410.476685	-75.063957
411.149597	-76.745720
411.822510	-75.977737
412.495422	-73.550682
413.168335	-74.161102
413.841248	-74.977524
414.514160	-75.357719
415.187073	-75.079002
415.859985	-74.411758
416.532898	-75.527954
417.205811	-76.217735
417.878723	-74.696693
418.551636	-76.853020
419.224548	-76.416443
419.897461	-76.142235
420.570374	-74.213394
421.243286	-75.003654
421.916199	-75.685532
422.589111	-76.037117
423.262024	-77.137390
423.934937	-76.246445
424.607849	-74.658997
425.280762	-73.423439
425.953674	-75.516930
426.626587	-73.111374
427.299500	-74.252502
427.972412	-75.767365
428.645325	-73.444801
429.318237	-73.502495
429.991150	-76.959366
430.664062	-75.198578
431.336975	-75.568535
432.009888	-75.008987
432.682800	-74.782341
433.355713	-74.484627
434.028625	-74.813148
434.701538	-74.987473
435.374451	-75.001556
436.047363	-74.388695
436.720276	-73.983826
437.393188	-71.712746
438.066101	-76.288429
438.739014	-75.279556
439.411926	-74.078598
440.084839	-74.464256
440.757751	-74.816917
441.430664	-73.595474
442.103577	-74.622780
442.776489	-73.978783
443.449402	-73.222107
444.122314	-72.847885
444.795227	-76.071655
445.468140	-73.258919
446.141052	-74.003548
446.813965	-74.543915
447.486877	-74.381523
448.159790	-72.733147
448.832703	-73.465240
449.505615	-72.097122
450.178528	-73.855042
450.851440	-72.711220
451.524353	-72.899933
452.197266	-72.887199
452.870178	-74.483116
453.543091	-73.797050
454.216003	-72.131699
454.888916	-74.697334
455.561829	-73.992302
456.234741	-74.560989
456.907654	-70.506218
457.580566	-71.916656
458.253479	-72.561676
458.926392	-72.076561
459.599304	-73.611198
460.272217	-73.796150
460.945129	-72.748329
461.618042	-71.981926
462.290955	-70.724701
462.963867	-71.335373
463.636780	-72.576622
464.309692	-71.738541
464.982605	-72.262741
465.655518	-70.890205
466.328430	-72.935616
467.001343	-72.752693
467.674255	-70.953293
468.347168	-71.136940
469.020081	-69.823639
469.692993	-69.791245
470.365906	-70.464706
471.038818	-70.830376
471.711731	-71.460480
472.384644	-71.234344
473.057556	-71.105484
473.730469	-71.884399
474.403381	-71.555962
475.076294	-71.539825
475.749207	-72.088348
476.422119	-70.430603
477.095032	-70.168251
477.767944	-72.167480
478.440857	-68.788948
479.113770	-68.935799
479.786682	-69.204842
480.459595	-68.229004
481.132507	-70.392845
481.805420	-70.958511
482.478333	-70.778847
483.151245	-69.344788
483.824158	-70.533020
484.497070	-69.246056
485.169983	-70.236031
485.842896	-68.803795
486.515808	-70.572411
487.188721	-69.264992
487.861633	-68.749184
488.534546	-70.415375
489.207458	-71.140953
489.880371	-69.520111
490.553284	-70.211174
491.226196	-70.280548
491.899109	-67.681885
492.572021	-68.908707
493.244934	-67.331535
493.917847	-68.658203
494.590759	-67.235146
495.263672	-66.830605
495.936584	-70.706131
496.609497	-69.327576
497.282410	-69.726891
497.955322	-67.580956
498.628235	-66.281502
499.301147	-67.748985
499.974060	-69.402473
500.646973	-67.546036
501.319885	-64.656212
501.992798	-66.303543
502.665710	-66.225342
503.338623	-64.878120
504.011536	-67.365326
504.684448	-67.195305
505.357361	-66.578873
506.030273	-67.574684
506.703186	-64.571472
507.376099	-66.604218
508.049011	-65.661575
508.721924	-65.163506
509.394836	-66.143440
510.067749	-65.068626
510.740662	-63.574711
511.413574	-64.731003
512.086487	-63.150234
512.759399	-64.495239
513.432312	-63.457909
514.105225	-64.643936
514.778137	-64.666702
515.451050	-64.650421
516.123962	-64.870407
516.796875	-64.195686
517.469788	-64.036339
518.142700	-62.664242
518.815613	-62.194778
519.488525	-63.133865
520.161438	-61.725342
520.834351	-61.348766
521.507263	-62.782825
522.180176	-62.104759
522.853088	-62.479523
523.526001	-61.601028
524.198914	-61.679680
524.871826	-61.504604
525.544739	-61.889210
526.217651	-60.357765
526.890564	-60.252338
527.563477	-61.519455
528.236389	-59.790848
528.909302	-59.503513
529.582214	-58.603172
530.255127	-59.598312
530.928040	-62.241467
531.600952	-61.115082
532.273865	-62.806854
532.946777	-61.142292
533.619690	-62.990479
534.292603	-58.686848
534.965515	-59.186180
535.638428	-60.118938
536.311340	-59.219452
536.984253	-59.965443
537.657166	-62.277172
538.330078	-61.103359
539.002991	-61.277706
539.675903	-61.484489
540.348816	-62.190464
541.021729	-63.404915
541.694641	-62.187889
542.367554	-60.999187
543.040466	-63.346954
543.713379	-61.708797
544.386292	-63.617470
545.059204	-63.182732
545.732117	-62.148579
546.405029	-61.864529
547.077942	-62.062004
547.750854	-63.807392
548.423767	-62.510338
549.096680	-62.594894
549.769592	-63.255135
550.442505	-62.938522
551.115417	-65.043083
551.788330	-65.915451
552.461243	-66.112419
553.134155	-66.155373
553.807068	-65.540535
554.479980	-65.197693
555.152893	-65.051506
555.825806	-65.235443
556.498718	-67.310394
557.171631	-64.961235
557.844543	-65.958832
558.517456	-66.136208
559.190369	-64.582962
559.863281	-67.103775
560.536194	-64.960701
561.209106	-66.340614
561.882019	-67.251732
562.554932	-68.669891
563.227844	-65.903473
563.900757	-65.942772
564.573669	-65.202339
565.246582	-67.568497
565.919495	-67.775681
566.592407	-67.734344
567.265320	-67.301323
567.938232	-68.139153
568.611145	-69.172974
569.284058	-68.239250
569.956970	-67.548103
570.629883	-66.967056
571.302795	-67.122116
571.975708	-67.588737
572.648621	-68.032356
573.321533	-68.958694
573.994446	-69.035309
574.667358	-68.541199
575.340271	-68.982040
576.013184	-68.471069
576.686096	-66.699867
577.359009	-68.598717
578.031921	-68.273865
578.704834	-67.792320
579.377747	-69.987465
580.050659	-69.414528
580.723572	-68.402977
581.396484	-69.745804
582.069397	-68.574867
582.742310	-68.698143
