Frequency (Hz)	Level (dB)
0.672913	-91.855423
1.345825	-91.950035
2.018738	-91.762718
2.691650	-91.595711
3.364563	-91.473396
4.037476	-91.092438
4.710388	-91.349464
5.383301	-91.255852
6.056213	-90.622864
6.729126	-91.060799
7.402039	-91.122070
8.074951	-91.457085
8.747864	-90.397621
9.420776	-91.822586
10.093689	-89.076897
10.766602	-89.061073
11.439514	-87.500542
12.112427	-86.855644
12.785339	-87.266006
13.458252	-86.261452
14.131165	-87.843040
14.804077	-86.947235
15.476990	-89.039238
16.149902	-87.307533
16.822815	-87.102051
17.495728	-87.580444
18.168640	-87.473732
18.841553	-84.683495
19.514465	-85.754494
20.187378	-86.771530
20.860291	-85.094353
21.533203	-86.593147
22.206116	-85.330292
22.879028	-84.479759
23.551941	-83.445442
24.224854	-84.061943
24.897766	-83.974358
25.570679	-84.162086
26.243591	-82.296326
26.916504	-82.947701
27.589417	-83.897141
28.262329	-83.767555
28.935242	-82.487984
29.608154	-79.966621
30.281067	-84.548607
30.953979	-84.898491
31.626892	-86.448547
32.299805	-84.979691
32.972717	-85.929565
33.645630	-85.347992
34.318542	-84.569336
34.991455	-84.151360
35.664368	-84.849739
36.337280	-84.275917
37.010193	-84.505013
37.683105	-81.992645
38.356018	-86.154076
39.028931	-84.718185
39.701843	-84.114624
40.374756	-83.685944
41.047668	-85.357239
41.720581	-83.046776
42.393494	-83.305458
43.066406	-83.370110
43.739319	-82.428383
44.412231	-83.544914
45.085144	-82.634743
45.758057	-81.699226
46.430969	-84.899117
47.103882	-83.005844
47.776794	-81.228729
48.449707	-81.426376
49.122620	-82.238121
49.795532	-79.247726
50.468445	-81.705894
51.141357	-82.767418
51.814270	-80.667862
52.487183	-82.243797
53.160095	-81.733742
53.833008	-80.166771
54.505920	-79.012329
55.178833	-79.426582
55.851746	-80.739426
56.524658	-79.453537
57.197571	-79.494766
57.870483	-80.207062
58.543396	-77.870163
59.216309	-80.500748
59.889221	-78.681755
60.562134	-78.017426
61.235046	-78.676018
61.907959	-77.059753
62.580872	-77.063934
63.253784	-77.735283
63.926697	-79.725128
64.599609	-80.356773
65.272522	-80.497879
65.945435	-80.273331
66.618347	-81.880211
67.291260	-82.473701
67.964172	-81.534035
68.637085	-79.710205
69.309998	-82.134369
69.982910	-79.737022
70.655823	-80.443047
71.328735	-80.242477
72.001648	-80.093979
72.674561	-79.832382
73.347473	-78.874519
74.020386	-80.081596
74.693298	-79.528419
75.366211	-80.951622
76.039124	-80.633255
