Frequency (Hz)	Level (dB)
0.672913	-104.318001
1.345825	-104.326538
2.018738	-103.753952
2.691650	-104.025948
3.364563	-101.661484
4.037476	-99.824287
4.710388	-100.073662
5.383301	-99.956078
6.056213	-97.382851
6.729126	-96.612198
7.402039	-96.778366
8.074951	-99.086708
8.747864	-97.633247
9.420776	-94.981583
10.093689	-94.022926
10.766602	-93.366875
11.439514	-91.038681
12.112427	-90.465836
12.785339	-91.422035
13.458252	-90.699203
14.131165	-91.202820
14.804077	-90.162361
15.476990	-90.580498
16.149902	-90.259781
16.822815	-89.931465
17.495728	-89.459373
18.168640	-89.743919
18.841553	-86.738258
19.514465	-88.512993
20.187378	-87.655167
20.860291	-86.353493
21.533203	-86.690742
22.206116	-86.683342
22.879028	-86.471291
23.551941	-87.220764
24.224854	-87.354126
24.897766	-87.923386
25.570679	-85.144310
26.243591	-86.809982
26.916504	-85.392807
27.589417	-86.505600
28.262329	-84.647316
28.935242	-84.697800
29.608154	-83.501884
30.281067	-87.125038
30.953979	-88.443619
31.626892	-85.482452
32.299805	-85.578552
32.972717	-86.307503
33.645630	-86.719330
34.318542	-87.139145
34.991455	-85.548515
35.664368	-84.924904
36.337280	-85.786224
37.010193	-83.257317
37.683105	-85.291771
38.356018	-86.039085
39.028931	-85.059570
39.701843	-83.159966
40.374756	-83.535973
41.047668	-84.533379
41.720581	-84.091911
42.393494	-83.417488
43.066406	-86.544472
43.739319	-83.367004
44.412231	-82.356506
45.085144	-82.785179
45.758057	-83.561325
46.430969	-81.346878
47.103882	-82.317932
47.776794	-82.109932
48.449707	-82.668526
49.122620	-83.412369
49.795532	-82.930176
50.468445	-82.060341
51.141357	-80.208107
51.814270	-81.133469
52.487183	-80.246010
53.160095	-81.214043
53.833008	-77.763718
54.505920	-79.099632
55.178833	-76.276550
55.851746	-79.224060
56.524658	-80.116554
57.197571	-79.482925
57.870483	-79.205925
58.543396	-79.690193
59.216309	-78.707367
59.889221	-79.097672
60.562134	-77.522148
61.235046	-77.186462
61.907959	-77.726707
62.580872	-77.534645
63.253784	-77.321106
63.926697	-76.015076
64.599609	-81.342712
65.272522	-81.825829
65.945435	-79.295425
66.618347	-79.201897
67.291260	-82.060387
67.964172	-82.170082
68.637085	-79.300369
69.309998	-79.405067
69.982910	-78.005203
70.655823	-77.439209
71.328735	-77.622322
72.001648	-77.937042
72.674561	-71.654396
73.347473	-78.653046
74.020386	-79.587326
74.693298	-78.622307
75.366211	-79.677368
76.039124	-80.917633
76.712036	-77.580414
77.384949	-78.579414
78.057861	-80.367432
78.730774	-80.062057
79.403687	-79.938721
80.076599	-79.507957
80.749512	-79.832939
81.422424	-80.943779
82.095337	-78.394699
82.768250	-78.313683
83.441162	-80.267632
84.114075	-78.592850
84.786987	-78.236244
85.459900	-78.573257
86.132812	-76.365784
86.805725	-80.282776
87.478638	-78.888725
88.151550	-80.252037
