Frequency (Hz)	Level (dB)
0.672913	-92.115433
1.345825	-92.120560
2.018738	-92.331177
2.691650	-92.090630
3.364563	-91.431488
4.037476	-91.686623
4.710388	-92.137337
5.383301	-91.454918
6.056213	-91.766838
6.729126	-91.315048
7.402039	-91.346687
8.074951	-92.067200
8.747864	-91.216248
9.420776	-90.294807
10.093689	-89.683487
10.766602	-88.626694
11.439514	-88.946396
12.112427	-86.744568
12.785339	-86.398628
13.458252	-85.722618
14.131165	-88.046997
14.804077	-89.188202
15.476990	-89.018372
16.149902	-86.279015
16.822815	-87.951324
17.495728	-86.763512
18.168640	-85.331512
18.841553	-84.575516
19.514465	-86.084244
20.187378	-86.671829
20.860291	-83.946526
21.533203	-85.648972
22.206116	-84.335670
22.879028	-83.741287
23.551941	-86.512077
24.224854	-83.185333
24.897766	-82.490181
25.570679	-82.755051
26.243591	-84.150810
26.916504	-84.442322
27.589417	-84.937691
28.262329	-83.660110
28.935242	-84.485207
29.608154	-83.985893
30.281067	-84.342476
30.953979	-86.281578
31.626892	-85.503387
32.299805	-85.702522
32.972717	-87.020935
33.645630	-85.059830
34.318542	-88.031464
34.991455	-85.034279
35.664368	-87.619873
36.337280	-84.694763
37.010193	-84.553200
37.683105	-82.170090
38.356018	-84.981613
39.028931	-84.914589
39.701843	-82.148643
40.374756	-83.128998
41.047668	-82.807312
41.720581	-82.829231
42.393494	-83.554474
43.066406	-84.108894
43.739319	-84.287781
44.412231	-83.067947
45.085144	-84.373840
45.758057	-83.164284
46.430969	-85.579514
47.103882	-82.801361
47.776794	-82.192101
48.449707	-81.703484
49.122620	-80.946884
49.795532	-82.498634
50.468445	-80.493134
51.141357	-82.185837
51.814270	-80.337357
52.487183	-80.227089
53.160095	-81.096008
53.833008	-80.524612
54.505920	-79.224319
55.178833	-79.356590
55.851746	-81.249512
56.524658	-79.054810
57.197571	-78.878716
57.870483	-79.893646
58.543396	-79.072884
59.216309	-78.491837
59.889221	-79.137756
60.562134	-78.318474
61.235046	-78.683868
61.907959	-79.235420
62.580872	-76.383789
63.253784	-76.172905
63.926697	-79.335930
64.599609	-81.552383
65.272522	-81.047150
65.945435	-79.317894
66.618347	-77.627434
67.291260	-81.094894
67.964172	-79.394920
68.637085	-78.104362
69.309998	-78.960762
69.982910	-80.854668
70.655823	-81.207275
71.328735	-79.109161
72.001648	-79.036140
72.674561	-74.632454
73.347473	-79.138405
74.020386	-80.101646
74.693298	-77.724976
75.366211	-79.534882
76.039124	-79.647774
76.712036	-78.750549
77.384949	-78.455490
78.057861	-79.450813
78.730774	-79.384651
79.403687	-80.221733
80.076599	-79.334496
80.749512	-79.083817
81.422424	-80.608871
82.095337	-78.358078
82.768250	-77.771133
83.441162	-78.851669
84.114075	-78.305977
84.786987	-79.355232
85.459900	-76.432739
86.132812	-75.286407
86.805725	-77.485649
87.478638	-78.790215
88.151550	-78.874092
88.824463	-78.556732
89.497375	-78.511139
90.170288	-77.882881
90.843201	-77.412239
91.516113	-77.544258
92.189026	-78.739372
92.861938	-80.515694
93.534851	-78.288246
94.207764	-79.574028
94.880676	-80.080673
95.553589	-77.844620
96.226501	-77.303749
96.899414	-78.880104
97.572327	-78.638351
98.245239	-80.074539
98.918152	-76.659966
99.591064	-81.068718
100.263977	-78.965652
100.936890	-77.907158
101.609802	-76.628609
102.282715	-78.746811
102.955627	-76.808487
103.628540	-78.154434
104.301453	-77.575935
104.974365	-76.941689
105.647278	-77.990158
106.320190	-78.176979
106.993103	-76.988205
107.666016	-80.057899
108.338928	-76.416237
109.011841	-77.963356
109.684753	-78.635658
110.357666	-77.684425
111.030579	-79.610023
111.703491	-78.188324
112.376404	-79.008904
113.049316	-79.286247
113.722229	-77.718384
114.395142	-76.404510
115.068054	-76.641373
115.740967	-76.583305
116.413879	-76.198845
117.086792	-77.421432
117.759705	-77.316696
118.432617	-75.329979
119.105530	-77.068016
119.778442	-75.506012
120.451355	-77.205032
121.124268	-75.515594
121.797180	-76.546066
122.470093	-76.875900
123.143005	-76.153770
123.815918	-78.964203
124.488831	-78.017502
125.161743	-77.689888
125.834656	-78.650757
126.507568	-76.840454
127.180481	-77.142006
127.853394	-77.566368
128.526306	-74.568436
129.199219	-77.535873
129.872131	-77.748764
130.545044	-75.647682
131.217957	-78.424896
131.890869	-78.087158
132.563782	-76.109634
133.236694	-76.837952
133.909607	-76.433601
134.582520	-78.044456
135.255432	-75.627357
135.928345	-77.254448
136.601257	-76.671661
137.274170	-77.191093
137.947083	-76.707489
138.619995	-75.474472
139.292908	-77.984215
139.965820	-78.724594
140.638733	-77.138374
141.311646	-75.373924
141.984558	-76.368774
142.657471	-78.042641
143.330383	-78.890434
144.003296	-77.011719
144.676208	-75.709457
145.349121	-75.777000
146.022034	-75.706238
146.694946	-76.740166
147.367859	-75.957771
148.040771	-76.896790
148.713684	-74.843628
149.386597	-75.592407
150.059509	-78.236778
150.732422	-77.496887
151.405334	-77.025452
152.078247	-76.502548
152.751160	-75.120979
153.424072	-74.159485
154.096985	-76.448059
154.769897	-76.950363
155.442810	-77.623383
156.115723	-75.662117
156.788635	-76.321884
157.461548	-75.172569
158.134460	-75.362839
158.807373	-75.773674
159.480286	-73.487617
160.153198	-74.471230
160.826111	-75.276489
161.499023	-76.472221
162.171936	-77.258812
162.844849	-75.727432
163.517761	-74.441002
164.190674	-76.105690
164.863586	-79.053459
165.536499	-77.380676
166.209412	-75.184357
166.882324	-75.341370
167.555237	-75.218155
168.228149	-76.587585
168.901062	-76.376465
169.573975	-75.038483
170.246887	-75.408920
170.919800	-75.442863
171.592712	-74.334229
172.265625	-75.510147
172.938538	-76.212669
173.611450	-75.574982
174.284363	-75.429321
174.957275	-72.681740
175.630188	-74.457954
176.303101	-73.221985
176.976013	-72.754845
177.648926	-74.776253
178.321838	-73.705681
178.994751	-74.967484
179.667664	-74.038101
180.340576	-73.445282
181.013489	-74.367340
181.686401	-73.534325
182.359314	-74.428215
183.032227	-73.223625
183.705139	-74.309929
184.378052	-74.847412
185.050964	-73.290466
185.723877	-73.793442
186.396790	-76.579353
187.069702	-73.493706
187.742615	-76.103035
188.415527	-75.416946
189.088440	-73.802109
189.761353	-74.484558
190.434265	-74.466682
191.107178	-75.750473
191.780090	-74.575417
192.453003	-72.997482
193.125916	-74.989403
193.798828	-74.388176
194.471741	-73.022926
195.144653	-72.155556
195.817566	-73.386703
196.490479	-71.539902
197.163391	-71.371765
197.836304	-72.507675
198.509216	-73.065216
199.182129	-73.649055
199.855042	-74.058716
200.527954	-72.625946
201.200867	-72.262306
201.873779	-74.930702
202.546692	-72.660995
203.219604	-73.134453
203.892517	-74.400017
204.565430	-72.731445
205.238342	-72.388390
205.911255	-72.462067
206.584167	-72.441910
207.257080	-71.673965
207.929993	-73.549797
208.602905	-72.793503
209.275818	-72.778099
209.948730	-72.296661
210.621643	-73.496391
211.294556	-73.039825
211.967468	-72.882370
212.640381	-72.033630
213.313293	-72.053780
213.986206	-71.598595
214.659119	-73.733032
215.332031	-72.671379
216.004944	-72.573151
216.677856	-71.159622
217.350769	-70.576065
218.023682	-71.768440
218.696594	-71.324898
219.369507	-70.761955
220.042419	-71.854729
220.715332	-72.716484
221.388245	-69.950768
222.061157	-70.392021
222.734070	-70.499657
223.406982	-71.924767
224.079895	-70.212814
224.752808	-69.893616
225.425720	-68.535370
226.098633	-70.199242
226.771545	-69.404831
227.444458	-70.312866
228.117371	-71.725807
228.790283	-71.495773
229.463196	-72.869942
230.136108	-71.429260
230.809021	-70.309990
231.481934	-69.782501
232.154846	-70.110107
232.827759	-70.159882
233.500671	-68.158096
234.173584	-70.827469
234.846497	-70.332710
235.519409	-70.626488
236.192322	-70.202553
236.865234	-68.408913
237.538147	-67.635841
238.211060	-69.943710
238.883972	-67.925316
239.556885	-69.444557
240.229797	-69.137268
240.902710	-67.691971
241.575623	-67.626732
242.248535	-67.294807
242.921448	-67.047043
243.594360	-68.710068
244.267273	-69.092758
244.940186	-68.374825
245.613098	-67.777100
246.286011	-68.020485
246.958923	-66.248375
247.631836	-65.865776
248.304749	-69.072342
248.977661	-64.197479
249.650574	-66.881165
250.323486	-66.750237
250.996399	-68.204140
251.669312	-68.134422
252.342224	-66.693085
253.015137	-66.260071
253.688049	-68.676071
254.360962	-68.166252
255.033875	-66.215553
255.706787	-65.523666
256.379700	-65.773293
257.052612	-65.306213
257.725525	-65.254425
258.398438	-66.038589
259.071350	-67.148300
259.744263	-66.680809
260.417175	-65.243881
261.090088	-64.995667
261.763000	-65.835121
262.435913	-66.676361
263.108826	-63.303833
263.781738	-63.094246
264.454651	-64.125679
265.127563	-63.593124
265.800476	-64.262047
266.473389	-63.166553
267.146301	-62.212891
267.819214	-64.076035
268.492126	-61.783298
269.165039	-62.037750
269.837952	-63.806366
270.510864	-63.306934
271.183777	-63.246201
271.856689	-64.572479
272.529602	-61.104797
273.202515	-60.397034
273.875427	-64.125061
274.548340	-61.532627
275.221252	-61.617355
275.894165	-61.445007
276.567078	-61.066311
277.239990	-61.541462
277.912903	-58.481499
278.585815	-59.019089
279.258728	-59.350994
279.931641	-58.690094
280.604553	-58.885139
281.277466	-58.648624
281.950378	-59.443672
282.623291	-57.809742
283.296204	-58.821095
283.969116	-59.854141
284.642029	-61.671810
285.314941	-57.940601
285.987854	-59.833042
286.660767	-57.677773
287.333679	-59.779137
288.006592	-57.058170
288.679504	-58.654366
289.352417	-57.222195
290.025330	-59.835983
290.698242	-58.595848
