Frequency (Hz)	Level (dB)
0.672913	-98.367805
1.345825	-98.444389
2.018738	-98.440857
2.691650	-98.291794
3.364563	-98.126480
4.037476	-96.387115
4.710388	-97.227531
5.383301	-96.914589
6.056213	-95.967812
6.729126	-96.190979
7.402039	-96.636238
8.074951	-96.852219
8.747864	-95.493034
9.420776	-95.053810
10.093689	-94.471077
10.766602	-93.638367
11.439514	-92.550804
12.112427	-92.220024
12.785339	-93.747604
13.458252	-91.280128
14.131165	-91.338844
14.804077	-91.667244
15.476990	-91.781593
16.149902	-91.500175
16.822815	-91.831741
17.495728	-93.198952
18.168640	-90.219070
18.841553	-88.954170
19.514465	-88.716919
20.187378	-90.651443
20.860291	-88.206329
21.533203	-88.393173
22.206116	-88.241035
22.879028	-88.297791
23.551941	-89.328819
24.224854	-87.737564
24.897766	-86.932816
25.570679	-89.070488
26.243591	-86.842079
26.916504	-88.131447
27.589417	-88.601059
28.262329	-85.044601
28.935242	-88.042587
29.608154	-87.795067
30.281067	-88.408913
30.953979	-89.722374
31.626892	-86.422981
32.299805	-90.081177
32.972717	-87.576462
33.645630	-88.136986
34.318542	-88.564545
34.991455	-87.416252
35.664368	-87.812775
36.337280	-86.327576
37.010193	-86.233055
37.683105	-87.928085
38.356018	-87.089424
39.028931	-87.579384
39.701843	-85.890732
40.374756	-86.887604
41.047668	-85.865891
41.720581	-87.020409
42.393494	-87.259483
43.066406	-86.132156
43.739319	-85.286392
44.412231	-85.993401
45.085144	-85.877213
45.758057	-86.422173
46.430969	-86.696739
47.103882	-86.147453
47.776794	-85.461380
48.449707	-86.889969
49.122620	-87.111526
49.795532	-84.318329
50.468445	-85.364967
51.141357	-85.484177
51.814270	-82.610901
52.487183	-85.062592
53.160095	-84.426865
53.833008	-82.897362
54.505920	-82.834373
55.178833	-82.660599
55.851746	-81.148331
56.524658	-81.970108
57.197571	-84.000961
57.870483	-81.697433
58.543396	-82.487091
59.216309	-82.068527
59.889221	-80.654366
60.562134	-81.359131
61.235046	-80.365616
61.907959	-82.096588
62.580872	-81.771919
63.253784	-80.856140
63.926697	-81.828072
64.599609	-85.304306
65.272522	-85.872971
65.945435	-85.758965
66.618347	-85.057510
67.291260	-84.750702
67.964172	-85.435982
68.637085	-83.936096
69.309998	-84.148743
69.982910	-83.039772
70.655823	-83.563873
71.328735	-83.807976
72.001648	-81.989090
72.674561	-74.197624
73.347473	-83.324318
74.020386	-83.042747
74.693298	-83.169975
75.366211	-84.899612
76.039124	-83.711609
76.712036	-84.060181
77.384949	-83.567688
78.057861	-84.318825
78.730774	-85.093491
79.403687	-86.308479
80.076599	-85.469543
80.749512	-85.895302
81.422424	-87.144402
82.095337	-84.051102
82.768250	-83.755768
83.441162	-85.017563
84.114075	-84.207687
84.786987	-85.035873
85.459900	-84.228264
86.132812	-81.490044
86.805725	-82.767426
87.478638	-83.133789
88.151550	-84.449936
88.824463	-84.082733
89.497375	-82.603439
90.170288	-82.731628
90.843201	-83.452820
91.516113	-83.037766
92.189026	-84.724030
92.861938	-86.571640
93.534851	-84.247650
94.207764	-85.475449
94.880676	-84.109787
95.553589	-83.872581
96.226501	-83.522064
96.899414	-84.766815
97.572327	-83.991585
98.245239	-85.329742
98.918152	-84.242661
99.591064	-87.318192
100.263977	-86.051140
100.936890	-84.252251
101.609802	-83.252510
102.282715	-84.021744
102.955627	-82.113495
103.628540	-84.980743
104.301453	-85.543709
104.974365	-82.262360
105.647278	-83.629227
106.320190	-84.272385
106.993103	-84.247032
107.666016	-84.937180
108.338928	-83.328941
109.011841	-85.155174
109.684753	-86.225975
110.357666	-83.533707
111.030579	-85.651047
111.703491	-85.634003
112.376404	-84.000381
113.049316	-84.987320
113.722229	-85.066772
114.395142	-83.289566
115.068054	-83.373802
115.740967	-81.354012
116.413879	-82.482994
117.086792	-82.116440
117.759705	-83.195839
118.432617	-81.789482
119.105530	-83.371788
119.778442	-80.328033
120.451355	-83.229118
121.124268	-82.455353
121.797180	-82.105827
122.470093	-82.092567
123.143005	-83.270615
123.815918	-85.137764
124.488831	-84.535233
125.161743	-84.435982
125.834656	-85.138931
126.507568	-84.130424
127.180481	-83.299294
127.853394	-84.141235
128.526306	-80.948631
129.199219	-83.891945
129.872131	-84.520393
130.545044	-82.768761
131.217957	-83.589523
131.890869	-85.097542
132.563782	-83.724045
133.236694	-83.642960
133.909607	-82.479752
134.582520	-83.337067
135.255432	-81.834610
135.928345	-84.547661
136.601257	-82.671165
137.274170	-84.153236
137.947083	-82.321701
138.619995	-81.426849
139.292908	-83.961212
139.965820	-83.395874
140.638733	-82.393753
141.311646	-82.648422
141.984558	-82.622345
142.657471	-84.365868
143.330383	-85.423264
144.003296	-82.949272
144.676208	-81.475845
145.349121	-80.774277
146.022034	-81.053810
146.694946	-82.788818
147.367859	-81.895851
148.040771	-81.539459
148.713684	-82.090637
149.386597	-81.478226
150.059509	-85.229935
150.732422	-83.283089
151.405334	-83.989128
152.078247	-82.460457
152.751160	-82.367287
153.424072	-80.310219
154.096985	-83.153763
154.769897	-83.240845
155.442810	-84.062286
156.115723	-82.787567
156.788635	-83.134315
157.461548	-82.045921
158.134460	-80.804382
158.807373	-80.781960
159.480286	-80.453072
160.153198	-80.803596
160.826111	-80.974007
161.499023	-82.416008
162.171936	-83.293549
162.844849	-82.793716
163.517761	-80.909821
