Frequency (Hz)	Level (dB)
0.672913	-89.842491
1.345825	-89.852058
2.018738	-90.065918
2.691650	-90.092484
3.364563	-89.657814
4.037476	-89.910332
4.710388	-89.490196
5.383301	-89.212242
6.056213	-89.506866
6.729126	-90.258514
7.402039	-89.125481
8.074951	-89.942490
8.747864	-88.865189
9.420776	-89.342461
10.093689	-89.301956
10.766602	-88.326706
11.439514	-88.162338
12.112427	-88.953857
12.785339	-87.615356
13.458252	-89.139542
14.131165	-88.357414
14.804077	-87.583153
15.476990	-89.002617
16.149902	-87.396805
16.822815	-87.287331
17.495728	-88.639359
18.168640	-87.287277
18.841553	-86.979225
19.514465	-89.298569
20.187378	-86.611267
20.860291	-86.845917
21.533203	-87.223694
22.206116	-86.533501
22.879028	-85.774696
23.551941	-86.660301
24.224854	-85.488495
24.897766	-86.341454
25.570679	-85.128082
26.243591	-86.476959
26.916504	-87.751518
27.589417	-85.133675
28.262329	-84.993835
28.935242	-86.407623
29.608154	-84.462654
30.281067	-86.559341
30.953979	-84.959236
31.626892	-85.524551
32.299805	-85.609459
32.972717	-86.566223
33.645630	-86.199989
34.318542	-87.067772
34.991455	-85.221001
35.664368	-86.639206
36.337280	-86.454453
37.010193	-85.460098
37.683105	-88.382614
38.356018	-87.608704
39.028931	-83.826027
39.701843	-86.336189
40.374756	-86.090996
41.047668	-85.495979
41.720581	-87.701561
42.393494	-86.086075
43.066406	-84.846825
43.739319	-84.352470
44.412231	-85.879333
45.085144	-84.553406
45.758057	-84.422371
46.430969	-83.996834
47.103882	-86.099075
47.776794	-85.226250
48.449707	-83.588150
49.122620	-84.965042
49.795532	-84.399445
50.468445	-82.686180
51.141357	-82.642799
51.814270	-82.989540
52.487183	-83.110054
53.160095	-82.687569
53.833008	-83.372604
54.505920	-81.601227
55.178833	-81.901794
55.851746	-84.313408
56.524658	-81.097603
57.197571	-80.487724
57.870483	-82.403862
58.543396	-81.154053
59.216309	-80.148926
59.889221	-78.573433
60.562134	-80.974358
61.235046	-79.844528
61.907959	-81.313522
62.580872	-79.462646
63.253784	-79.443657
63.926697	-82.656631
64.599609	-84.756821
65.272522	-83.484261
65.945435	-84.548729
66.618347	-82.943359
67.291260	-84.307831
67.964172	-83.380417
68.637085	-82.310875
69.309998	-81.059387
69.982910	-80.551765
70.655823	-82.209679
71.328735	-81.499199
72.001648	-82.144211
72.674561	-73.692352
73.347473	-80.953415
74.020386	-80.750542
74.693298	-81.415024
75.366211	-83.756248
76.039124	-82.225807
76.712036	-80.237022
77.384949	-81.548508
78.057861	-83.578606
78.730774	-79.147369
79.403687	-81.667496
80.076599	-81.826797
80.749512	-80.672249
81.422424	-83.363495
82.095337	-81.365265
82.768250	-81.167267
83.441162	-81.931496
84.114075	-81.050056
84.786987	-81.034920
85.459900	-80.048737
86.132812	-78.935913
86.805725	-80.818871
87.478638	-79.571854
88.151550	-79.811829
88.824463	-80.232758
89.497375	-79.913170
90.170288	-79.924973
90.843201	-80.533089
91.516113	-80.956116
92.189026	-79.941986
92.861938	-83.596107
93.534851	-79.155312
94.207764	-82.780014
94.880676	-80.174316
95.553589	-79.454971
96.226501	-78.871315
96.899414	-80.517250
97.572327	-80.005478
98.245239	-81.345650
98.918152	-78.442039
99.591064	-80.800690
100.263977	-80.458984
100.936890	-78.608315
101.609802	-78.323296
102.282715	-79.951271
102.955627	-78.249069
103.628540	-80.524719
104.301453	-78.786194
104.974365	-78.085884
105.647278	-78.433868
106.320190	-79.115341
106.993103	-79.101555
107.666016	-78.598045
108.338928	-77.207130
109.011841	-79.101395
109.684753	-78.235138
110.357666	-77.667679
111.030579	-78.700089
111.703491	-78.566856
112.376404	-79.193680
113.049316	-77.686356
113.722229	-75.942436
114.395142	-74.632164
115.068054	-76.535042
115.740967	-74.529907
116.413879	-75.388275
117.086792	-74.825562
117.759705	-76.044159
118.432617	-70.521988
119.105530	-75.971725
119.778442	-71.039436
120.451355	-75.386375
121.124268	-70.480583
121.797180	-71.934769
122.470093	-73.737656
123.143005	-74.892311
123.815918	-76.744240
124.488831	-76.641930
125.161743	-76.564056
125.834656	-75.515488
126.507568	-74.765968
127.180481	-74.444824
127.853394	-76.309967
128.526306	-73.256996
129.199219	-75.543930
129.872131	-75.474937
130.545044	-73.568230
131.217957	-74.608871
131.890869	-75.844955
132.563782	-73.058456
133.236694	-74.365807
133.909607	-72.579819
134.582520	-74.307991
135.255432	-72.148148
135.928345	-73.639313
136.601257	-73.121147
137.274170	-73.658882
137.947083	-73.338509
138.619995	-71.671577
139.292908	-72.030258
139.965820	-72.913292
140.638733	-71.519844
141.311646	-71.063911
141.984558	-70.026352
142.657471	-71.822174
143.330383	-73.657211
144.003296	-70.613907
144.676208	-69.743988
145.349121	-70.523453
146.022034	-70.060020
146.694946	-71.390800
147.367859	-69.596809
148.040771	-69.762939
148.713684	-68.989021
149.386597	-69.518349
150.059509	-71.784859
150.732422	-68.616089
151.405334	-71.112656
152.078247	-68.568596
152.751160	-67.020973
153.424072	-65.581207
154.096985	-69.029289
154.769897	-67.634644
155.442810	-68.096901
156.115723	-68.742775
156.788635	-68.543472
157.461548	-65.937195
158.134460	-64.966751
158.807373	-66.879333
159.480286	-64.947914
160.153198	-66.363174
160.826111	-65.814140
161.499023	-66.607986
162.171936	-66.562294
162.844849	-65.638245
163.517761	-63.574070
164.190674	-66.747498
164.863586	-67.058716
165.536499	-65.365662
166.209412	-62.941681
166.882324	-61.712383
167.555237	-64.221008
168.228149	-65.839088
168.901062	-64.687241
169.573975	-63.680546
170.246887	-63.782024
170.919800	-63.402275
171.592712	-61.648151
172.265625	-62.335587
172.938538	-63.919491
173.611450	-63.329140
174.284363	-62.409264
174.957275	-60.305115
175.630188	-62.720257
176.303101	-61.280197
176.976013	-60.767647
177.648926	-61.626736
178.321838	-61.491428
178.994751	-63.242527
179.667664	-61.493591
180.340576	-61.801655
181.013489	-63.523170
181.686401	-62.999527
182.359314	-63.878807
183.032227	-62.843582
183.705139	-64.330894
184.378052	-65.083794
185.050964	-63.379887
185.723877	-64.122581
186.396790	-66.447144
187.069702	-64.042229
187.742615	-66.838776
188.415527	-67.131012
189.088440	-66.086342
189.761353	-66.677483
190.434265	-65.909676
191.107178	-67.708252
191.780090	-67.373497
192.453003	-66.492577
193.125916	-67.846001
193.798828	-67.703407
194.471741	-67.685104
195.144653	-65.870010
195.817566	-67.866699
196.490479	-66.172623
197.163391	-66.200119
197.836304	-67.782715
198.509216	-68.192627
199.182129	-68.372269
199.855042	-68.667938
200.527954	-68.540138
201.200867	-68.159889
201.873779	-70.376259
202.546692	-68.817589
203.219604	-69.193298
203.892517	-70.557869
204.565430	-69.413406
205.238342	-68.997810
205.911255	-69.772224
206.584167	-69.125183
207.257080	-68.621300
207.929993	-71.251450
208.602905	-70.953316
209.275818	-70.420723
209.948730	-70.897514
210.621643	-72.156532
211.294556	-70.797409
211.967468	-70.734230
212.640381	-71.345337
213.313293	-71.709778
213.986206	-70.526436
214.659119	-73.036224
215.332031	-72.840187
216.004944	-71.186401
216.677856	-70.761757
217.350769	-69.928528
218.023682	-71.241714
218.696594	-71.548050
219.369507	-70.946564
220.042419	-73.429863
220.715332	-72.787079
221.388245	-70.951317
222.061157	-71.127502
222.734070	-70.378021
223.406982	-72.816231
224.079895	-71.811317
224.752808	-71.966988
225.425720	-70.609131
226.098633	-71.127739
226.771545	-71.089302
227.444458	-71.185661
228.117371	-73.729546
228.790283	-73.273399
229.463196	-73.872803
230.136108	-75.470123
230.809021	-72.851845
231.481934	-72.363548
232.154846	-72.825623
232.827759	-73.516502
233.500671	-71.075310
234.173584	-73.135918
234.846497	-73.809364
235.519409	-73.446342
236.192322	-73.470795
236.865234	-72.553040
237.538147	-71.677544
238.211060	-73.836235
238.883972	-72.101418
239.556885	-73.718880
240.229797	-73.741043
240.902710	-72.003075
241.575623	-70.985825
242.248535	-73.156593
242.921448	-72.134285
243.594360	-72.911186
244.267273	-73.675354
244.940186	-72.577957
245.613098	-72.815224
246.286011	-73.024216
246.958923	-72.014236
247.631836	-72.120811
248.304749	-74.871742
248.977661	-70.605278
249.650574	-72.443077
250.323486	-73.395836
250.996399	-74.015312
251.669312	-75.271347
252.342224	-73.487267
253.015137	-72.351250
253.688049	-75.049179
254.360962	-74.080940
255.033875	-73.584023
255.706787	-72.967430
256.379700	-73.335289
257.052612	-73.531898
257.725525	-73.914902
258.398438	-73.678909
259.071350	-74.148407
259.744263	-74.557434
260.417175	-73.929688
261.090088	-73.016350
261.763000	-74.803612
262.435913	-76.260887
263.108826	-71.794395
263.781738	-71.700661
264.454651	-73.580559
265.127563	-72.378952
265.800476	-73.215889
266.473389	-73.295280
267.146301	-72.817940
267.819214	-75.180122
268.492126	-72.867142
269.165039	-71.903381
269.837952	-73.896362
270.510864	-73.674660
271.183777	-74.012749
271.856689	-75.009102
272.529602	-72.854187
273.202515	-71.923981
273.875427	-76.024734
274.548340	-73.241867
275.221252	-73.624260
275.894165	-73.610748
276.567078	-73.220131
277.239990	-73.699173
277.912903	-71.837540
