Frequency (Hz)	Level (dB)
1.345825	-85.776093
2.691650	-85.692818
4.037476	-85.504478
5.383301	-85.271782
6.729126	-84.771805
8.074951	-84.845490
9.420776	-84.914841
10.766602	-83.012756
12.112427	-83.918037
13.458252	-83.689728
14.804077	-83.867256
16.149902	-82.376007
17.495728	-82.539734
18.841553	-81.393440
20.187378	-81.492912
21.533203	-81.961510
22.879028	-79.848183
24.224854	-79.975601
25.570679	-79.544922
26.916504	-80.227905
28.262329	-79.350716
29.608154	-79.155952
30.953979	-80.006485
32.299805	-79.786514
33.645630	-80.226189
34.991455	-80.579926
36.337280	-78.427322
37.683105	-78.371887
39.028931	-79.449203
40.374756	-78.968170
41.720581	-79.877190
43.066406	-79.638626
44.412231	-77.828835
45.758057	-77.986786
47.103882	-77.906548
48.449707	-77.466270
49.795532	-76.627014
51.141357	-76.405800
52.487183	-76.331039
53.833008	-76.211617
55.178833	-75.335266
56.524658	-75.326958
57.870483	-74.696182
59.216309	-72.909706
60.562134	-74.432014
61.907959	-72.914314
63.253784	-74.755836
64.599609	-76.052597
65.945435	-75.395767
67.291260	-74.713867
68.637085	-74.461647
69.982910	-74.369347
71.328735	-74.295570
72.674561	-74.654877
74.020386	-73.534866
75.366211	-75.965714
76.712036	-73.825394
78.057861	-75.604973
79.403687	-75.260620
80.749512	-73.564735
82.095337	-74.226349
83.441162	-74.563080
84.786987	-74.095253
86.132812	-75.603958
87.478638	-73.872322
88.824463	-73.151459
90.170288	-74.369568
91.516113	-73.623009
92.861938	-73.269333
94.207764	-74.033417
95.553589	-75.352104
96.899414	-73.752670
98.245239	-73.139626
99.591064	-74.333084
100.936890	-73.532059
102.282715	-73.383476
103.628540	-74.314598
104.974365	-73.212120
106.320190	-73.268158
107.666016	-74.388786
109.011841	-74.446472
110.357666	-74.047997
111.703491	-76.696999
113.049316	-72.935608
114.395142	-73.149002
115.740967	-74.349182
117.086792	-73.369934
118.432617	-70.445129
119.778442	-68.138840
121.124268	-71.944740
122.470093	-73.945778
123.815918	-71.685417
125.161743	-72.545273
126.507568	-73.042503
127.853394	-72.858322
129.199219	-72.192215
130.545044	-73.263260
131.890869	-71.215950
133.236694	-72.969749
134.582520	-72.941925
135.928345	-73.149422
137.274170	-71.249611
138.619995	-72.607529
139.965820	-72.016632
141.311646	-71.198479
142.657471	-72.102196
144.003296	-73.440269
145.349121	-70.853828
146.694946	-71.591209
148.040771	-71.703934
149.386597	-71.041611
150.732422	-70.181320
152.078247	-71.204010
153.424072	-72.206299
154.769897	-71.732460
156.115723	-71.058693
157.461548	-71.333832
158.807373	-70.218330
160.153198	-69.957977
161.499023	-71.788559
162.844849	-70.408554
164.190674	-70.251915
165.536499	-71.515808
166.882324	-69.226982
168.228149	-70.269424
169.573975	-70.961922
170.919800	-69.813766
172.265625	-70.991623
173.611450	-68.062691
174.957275	-69.249863
176.303101	-69.901131
177.648926	-68.797760
178.994751	-68.565323
180.340576	-69.800133
181.686401	-69.534088
183.032227	-69.300751
184.378052	-68.625954
