Frequency (Hz)	Level (dB)
1.345825	-82.998177
2.691650	-82.403336
4.037476	-82.514717
5.383301	-82.434280
6.729126	-82.249138
8.074951	-82.171684
9.420776	-82.360802
10.766602	-81.511436
12.112427	-80.263084
13.458252	-80.499138
14.804077	-81.052956
16.149902	-81.688820
17.495728	-79.664673
18.841553	-79.466621
20.187378	-79.884193
21.533203	-78.342415
22.879028	-78.558548
24.224854	-78.226601
25.570679	-79.005028
26.916504	-78.008629
28.262329	-78.543785
29.608154	-77.247231
30.953979	-78.404030
32.299805	-79.165039
33.645630	-79.061401
34.991455	-79.357208
36.337280	-77.377480
37.683105	-78.621567
39.028931	-78.706055
40.374756	-77.932327
41.720581	-76.957565
43.066406	-76.987877
44.412231	-77.031395
45.758057	-76.695152
47.103882	-75.770988
48.449707	-76.206146
49.795532	-76.596489
51.141357	-76.033699
52.487183	-75.145729
53.833008	-75.228706
55.178833	-74.211449
56.524658	-74.555229
57.870483	-73.212936
59.216309	-73.990829
60.562134	-72.959679
61.907959	-73.520325
63.253784	-72.713585
64.599609	-74.961548
65.945435	-73.582878
67.291260	-73.582741
68.637085	-72.724007
69.982910	-73.478157
71.328735	-74.212128
72.674561	-74.451653
74.020386	-74.043846
75.366211	-73.338715
76.712036	-73.060074
78.057861	-73.378677
79.403687	-74.308907
80.749512	-71.644135
82.095337	-72.341141
83.441162	-73.835648
84.786987	-73.408669
86.132812	-73.452576
87.478638	-71.605530
88.824463	-72.278374
90.170288	-72.728432
91.516113	-72.380226
92.861938	-71.029274
94.207764	-71.827827
95.553589	-72.367188
96.899414	-71.976379
98.245239	-71.215981
99.591064	-72.327721
100.936890	-71.252182
102.282715	-70.615044
103.628540	-71.344170
104.974365	-70.439552
106.320190	-71.491234
107.666016	-72.431213
109.011841	-72.137787
110.357666	-70.797340
111.703491	-73.589882
113.049316	-70.108505
114.395142	-70.791840
115.740967	-72.280449
117.086792	-70.158020
118.432617	-68.047806
119.778442	-64.767441
121.124268	-69.758423
122.470093	-70.921738
123.815918	-68.628922
125.161743	-69.673141
126.507568	-69.500313
127.853394	-69.509888
129.199219	-68.855576
130.545044	-69.407631
131.890869	-68.025238
133.236694	-69.729736
134.582520	-68.740173
135.928345	-68.764931
137.274170	-68.207466
138.619995	-69.200310
139.965820	-68.732330
141.311646	-67.156410
142.657471	-68.797348
144.003296	-69.564240
145.349121	-67.872574
146.694946	-67.080872
148.040771	-68.393867
149.386597	-67.479797
150.732422	-66.032845
152.078247	-66.931587
153.424072	-67.170166
154.769897	-67.325432
156.115723	-66.352013
157.461548	-66.465477
158.807373	-65.514114
160.153198	-65.408249
161.499023	-66.581024
