Frequency (Hz)	Level (dB)
1.345825	-94.571075
2.691650	-94.514320
4.037476	-93.081001
5.383301	-92.927971
6.729126	-91.017769
8.074951	-92.201569
9.420776	-90.192581
10.766602	-88.813316
12.112427	-87.386154
13.458252	-86.500687
14.804077	-86.730003
16.149902	-86.130554
17.495728	-87.132942
18.841553	-83.652748
20.187378	-85.513107
21.533203	-83.379539
22.879028	-82.192146
24.224854	-83.357201
25.570679	-84.687119
26.916504	-82.099655
28.262329	-82.122902
29.608154	-79.289246
30.953979	-81.697296
32.299805	-83.284508
33.645630	-82.729088
34.991455	-82.792412
36.337280	-82.470772
37.683105	-80.317780
39.028931	-81.540108
40.374756	-80.398804
41.720581	-77.520020
43.066406	-79.280869
44.412231	-78.312050
45.758057	-79.127579
47.103882	-77.848076
48.449707	-76.951752
49.795532	-78.012421
51.141357	-77.043396
52.487183	-77.142479
53.833008	-76.728477
55.178833	-75.630791
56.524658	-75.801598
57.870483	-74.117714
59.216309	-73.189751
60.562134	-75.414474
61.907959	-73.320076
63.253784	-73.328918
64.599609	-75.549194
65.945435	-76.778214
67.291260	-76.553421
68.637085	-76.074242
69.982910	-76.729271
71.328735	-75.941124
72.674561	-75.362534
74.020386	-75.491058
75.366211	-75.478989
76.712036	-74.626503
78.057861	-76.464340
79.403687	-75.982330
80.749512	-74.792526
82.095337	-76.018738
83.441162	-76.293770
84.786987	-75.713127
86.132812	-75.544937
87.478638	-74.921364
88.824463	-75.108978
90.170288	-75.192032
91.516113	-74.383194
92.861938	-74.694077
94.207764	-75.863403
95.553589	-76.525673
96.899414	-75.913673
98.245239	-75.244331
99.591064	-76.122971
100.936890	-75.768120
102.282715	-74.844772
103.628540	-76.141113
104.974365	-75.503151
106.320190	-75.456375
107.666016	-76.655182
109.011841	-76.945526
110.357666	-75.583809
111.703491	-78.426407
113.049316	-75.817001
114.395142	-75.655403
115.740967	-78.084000
117.086792	-76.781387
118.432617	-74.761299
119.778442	-75.793404
121.124268	-75.855820
122.470093	-77.700294
123.815918	-75.090736
125.161743	-75.495506
126.507568	-75.952911
127.853394	-75.479286
129.199219	-75.248955
130.545044	-76.072060
131.890869	-74.145813
133.236694	-77.019958
134.582520	-76.067024
135.928345	-76.133018
137.274170	-74.690338
138.619995	-76.323448
139.965820	-76.066383
141.311646	-74.355438
142.657471	-75.419991
144.003296	-77.697334
145.349121	-75.540649
146.694946	-74.746063
148.040771	-76.272476
149.386597	-75.486015
150.732422	-73.818703
152.078247	-75.491280
153.424072	-75.959892
154.769897	-75.809952
156.115723	-76.133873
157.461548	-76.577545
158.807373	-75.104462
160.153198	-75.324310
161.499023	-77.230537
162.844849	-75.988625
164.190674	-75.915726
165.536499	-76.275719
166.882324	-74.202911
168.228149	-75.618584
169.573975	-76.541679
170.919800	-75.836304
172.265625	-75.831650
173.611450	-73.912483
174.957275	-75.029900
176.303101	-76.442932
177.648926	-75.238541
178.994751	-75.410789
180.340576	-75.716850
181.686401	-76.275429
183.032227	-76.119171
184.378052	-75.290680
185.723877	-75.390518
187.069702	-77.024933
188.415527	-74.941719
189.761353	-77.047455
191.107178	-77.599586
192.453003	-76.210876
193.798828	-76.386940
195.144653	-75.937263
196.490479	-77.445778
197.836304	-76.907623
199.182129	-74.712906
200.527954	-75.472298
201.873779	-77.071701
203.219604	-77.231224
204.565430	-75.877525
205.911255	-75.938850
207.257080	-74.865608
208.602905	-76.139359
209.948730	-76.013901
211.294556	-76.468842
212.640381	-76.800674
213.986206	-77.063705
215.332031	-76.897255
216.677856	-76.842972
218.023682	-78.254318
219.369507	-77.266441
220.715332	-76.906487
