Frequency (Hz)	Level (dB)
0.488281	-93.034081
0.976562	-93.509216
1.464844	-93.658928
1.953125	-93.128525
2.441406	-94.394356
2.929688	-92.162521
3.417969	-93.943848
3.906250	-91.207825
4.394531	-93.340271
4.882812	-93.738884
5.371094	-91.989220
5.859375	-93.766541
6.347656	-92.796936
6.835938	-92.120628
7.324219	-92.875351
7.812500	-92.095451
8.300781	-92.392159
8.789062	-91.873497
9.277344	-91.748802
9.765625	-91.386726
10.253906	-87.539413
10.742188	-89.011436
11.230469	-89.223068
11.718750	-87.020142
12.207031	-87.224442
12.695312	-88.799179
13.183594	-87.056999
13.671875	-87.648132
14.160156	-88.956551
14.648438	-89.482872
15.136719	-88.952553
15.625000	-88.020447
16.113281	-88.510925
16.601562	-87.346542
17.089844	-87.492989
17.578125	-88.085869
18.066406	-88.621552
18.554688	-86.412231
19.042969	-85.601883
19.531250	-88.255447
20.019531	-87.125740
20.507812	-85.557907
20.996094	-87.129082
21.484375	-87.054008
21.972656	-84.759926
22.460938	-84.873016
22.949219	-82.121307
23.437500	-81.136215
23.925781	-81.708138
24.414062	-84.610420
24.902344	-85.607735
25.390625	-83.189453
25.878906	-83.936821
26.367188	-83.696083
26.855469	-85.065048
27.343750	-83.767494
27.832031	-85.432968
28.320312	-82.530693
28.808594	-84.605042
29.296875	-84.164650
29.785156	-82.407089
30.273438	-85.506424
30.761719	-86.077682
31.250000	-86.258675
31.738281	-83.399643
32.226562	-82.796181
32.714844	-85.128265
33.203125	-83.395866
33.691406	-84.319725
34.179688	-85.470924
34.667969	-84.103813
35.156250	-84.900322
35.644531	-84.085632
36.132812	-85.818138
36.621094	-83.423180
37.109375	-85.114357
37.597656	-85.570786
38.085938	-85.374504
38.574219	-85.317200
39.062500	-86.196480
39.550781	-85.012474
40.039062	-84.175362
40.527344	-81.906868
41.015625	-83.958893
41.503906	-86.078941
41.992188	-83.401215
42.480469	-83.915405
42.968750	-84.702896
43.457031	-82.309189
43.945312	-85.678490
44.433594	-82.576462
44.921875	-83.066612
45.410156	-83.478790
45.898438	-84.046593
46.386719	-83.139496
46.875000	-83.624893
47.363281	-82.134628
47.851562	-83.353050
48.339844	-85.374123
48.828125	-84.812057
49.316406	-81.435089
49.804688	-82.147568
50.292969	-81.760597
50.781250	-81.037910
51.269531	-81.701523
51.757812	-83.493042
52.246094	-81.855972
52.734375	-82.341240
53.222656	-82.242874
53.710938	-82.361992
54.199219	-83.237854
54.687500	-82.503494
55.175781	-81.735123
55.664062	-80.350357
56.152344	-79.472229
56.640625	-80.465370
57.128906	-80.421875
57.617188	-80.432770
58.105469	-79.572670
58.593750	-79.883255
59.082031	-79.812424
59.570312	-80.028992
60.058594	-81.678154
60.546875	-79.006866
61.035156	-79.206093
61.523438	-79.176544
62.011719	-77.208008
62.500000	-79.110420
62.988281	-78.830414
63.476562	-76.491425
63.964844	-79.260033
64.453125	-80.356850
64.941406	-81.887314
65.429688	-82.766563
65.917969	-83.003304
66.406250	-82.032494
66.894531	-81.864265
67.382812	-80.880371
67.871094	-81.259148
68.359375	-82.460342
68.847656	-80.726105
69.335938	-79.976906
69.824219	-81.234795
70.312500	-79.294151
70.800781	-79.209335
71.289062	-80.765869
71.777344	-80.490105
72.265625	-79.771896
72.753906	-80.973175
73.242188	-78.721123
73.730469	-80.862129
74.218750	-80.406784
74.707031	-79.625031
75.195312	-79.678055
75.683594	-81.074142
76.171875	-81.052612
76.660156	-80.549866
77.148438	-81.800491
77.636719	-79.778351
78.125000	-78.950851
78.613281	-83.221069
79.101562	-81.896698
79.589844	-82.999603
80.078125	-81.153503
80.566406	-82.276260
81.054688	-80.934013
81.542969	-80.661064
82.031250	-80.408745
82.519531	-80.629097
83.007812	-81.047203
83.496094	-79.989433
83.984375	-80.983467
84.472656	-82.402473
84.960938	-80.521126
85.449219	-80.193062
85.937500	-81.666748
86.425781	-81.005814
86.914062	-80.394524
87.402344	-80.384964
87.890625	-80.143311
88.378906	-79.787903
88.867188	-80.172012
89.355469	-80.700844
89.843750	-79.618950
90.332031	-78.673767
90.820312	-80.976715
91.308594	-82.058220
91.796875	-81.053688
92.285156	-81.089561
92.773438	-79.863831
93.261719	-80.657082
93.750000	-80.580353
94.238281	-80.354019
94.726562	-80.567101
95.214844	-81.373825
95.703125	-80.642639
96.191406	-79.686241
96.679688	-82.309334
97.167969	-79.369682
97.656250	-77.465691
98.144531	-83.068779
98.632812	-80.832993
99.121094	-80.009201
99.609375	-80.051186
100.097656	-81.215210
100.585938	-79.178139
101.074219	-79.294487
101.562500	-80.326637
102.050781	-80.684784
102.539062	-79.960648
103.027344	-79.185921
103.515625	-79.676064
104.003906	-78.964508
104.492188	-78.957542
104.980469	-80.936447
105.468750	-79.565796
105.957031	-78.993874
106.445312	-78.837685
106.933594	-78.189156
107.421875	-79.336823
107.910156	-79.644249
108.398438	-77.893806
108.886719	-78.834595
109.375000	-80.083153
