Frequency (Hz)	Level (dB)
0.488281	-93.409134
0.976562	-93.798134
1.464844	-93.143089
1.953125	-91.771622
2.441406	-91.629860
2.929688	-92.867889
3.417969	-92.343513
3.906250	-93.405228
4.394531	-92.908508
4.882812	-91.650665
5.371094	-92.467728
5.859375	-92.371124
6.347656	-90.157585
6.835938	-91.717705
7.324219	-90.295433
7.812500	-91.420029
8.300781	-92.049538
8.789062	-90.840378
9.277344	-91.688454
9.765625	-90.974846
10.253906	-88.837547
10.742188	-88.187416
11.230469	-86.916489
11.718750	-90.656288
12.207031	-88.005806
12.695312	-90.126694
13.183594	-88.499260
13.671875	-89.783867
14.160156	-89.367264
14.648438	-88.522949
15.136719	-89.657837
15.625000	-87.484436
16.113281	-88.528137
16.601562	-88.458290
17.089844	-88.956932
17.578125	-87.490845
18.066406	-88.085144
18.554688	-86.698448
19.042969	-86.284752
19.531250	-86.889160
20.019531	-88.030312
20.507812	-87.592430
20.996094	-86.274208
21.484375	-87.061203
21.972656	-86.893433
22.460938	-84.955566
22.949219	-85.287064
23.437500	-81.669212
23.925781	-83.941605
24.414062	-87.903717
24.902344	-86.621414
25.390625	-86.908302
25.878906	-85.837837
26.367188	-84.302040
26.855469	-84.080116
27.343750	-84.224854
27.832031	-84.124687
28.320312	-83.169815
28.808594	-86.149834
29.296875	-87.061867
29.785156	-83.616989
30.273438	-84.032692
30.761719	-82.544067
31.250000	-85.175713
31.738281	-84.785660
32.226562	-84.010803
32.714844	-84.584068
33.203125	-85.000587
33.691406	-85.970261
34.179688	-84.534035
34.667969	-84.934906
35.156250	-86.624199
35.644531	-85.739014
36.132812	-82.444099
36.621094	-84.491905
37.109375	-83.791077
37.597656	-83.072197
38.085938	-85.304153
38.574219	-85.257317
39.062500	-83.791214
39.550781	-85.915253
40.039062	-83.143677
40.527344	-82.540535
41.015625	-83.199989
41.503906	-82.390663
41.992188	-82.091843
42.480469	-81.802437
42.968750	-83.753372
43.457031	-83.247993
43.945312	-81.773323
44.433594	-82.642502
44.921875	-82.841812
45.410156	-84.193489
45.898438	-83.600983
46.386719	-83.906334
46.875000	-81.905510
47.363281	-81.807983
47.851562	-81.820518
48.339844	-81.453461
48.828125	-81.249664
49.316406	-80.047539
49.804688	-82.282990
50.292969	-81.350800
50.781250	-82.274940
51.269531	-79.397888
51.757812	-79.844185
52.246094	-82.041847
52.734375	-80.709106
53.222656	-81.791664
53.710938	-80.018333
54.199219	-78.726295
54.687500	-78.797775
55.175781	-80.670784
55.664062	-79.282700
56.152344	-79.146454
56.640625	-80.580833
57.128906	-79.711006
57.617188	-79.908943
58.105469	-80.352928
58.593750	-78.818588
59.082031	-77.633308
59.570312	-78.370949
60.058594	-79.268303
60.546875	-79.472328
61.035156	-79.129089
61.523438	-78.189468
62.011719	-77.768684
62.500000	-78.570633
62.988281	-77.710426
63.476562	-78.283478
63.964844	-78.761108
64.453125	-78.443192
64.941406	-78.550575
65.429688	-80.857956
65.917969	-80.136330
66.406250	-80.242989
66.894531	-80.664917
67.382812	-79.673035
67.871094	-78.878082
68.359375	-80.471092
68.847656	-81.400764
69.335938	-79.355873
69.824219	-79.405380
70.312500	-77.549957
70.800781	-79.093781
71.289062	-78.592613
71.777344	-77.960243
72.265625	-78.250198
72.753906	-77.783783
73.242188	-77.114975
73.730469	-79.363350
74.218750	-79.067963
74.707031	-76.917114
75.195312	-77.450577
