Frequency (Hz)	Level (dB)
0.488281	-90.657333
0.976562	-90.267509
1.464844	-90.029182
1.953125	-91.482590
2.441406	-91.083038
2.929688	-89.701508
3.417969	-90.458809
3.906250	-90.234077
4.394531	-90.672554
4.882812	-90.203880
5.371094	-90.036781
5.859375	-89.930382
6.347656	-90.072357
6.835938	-88.908600
7.324219	-89.866669
7.812500	-89.285324
8.300781	-89.435646
8.789062	-91.349113
9.277344	-90.454819
9.765625	-88.416527
10.253906	-88.251419
10.742188	-87.466278
11.230469	-85.891563
11.718750	-88.077126
12.207031	-85.474220
12.695312	-86.639412
13.183594	-86.038643
13.671875	-87.488586
14.160156	-87.795914
14.648438	-89.147041
15.136719	-87.659462
15.625000	-86.416046
16.113281	-87.142876
16.601562	-88.159592
17.089844	-87.335541
17.578125	-86.332504
18.066406	-85.615204
18.554688	-84.522629
19.042969	-86.189621
19.531250	-85.600914
20.019531	-85.037956
20.507812	-85.560272
20.996094	-83.571770
21.484375	-84.154175
21.972656	-85.957153
22.460938	-86.637207
22.949219	-83.945732
23.437500	-81.236450
23.925781	-82.428749
24.414062	-84.284866
24.902344	-83.848114
25.390625	-83.242065
25.878906	-83.496674
26.367188	-83.466560
26.855469	-84.229042
27.343750	-83.472237
27.832031	-84.737022
28.320312	-83.546059
28.808594	-82.864937
29.296875	-82.756821
29.785156	-81.152283
30.273438	-84.722908
30.761719	-84.314072
31.250000	-83.647430
31.738281	-83.939873
32.226562	-85.062302
32.714844	-82.653671
33.203125	-84.181366
33.691406	-83.818939
34.179688	-85.030838
34.667969	-82.803459
35.156250	-84.532181
35.644531	-84.006638
36.132812	-82.824776
36.621094	-82.422386
37.109375	-82.491608
37.597656	-83.865005
38.085938	-85.092445
38.574219	-81.293694
39.062500	-80.926437
39.550781	-84.072441
40.039062	-83.711464
40.527344	-81.338608
41.015625	-83.625282
41.503906	-82.980782
41.992188	-81.636101
42.480469	-81.489059
42.968750	-82.042297
43.457031	-81.275795
43.945312	-81.245880
44.433594	-80.288902
44.921875	-81.370888
45.410156	-81.914528
45.898438	-82.637375
46.386719	-81.060898
46.875000	-81.151474
47.363281	-80.650887
47.851562	-80.469398
48.339844	-80.364319
48.828125	-81.439499
49.316406	-80.105415
49.804688	-81.449089
50.292969	-79.494629
50.781250	-79.722458
51.269531	-77.830231
51.757812	-80.424423
52.246094	-78.695274
52.734375	-79.559029
53.222656	-79.173157
53.710938	-80.420059
54.199219	-78.301735
54.687500	-78.607765
55.175781	-78.523155
55.664062	-79.092697
56.152344	-77.395203
56.640625	-79.544846
57.128906	-78.127487
57.617188	-76.910721
58.105469	-77.735703
58.593750	-77.882118
59.082031	-78.458199
59.570312	-77.834854
60.058594	-77.922821
60.546875	-78.452820
61.035156	-77.524979
61.523438	-77.466492
62.011719	-76.435570
62.500000	-75.457214
62.988281	-77.762535
63.476562	-77.352554
63.964844	-77.338570
64.453125	-77.530647
64.941406	-77.655777
65.429688	-79.499168
65.917969	-79.819138
66.406250	-79.063126
66.894531	-79.251137
67.382812	-78.691544
67.871094	-78.011024
68.359375	-79.211632
68.847656	-79.624771
69.335938	-77.089287
69.824219	-77.387367
70.312500	-77.227097
70.800781	-77.590408
71.289062	-77.790710
71.777344	-77.213585
72.265625	-76.793640
72.753906	-76.989433
73.242188	-77.978279
73.730469	-78.601540
74.218750	-77.326508
74.707031	-76.130310
75.195312	-76.695869
75.683594	-79.422081
76.171875	-77.771317
76.660156	-77.650650
77.148438	-78.038673
77.636719	-75.224579
78.125000	-76.051620
78.613281	-78.817116
79.101562	-76.790886
79.589844	-79.038002
80.078125	-76.623657
80.566406	-79.472649
81.054688	-76.294121
81.542969	-76.823105
82.031250	-76.475311
82.519531	-77.274254
83.007812	-76.367233
83.496094	-74.932159
83.984375	-76.628418
84.472656	-79.050285
84.960938	-77.277641
85.449219	-76.417496
85.937500	-79.235161
86.425781	-77.781036
86.914062	-78.329659
87.402344	-77.563896
87.890625	-76.063477
88.378906	-76.235794
88.867188	-76.371735
89.355469	-77.059898
89.843750	-75.785660
90.332031	-75.670479
90.820312	-77.290802
91.308594	-78.054604
91.796875	-77.455307
92.285156	-76.561264
92.773438	-76.688736
93.261719	-77.158005
93.750000	-77.524734
94.238281	-77.263588
94.726562	-77.166641
95.214844	-77.617867
95.703125	-77.016647
96.191406	-75.833626
96.679688	-77.329224
97.167969	-75.601730
97.656250	-74.173195
98.144531	-78.875809
98.632812	-76.216309
99.121094	-75.683632
99.609375	-76.399391
100.097656	-76.273926
100.585938	-75.261162
101.074219	-74.942436
101.562500	-76.111031
102.050781	-76.496178
102.539062	-75.786385
103.027344	-76.355576
103.515625	-75.573196
104.003906	-76.008751
104.492188	-75.845711
104.980469	-76.639420
105.468750	-75.784042
105.957031	-74.212952
106.445312	-75.524300
106.933594	-74.206612
107.421875	-76.026978
107.910156	-75.747673
108.398438	-74.610077
108.886719	-74.333618
109.375000	-76.802345
109.863281	-76.597206
110.351562	-74.018677
110.839844	-76.810722
111.328125	-77.087227
111.816406	-76.209785
112.304688	-75.687927
112.792969	-76.705521
113.281250	-76.512482
113.769531	-76.618599
114.257812	-76.238022
114.746094	-75.711380
115.234375	-75.796562
115.722656	-75.115585
116.210938	-76.301765
116.699219	-74.727440
117.187500	-74.087891
117.675781	-77.138542
118.164062	-75.455887
118.652344	-75.094002
119.140625	-77.117180
119.628906	-74.538834
120.117188	-70.129189
120.605469	-72.955551
121.093750	-74.534668
121.582031	-75.932350
122.070312	-76.271088
122.558594	-74.785492
123.046875	-74.250587
123.535156	-76.224319
124.023438	-77.272301
124.511719	-74.530220
125.000000	-74.429619
125.488281	-75.908920
125.976562	-75.821152
126.464844	-75.154396
126.953125	-73.466835
127.441406	-72.692596
127.929688	-73.549461
128.417969	-75.854416
128.906250	-73.994888
129.394531	-75.798103
129.882812	-75.401810
130.371094	-76.521751
130.859375	-74.543846
131.347656	-74.294960
131.835938	-75.358032
132.324219	-74.193886
132.812500	-73.306534
133.300781	-74.683304
133.789062	-73.371696
134.277344	-71.921463
134.765625	-75.242920
135.253906	-73.758583
135.742188	-76.217278
136.230469	-74.800186
136.718750	-75.560921
137.207031	-74.709557
137.695312	-74.300652
138.183594	-74.641602
138.671875	-74.371445
139.160156	-74.450340
139.648438	-74.333900
140.136719	-75.277176
140.625000	-75.205338
141.113281	-73.122307
141.601562	-72.529266
142.089844	-74.292725
142.578125	-73.816093
143.066406	-74.588379
143.554688	-74.091072
144.042969	-71.926521
144.531250	-73.198227
145.019531	-74.691879
145.507812	-75.647003
145.996094	-73.847969
146.484375	-72.373466
146.972656	-73.364128
147.460938	-74.219994
147.949219	-73.042709
148.437500	-73.535820
148.925781	-76.635605
149.414062	-74.222519
149.902344	-74.245407
150.390625	-75.418442
150.878906	-74.126350
151.367188	-73.355766
151.855469	-73.723969
152.343750	-72.871681
152.832031	-73.532669
153.320312	-73.760979
153.808594	-73.775169
154.296875	-74.269829
154.785156	-72.226311
155.273438	-73.643173
155.761719	-73.740112
156.250000	-72.300606
156.738281	-72.629822
157.226562	-73.053696
157.714844	-71.925423
158.203125	-74.780998
158.691406	-72.831955
159.179688	-72.515320
159.667969	-75.143715
160.156250	-74.857010
160.644531	-75.534027
161.132812	-72.565819
161.621094	-74.042198
162.109375	-73.377602
162.597656	-73.518280
163.085938	-73.860489
163.574219	-72.910370
164.062500	-72.892639
164.550781	-71.718826
165.039062	-72.618057
165.527344	-73.634827
166.015625	-72.689377
166.503906	-71.794533
166.992188	-71.796394
167.480469	-73.092644
167.968750	-73.361191
168.457031	-73.201408
168.945312	-73.511009
169.433594	-72.203156
169.921875	-73.914261
170.410156	-72.125824
170.898438	-73.186478
171.386719	-72.587334
171.875000	-71.604820
172.363281	-73.371651
172.851562	-72.685188
173.339844	-72.135101
173.828125	-72.800674
174.316406	-72.564972
