Frequency (Hz)	Level (dB)
0.488281	-99.781189
0.976562	-100.011169
1.464844	-95.459534
1.953125	-101.401398
2.441406	-98.347237
2.929688	-98.978371
3.417969	-101.488823
3.906250	-98.345512
4.394531	-101.524544
4.882812	-100.935211
5.371094	-93.997345
5.859375	-96.500664
6.347656	-92.440872
6.835938	-95.279396
7.324219	-98.053268
7.812500	-97.534523
8.300781	-96.844330
8.789062	-97.026855
9.277344	-94.434555
9.765625	-91.982704
10.253906	-98.991173
10.742188	-92.581917
11.230469	-89.796257
11.718750	-85.541031
12.207031	-84.952698
12.695312	-82.989700
13.183594	-83.701729
13.671875	-89.930328
14.160156	-90.765968
14.648438	-93.953606
15.136719	-91.859322
15.625000	-97.146904
16.113281	-91.036949
16.601562	-87.681862
17.089844	-85.832115
17.578125	-84.848907
18.066406	-89.908928
18.554688	-84.178223
19.042969	-85.363792
19.531250	-83.204338
20.019531	-82.254356
20.507812	-84.084984
20.996094	-84.596405
21.484375	-84.508018
21.972656	-87.863991
22.460938	-86.756226
22.949219	-85.886528
23.437500	-81.096581
23.925781	-82.622887
24.414062	-78.892143
24.902344	-77.102928
25.390625	-78.926140
25.878906	-79.084038
26.367188	-78.282654
26.855469	-82.659164
27.343750	-82.309547
27.832031	-84.745979
28.320312	-83.997307
28.808594	-86.540123
29.296875	-86.420425
29.785156	-79.184128
30.273438	-87.056953
30.761719	-91.336380
31.250000	-90.899185
31.738281	-92.083878
32.226562	-80.442543
32.714844	-78.871002
33.203125	-84.312263
33.691406	-89.768768
34.179688	-83.948257
34.667969	-91.127747
35.156250	-85.952522
35.644531	-86.259453
36.132812	-88.098755
36.621094	-86.235657
37.109375	-87.957809
37.597656	-84.980309
38.085938	-82.349678
38.574219	-83.260551
39.062500	-84.787476
39.550781	-82.925644
40.039062	-83.871399
40.527344	-82.772278
41.015625	-80.101120
41.503906	-80.042084
41.992188	-76.853607
42.480469	-81.761513
42.968750	-93.837616
43.457031	-83.624550
43.945312	-81.943756
44.433594	-81.425148
44.921875	-80.784714
45.410156	-82.371063
45.898438	-84.821251
46.386719	-82.121414
46.875000	-86.158989
47.363281	-88.315353
47.851562	-85.573067
48.339844	-83.240738
48.828125	-80.186554
49.316406	-83.523254
49.804688	-84.394409
50.292969	-78.157112
50.781250	-89.040901
51.269531	-83.712265
51.757812	-82.841675
52.246094	-81.149742
52.734375	-79.015480
53.222656	-84.277336
53.710938	-79.505882
54.199219	-82.704117
54.687500	-80.163185
55.175781	-76.001366
55.664062	-77.539421
56.152344	-79.998329
56.640625	-82.704269
57.128906	-76.570122
57.617188	-79.096092
58.105469	-85.203506
58.593750	-78.868843
59.082031	-80.165413
59.570312	-80.219604
60.058594	-78.447578
