Frequency (Hz)	Level (dB)
0.488281	-100.340164
0.976562	-100.239700
1.464844	-99.277420
1.953125	-100.191574
2.441406	-100.096573
2.929688	-99.464867
3.417969	-100.095367
3.906250	-98.038231
4.394531	-98.831207
4.882812	-99.221672
5.371094	-98.570366
5.859375	-97.877632
6.347656	-95.989967
6.835938	-96.154823
7.324219	-96.367737
7.812500	-97.553459
8.300781	-97.765991
8.789062	-98.102104
9.277344	-96.537979
9.765625	-94.273880
10.253906	-94.196945
10.742188	-90.883858
11.230469	-90.471855
11.718750	-89.428627
12.207031	-89.454445
12.695312	-89.231285
13.183594	-88.594978
13.671875	-90.362091
14.160156	-90.472183
14.648438	-90.954163
15.136719	-92.540840
15.625000	-90.179543
16.113281	-90.518913
16.601562	-89.934952
17.089844	-88.497147
17.578125	-87.747154
18.066406	-88.812027
18.554688	-86.380821
19.042969	-87.455437
19.531250	-88.133545
20.019531	-87.969727
20.507812	-88.381020
20.996094	-88.128738
21.484375	-87.164490
21.972656	-87.113564
22.460938	-85.922394
22.949219	-86.114479
23.437500	-85.522102
23.925781	-84.608757
24.414062	-85.105247
24.902344	-84.511604
25.390625	-85.708015
25.878906	-83.857765
26.367188	-84.108719
26.855469	-84.811859
27.343750	-86.957283
27.832031	-85.855820
28.320312	-84.343376
28.808594	-87.033005
29.296875	-85.964874
29.785156	-81.962425
30.273438	-88.169510
30.761719	-85.204437
31.250000	-86.698936
31.738281	-84.921692
32.226562	-84.073975
32.714844	-85.349922
33.203125	-85.136726
33.691406	-86.152428
34.179688	-85.001106
34.667969	-86.396164
35.156250	-86.386261
35.644531	-85.714783
36.132812	-86.515083
36.621094	-85.510307
37.109375	-85.162483
37.597656	-84.745728
38.085938	-85.037033
38.574219	-85.493675
39.062500	-86.271980
39.550781	-85.035233
40.039062	-84.995811
40.527344	-85.318016
41.015625	-81.906883
41.503906	-82.407227
41.992188	-82.528091
42.480469	-83.459465
42.968750	-84.697090
43.457031	-84.182129
43.945312	-83.156960
44.433594	-82.451889
44.921875	-81.937477
45.410156	-83.956001
45.898438	-83.004539
46.386719	-81.247360
46.875000	-84.034393
47.363281	-80.910767
47.851562	-82.633331
48.339844	-83.474892
48.828125	-83.300163
49.316406	-81.528976
49.804688	-82.213661
50.292969	-82.182259
50.781250	-80.076340
51.269531	-80.787941
51.757812	-83.218910
52.246094	-80.869858
52.734375	-82.439720
53.222656	-80.680573
53.710938	-80.752617
54.199219	-78.000153
54.687500	-79.156006
55.175781	-78.933876
55.664062	-79.944237
56.152344	-79.898087
56.640625	-81.323448
57.128906	-77.851364
57.617188	-79.191940
58.105469	-80.195969
58.593750	-78.459991
59.082031	-79.430870
59.570312	-78.321281
60.058594	-78.424553
60.546875	-78.333740
61.035156	-77.390572
61.523438	-78.718864
62.011719	-78.520493
62.500000	-76.963409
62.988281	-79.112564
63.476562	-76.884056
63.964844	-79.770454
64.453125	-79.971809
64.941406	-79.706764
65.429688	-81.614883
65.917969	-80.645653
66.406250	-79.882950
66.894531	-79.960045
67.382812	-79.878441
67.871094	-81.341927
68.359375	-82.144974
68.847656	-80.613258
69.335938	-79.654251
69.824219	-78.995544
70.312500	-78.229553
70.800781	-80.222107
71.289062	-80.392281
71.777344	-80.115189
72.265625	-79.321533
72.753906	-78.198868
73.242188	-77.459885
73.730469	-79.579391
74.218750	-79.916382
74.707031	-77.172165
75.195312	-78.996834
75.683594	-79.768440
76.171875	-78.401825
76.660156	-79.035690
77.148438	-80.364914
77.636719	-77.615623
78.125000	-77.290359
78.613281	-81.417610
79.101562	-79.378891
79.589844	-80.348877
80.078125	-79.872116
80.566406	-82.432137
81.054688	-79.339996
81.542969	-79.209503
82.031250	-79.797607
82.519531	-78.931717
83.007812	-79.363480
83.496094	-77.716240
83.984375	-79.693794
84.472656	-80.187584
84.960938	-79.896294
85.449219	-79.036232
85.937500	-80.664597
86.425781	-77.729904
86.914062	-79.723732
87.402344	-79.514488
87.890625	-77.785553
88.378906	-79.826134
88.867188	-77.811699
89.355469	-78.614655
89.843750	-77.835617
90.332031	-77.836044
90.820312	-78.882767
91.308594	-81.102425
91.796875	-79.955101
92.285156	-79.094498
92.773438	-79.548050
93.261719	-81.215065
93.750000	-79.997223
94.238281	-79.694763
94.726562	-79.775879
95.214844	-80.452179
95.703125	-79.535973
96.191406	-79.331177
96.679688	-79.476021
97.167969	-78.262383
97.656250	-77.912277
98.144531	-81.452408
98.632812	-79.688820
99.121094	-79.511688
99.609375	-79.619087
100.097656	-79.690903
100.585938	-78.659019
101.074219	-78.881447
101.562500	-78.715691
102.050781	-79.342087
102.539062	-79.076622
103.027344	-79.064049
103.515625	-77.461761
104.003906	-78.903549
104.492188	-78.844925
104.980469	-78.635246
105.468750	-78.922401
105.957031	-77.391701
106.445312	-78.636589
106.933594	-77.025421
107.421875	-78.971390
107.910156	-78.431160
108.398438	-77.451393
108.886719	-77.489388
109.375000	-79.967468
109.863281	-80.088104
110.351562	-77.599724
110.839844	-78.992966
111.328125	-79.667679
111.816406	-78.932457
112.304688	-78.731552
112.792969	-80.085541
113.281250	-78.744141
113.769531	-78.363121
114.257812	-77.281693
114.746094	-78.383720
115.234375	-79.018333
115.722656	-78.445694
116.210938	-79.852676
116.699219	-78.498764
117.187500	-77.544388
117.675781	-80.261253
118.164062	-80.079765
118.652344	-80.461510
119.140625	-80.886162
119.628906	-79.141235
120.117188	-79.783173
120.605469	-78.912476
121.093750	-79.544563
121.582031	-80.202347
122.070312	-79.772018
122.558594	-78.127205
123.046875	-78.183029
123.535156	-80.219780
124.023438	-81.805481
124.511719	-77.787277
125.000000	-78.176857
125.488281	-79.442085
125.976562	-79.761841
126.464844	-78.698570
126.953125	-77.480286
127.441406	-76.476471
127.929688	-77.111801
128.417969	-79.613884
128.906250	-77.513008
129.394531	-80.241539
129.882812	-79.725723
130.371094	-80.064415
130.859375	-78.820168
131.347656	-78.975739
131.835938	-79.028046
132.324219	-78.421593
132.812500	-77.439941
133.300781	-78.825218
133.789062	-77.343147
134.277344	-76.296677
134.765625	-79.434494
135.253906	-78.061211
135.742188	-80.870575
136.230469	-78.922722
136.718750	-79.280342
137.207031	-79.637154
137.695312	-78.947586
138.183594	-78.635979
138.671875	-79.251953
139.160156	-79.063499
139.648438	-78.844452
140.136719	-79.808090
140.625000	-79.173065
141.113281	-77.417404
141.601562	-77.704552
142.089844	-78.965492
142.578125	-77.948013
143.066406	-78.727173
143.554688	-78.687943
144.042969	-76.659172
144.531250	-77.809135
145.019531	-79.107834
145.507812	-80.301018
145.996094	-77.710548
146.484375	-77.398888
146.972656	-78.314919
147.460938	-79.273560
147.949219	-77.818520
148.437500	-78.700951
148.925781	-81.023293
149.414062	-79.663445
149.902344	-79.461319
150.390625	-80.431236
150.878906	-80.794441
151.367188	-78.418625
151.855469	-79.383186
152.343750	-78.599640
152.832031	-78.582283
153.320312	-78.705193
153.808594	-78.546242
154.296875	-79.339470
154.785156	-77.463387
155.273438	-78.965355
155.761719	-79.594536
156.250000	-77.164093
156.738281	-77.888832
157.226562	-78.596954
157.714844	-77.348900
158.203125	-80.960472
158.691406	-78.756363
159.179688	-78.133286
159.667969	-80.669838
160.156250	-80.600433
160.644531	-81.212456
161.132812	-78.248398
161.621094	-80.820221
162.109375	-79.020302
162.597656	-79.854675
163.085938	-79.397728
163.574219	-78.847008
164.062500	-79.485329
164.550781	-77.992622
165.039062	-78.547523
165.527344	-79.280937
166.015625	-78.529793
166.503906	-78.238571
166.992188	-78.007736
167.480469	-79.542442
167.968750	-79.034790
168.457031	-79.314209
168.945312	-79.875816
169.433594	-78.616211
169.921875	-80.071121
170.410156	-78.435295
170.898438	-79.311752
171.386719	-79.166809
171.875000	-78.153313
172.363281	-80.081711
172.851562	-79.679672
173.339844	-79.012215
173.828125	-79.343048
174.316406	-79.525749
174.804688	-79.283943
175.292969	-80.161507
175.781250	-76.335411
176.269531	-77.746696
176.757812	-78.723648
177.246094	-78.028809
177.734375	-77.943192
178.222656	-78.648132
178.710938	-78.324776
179.199219	-79.847382
179.687500	-78.628319
180.175781	-79.162331
180.664062	-79.590523
181.152344	-79.087708
181.640625	-79.316635
182.128906	-79.525314
182.617188	-79.481575
183.105469	-80.729515
183.593750	-78.652771
184.082031	-80.265465
184.570312	-77.508255
185.058594	-80.251740
185.546875	-79.603569
186.035156	-79.524315
186.523438	-78.423538
187.011719	-78.762794
187.500000	-79.230194
187.988281	-79.946800
188.476562	-79.436577
188.964844	-80.134293
189.453125	-78.805344
189.941406	-78.424339
190.429688	-79.983017
190.917969	-80.075485
191.406250	-78.876953
191.894531	-79.021019
192.382812	-79.135605
192.871094	-79.468727
193.359375	-79.066139
193.847656	-80.290268
194.335938	-78.677177
194.824219	-79.366669
195.312500	-77.828491
195.800781	-79.817879
196.289062	-80.345604
196.777344	-79.861923
197.265625	-80.536003
197.753906	-79.992905
198.242188	-81.038086
198.730469	-80.709023
199.218750	-80.336060
199.707031	-77.442307
200.195312	-79.650047
200.683594	-80.513458
201.171875	-80.943977
201.660156	-78.472855
202.148438	-78.650017
202.636719	-81.608696
203.125000	-80.469994
203.613281	-79.307388
204.101562	-80.440880
204.589844	-80.011810
205.078125	-80.308998
205.566406	-79.291290
206.054688	-78.641464
206.542969	-78.146568
207.031250	-79.207626
207.519531	-79.875175
208.007812	-78.740555
208.496094	-79.165413
208.984375	-80.336617
209.472656	-79.747948
209.960938	-80.062294
210.449219	-78.292557
210.937500	-80.595154
211.425781	-79.762070
211.914062	-80.780670
212.402344	-77.901947
212.890625	-79.679497
213.378906	-79.202995
213.867188	-80.016708
214.355469	-80.136292
214.843750	-79.312820
215.332031	-79.066978
215.820312	-78.295403
216.308594	-79.474251
216.796875	-79.420586
217.285156	-81.581360
217.773438	-79.522484
218.261719	-81.447884
218.750000	-78.017235
219.238281	-79.719498
219.726562	-78.478333
220.214844	-80.832047
220.703125	-80.478203
221.191406	-82.309776
221.679688	-80.470673
222.167969	-80.378548
222.656250	-80.442581
223.144531	-81.486862
223.632812	-78.612747
224.121094	-79.099663
224.609375	-79.027695
225.097656	-79.519669
225.585938	-78.511406
226.074219	-80.088242
226.562500	-81.300423
227.050781	-79.291405
227.539062	-79.315590
228.027344	-79.518600
228.515625	-79.994064
229.003906	-80.183952
229.492188	-80.556854
229.980469	-80.570129
230.468750	-77.143616
230.957031	-78.703415
231.445312	-79.925591
231.933594	-80.100327
232.421875	-80.440117
232.910156	-79.968117
233.398438	-79.238251
233.886719	-80.331596
234.375000	-80.231483
234.863281	-79.626724
235.351562	-78.902466
235.839844	-81.024055
236.328125	-78.525894
236.816406	-79.766975
237.304688	-80.600052
237.792969	-80.246086
238.281250	-80.922371
238.769531	-80.507370
239.257812	-80.999290
239.746094	-81.804459
240.234375	-79.631256
240.722656	-79.815094
241.210938	-82.102959
241.699219	-79.125633
242.187500	-79.395706
242.675781	-79.876854
243.164062	-79.970863
243.652344	-80.519493
244.140625	-80.115929
244.628906	-78.377876
245.117188	-79.351120
245.605469	-79.314896
246.093750	-81.808998
246.582031	-79.224854
247.070312	-79.590591
247.558594	-80.518082
248.046875	-79.564201
248.535156	-80.646324
249.023438	-80.959373
249.511719	-81.110306
250.000000	-81.890343
250.488281	-78.698479
250.976562	-78.694756
251.464844	-80.747780
251.953125	-80.626991
252.441406	-80.847061
252.929688	-79.999802
253.417969	-80.769218
253.906250	-80.262726
254.394531	-80.314926
254.882812	-80.796272
255.371094	-80.371948
255.859375	-78.995125
256.347656	-78.809807
256.835938	-81.110870
257.324219	-80.346138
257.812500	-80.261299
258.300781	-80.777664
258.789062	-80.433075
259.277344	-79.582314
259.765625	-80.416397
260.253906	-80.185768
260.742188	-79.730446
261.230469	-80.233253
261.718750	-80.383896
262.207031	-82.665451
262.695312	-82.027771
263.183594	-80.864403
263.671875	-80.589661
264.160156	-81.056564
264.648438	-79.891289
265.136719	-82.285278
265.625000	-80.576523
266.113281	-80.825233
266.601562	-80.805542
267.089844	-80.928169
267.578125	-80.468178
268.066406	-79.846298
268.554688	-80.766975
269.042969	-80.975754
269.531250	-79.684753
270.019531	-80.712738
270.507812	-79.371635
270.996094	-80.402390
271.484375	-80.949409
271.972656	-79.849052
272.460938	-81.406059
272.949219	-80.350868
273.437500	-79.605919
273.925781	-79.102509
274.414062	-80.214470
274.902344	-80.949387
275.390625	-80.968216
275.878906	-81.408745
276.367188	-79.282623
276.855469	-79.003609
277.343750	-79.083221
277.832031	-79.950310
278.320312	-79.315315
278.808594	-79.841209
279.296875	-79.207207
279.785156	-82.790169
280.273438	-82.265800
280.761719	-81.292152
281.250000	-80.660507
281.738281	-78.558289
282.226562	-78.776367
282.714844	-81.527809
283.203125	-81.367737
283.691406	-79.606552
284.179688	-82.936188
284.667969	-81.864098
285.156250	-78.587936
285.644531	-81.650352
286.132812	-80.014725
286.621094	-81.651741
287.109375	-82.101959
287.597656	-81.385948
288.085938	-81.049072
288.574219	-80.011536
289.062500	-81.579178
289.550781	-81.907097
290.039062	-80.959129
290.527344	-80.898514
291.015625	-80.087181
291.503906	-80.154770
291.992188	-80.082802
292.480469	-81.259834
292.968750	-81.786232
293.457031	-78.674400
293.945312	-79.627434
294.433594	-80.322563
294.921875	-80.169136
295.410156	-79.273849
295.898438	-80.579269
296.386719	-79.862518
296.875000	-80.588356
297.363281	-80.745056
297.851562	-80.596512
298.339844	-79.242073
298.828125	-79.618195
299.316406	-81.031128
299.804688	-80.000931
300.292969	-83.270897
300.781250	-80.837990
301.269531	-81.596565
301.757812	-80.683182
302.246094	-81.534798
302.734375	-80.267403
303.222656	-81.156738
303.710938	-80.080231
304.199219	-82.746445
304.687500	-80.951996
305.175781	-80.670074
305.664062	-80.891403
306.152344	-79.590874
306.640625	-80.928810
307.128906	-80.776009
307.617188	-80.213257
308.105469	-81.493088
308.593750	-79.983345
309.082031	-80.500511
309.570312	-80.599388
310.058594	-80.063354
310.546875	-80.887863
311.035156	-79.791611
311.523438	-81.128830
312.011719	-82.018524
312.500000	-81.195168
312.988281	-80.788582
313.476562	-79.705490
313.964844	-79.859428
314.453125	-82.600723
314.941406	-80.725227
315.429688	-79.790070
315.917969	-80.905510
316.406250	-79.365921
316.894531	-80.442833
317.382812	-81.592392
317.871094	-79.871368
318.359375	-78.713905
318.847656	-80.272308
319.335938	-81.010857
319.824219	-80.690239
320.312500	-80.508896
320.800781	-80.386520
321.289062	-79.844688
321.777344	-79.901344
322.265625	-79.339935
322.753906	-79.394341
323.242188	-82.518906
323.730469	-80.550385
324.218750	-79.672684
324.707031	-79.149132
325.195312	-80.442322
