Frequency (Hz)	Level (dB)
0.488281	-96.021385
0.976562	-95.517349
1.464844	-96.128052
1.953125	-96.619621
2.441406	-96.420082
2.929688	-96.554436
3.417969	-96.023468
3.906250	-95.005775
4.394531	-95.443596
4.882812	-96.061493
5.371094	-95.604195
5.859375	-94.205246
6.347656	-95.672508
6.835938	-95.034500
7.324219	-95.513550
7.812500	-94.689919
8.300781	-94.497498
8.789062	-95.119843
9.277344	-95.576187
9.765625	-94.025253
10.253906	-92.659714
10.742188	-92.866211
11.230469	-92.793808
11.718750	-92.908379
12.207031	-90.933685
12.695312	-90.427597
13.183594	-92.514130
13.671875	-92.128471
14.160156	-92.055626
14.648438	-92.292969
15.136719	-91.052078
15.625000	-90.541313
16.113281	-90.613251
16.601562	-91.693069
17.089844	-89.901291
17.578125	-91.815613
18.066406	-90.887337
18.554688	-89.698868
19.042969	-89.108658
19.531250	-90.324745
20.019531	-89.528618
20.507812	-90.045891
20.996094	-88.746201
21.484375	-89.388176
21.972656	-88.457565
22.460938	-88.650826
22.949219	-85.946075
23.437500	-83.755394
23.925781	-86.369980
24.414062	-88.163712
24.902344	-87.781311
25.390625	-87.737770
25.878906	-86.765251
26.367188	-85.859344
26.855469	-86.935661
27.343750	-88.681465
27.832031	-85.651741
28.320312	-83.897522
28.808594	-88.812172
29.296875	-87.018608
29.785156	-86.861755
30.273438	-87.964302
30.761719	-86.153198
31.250000	-88.822350
31.738281	-84.962784
32.226562	-89.414612
32.714844	-89.454269
33.203125	-87.450340
33.691406	-88.483452
34.179688	-89.846809
34.667969	-88.162247
35.156250	-88.640999
35.644531	-87.395714
36.132812	-86.198196
36.621094	-86.473488
37.109375	-86.679550
37.597656	-88.532913
38.085938	-87.301071
38.574219	-87.487518
39.062500	-87.214691
39.550781	-89.530342
40.039062	-87.569275
40.527344	-86.041428
41.015625	-85.189247
41.503906	-85.390396
41.992188	-84.020340
42.480469	-88.021187
42.968750	-87.631424
43.457031	-84.687180
43.945312	-84.230286
44.433594	-85.278137
44.921875	-86.261101
45.410156	-87.178825
45.898438	-85.807358
46.386719	-87.850555
46.875000	-85.342545
47.363281	-85.500435
47.851562	-85.606773
48.339844	-83.282753
48.828125	-87.246468
49.316406	-83.655937
49.804688	-84.186974
50.292969	-83.215317
50.781250	-84.611259
51.269531	-82.665344
51.757812	-85.006935
52.246094	-83.085419
52.734375	-82.750198
53.222656	-84.155396
53.710938	-82.698051
54.199219	-81.993340
54.687500	-81.617043
55.175781	-83.162125
55.664062	-81.103821
56.152344	-80.580490
56.640625	-80.464996
57.128906	-80.808334
57.617188	-80.107422
58.105469	-79.151978
58.593750	-80.210251
59.082031	-80.435684
59.570312	-79.892776
60.058594	-80.828537
60.546875	-80.186981
61.035156	-78.603050
61.523438	-81.353783
62.011719	-81.306740
62.500000	-77.684723
62.988281	-78.083389
63.476562	-79.936119
63.964844	-81.988350
64.453125	-81.039024
64.941406	-82.456207
65.429688	-84.135887
65.917969	-83.671158
66.406250	-82.901543
66.894531	-81.827934
67.382812	-83.350975
67.871094	-81.223068
68.359375	-82.180206
68.847656	-81.474556
69.335938	-81.106613
69.824219	-81.772728
70.312500	-80.206024
70.800781	-80.670471
71.289062	-81.409386
71.777344	-81.884933
72.265625	-80.653770
72.753906	-80.887383
73.242188	-79.754745
73.730469	-81.533607
74.218750	-81.739128
74.707031	-79.845352
75.195312	-80.188484
75.683594	-81.659317
76.171875	-80.491089
76.660156	-80.463142
77.148438	-82.080711
77.636719	-79.368355
78.125000	-80.152214
78.613281	-81.969856
79.101562	-80.813423
79.589844	-82.680214
80.078125	-80.136101
80.566406	-82.869690
81.054688	-79.589096
81.542969	-80.271301
82.031250	-80.131683
82.519531	-80.180611
83.007812	-80.446426
83.496094	-78.179787
83.984375	-80.536530
84.472656	-82.185326
84.960938	-80.372665
85.449219	-78.471405
85.937500	-80.935005
86.425781	-80.753532
86.914062	-81.836967
87.402344	-80.596977
87.890625	-79.217773
88.378906	-79.164703
88.867188	-80.392982
89.355469	-80.580971
89.843750	-78.302773
90.332031	-78.373581
90.820312	-80.364960
91.308594	-81.911018
91.796875	-81.082703
92.285156	-81.642212
92.773438	-79.247902
93.261719	-80.134491
93.750000	-80.251945
94.238281	-80.536919
94.726562	-79.419250
95.214844	-82.330811
95.703125	-79.524872
96.191406	-79.338997
96.679688	-80.553703
97.167969	-78.794525
97.656250	-77.485580
98.144531	-81.255814
98.632812	-80.093147
99.121094	-79.845276
99.609375	-80.091942
100.097656	-80.023849
100.585938	-78.226051
101.074219	-78.583656
101.562500	-79.662445
102.050781	-79.637779
102.539062	-79.757454
103.027344	-78.970451
103.515625	-78.298874
104.003906	-78.478340
104.492188	-79.169548
104.980469	-79.205399
105.468750	-78.634621
105.957031	-77.549034
106.445312	-78.689522
106.933594	-76.817162
107.421875	-79.462158
107.910156	-78.878235
108.398438	-76.939758
108.886719	-76.853935
109.375000	-79.807510
109.863281	-78.482384
110.351562	-78.139542
110.839844	-79.186813
111.328125	-80.335732
111.816406	-80.276634
112.304688	-78.867424
112.792969	-79.475395
113.281250	-79.446808
113.769531	-80.118713
114.257812	-78.063530
114.746094	-77.658585
115.234375	-79.092087
115.722656	-78.453529
116.210938	-79.644333
116.699219	-78.691711
117.187500	-77.084076
117.675781	-79.695900
118.164062	-79.633774
118.652344	-79.995285
119.140625	-80.899513
119.628906	-77.931580
120.117188	-76.469582
120.605469	-78.414879
121.093750	-78.238205
121.582031	-79.415070
122.070312	-79.180344
122.558594	-78.543884
123.046875	-77.612045
123.535156	-79.470482
124.023438	-80.430038
124.511719	-77.299309
125.000000	-77.364388
125.488281	-78.070175
125.976562	-78.145927
126.464844	-78.015717
126.953125	-76.725342
127.441406	-75.505272
127.929688	-76.397659
128.417969	-79.018829
128.906250	-76.881371
129.394531	-78.811356
129.882812	-78.699158
130.371094	-79.403099
130.859375	-78.094063
131.347656	-77.740028
131.835938	-78.246651
132.324219	-77.572586
132.812500	-76.363800
133.300781	-78.088539
133.789062	-76.948303
134.277344	-75.547867
134.765625	-78.109016
135.253906	-77.421921
135.742188	-79.137589
136.230469	-77.691864
136.718750	-78.235512
137.207031	-77.971809
137.695312	-77.562752
138.183594	-77.977104
138.671875	-78.251083
139.160156	-77.685089
139.648438	-77.869972
140.136719	-78.577354
140.625000	-78.202110
141.113281	-76.219490
141.601562	-75.965569
142.089844	-77.411049
142.578125	-77.388275
143.066406	-77.383926
143.554688	-77.276459
144.042969	-75.344086
144.531250	-76.086311
145.019531	-77.852936
145.507812	-78.974785
145.996094	-76.625473
146.484375	-75.574432
146.972656	-76.769875
147.460938	-77.847961
147.949219	-76.444618
148.437500	-77.306770
148.925781	-79.493950
149.414062	-77.195473
149.902344	-77.932144
150.390625	-78.541061
150.878906	-79.389633
151.367188	-76.826775
151.855469	-77.511864
152.343750	-76.895988
152.832031	-76.724838
153.320312	-76.328064
153.808594	-77.883362
154.296875	-78.062614
154.785156	-76.003479
155.273438	-77.303078
155.761719	-77.735100
156.250000	-75.614784
156.738281	-76.356728
157.226562	-76.700546
157.714844	-75.837265
158.203125	-78.836693
158.691406	-77.090584
159.179688	-76.240555
159.667969	-79.295509
160.156250	-78.959000
160.644531	-78.434296
161.132812	-76.196114
161.621094	-78.052803
162.109375	-75.928215
162.597656	-76.891716
163.085938	-77.433174
163.574219	-76.928627
164.062500	-76.951324
164.550781	-75.621155
165.039062	-76.159615
165.527344	-77.692688
166.015625	-76.593758
166.503906	-76.078346
166.992188	-75.322983
167.480469	-77.293045
167.968750	-76.905212
168.457031	-77.284058
168.945312	-77.767998
169.433594	-77.033035
169.921875	-78.371506
170.410156	-76.282593
170.898438	-77.275726
