Frequency (Hz)	Level (dB)
0.488281	-94.029541
0.976562	-93.384918
1.464844	-92.554436
1.953125	-93.671303
2.441406	-94.464767
2.929688	-93.477997
3.417969	-93.629463
3.906250	-93.057961
4.394531	-92.972473
4.882812	-93.233391
5.371094	-94.117455
5.859375	-92.695877
6.347656	-92.136353
6.835938	-92.505524
7.324219	-94.636047
7.812500	-92.355049
8.300781	-92.304749
8.789062	-92.752106
9.277344	-92.527969
9.765625	-91.118027
10.253906	-89.888763
10.742188	-90.580132
11.230469	-89.085281
11.718750	-89.315582
12.207031	-88.950928
12.695312	-91.411522
13.183594	-89.964516
13.671875	-91.030304
14.160156	-88.827248
14.648438	-88.590317
15.136719	-89.782860
15.625000	-88.905540
16.113281	-88.415306
16.601562	-90.178726
17.089844	-90.344406
17.578125	-90.638115
18.066406	-89.004913
18.554688	-89.342804
19.042969	-87.910126
19.531250	-87.660027
20.019531	-89.940445
20.507812	-89.044197
20.996094	-87.609428
21.484375	-87.142693
21.972656	-86.432510
22.460938	-87.430534
22.949219	-87.299400
23.437500	-86.001228
23.925781	-86.363663
24.414062	-88.189224
24.902344	-88.473366
25.390625	-86.087418
25.878906	-86.599731
26.367188	-86.689835
26.855469	-85.982826
27.343750	-85.830276
27.832031	-86.609833
28.320312	-84.339111
28.808594	-84.968819
29.296875	-85.374168
29.785156	-84.026337
30.273438	-85.235641
30.761719	-85.182533
31.250000	-85.561043
31.738281	-84.725563
32.226562	-86.369202
32.714844	-86.700302
33.203125	-86.635269
33.691406	-87.595230
34.179688	-88.163002
34.667969	-84.943382
35.156250	-85.808517
35.644531	-85.891205
36.132812	-86.296432
36.621094	-84.602150
37.109375	-84.997231
37.597656	-86.908371
38.085938	-85.573601
38.574219	-84.904976
39.062500	-85.827446
39.550781	-85.916794
40.039062	-84.967377
40.527344	-84.345375
41.015625	-84.795326
41.503906	-82.624756
41.992188	-84.809677
42.480469	-84.276085
42.968750	-84.944946
43.457031	-84.581169
43.945312	-82.889824
44.433594	-82.500183
44.921875	-83.218124
45.410156	-82.294937
45.898438	-83.952660
46.386719	-85.289154
46.875000	-84.273376
47.363281	-83.324615
47.851562	-82.829704
48.339844	-82.345802
48.828125	-83.253815
49.316406	-82.506134
49.804688	-82.673225
50.292969	-84.277145
50.781250	-80.890167
51.269531	-80.089851
51.757812	-82.478798
52.246094	-82.584190
52.734375	-82.190468
53.222656	-81.980942
53.710938	-82.369072
54.199219	-80.878975
54.687500	-80.587112
55.175781	-80.389366
55.664062	-80.870346
56.152344	-80.589172
56.640625	-81.511276
57.128906	-79.778046
57.617188	-80.362450
58.105469	-79.890663
58.593750	-80.944817
59.082031	-79.539528
59.570312	-80.098907
60.058594	-78.669456
60.546875	-78.752762
