Frequency (Hz)	Level (dB)
0.488281	-95.482773
0.976562	-96.387894
1.464844	-94.884071
1.953125	-95.871338
2.441406	-95.453209
2.929688	-96.295921
3.417969	-96.045181
3.906250	-95.179420
4.394531	-94.763451
4.882812	-96.124603
5.371094	-94.641258
5.859375	-95.853439
6.347656	-95.660637
6.835938	-94.285805
7.324219	-94.859947
7.812500	-96.269455
8.300781	-95.680191
8.789062	-95.826950
9.277344	-94.589859
9.765625	-94.090271
10.253906	-94.261177
10.742188	-92.443764
11.230469	-91.391190
11.718750	-92.731956
12.207031	-92.187431
12.695312	-92.169449
13.183594	-92.445526
13.671875	-90.790344
14.160156	-93.374367
14.648438	-90.981415
15.136719	-93.501587
15.625000	-91.280891
16.113281	-90.831955
16.601562	-91.400391
17.089844	-93.274017
17.578125	-91.698975
18.066406	-90.329262
18.554688	-90.361862
19.042969	-91.336456
19.531250	-89.784691
20.019531	-90.448837
20.507812	-90.262978
20.996094	-88.864861
21.484375	-89.825996
21.972656	-89.162094
22.460938	-87.798973
22.949219	-87.851189
23.437500	-86.218353
23.925781	-84.109947
24.414062	-88.633087
24.902344	-88.276489
25.390625	-89.528908
25.878906	-87.588150
26.367188	-89.661888
26.855469	-88.292763
27.343750	-89.350777
27.832031	-87.161537
28.320312	-85.367943
28.808594	-87.229393
29.296875	-86.691246
29.785156	-85.653122
30.273438	-88.066551
30.761719	-89.494644
31.250000	-89.703270
31.738281	-87.323372
32.226562	-88.834320
32.714844	-89.399094
33.203125	-88.686142
33.691406	-90.836395
34.179688	-88.098396
34.667969	-88.306213
35.156250	-87.930901
35.644531	-89.453125
36.132812	-88.649940
36.621094	-88.762390
37.109375	-87.516891
37.597656	-89.461540
38.085938	-89.661224
38.574219	-90.268074
39.062500	-88.337112
39.550781	-88.921761
40.039062	-89.222298
40.527344	-87.511543
41.015625	-86.739174
41.503906	-86.796951
41.992188	-89.312164
42.480469	-88.836334
42.968750	-89.566795
43.457031	-88.871872
43.945312	-86.524078
44.433594	-88.447906
44.921875	-88.615387
45.410156	-88.116806
45.898438	-87.812378
46.386719	-87.745758
46.875000	-88.586784
47.363281	-86.532944
47.851562	-87.528145
48.339844	-87.463173
48.828125	-88.840950
49.316406	-88.414459
49.804688	-86.657669
50.292969	-87.513992
50.781250	-85.234993
51.269531	-85.667290
51.757812	-85.747803
52.246094	-86.328049
52.734375	-87.073738
53.222656	-85.717506
53.710938	-86.698776
54.199219	-85.598381
54.687500	-84.535133
55.175781	-84.718155
55.664062	-86.452568
56.152344	-84.354370
56.640625	-84.206367
57.128906	-85.892326
57.617188	-84.469292
58.105469	-80.693787
58.593750	-83.127312
59.082031	-82.995361
59.570312	-85.260162
60.058594	-81.423447
60.546875	-85.229568
61.035156	-83.588364
61.523438	-83.339996
62.011719	-83.230865
62.500000	-82.578308
62.988281	-82.894661
63.476562	-85.499298
63.964844	-85.437088
64.453125	-85.889450
64.941406	-86.349831
65.429688	-87.061905
65.917969	-87.530434
66.406250	-86.420692
66.894531	-86.523315
67.382812	-87.975166
67.871094	-86.704483
68.359375	-87.914337
68.847656	-86.777153
69.335938	-85.776558
69.824219	-86.216164
70.312500	-84.712936
70.800781	-86.527321
71.289062	-85.072395
71.777344	-86.694992
72.265625	-85.701599
72.753906	-86.853775
73.242188	-85.207863
73.730469	-85.473412
74.218750	-88.447647
74.707031	-86.679634
75.195312	-86.306664
75.683594	-86.584785
76.171875	-85.443802
76.660156	-86.119568
77.148438	-86.915298
77.636719	-86.268089
78.125000	-84.758293
78.613281	-87.532692
79.101562	-86.845757
79.589844	-84.825157
80.078125	-86.390411
80.566406	-87.089653
81.054688	-86.213966
81.542969	-86.544098
82.031250	-85.796761
82.519531	-86.061699
83.007812	-85.551735
83.496094	-85.578308
83.984375	-85.226288
84.472656	-84.011185
84.960938	-84.407188
85.449219	-83.825027
85.937500	-84.829941
86.425781	-85.655670
86.914062	-84.866623
87.402344	-81.135605
87.890625	-85.049133
88.378906	-83.871948
88.867188	-83.714157
89.355469	-85.659630
89.843750	-84.371399
90.332031	-84.711617
90.820312	-86.634727
91.308594	-86.016548
91.796875	-87.926994
92.285156	-83.545403
92.773438	-85.937263
93.261719	-85.471443
93.750000	-81.524475
94.238281	-85.383362
94.726562	-86.443451
95.214844	-86.609947
95.703125	-86.468620
96.191406	-84.318542
96.679688	-85.262062
97.167969	-85.275261
97.656250	-83.254807
98.144531	-87.029640
98.632812	-85.443741
99.121094	-85.266014
99.609375	-84.313698
100.097656	-86.175545
100.585938	-82.794235
101.074219	-83.423599
101.562500	-84.850662
102.050781	-84.633522
102.539062	-82.969414
103.027344	-82.937431
103.515625	-82.372108
104.003906	-82.302673
104.492188	-79.929665
104.980469	-82.287224
105.468750	-82.953018
105.957031	-82.405861
106.445312	-82.074722
106.933594	-81.677170
107.421875	-82.884758
107.910156	-79.924301
108.398438	-80.427170
108.886719	-80.038315
109.375000	-82.432632
109.863281	-83.231415
110.351562	-81.287361
110.839844	-80.861198
111.328125	-80.511017
111.816406	-81.878426
112.304688	-80.470665
112.792969	-79.547783
113.281250	-78.277176
113.769531	-77.001343
114.257812	-76.713417
114.746094	-78.552185
115.234375	-78.805962
115.722656	-77.655235
116.210938	-77.485313
116.699219	-77.528976
117.187500	-78.000732
117.675781	-77.737602
118.164062	-74.108383
118.652344	-70.907059
119.140625	-73.702324
119.628906	-67.105759
120.117188	-61.286617
120.605469	-67.536201
121.093750	-73.438995
121.582031	-76.459702
122.070312	-77.902023
122.558594	-76.876404
123.046875	-77.417664
123.535156	-79.161560
124.023438	-81.013237
124.511719	-77.960075
125.000000	-78.100342
125.488281	-78.862862
125.976562	-78.405167
126.464844	-78.236145
126.953125	-77.258835
127.441406	-76.184761
127.929688	-77.692001
128.417969	-78.493668
128.906250	-77.442207
129.394531	-77.308632
129.882812	-76.546104
130.371094	-78.296684
130.859375	-76.721771
131.347656	-74.052025
131.835938	-73.893074
132.324219	-74.673637
132.812500	-75.140564
133.300781	-76.631355
133.789062	-72.673111
134.277344	-73.400513
134.765625	-75.684998
135.253906	-76.109024
135.742188	-76.474266
136.230469	-73.651176
136.718750	-75.646080
137.207031	-74.858940
137.695312	-74.611588
138.183594	-72.961143
138.671875	-73.701187
139.160156	-71.628006
139.648438	-74.199844
140.136719	-74.296646
140.625000	-74.014984
141.113281	-71.705772
141.601562	-73.258652
142.089844	-71.064072
142.578125	-72.176384
143.066406	-71.564003
143.554688	-70.596481
144.042969	-70.848396
144.531250	-70.008850
145.019531	-70.635536
145.507812	-70.946205
145.996094	-70.535843
146.484375	-69.763741
146.972656	-70.804886
147.460938	-71.183289
147.949219	-68.371208
148.437500	-68.693153
148.925781	-69.090424
149.414062	-69.125328
149.902344	-67.754395
150.390625	-68.806976
150.878906	-64.050522
151.367188	-66.054329
151.855469	-66.198952
152.343750	-67.303391
152.832031	-65.733406
153.320312	-66.708740
153.808594	-67.634972
154.296875	-68.040070
154.785156	-67.379616
155.273438	-68.402130
155.761719	-65.977066
156.250000	-65.538620
156.738281	-68.159897
157.226562	-67.668549
157.714844	-66.558327
158.203125	-68.710892
158.691406	-68.261192
159.179688	-67.444344
159.667969	-69.039833
160.156250	-70.636536
160.644531	-69.761917
161.132812	-67.856628
161.621094	-70.944580
162.109375	-69.791298
162.597656	-69.729477
163.085938	-69.988686
163.574219	-69.503479
164.062500	-70.825356
164.550781	-69.865120
165.039062	-71.431107
165.527344	-71.092972
166.015625	-71.439880
166.503906	-70.357536
166.992188	-70.638054
167.480469	-72.434616
167.968750	-72.312859
168.457031	-71.784233
168.945312	-73.198936
169.433594	-72.960365
169.921875	-74.153198
170.410156	-72.191849
170.898438	-74.321640
171.386719	-73.225212
171.875000	-72.876663
172.363281	-73.966141
172.851562	-73.859024
173.339844	-73.816368
173.828125	-74.200089
174.316406	-73.396507
174.804688	-73.603348
175.292969	-74.869225
175.781250	-72.145210
176.269531	-73.579124
176.757812	-74.539246
177.246094	-73.742538
177.734375	-73.642624
178.222656	-73.664566
178.710938	-73.176117
179.199219	-75.255852
179.687500	-73.625610
180.175781	-74.940224
180.664062	-76.323578
181.152344	-75.825623
181.640625	-76.032944
182.128906	-76.707993
182.617188	-76.894135
183.105469	-77.659607
183.593750	-75.764145
184.082031	-77.876862
184.570312	-75.072922
185.058594	-77.892838
185.546875	-77.544914
186.035156	-77.696472
186.523438	-75.921974
187.011719	-76.685074
187.500000	-77.140755
187.988281	-77.514824
188.476562	-77.238129
188.964844	-78.339508
189.453125	-76.640472
189.941406	-76.719185
190.429688	-78.297638
190.917969	-78.282852
191.406250	-76.973289
191.894531	-78.197723
192.382812	-77.960869
192.871094	-78.507050
193.359375	-78.113541
193.847656	-79.192879
194.335938	-77.598579
194.824219	-78.317474
195.312500	-76.362480
195.800781	-78.401436
196.289062	-80.570030
196.777344	-79.247543
