Frequency (Hz)	Level (dB)
0.488281	-92.318939
0.976562	-93.469299
1.464844	-92.663155
1.953125	-91.440216
2.441406	-90.817192
2.929688	-92.589996
3.417969	-92.108429
3.906250	-92.666801
4.394531	-93.363617
4.882812	-91.205116
5.371094	-91.877228
5.859375	-91.321655
6.347656	-91.124214
6.835938	-90.507744
7.324219	-90.534470
7.812500	-90.295540
8.300781	-91.404587
8.789062	-90.125229
9.277344	-90.339226
9.765625	-90.313782
10.253906	-89.635803
10.742188	-86.665131
11.230469	-87.527473
11.718750	-86.574516
12.207031	-87.876633
12.695312	-86.786880
13.183594	-86.769859
13.671875	-88.554482
14.160156	-89.666351
14.648438	-88.282104
15.136719	-88.925461
15.625000	-87.809753
16.113281	-87.058701
16.601562	-86.099709
17.089844	-87.432846
17.578125	-88.065315
18.066406	-86.712456
18.554688	-84.766983
19.042969	-86.246231
19.531250	-86.701881
20.019531	-87.502716
20.507812	-87.695488
20.996094	-83.808777
21.484375	-85.790871
21.972656	-85.715706
22.460938	-85.374992
22.949219	-82.485420
23.437500	-83.252579
23.925781	-81.888504
24.414062	-84.108185
24.902344	-84.328812
25.390625	-85.742264
25.878906	-86.565384
26.367188	-84.161659
26.855469	-83.276337
27.343750	-85.882240
27.832031	-82.981148
28.320312	-81.976257
28.808594	-84.469048
29.296875	-84.902199
29.785156	-83.028061
30.273438	-82.989456
30.761719	-84.338173
31.250000	-83.845528
31.738281	-84.379913
32.226562	-83.615723
32.714844	-85.855690
33.203125	-86.402725
33.691406	-84.597481
34.179688	-85.381996
34.667969	-83.216743
35.156250	-84.480461
35.644531	-82.628830
36.132812	-81.999245
36.621094	-81.641167
37.109375	-81.452110
37.597656	-83.311501
38.085938	-84.902794
38.574219	-83.228355
39.062500	-82.910370
39.550781	-83.357651
40.039062	-84.155899
40.527344	-82.391823
41.015625	-83.155952
41.503906	-82.705200
41.992188	-82.591263
42.480469	-82.743591
42.968750	-81.615372
43.457031	-80.923782
43.945312	-82.071014
44.433594	-83.418388
44.921875	-80.447838
45.410156	-81.114601
45.898438	-82.490639
46.386719	-82.950348
46.875000	-82.136086
47.363281	-80.613022
47.851562	-80.650604
48.339844	-80.459869
48.828125	-81.434387
49.316406	-79.541489
49.804688	-81.155045
50.292969	-79.467094
50.781250	-80.323189
51.269531	-78.702866
51.757812	-80.014252
52.246094	-79.755455
52.734375	-80.159348
53.222656	-79.307091
53.710938	-79.586098
54.199219	-78.847084
54.687500	-76.956146
55.175781	-76.934631
55.664062	-78.114532
56.152344	-77.728989
56.640625	-78.396378
57.128906	-77.247169
57.617188	-77.733452
58.105469	-79.355850
58.593750	-78.757713
59.082031	-78.367584
59.570312	-77.106155
60.058594	-77.789024
60.546875	-79.030693
61.035156	-76.646400
61.523438	-76.478569
62.011719	-76.886406
62.500000	-77.360741
62.988281	-77.693695
63.476562	-76.656380
63.964844	-78.862640
64.453125	-77.580460
64.941406	-77.565857
65.429688	-79.842590
65.917969	-79.533165
66.406250	-78.424103
66.894531	-78.090050
67.382812	-78.496063
67.871094	-77.489487
68.359375	-79.400612
68.847656	-80.351112
69.335938	-77.618156
69.824219	-77.788712
70.312500	-76.749374
70.800781	-77.185661
71.289062	-77.444435
71.777344	-76.902794
72.265625	-76.508629
72.753906	-77.258682
73.242188	-77.492615
73.730469	-77.514000
74.218750	-78.393387
74.707031	-76.025894
75.195312	-75.687164
75.683594	-77.415443
76.171875	-77.081123
76.660156	-77.290688
77.148438	-77.560944
77.636719	-76.289459
78.125000	-75.407097
78.613281	-78.466667
79.101562	-76.961418
79.589844	-78.009583
80.078125	-76.681496
80.566406	-80.385559
81.054688	-76.648163
81.542969	-76.849075
82.031250	-76.686607
82.519531	-77.138481
83.007812	-77.111290
83.496094	-75.336159
83.984375	-77.606270
84.472656	-78.099991
84.960938	-77.855888
85.449219	-76.379936
85.937500	-78.197716
86.425781	-77.585815
86.914062	-77.450562
87.402344	-77.158752
87.890625	-76.422340
88.378906	-76.085533
88.867188	-77.844414
89.355469	-76.765022
89.843750	-76.031563
90.332031	-76.501480
90.820312	-77.229584
91.308594	-77.832230
91.796875	-77.809456
92.285156	-77.398834
92.773438	-76.280876
93.261719	-77.117805
93.750000	-77.492310
94.238281	-77.300018
94.726562	-76.864433
95.214844	-77.669174
95.703125	-76.954468
96.191406	-76.012779
96.679688	-77.119064
97.167969	-75.659492
97.656250	-74.451996
