Frequency (Hz)	Level (dB)
0.488281	-42.976845
0.976562	-40.662964
1.464844	-42.217220
1.953125	-43.285435
2.441406	-43.190063
2.929688	-43.150593
3.417969	-42.487640
3.906250	-43.300488
4.394531	-42.860664
4.882812	-43.829792
5.371094	-43.745659
5.859375	-43.845253
6.347656	-42.700047
6.835938	-43.101360
7.324219	-43.727875
7.812500	-43.068913
8.300781	-40.436157
8.789062	-42.771492
9.277344	-43.130329
9.765625	-41.536354
10.253906	-42.503910
10.742188	-42.472683
11.230469	-40.935509
11.718750	-42.968521
12.207031	-41.854221
12.695312	-42.150257
13.183594	-41.719028
13.671875	-42.661144
14.160156	-43.739784
14.648438	-43.548603
15.136719	-42.744392
15.625000	-43.401745
16.113281	-43.923965
16.601562	-42.993515
17.089844	-44.147781
17.578125	-42.819630
18.066406	-42.075367
18.554688	-43.691986
19.042969	-45.264633
19.531250	-43.964073
20.019531	-45.329857
20.507812	-42.988804
20.996094	-42.664547
21.484375	-42.709549
21.972656	-43.937378
22.460938	-41.485500
22.949219	-42.590988
23.437500	-41.775219
23.925781	-42.720592
24.414062	-44.453270
24.902344	-44.185280
25.390625	-42.300682
25.878906	-45.106262
26.367188	-44.701523
26.855469	-43.620716
27.343750	-42.391941
27.832031	-44.269348
28.320312	-42.234676
28.808594	-41.918747
29.296875	-43.975868
29.785156	-42.982338
30.273438	-43.522758
30.761719	-43.293137
31.250000	-45.225479
31.738281	-44.814114
32.226562	-43.974121
32.714844	-42.203854
33.203125	-44.068684
33.691406	-44.205395
34.179688	-43.670097
34.667969	-42.068844
35.156250	-44.501743
35.644531	-44.054264
36.132812	-44.486980
36.621094	-43.114624
37.109375	-42.359398
37.597656	-42.463734
38.085938	-43.931442
38.574219	-43.509666
39.062500	-41.719353
39.550781	-45.740589
40.039062	-44.637005
40.527344	-43.714508
41.015625	-43.621696
41.503906	-42.200497
41.992188	-42.267475
42.480469	-41.847790
42.968750	-42.804390
43.457031	-41.596691
43.945312	-42.430237
44.433594	-44.192566
44.921875	-43.521393
45.410156	-43.847874
45.898438	-44.123940
46.386719	-44.451344
46.875000	-43.144455
47.363281	-43.310997
47.851562	-42.324562
48.339844	-42.862644
48.828125	-43.666328
49.316406	-42.339474
49.804688	-44.113319
50.292969	-43.072716
50.781250	-42.470623
51.269531	-40.708000
51.757812	-42.798439
52.246094	-42.209183
52.734375	-42.957500
53.222656	-43.099743
53.710938	-43.865433
54.199219	-43.067917
54.687500	-41.680820
55.175781	-41.446941
55.664062	-43.484409
56.152344	-43.996468
56.640625	-44.633266
57.128906	-42.380333
57.617188	-42.936916
58.105469	-43.178814
58.593750	-43.051987
59.082031	-42.992775
59.570312	-41.828312
60.058594	-43.023834
60.546875	-44.798462
61.035156	-43.064999
61.523438	-42.909042
62.011719	-42.409836
62.500000	-41.761662
62.988281	-42.887348
63.476562	-42.511257
63.964844	-44.318916
64.453125	-41.555321
64.941406	-42.500389
65.429688	-43.879559
65.917969	-43.720001
66.406250	-43.091583
66.894531	-42.931511
67.382812	-43.363400
67.871094	-42.042381
68.359375	-44.084473
68.847656	-43.735626
69.335938	-42.542137
69.824219	-42.745770
70.312500	-41.436470
70.800781	-42.554859
71.289062	-43.203556
71.777344	-42.706196
72.265625	-42.015797
72.753906	-42.736454
73.242188	-43.290627
73.730469	-45.036579
74.218750	-43.940559
74.707031	-42.004814
75.195312	-42.459831
75.683594	-44.624023
76.171875	-42.645683
76.660156	-43.590546
77.148438	-43.675087
77.636719	-41.241493
78.125000	-40.865795
78.613281	-45.008400
79.101562	-42.735241
79.589844	-44.300301
80.078125	-42.439968
80.566406	-45.577160
81.054688	-41.935555
81.542969	-42.425114
82.031250	-42.108463
82.519531	-42.437428
83.007812	-42.492958
83.496094	-40.746067
83.984375	-42.742443
84.472656	-44.763760
84.960938	-43.277901
85.449219	-42.017464
85.937500	-45.545559
86.425781	-44.381824
86.914062	-44.611809
87.402344	-43.832413
87.890625	-42.322544
88.378906	-42.896679
88.867188	-43.264439
89.355469	-42.917229
89.843750	-42.194370
90.332031	-42.432453
90.820312	-43.582958
91.308594	-44.671467
91.796875	-43.849300
92.285156	-43.955971
92.773438	-42.749210
93.261719	-43.973179
93.750000	-43.805138
94.238281	-43.044827
94.726562	-43.264313
95.214844	-44.129978
95.703125	-43.281078
96.191406	-42.417694
96.679688	-43.624344
97.167969	-42.238811
97.656250	-40.763168
98.144531	-45.450436
98.632812	-43.758911
99.121094	-43.197010
99.609375	-42.844608
100.097656	-43.152531
100.585938	-41.793846
101.074219	-42.043285
101.562500	-43.117455
102.050781	-43.557449
102.539062	-42.992836
103.027344	-42.570183
103.515625	-41.820927
104.003906	-42.801414
104.492188	-42.974773
104.980469	-43.332691
105.468750	-42.723843
105.957031	-41.526501
106.445312	-42.230621
106.933594	-40.756584
107.421875	-42.953190
107.910156	-42.600826
108.398438	-41.113918
108.886719	-41.459545
109.375000	-44.055454
109.863281	-43.260220
110.351562	-41.455883
110.839844	-43.490314
111.328125	-44.241230
