Frequency (Hz)	Level (dB)
0.488281	-90.389740
0.976562	-90.061867
1.464844	-89.548561
1.953125	-91.261139
2.441406	-90.468842
2.929688	-89.420830
3.417969	-90.134331
3.906250	-89.543510
4.394531	-90.144203
4.882812	-89.949051
5.371094	-89.349304
5.859375	-88.954445
6.347656	-88.731056
6.835938	-89.861214
7.324219	-89.248238
7.812500	-89.104088
8.300781	-88.083794
8.789062	-90.519310
9.277344	-89.229759
9.765625	-89.012810
10.253906	-86.874886
10.742188	-87.690735
11.230469	-87.472511
11.718750	-87.542603
12.207031	-87.013893
12.695312	-87.470139
13.183594	-86.423302
13.671875	-86.298874
14.160156	-88.752098
14.648438	-88.195366
15.136719	-87.100693
15.625000	-87.069046
16.113281	-88.584549
16.601562	-88.303291
17.089844	-85.621307
17.578125	-87.411247
18.066406	-86.941925
18.554688	-85.124710
19.042969	-86.399529
19.531250	-87.093895
20.019531	-87.123619
20.507812	-85.981789
20.996094	-85.702507
21.484375	-86.378540
21.972656	-85.562180
22.460938	-85.135513
22.949219	-83.254189
23.437500	-85.558052
23.925781	-85.178581
24.414062	-85.042870
24.902344	-85.333672
25.390625	-84.682442
25.878906	-84.691986
26.367188	-84.537292
26.855469	-82.442451
27.343750	-84.779007
27.832031	-84.127815
28.320312	-82.477341
28.808594	-83.740707
29.296875	-84.811676
29.785156	-82.751785
30.273438	-83.366539
30.761719	-83.895279
31.250000	-83.792824
31.738281	-83.591896
32.226562	-86.816032
32.714844	-85.057526
33.203125	-83.979759
33.691406	-84.847931
34.179688	-83.595177
34.667969	-83.442924
35.156250	-84.912918
35.644531	-81.991623
36.132812	-82.772011
36.621094	-83.126968
37.109375	-82.710899
37.597656	-83.054565
38.085938	-84.192268
38.574219	-82.661148
39.062500	-81.887848
39.550781	-83.504097
40.039062	-83.806999
40.527344	-81.810989
41.015625	-83.407944
41.503906	-82.075203
41.992188	-81.694160
42.480469	-82.171188
42.968750	-81.098213
43.457031	-82.043129
43.945312	-81.758667
44.433594	-81.071037
44.921875	-80.925194
45.410156	-81.932320
45.898438	-80.742058
46.386719	-81.379196
46.875000	-83.189026
47.363281	-82.208069
47.851562	-80.361198
48.339844	-81.937004
48.828125	-80.796593
49.316406	-79.235077
49.804688	-81.312088
50.292969	-79.702553
50.781250	-80.791595
51.269531	-77.331673
51.757812	-79.174889
52.246094	-80.443901
52.734375	-78.894775
53.222656	-80.423340
53.710938	-79.748756
54.199219	-79.099701
54.687500	-77.375000
55.175781	-76.447266
55.664062	-78.874451
56.152344	-79.673401
56.640625	-78.579666
57.128906	-77.890388
57.617188	-78.460014
58.105469	-78.004021
58.593750	-75.751274
59.082031	-77.494507
59.570312	-76.786446
60.058594	-77.893059
60.546875	-79.646347
