Frequency (Hz)	Level (dB)
0.488281	-99.841545
0.976562	-98.784874
1.464844	-94.672592
1.953125	-100.946571
2.441406	-98.470459
2.929688	-100.547005
3.417969	-97.596466
3.906250	-97.886322
4.394531	-101.155151
4.882812	-101.083801
5.371094	-98.657478
5.859375	-98.843170
6.347656	-95.105347
6.835938	-94.435631
7.324219	-97.000160
7.812500	-96.074608
8.300781	-96.355675
8.789062	-95.282791
9.277344	-99.522003
9.765625	-96.895187
10.253906	-93.175507
10.742188	-90.350266
11.230469	-91.782082
11.718750	-90.216118
12.207031	-99.682793
12.695312	-92.102615
13.183594	-87.553513
13.671875	-92.915329
14.160156	-94.137634
14.648438	-93.902283
15.136719	-94.107445
15.625000	-90.683876
16.113281	-87.562820
16.601562	-92.692009
17.089844	-93.639450
17.578125	-90.007805
18.066406	-89.254555
18.554688	-88.391296
19.042969	-92.066017
19.531250	-95.816284
20.019531	-94.742691
20.507812	-87.343124
20.996094	-83.122849
21.484375	-89.693016
21.972656	-91.968575
22.460938	-88.989571
22.949219	-86.450203
23.437500	-83.834175
23.925781	-85.846886
24.414062	-85.307289
24.902344	-88.368950
25.390625	-92.274529
25.878906	-88.025932
26.367188	-88.642906
26.855469	-85.838501
27.343750	-90.647911
27.832031	-86.096878
28.320312	-88.028648
28.808594	-88.107559
29.296875	-88.208664
29.785156	-85.776855
30.273438	-86.324806
30.761719	-97.430824
31.250000	-89.512550
31.738281	-87.523979
32.226562	-87.166168
32.714844	-89.482506
33.203125	-88.332657
33.691406	-91.374557
34.179688	-89.057930
34.667969	-87.640877
35.156250	-91.543121
35.644531	-85.000755
36.132812	-89.948433
36.621094	-84.617615
37.109375	-86.011757
37.597656	-89.792686
38.085938	-93.456619
38.574219	-89.326706
39.062500	-90.942230
39.550781	-90.822037
40.039062	-85.266449
40.527344	-83.238525
41.015625	-82.156029
41.503906	-83.222786
41.992188	-81.473122
42.480469	-92.660896
42.968750	-85.645493
43.457031	-84.549927
43.945312	-89.202011
44.433594	-84.381393
44.921875	-83.182617
45.410156	-84.061592
45.898438	-89.668442
46.386719	-84.781464
46.875000	-80.818199
47.363281	-88.204376
47.851562	-88.733887
48.339844	-80.837662
48.828125	-84.983589
49.316406	-84.137474
49.804688	-80.851845
50.292969	-76.562630
50.781250	-82.155289
51.269531	-83.724777
51.757812	-82.644936
52.246094	-79.696815
52.734375	-81.067719
53.222656	-76.752274
53.710938	-82.629585
54.199219	-82.202759
54.687500	-78.826401
55.175781	-80.114784
55.664062	-82.598457
56.152344	-80.102882
56.640625	-79.221024
57.128906	-79.111313
57.617188	-82.857338
58.105469	-82.045387
58.593750	-78.444550
59.082031	-80.902992
59.570312	-78.291626
60.058594	-79.949478
60.546875	-78.663635
61.035156	-76.473869
61.523438	-84.764740
62.011719	-83.019707
62.500000	-76.434975
62.988281	-78.749077
63.476562	-82.975441
63.964844	-84.455009
64.453125	-80.749886
64.941406	-87.120323
65.429688	-80.342232
65.917969	-86.845963
66.406250	-85.101204
66.894531	-82.743408
67.382812	-86.249428
67.871094	-80.159279
68.359375	-90.940300
68.847656	-85.860771
69.335938	-84.097290
69.824219	-78.586334
70.312500	-85.118790
70.800781	-76.374496
71.289062	-77.707146
71.777344	-81.942848
72.265625	-77.704582
72.753906	-78.714394
73.242188	-77.515709
73.730469	-83.470558
74.218750	-82.065704
74.707031	-77.786415
75.195312	-78.598213
75.683594	-78.274345
76.171875	-78.045067
76.660156	-89.488319
77.148438	-81.454117
77.636719	-78.474991
78.125000	-74.321747
78.613281	-76.448174
79.101562	-78.121864
79.589844	-77.492310
80.078125	-79.142303
80.566406	-84.374809
81.054688	-76.125046
81.542969	-79.814896
82.031250	-83.420692
82.519531	-75.757713
83.007812	-79.904495
83.496094	-76.468735
83.984375	-79.485222
84.472656	-82.080360
84.960938	-81.020973
85.449219	-77.406082
85.937500	-78.300636
86.425781	-80.069389
86.914062	-79.559326
87.402344	-78.572189
87.890625	-76.074997
88.378906	-77.269890
88.867188	-80.727867
89.355469	-76.762970
89.843750	-83.071678
90.332031	-80.175667
90.820312	-82.631607
91.308594	-82.577194
91.796875	-81.025246
92.285156	-81.540810
92.773438	-75.465233
93.261719	-82.369431
93.750000	-82.005974
94.238281	-77.615692
94.726562	-81.476257
95.214844	-88.804405
95.703125	-80.784447
96.191406	-80.771057
96.679688	-79.192657
97.167969	-77.858360
97.656250	-77.738091
98.144531	-79.644859
98.632812	-77.963150
99.121094	-79.955505
99.609375	-79.691452
100.097656	-79.565109
100.585938	-75.598190
101.074219	-79.752983
101.562500	-80.160286
102.050781	-79.157204
102.539062	-79.500519
103.027344	-76.046616
103.515625	-75.541672
104.003906	-79.763359
104.492188	-77.625771
104.980469	-78.405556
105.468750	-87.033203
105.957031	-74.993690
106.445312	-77.823448
106.933594	-79.198296
107.421875	-82.101524
107.910156	-77.421516
108.398438	-79.408463
108.886719	-75.673485
109.375000	-77.895065
109.863281	-82.904099
110.351562	-78.028572
110.839844	-80.465454
111.328125	-81.294525
111.816406	-80.884018
112.304688	-79.734955
112.792969	-77.935387
113.281250	-78.492462
113.769531	-78.769958
114.257812	-73.417389
114.746094	-77.587959
115.234375	-76.620178
115.722656	-78.409729
116.210938	-81.354881
116.699219	-76.694344
117.187500	-79.817886
117.675781	-83.380424
118.164062	-82.595360
118.652344	-83.687187
119.140625	-80.738663
119.628906	-79.198204
120.117188	-78.157936
120.605469	-86.107307
121.093750	-76.495979
121.582031	-83.187965
122.070312	-83.326134
122.558594	-81.380455
123.046875	-77.304695
123.535156	-75.326271
124.023438	-78.067719
124.511719	-77.518845
125.000000	-79.450119
125.488281	-79.121735
125.976562	-77.563034
126.464844	-79.807007
126.953125	-77.809074
127.441406	-77.846718
127.929688	-81.105042
128.417969	-84.024910
128.906250	-83.805840
129.394531	-77.489006
129.882812	-77.899590
130.371094	-86.056656
130.859375	-75.331497
131.347656	-81.306099
131.835938	-80.196503
132.324219	-84.553795
132.812500	-80.330536
133.300781	-77.903801
133.789062	-79.678192
134.277344	-81.411026
134.765625	-79.585762
135.253906	-84.351799
135.742188	-79.015816
136.230469	-74.473320
136.718750	-79.264954
137.207031	-74.689659
137.695312	-78.080482
138.183594	-77.684807
138.671875	-81.729393
139.160156	-76.676216
139.648438	-80.512512
140.136719	-83.956276
140.625000	-81.490303
141.113281	-78.859886
141.601562	-77.250641
142.089844	-82.801910
142.578125	-75.915901
143.066406	-75.299553
143.554688	-74.615227
144.042969	-77.085999
144.531250	-73.182808
145.019531	-76.944290
145.507812	-80.042984
145.996094	-79.588554
146.484375	-70.222984
146.972656	-74.539047
147.460938	-79.651375
147.949219	-78.903358
148.437500	-78.352974
148.925781	-80.280350
149.414062	-77.110603
149.902344	-81.527359
150.390625	-88.153664
150.878906	-81.582611
151.367188	-78.434875
151.855469	-77.630882
152.343750	-77.381859
152.832031	-78.829933
153.320312	-75.862099
153.808594	-86.576721
154.296875	-81.809685
154.785156	-82.167183
155.273438	-83.058563
155.761719	-82.964111
156.250000	-78.143173
156.738281	-76.873116
157.226562	-74.702553
157.714844	-83.541237
158.203125	-80.317848
158.691406	-78.177795
159.179688	-73.279930
159.667969	-80.442688
160.156250	-84.584274
160.644531	-78.551331
161.132812	-75.690979
161.621094	-85.708534
162.109375	-79.941833
162.597656	-76.858414
163.085938	-82.534134
163.574219	-76.394333
164.062500	-80.231491
164.550781	-84.123436
165.039062	-75.316086
165.527344	-79.434372
166.015625	-81.465576
166.503906	-76.601913
166.992188	-78.043243
167.480469	-79.976814
167.968750	-77.488068
168.457031	-81.480026
168.945312	-82.693474
169.433594	-80.438271
169.921875	-77.397087
170.410156	-76.569542
170.898438	-79.224037
171.386719	-80.547791
171.875000	-81.276489
172.363281	-77.158714
172.851562	-81.375259
173.339844	-79.783875
173.828125	-81.587494
174.316406	-79.312691
174.804688	-74.763145
175.292969	-80.768097
175.781250	-75.789619
176.269531	-80.582481
176.757812	-81.369667
177.246094	-77.222214
177.734375	-77.073082
178.222656	-81.477608
178.710938	-80.912224
179.199219	-81.204315
179.687500	-75.657509
180.175781	-81.869720
180.664062	-81.759666
181.152344	-79.901787
181.640625	-77.923401
182.128906	-78.777901
182.617188	-80.823822
183.105469	-81.548309
183.593750	-80.346703
184.082031	-79.763000
184.570312	-80.939774
185.058594	-86.163231
185.546875	-81.718071
186.035156	-80.905624
186.523438	-86.114204
187.011719	-82.817917
187.500000	-77.570160
187.988281	-77.948006
188.476562	-84.605392
188.964844	-77.130615
189.453125	-74.499107
189.941406	-79.824844
190.429688	-78.502037
190.917969	-77.418251
191.406250	-75.919205
191.894531	-76.205231
192.382812	-86.937447
192.871094	-81.328712
193.359375	-80.921982
193.847656	-78.552933
194.335938	-79.664970
194.824219	-79.377579
195.312500	-82.517303
195.800781	-87.006912
196.289062	-84.887718
196.777344	-79.832268
197.265625	-79.633835
197.753906	-81.691254
198.242188	-83.704758
198.730469	-75.699219
199.218750	-76.126785
199.707031	-79.640289
200.195312	-78.404411
200.683594	-78.650925
201.171875	-81.489861
201.660156	-86.659157
202.148438	-82.665199
202.636719	-83.457634
203.125000	-81.557938
203.613281	-77.112305
204.101562	-77.826241
204.589844	-74.837959
205.078125	-82.293671
205.566406	-76.231979
206.054688	-79.483490
206.542969	-77.852592
207.031250	-78.219551
207.519531	-81.699409
208.007812	-75.763718
208.496094	-76.883675
208.984375	-77.956863
209.472656	-75.327194
209.960938	-79.793228
210.449219	-79.436485
210.937500	-77.481567
211.425781	-73.893684
211.914062	-81.726433
212.402344	-84.335266
212.890625	-79.711060
213.378906	-79.918350
213.867188	-82.690666
214.355469	-78.122612
214.843750	-79.640022
215.332031	-82.679611
215.820312	-73.657097
216.308594	-74.345291
216.796875	-79.025269
217.285156	-80.486298
217.773438	-78.470451
218.261719	-76.813583
218.750000	-90.004005
219.238281	-78.184433
219.726562	-83.111504
220.214844	-82.325211
220.703125	-80.784805
221.191406	-80.642799
221.679688	-84.418022
222.167969	-81.868439
222.656250	-83.287529
223.144531	-81.132896
223.632812	-80.859795
224.121094	-84.263351
224.609375	-79.897758
225.097656	-78.372475
225.585938	-78.789421
226.074219	-78.214081
226.562500	-82.142784
227.050781	-80.008690
227.539062	-77.698196
228.027344	-80.905090
228.515625	-85.872162
229.003906	-78.253807
229.492188	-75.141327
229.980469	-80.855118
230.468750	-81.950150
230.957031	-81.743042
231.445312	-77.991508
231.933594	-82.539940
232.421875	-82.691360
232.910156	-76.407532
233.398438	-76.627502
233.886719	-78.023056
234.375000	-82.081444
234.863281	-80.669678
235.351562	-83.279388
235.839844	-77.700531
236.328125	-75.813683
236.816406	-81.211830
237.304688	-77.336746
237.792969	-81.737320
238.281250	-77.661682
238.769531	-83.997963
239.257812	-81.299179
239.746094	-78.319366
240.234375	-77.794098
240.722656	-80.264511
241.210938	-85.798302
241.699219	-78.603462
242.187500	-80.517914
242.675781	-81.297905
243.164062	-76.420296
243.652344	-80.977226
244.140625	-82.361748
244.628906	-80.974182
245.117188	-81.174774
245.605469	-77.016617
246.093750	-78.799438
246.582031	-80.072792
247.070312	-80.020775
247.558594	-76.459282
248.046875	-77.007278
248.535156	-81.670517
249.023438	-84.239807
249.511719	-80.391495
250.000000	-78.964371
250.488281	-76.903137
250.976562	-78.364235
251.464844	-75.308167
251.953125	-84.664886
252.441406	-79.342209
252.929688	-80.276917
253.417969	-75.714653
253.906250	-81.094498
254.394531	-79.714828
254.882812	-83.587074
255.371094	-76.910858
255.859375	-76.459610
256.347656	-72.983475
256.835938	-77.655151
257.324219	-83.873055
257.812500	-81.858536
258.300781	-77.304543
258.789062	-79.170776
259.277344	-76.452972
259.765625	-84.299370
260.253906	-78.548828
260.742188	-81.586082
261.230469	-77.660027
