Frequency (Hz)	Level (dB)
0.488281	-93.184639
0.976562	-92.395798
1.464844	-91.693695
1.953125	-92.504562
2.441406	-93.292366
2.929688	-93.060043
3.417969	-92.998024
3.906250	-91.199326
4.394531	-92.450020
4.882812	-92.697731
5.371094	-92.705482
5.859375	-92.352448
6.347656	-90.822586
6.835938	-91.592354
7.324219	-92.920631
7.812500	-92.135605
8.300781	-92.143959
8.789062	-91.334846
9.277344	-91.946297
9.765625	-90.988060
10.253906	-90.020386
10.742188	-90.152824
11.230469	-89.322342
11.718750	-90.663010
12.207031	-88.307846
12.695312	-88.158997
13.183594	-89.548523
13.671875	-88.914841
14.160156	-90.202789
14.648438	-89.825439
15.136719	-89.440887
15.625000	-90.092384
16.113281	-90.100639
16.601562	-91.700195
17.089844	-90.160316
17.578125	-89.281555
18.066406	-89.881325
18.554688	-87.361458
19.042969	-87.166473
19.531250	-89.159279
20.019531	-88.341766
20.507812	-88.789955
20.996094	-87.035095
21.484375	-85.861115
21.972656	-87.495773
22.460938	-86.727409
22.949219	-84.559937
23.437500	-84.834175
23.925781	-88.207848
24.414062	-86.023178
24.902344	-85.170143
25.390625	-85.999390
25.878906	-85.560547
26.367188	-86.824280
26.855469	-85.746376
27.343750	-86.264618
27.832031	-85.081314
28.320312	-83.181175
28.808594	-87.047897
29.296875	-85.599899
29.785156	-84.414360
30.273438	-86.610245
30.761719	-85.950775
31.250000	-86.056862
31.738281	-86.497086
32.226562	-86.939644
32.714844	-87.130898
33.203125	-86.839325
33.691406	-87.026215
34.179688	-87.644501
34.667969	-85.026863
35.156250	-86.947456
35.644531	-84.874489
36.132812	-84.156319
36.621094	-83.546371
37.109375	-83.986443
37.597656	-85.703629
38.085938	-86.094368
38.574219	-84.852806
39.062500	-84.017654
39.550781	-85.632759
40.039062	-85.670380
40.527344	-85.254547
41.015625	-84.085823
41.503906	-85.160477
41.992188	-83.788620
42.480469	-83.599510
42.968750	-85.724724
43.457031	-85.343521
43.945312	-84.015244
44.433594	-83.506935
44.921875	-84.317261
45.410156	-82.393448
45.898438	-84.252235
46.386719	-83.207710
46.875000	-84.236961
47.363281	-81.502060
47.851562	-81.925865
48.339844	-82.518990
48.828125	-83.576965
49.316406	-81.440552
49.804688	-81.040100
50.292969	-81.141891
50.781250	-80.588287
51.269531	-81.265381
51.757812	-80.458229
52.246094	-79.908989
52.734375	-81.216148
53.222656	-82.977791
53.710938	-83.544807
54.199219	-80.740517
54.687500	-80.642319
55.175781	-80.801727
55.664062	-80.040657
56.152344	-81.898499
56.640625	-79.960381
57.128906	-80.024529
57.617188	-80.488861
58.105469	-80.422928
58.593750	-80.815025
59.082031	-79.955193
59.570312	-78.496315
60.058594	-78.137589
60.546875	-80.214127
61.035156	-79.185837
61.523438	-79.027657
62.011719	-77.438858
62.500000	-77.813316
62.988281	-77.402290
63.476562	-78.303848
63.964844	-82.227142
64.453125	-79.684601
64.941406	-79.330391
65.429688	-79.106277
65.917969	-81.169479
66.406250	-80.214325
66.894531	-80.547920
67.382812	-80.111290
67.871094	-79.188660
68.359375	-79.958038
68.847656	-80.143044
69.335938	-78.590767
69.824219	-78.640488
70.312500	-77.753220
70.800781	-80.049484
71.289062	-78.349792
71.777344	-78.754623
72.265625	-78.962563
72.753906	-78.842522
73.242188	-78.531769
73.730469	-79.174286
74.218750	-80.758049
74.707031	-77.802689
75.195312	-78.092506
75.683594	-80.043396
76.171875	-78.616623
76.660156	-79.696915
77.148438	-79.162926
77.636719	-77.547791
78.125000	-77.473228
78.613281	-80.039848
79.101562	-78.998558
79.589844	-79.671860
80.078125	-77.881721
80.566406	-79.987358
81.054688	-77.938118
81.542969	-78.015335
82.031250	-78.175102
