Frequency (Hz)	Level (dB)
0.488281	-93.293396
0.976562	-93.795555
1.464844	-93.380844
1.953125	-91.842216
2.441406	-91.658424
2.929688	-93.193832
3.417969	-92.937538
3.906250	-93.492790
4.394531	-92.827538
4.882812	-92.089394
5.371094	-92.592529
5.859375	-92.911812
6.347656	-91.892357
6.835938	-90.864288
7.324219	-90.677994
7.812500	-91.199936
8.300781	-91.551239
8.789062	-90.552864
9.277344	-92.143028
9.765625	-90.973251
10.253906	-89.054596
10.742188	-87.002480
11.230469	-84.709244
11.718750	-83.292412
12.207031	-82.394470
12.695312	-83.537117
13.183594	-85.420082
13.671875	-87.328682
14.160156	-89.277328
14.648438	-89.135078
15.136719	-87.622032
15.625000	-87.550972
16.113281	-89.116676
16.601562	-87.808685
17.089844	-88.384331
17.578125	-88.631966
18.066406	-87.562645
18.554688	-86.462708
19.042969	-87.843590
19.531250	-88.083580
20.019531	-88.860313
20.507812	-89.211014
20.996094	-87.778221
21.484375	-86.297195
21.972656	-86.568390
22.460938	-85.858650
22.949219	-84.566566
23.437500	-83.936432
23.925781	-84.534714
24.414062	-86.076477
24.902344	-85.179352
25.390625	-83.652328
25.878906	-84.885742
26.367188	-85.077003
26.855469	-84.022934
27.343750	-85.010117
27.832031	-83.606323
28.320312	-84.363937
28.808594	-86.578613
29.296875	-87.174026
29.785156	-82.619797
30.273438	-87.526421
30.761719	-86.466553
31.250000	-84.495110
31.738281	-86.734261
32.226562	-84.576210
32.714844	-85.745232
33.203125	-88.205719
33.691406	-85.316696
34.179688	-85.086655
34.667969	-83.610092
35.156250	-85.629776
35.644531	-85.440773
36.132812	-82.932045
36.621094	-84.965515
37.109375	-85.041801
37.597656	-85.621132
38.085938	-85.989075
38.574219	-87.065681
39.062500	-83.628685
39.550781	-84.849411
40.039062	-83.945831
40.527344	-84.031670
41.015625	-83.197441
41.503906	-83.222382
41.992188	-83.357788
42.480469	-84.932480
42.968750	-83.349716
43.457031	-83.277412
43.945312	-83.167564
44.433594	-84.266655
44.921875	-84.102074
45.410156	-83.317039
45.898438	-83.922852
46.386719	-84.743080
46.875000	-83.428307
47.363281	-84.393364
47.851562	-82.201317
48.339844	-82.427376
48.828125	-82.754539
49.316406	-80.658546
49.804688	-82.623596
50.292969	-81.283028
50.781250	-79.871544
51.269531	-79.145065
51.757812	-80.293793
52.246094	-81.852684
52.734375	-81.418526
53.222656	-81.953545
53.710938	-83.016792
54.199219	-79.986610
54.687500	-78.386566
55.175781	-78.141228
55.664062	-81.003220
56.152344	-80.855942
56.640625	-79.598503
57.128906	-78.409065
57.617188	-80.622917
58.105469	-79.216454
58.593750	-78.275291
59.082031	-81.294830
59.570312	-80.673004
60.058594	-78.577293
60.546875	-81.056824
61.035156	-79.487740
61.523438	-77.852242
62.011719	-78.070343
62.500000	-78.231003
62.988281	-78.709892
63.476562	-78.600052
63.964844	-79.936165
64.453125	-78.147453
64.941406	-79.013550
65.429688	-79.723961
65.917969	-80.564476
66.406250	-79.635834
66.894531	-78.792114
67.382812	-80.006508
67.871094	-78.057419
68.359375	-80.264030
68.847656	-80.907898
69.335938	-78.880531
69.824219	-78.637726
70.312500	-77.336113
70.800781	-78.536995
71.289062	-79.252243
71.777344	-78.826675
72.265625	-78.019814
72.753906	-78.569176
73.242188	-78.553787
73.730469	-78.753448
74.218750	-79.147888
74.707031	-77.658020
75.195312	-76.809212
75.683594	-79.290070
76.171875	-78.442871
76.660156	-78.851418
77.148438	-78.516968
77.636719	-77.262589
78.125000	-76.980606
78.613281	-79.923256
79.101562	-78.187050
79.589844	-78.679794
80.078125	-78.361359
80.566406	-81.898949
81.054688	-77.251610
81.542969	-77.562080
82.031250	-77.803429
82.519531	-78.425079
83.007812	-78.071999
83.496094	-76.246147
83.984375	-77.560051
84.472656	-79.816467
84.960938	-77.522758
85.449219	-77.020744
85.937500	-80.502525
86.425781	-79.883629
86.914062	-79.074928
87.402344	-77.884941
87.890625	-77.126999
88.378906	-78.432381
88.867188	-78.576569
89.355469	-77.234962
89.843750	-77.065567
90.332031	-77.335602
90.820312	-77.982956
91.308594	-79.281761
91.796875	-78.382256
92.285156	-78.947067
92.773438	-77.962509
93.261719	-78.513931
93.750000	-78.432907
94.238281	-78.387245
94.726562	-77.836403
95.214844	-78.095634
95.703125	-77.814911
96.191406	-77.184006
96.679688	-77.706528
97.167969	-76.709320
97.656250	-75.264854
98.144531	-79.073303
98.632812	-78.258507
99.121094	-77.872101
99.609375	-77.084953
100.097656	-77.626221
100.585938	-75.939613
101.074219	-76.704315
101.562500	-77.622192
102.050781	-77.970291
102.539062	-77.140465
103.027344	-76.895866
103.515625	-76.419968
104.003906	-77.344330
104.492188	-76.744614
104.980469	-77.047058
105.468750	-76.748619
105.957031	-75.853409
106.445312	-76.685036
106.933594	-74.727188
107.421875	-77.471771
107.910156	-75.936974
108.398438	-75.300636
108.886719	-75.128204
109.375000	-77.985619
109.863281	-76.868698
110.351562	-75.400734
110.839844	-77.085411
111.328125	-78.174294
111.816406	-77.327126
112.304688	-76.389870
112.792969	-78.265877
113.281250	-77.669334
113.769531	-78.446083
114.257812	-77.260506
114.746094	-76.342613
115.234375	-76.771141
115.722656	-75.758011
116.210938	-77.696541
116.699219	-76.239876
117.187500	-75.622597
117.675781	-78.378059
118.164062	-76.945763
118.652344	-75.134575
119.140625	-78.935310
119.628906	-75.880997
120.117188	-72.848434
120.605469	-75.896088
121.093750	-76.217812
121.582031	-76.812798
122.070312	-76.311966
122.558594	-75.542503
123.046875	-75.911224
123.535156	-77.810219
124.023438	-79.116539
124.511719	-75.095619
125.000000	-75.801193
125.488281	-76.527275
125.976562	-76.900925
126.464844	-75.589668
126.953125	-74.521706
127.441406	-73.862175
127.929688	-74.677605
128.417969	-76.663284
128.906250	-75.346359
129.394531	-76.656471
129.882812	-76.495941
130.371094	-77.267906
130.859375	-75.726013
131.347656	-75.451942
131.835938	-76.107956
132.324219	-75.649101
132.812500	-73.881554
133.300781	-75.884056
133.789062	-74.710114
134.277344	-73.530197
134.765625	-76.477280
135.253906	-75.222260
135.742188	-77.851158
136.230469	-75.512192
136.718750	-76.061455
137.207031	-75.948830
137.695312	-75.293709
138.183594	-75.633774
138.671875	-75.671165
139.160156	-75.601440
139.648438	-75.813461
140.136719	-75.897484
140.625000	-76.150925
