Frequency (Hz)	Level (dB)
0.488281	-74.370094
0.976562	-74.365578
1.464844	-74.221336
1.953125	-74.390938
2.441406	-74.279282
2.929688	-73.903770
3.417969	-73.979218
3.906250	-73.464096
4.394531	-73.196236
4.882812	-73.284706
5.371094	-72.785294
5.859375	-71.860474
6.347656	-72.389816
6.835938	-70.205276
7.324219	-69.774940
7.812500	-68.358673
8.300781	-66.881516
8.789062	-67.133301
9.277344	-66.657494
9.765625	-63.717529
10.253906	-62.045944
10.742188	-60.823166
11.230469	-59.622612
11.718750	-59.195129
12.207031	-57.199615
12.695312	-56.339024
13.183594	-54.755554
13.671875	-50.833931
14.160156	-50.381229
14.648438	-48.263660
15.136719	-50.462589
15.625000	-48.483311
16.113281	-48.115154
16.601562	-48.652710
17.089844	-47.672520
17.578125	-48.272301
18.066406	-50.402611
18.554688	-50.935467
19.042969	-51.925266
19.531250	-53.635323
20.019531	-52.668797
20.507812	-53.195587
20.996094	-54.855881
21.484375	-56.689507
21.972656	-53.155033
22.460938	-54.483379
22.949219	-54.400131
23.437500	-53.272060
23.925781	-51.551472
24.414062	-52.400982
24.902344	-52.296516
25.390625	-51.881439
25.878906	-50.048107
26.367188	-48.907310
26.855469	-48.730335
27.343750	-46.400501
27.832031	-46.634800
28.320312	-47.366867
28.808594	-47.404743
29.296875	-46.155712
29.785156	-44.716206
30.273438	-45.632778
30.761719	-43.499561
31.250000	-44.655876
31.738281	-43.659164
32.226562	-42.968102
32.714844	-46.295048
33.203125	-44.856709
33.691406	-45.701660
34.179688	-46.232014
34.667969	-44.822826
35.156250	-42.857655
35.644531	-44.260216
36.132812	-44.494877
36.621094	-43.663357
37.109375	-42.324703
37.597656	-42.757568
38.085938	-42.523632
38.574219	-42.421207
39.062500	-41.866367
39.550781	-42.288033
40.039062	-40.629406
40.527344	-42.694870
41.015625	-43.144592
41.503906	-42.096844
41.992188	-43.741623
42.480469	-43.591785
42.968750	-44.629898
43.457031	-44.842316
43.945312	-44.391754
44.433594	-46.571350
44.921875	-47.169640
45.410156	-48.751610
45.898438	-46.621349
46.386719	-45.714569
46.875000	-45.264771
47.363281	-46.011528
47.851562	-45.672604
48.339844	-46.726715
48.828125	-47.055946
49.316406	-46.684834
49.804688	-46.914970
50.292969	-48.402149
50.781250	-47.229820
51.269531	-48.045090
51.757812	-47.319172
52.246094	-47.362629
52.734375	-48.684460
53.222656	-47.179844
53.710938	-48.857220
54.199219	-48.087982
54.687500	-48.141621
55.175781	-46.810520
55.664062	-48.596348
56.152344	-49.012535
56.640625	-47.072723
57.128906	-46.806698
57.617188	-46.149345
58.105469	-46.114876
58.593750	-48.825760
59.082031	-47.482765
59.570312	-45.653755
60.058594	-45.107746
60.546875	-47.430794
61.035156	-47.024643
61.523438	-48.057636
62.011719	-48.250134
62.500000	-47.973831
62.988281	-47.688950
63.476562	-47.452862
63.964844	-47.629581
64.453125	-48.359879
64.941406	-48.529442
65.429688	-48.581501
65.917969	-48.214764
66.406250	-47.894547
66.894531	-47.322308
67.382812	-49.355984
67.871094	-47.960915
68.359375	-47.771587
68.847656	-48.670582
69.335938	-48.115398
69.824219	-48.841351
70.312500	-46.956306
70.800781	-49.691124
71.289062	-48.922859
71.777344	-47.615269
72.265625	-49.013046
72.753906	-48.345211
73.242188	-48.900513
73.730469	-50.195786
74.218750	-50.868504
74.707031	-48.692547
75.195312	-49.523952
75.683594	-49.708931
76.171875	-49.687260
76.660156	-49.489101
77.148438	-48.608650
77.636719	-50.108700
78.125000	-50.360641
78.613281	-51.631649
79.101562	-48.938820
79.589844	-48.835278
80.078125	-48.965961
80.566406	-50.167557
81.054688	-48.127045
81.542969	-48.793972
82.031250	-49.145752
82.519531	-50.058163
83.007812	-48.697060
83.496094	-50.705421
83.984375	-49.515358
84.472656	-50.879471
84.960938	-49.286644
85.449219	-50.026363
85.937500	-52.068111
86.425781	-50.960625
86.914062	-51.217152
87.402344	-50.687706
87.890625	-50.072350
88.378906	-51.132393
88.867188	-52.087677
89.355469	-51.043976
89.843750	-48.782665
90.332031	-49.460526
90.820312	-49.677696
91.308594	-51.433182
91.796875	-49.562092
92.285156	-50.679394
92.773438	-51.391773
93.261719	-52.529064
93.750000	-51.885212
94.238281	-50.895481
94.726562	-52.310570
95.214844	-49.600147
95.703125	-49.382687
96.191406	-51.150249
96.679688	-50.891388
97.167969	-51.296444
97.656250	-50.723202
98.144531	-50.021061
98.632812	-48.190453
99.121094	-50.406227
99.609375	-49.519039
100.097656	-49.156181
100.585938	-48.425190
101.074219	-49.691978
101.562500	-50.350399
