Frequency (Hz)	Level (dB)
0.488281	-41.953793
0.976562	-39.639912
1.464844	-41.194172
1.953125	-42.262383
2.441406	-42.167015
2.929688	-42.127541
3.417969	-41.464588
3.906250	-42.277435
4.394531	-41.837612
4.882812	-42.806744
5.371094	-42.722610
5.859375	-42.822201
6.347656	-41.676998
6.835938	-42.078308
7.324219	-42.704823
7.812500	-42.045864
8.300781	-39.413105
8.789062	-41.748440
9.277344	-42.107281
9.765625	-40.513302
10.253906	-41.480858
10.742188	-41.449631
11.230469	-39.912457
11.718750	-41.945473
12.207031	-40.831173
12.695312	-41.127205
13.183594	-40.695980
13.671875	-41.638092
14.160156	-42.716736
14.648438	-42.525555
15.136719	-41.721344
15.625000	-42.378696
16.113281	-42.900917
16.601562	-41.970467
17.089844	-43.124729
17.578125	-41.796577
18.066406	-41.052319
18.554688	-42.668938
19.042969	-44.241581
19.531250	-42.941025
20.019531	-44.306805
20.507812	-41.965755
20.996094	-41.641495
21.484375	-41.686497
21.972656	-42.914326
22.460938	-40.462452
22.949219	-41.567936
23.437500	-40.752171
23.925781	-41.697540
24.414062	-43.430222
24.902344	-43.162231
25.390625	-41.277634
25.878906	-44.083210
26.367188	-43.678471
26.855469	-42.597664
27.343750	-41.368889
27.832031	-43.246296
28.320312	-41.211624
28.808594	-40.895695
29.296875	-42.952820
29.785156	-41.959290
30.273438	-42.499706
30.761719	-42.270084
31.250000	-44.202427
31.738281	-43.791065
32.226562	-42.951073
32.714844	-41.180805
33.203125	-43.045631
33.691406	-43.182346
34.179688	-42.647049
34.667969	-41.045795
35.156250	-43.478695
35.644531	-43.031212
36.132812	-43.463932
36.621094	-42.091572
37.109375	-41.336349
37.597656	-41.440685
38.085938	-42.908390
38.574219	-42.486618
39.062500	-40.696301
39.550781	-44.717541
40.039062	-43.613953
40.527344	-42.691460
41.015625	-42.598648
41.503906	-41.177444
41.992188	-41.244427
42.480469	-40.824738
42.968750	-41.781338
43.457031	-40.573643
43.945312	-41.407188
44.433594	-43.169514
44.921875	-42.498341
45.410156	-42.824825
45.898438	-43.100891
46.386719	-43.428295
46.875000	-42.121407
47.363281	-42.287949
47.851562	-41.301510
48.339844	-41.839596
48.828125	-42.643276
49.316406	-41.316422
49.804688	-43.090267
50.292969	-42.049664
50.781250	-41.447571
51.269531	-39.684948
51.757812	-41.775387
52.246094	-41.186134
52.734375	-41.934448
53.222656	-42.076691
53.710938	-42.842381
54.199219	-42.044865
54.687500	-40.657768
55.175781	-40.423889
55.664062	-42.461361
56.152344	-42.973415
56.640625	-43.610218
57.128906	-41.357281
57.617188	-41.913864
58.105469	-42.155762
58.593750	-42.028938
59.082031	-41.969727
59.570312	-40.805264
60.058594	-42.000782
60.546875	-43.775414
61.035156	-42.041946
61.523438	-41.885990
62.011719	-41.386784
62.500000	-40.738613
62.988281	-41.864296
63.476562	-41.488205
63.964844	-43.295864
64.453125	-40.532269
64.941406	-41.477341
65.429688	-42.856506
65.917969	-42.696953
66.406250	-42.068535
66.894531	-41.908463
67.382812	-42.340347
67.871094	-41.019333
68.359375	-43.061424
68.847656	-42.712578
69.335938	-41.519089
69.824219	-41.722717
70.312500	-40.413422
70.800781	-41.531811
71.289062	-42.180508
71.777344	-41.683147
72.265625	-40.992748
72.753906	-41.713406
73.242188	-42.267574
73.730469	-44.013531
74.218750	-42.917507
74.707031	-40.981766
75.195312	-41.436783
75.683594	-43.600971
76.171875	-41.622635
76.660156	-42.567493
77.148438	-42.652039
77.636719	-40.218441
78.125000	-39.842747
78.613281	-43.985348
79.101562	-41.712189
79.589844	-43.277252
80.078125	-41.416920
80.566406	-44.554108
81.054688	-40.912506
81.542969	-41.402061
82.031250	-41.085415
82.519531	-41.414375
83.007812	-41.469906
83.496094	-39.723015
83.984375	-41.719391
84.472656	-43.740707
84.960938	-42.254852
85.449219	-40.994411
85.937500	-44.522511
86.425781	-43.358776
86.914062	-43.588757
87.402344	-42.809361
87.890625	-41.299492
88.378906	-41.873631
88.867188	-42.241386
89.355469	-41.894180
89.843750	-41.171318
90.332031	-41.409405
90.820312	-42.559906
91.308594	-43.648418
91.796875	-42.826248
92.285156	-42.932919
92.773438	-41.726162
93.261719	-42.950130
93.750000	-42.782089
94.238281	-42.021778
94.726562	-42.241264
95.214844	-43.106930
95.703125	-42.258030
96.191406	-41.394642
96.679688	-42.601292
97.167969	-41.215763
97.656250	-39.740116
98.144531	-44.427383
98.632812	-42.735859
99.121094	-42.173962
99.609375	-41.821560
100.097656	-42.129482
100.585938	-40.770794
101.074219	-41.020237
101.562500	-42.094402
102.050781	-42.534397
102.539062	-41.969788
103.027344	-41.547131
103.515625	-40.797874
104.003906	-41.778366
104.492188	-41.951721
104.980469	-42.309643
105.468750	-41.700794
105.957031	-40.503448
106.445312	-41.207569
106.933594	-39.733532
107.421875	-41.930141
107.910156	-41.577778
108.398438	-40.090870
108.886719	-40.436497
109.375000	-43.032402
109.863281	-42.237171
110.351562	-40.432831
110.839844	-42.467262
111.328125	-43.218182
111.816406	-42.158405
112.304688	-41.964722
112.792969	-42.928406
113.281250	-43.107159
113.769531	-42.824661
114.257812	-42.452053
114.746094	-41.961891
115.234375	-42.585041
115.722656	-41.725689
116.210938	-43.349892
116.699219	-41.694443
117.187500	-41.050430
117.675781	-43.488953
118.164062	-43.615932
118.652344	-43.258312
119.140625	-44.037727
119.628906	-41.390308
120.117188	-42.954079
120.605469	-42.665436
121.093750	-42.097935
121.582031	-42.985519
122.070312	-42.878277
122.558594	-41.380905
123.046875	-41.096752
123.535156	-43.595425
124.023438	-44.635944
124.511719	-41.124149
125.000000	-41.119087
125.488281	-42.030930
125.976562	-42.110126
126.464844	-41.500210
126.953125	-40.182274
127.441406	-39.224995
127.929688	-40.443241
128.417969	-42.455872
128.906250	-40.857807
129.394531	-42.659695
129.882812	-42.508347
130.371094	-43.393070
130.859375	-42.174671
131.347656	-41.575001
131.835938	-42.167862
132.324219	-41.785889
132.812500	-40.243877
133.300781	-41.866932
133.789062	-40.607147
134.277344	-39.446068
134.765625	-42.423916
135.253906	-41.219307
135.742188	-43.381256
136.230469	-41.998203
136.718750	-42.092201
