Frequency (Hz)	Level (dB)
0.488281	-97.129295
0.976562	-97.080414
1.464844	-96.844803
1.953125	-97.893929
2.441406	-96.665535
2.929688	-96.796692
3.417969	-95.956413
3.906250	-95.137047
4.394531	-96.504745
4.882812	-95.543556
5.371094	-97.482430
5.859375	-94.224976
6.347656	-97.055946
6.835938	-91.355240
7.324219	-93.052216
7.812500	-94.153969
8.300781	-99.184013
8.789062	-91.988991
9.277344	-96.442986
9.765625	-92.942444
10.253906	-93.975616
10.742188	-91.123001
11.230469	-90.247818
11.718750	-91.101059
12.207031	-87.671814
12.695312	-86.362877
13.183594	-90.870346
13.671875	-88.593552
14.160156	-91.011856
14.648438	-90.374359
15.136719	-86.403419
15.625000	-94.595467
16.113281	-85.469872
16.601562	-90.612892
17.089844	-89.377647
17.578125	-92.332527
18.066406	-88.375420
18.554688	-88.764122
19.042969	-88.005211
19.531250	-96.116020
20.019531	-86.045906
20.507812	-89.610229
20.996094	-87.818283
21.484375	-86.176666
21.972656	-92.882820
22.460938	-85.508957
22.949219	-82.250290
23.437500	-88.237785
23.925781	-89.393440
24.414062	-88.293877
24.902344	-84.799973
25.390625	-83.193497
25.878906	-83.978073
26.367188	-90.960747
26.855469	-83.555054
27.343750	-84.777824
27.832031	-85.947884
28.320312	-86.328117
28.808594	-83.773346
29.296875	-81.515564
29.785156	-80.299110
30.273438	-91.731476
30.761719	-86.720093
31.250000	-83.792854
31.738281	-81.822403
32.226562	-83.629723
32.714844	-84.195656
33.203125	-90.692055
33.691406	-84.692215
34.179688	-83.963203
34.667969	-78.945366
35.156250	-81.619820
35.644531	-83.359215
36.132812	-80.839951
36.621094	-80.237282
37.109375	-77.949867
37.597656	-85.000214
38.085938	-79.337029
38.574219	-81.850754
39.062500	-76.894173
39.550781	-81.871468
40.039062	-80.644211
40.527344	-77.206314
41.015625	-77.326385
41.503906	-76.962288
41.992188	-77.877182
42.480469	-83.314110
42.968750	-82.398842
43.457031	-83.839554
43.945312	-83.896622
44.433594	-74.817261
44.921875	-76.025223
45.410156	-81.121750
45.898438	-82.703094
46.386719	-76.357124
46.875000	-76.228119
47.363281	-76.070709
47.851562	-71.049538
48.339844	-74.300888
48.828125	-79.413239
49.316406	-75.739502
49.804688	-73.053780
50.292969	-73.907394
50.781250	-75.126610
51.269531	-72.154488
51.757812	-74.711212
52.246094	-76.415253
52.734375	-78.404335
53.222656	-76.145142
53.710938	-72.739395
54.199219	-71.794456
54.687500	-72.682579
55.175781	-75.352661
55.664062	-80.554764
56.152344	-74.327339
