Frequency (Hz)	Level (dB)
0.488281	-104.836922
0.976562	-104.097336
1.464844	-104.420959
1.953125	-104.238770
2.441406	-104.392296
2.929688	-103.738556
3.417969	-103.609238
3.906250	-99.466736
4.394531	-101.609024
4.882812	-101.005936
5.371094	-99.041359
5.859375	-97.588104
6.347656	-95.186844
6.835938	-94.418457
7.324219	-94.893036
7.812500	-96.571815
8.300781	-96.280151
8.789062	-93.874489
9.277344	-96.055855
9.765625	-94.163795
10.253906	-90.962631
10.742188	-91.078575
11.230469	-89.397682
11.718750	-90.085953
12.207031	-90.394592
12.695312	-90.105759
13.183594	-89.611206
13.671875	-89.447754
14.160156	-89.755714
14.648438	-88.362076
15.136719	-89.684875
15.625000	-89.937439
16.113281	-89.612427
16.601562	-88.367569
17.089844	-89.419327
17.578125	-89.913849
18.066406	-89.814369
18.554688	-89.507408
19.042969	-88.176414
19.531250	-87.221306
20.019531	-89.425606
20.507812	-90.899872
20.996094	-88.390503
21.484375	-89.542595
21.972656	-88.607925
22.460938	-86.698830
22.949219	-86.625893
23.437500	-85.456436
23.925781	-87.735329
24.414062	-88.594406
24.902344	-89.252144
25.390625	-85.948921
25.878906	-86.173073
26.367188	-88.871994
26.855469	-87.454796
27.343750	-87.199959
27.832031	-85.949577
28.320312	-86.909836
28.808594	-86.835365
29.296875	-85.557693
29.785156	-84.313866
30.273438	-85.123825
30.761719	-87.107864
31.250000	-85.467453
31.738281	-82.925117
32.226562	-84.473114
32.714844	-84.264236
33.203125	-83.521912
33.691406	-84.147552
34.179688	-83.196686
34.667969	-83.369972
35.156250	-81.540665
35.644531	-82.748093
36.132812	-82.775261
36.621094	-84.099907
37.109375	-83.904114
37.597656	-80.762032
38.085938	-80.322449
38.574219	-82.529213
39.062500	-81.391586
39.550781	-80.435989
40.039062	-80.620186
40.527344	-80.947716
41.015625	-80.221039
41.503906	-80.361290
41.992188	-79.614799
42.480469	-80.731453
42.968750	-79.513039
43.457031	-79.156502
43.945312	-78.296410
44.433594	-79.757843
44.921875	-78.819801
45.410156	-78.763954
45.898438	-77.621468
46.386719	-77.103317
46.875000	-77.792709
47.363281	-76.137306
47.851562	-77.304306
48.339844	-76.668472
48.828125	-79.767769
49.316406	-77.026009
49.804688	-78.019615
50.292969	-76.745995
50.781250	-77.138855
51.269531	-77.700645
51.757812	-78.102180
52.246094	-78.303772
52.734375	-76.617180
53.222656	-78.733490
53.710938	-77.214020
54.199219	-77.042587
54.687500	-75.426765
55.175781	-77.199455
