Frequency (Hz)	Level (dB)
0.488281	-82.251495
0.976562	-82.356865
1.464844	-82.353645
1.953125	-82.550323
2.441406	-82.231415
2.929688	-82.488892
3.417969	-82.298241
3.906250	-82.518883
4.394531	-81.971161
4.882812	-81.833878
5.371094	-82.117386
5.859375	-81.264404
6.347656	-80.240570
6.835938	-79.958862
7.324219	-80.713326
7.812500	-79.983864
8.300781	-79.294693
8.789062	-78.785675
9.277344	-77.107712
9.765625	-77.865906
10.253906	-76.791924
10.742188	-73.133011
11.230469	-74.900040
11.718750	-75.715897
12.207031	-74.327423
12.695312	-73.836609
13.183594	-72.988342
13.671875	-73.850769
14.160156	-72.685211
14.648438	-72.438942
15.136719	-71.799797
15.625000	-70.832283
16.113281	-69.441391
16.601562	-69.767143
17.089844	-69.069588
17.578125	-69.435799
18.066406	-68.050522
18.554688	-69.548950
19.042969	-70.908180
19.531250	-68.685905
20.019531	-68.404938
20.507812	-66.749062
20.996094	-67.584198
21.484375	-67.071693
21.972656	-68.419441
22.460938	-65.726532
22.949219	-65.548355
23.437500	-66.245796
23.925781	-66.072067
24.414062	-66.154480
24.902344	-64.670494
25.390625	-65.054703
25.878906	-64.838364
26.367188	-64.896133
26.855469	-63.830517
27.343750	-62.979797
27.832031	-62.139538
28.320312	-61.569778
28.808594	-62.693584
29.296875	-62.374454
29.785156	-60.924889
30.273438	-60.582218
30.761719	-61.946095
31.250000	-62.186523
31.738281	-62.358685
32.226562	-62.888828
32.714844	-61.979015
33.203125	-59.929649
33.691406	-60.314075
34.179688	-61.339115
34.667969	-60.556087
35.156250	-61.901424
35.644531	-60.364292
36.132812	-59.488503
36.621094	-60.300793
37.109375	-61.079487
37.597656	-60.312706
38.085938	-60.479351
38.574219	-60.199020
39.062500	-60.624046
39.550781	-59.761471
40.039062	-59.326817
40.527344	-60.820274
41.015625	-59.816795
41.503906	-58.695160
41.992188	-60.131744
42.480469	-60.148270
42.968750	-59.409668
43.457031	-58.371822
43.945312	-59.622379
44.433594	-60.020672
44.921875	-60.105743
45.410156	-58.956261
45.898438	-60.007637
46.386719	-58.822189
46.875000	-59.528477
47.363281	-59.365189
47.851562	-58.864532
48.339844	-58.749790
48.828125	-60.536381
49.316406	-58.062702
49.804688	-58.836636
50.292969	-58.347214
50.781250	-56.936108
51.269531	-58.743000
51.757812	-56.272869
52.246094	-56.010082
52.734375	-58.346527
53.222656	-59.059334
53.710938	-57.973495
54.199219	-56.878052
54.687500	-58.203316
55.175781	-58.066757
55.664062	-57.775703
56.152344	-57.409763
56.640625	-57.981781
