Frequency (Hz)	Level (dB)
0.488281	-93.186256
0.976562	-93.638725
1.464844	-93.872124
1.953125	-92.099373
2.441406	-91.380424
2.929688	-92.187424
3.417969	-92.657295
3.906250	-92.036819
4.394531	-92.176506
4.882812	-93.129807
5.371094	-92.868881
5.859375	-92.744820
6.347656	-91.179581
6.835938	-91.201469
7.324219	-92.739716
7.812500	-92.657715
8.300781	-92.926109
8.789062	-92.780289
9.277344	-92.212868
9.765625	-92.272911
10.253906	-91.780800
10.742188	-90.349281
11.230469	-87.797180
11.718750	-88.615250
12.207031	-89.184288
12.695312	-89.625031
13.183594	-89.103096
13.671875	-92.200127
14.160156	-91.356880
14.648438	-90.050972
15.136719	-91.525543
15.625000	-89.990822
16.113281	-88.762421
16.601562	-89.584831
17.089844	-91.240120
17.578125	-90.690132
18.066406	-89.001289
18.554688	-87.705971
19.042969	-87.607841
19.531250	-88.894600
20.019531	-88.743217
20.507812	-90.678230
20.996094	-87.543304
21.484375	-86.141754
21.972656	-88.320084
22.460938	-87.175697
22.949219	-87.349846
23.437500	-86.065186
23.925781	-89.480789
24.414062	-87.393379
24.902344	-87.105125
25.390625	-88.400681
25.878906	-84.471024
26.367188	-85.651367
26.855469	-85.812614
27.343750	-85.684509
27.832031	-86.900711
28.320312	-86.018303
28.808594	-87.261116
29.296875	-85.652283
29.785156	-84.618576
30.273438	-85.593918
30.761719	-85.920349
31.250000	-87.318207
31.738281	-85.114708
32.226562	-86.254349
32.714844	-86.854332
33.203125	-87.946198
33.691406	-87.476570
34.179688	-86.711899
34.667969	-87.468918
35.156250	-86.597816
35.644531	-85.695648
36.132812	-87.552101
36.621094	-86.660118
37.109375	-84.503174
37.597656	-83.576920
38.085938	-85.071960
38.574219	-85.258583
39.062500	-85.453262
39.550781	-84.552094
40.039062	-83.778236
40.527344	-85.892685
41.015625	-86.649689
41.503906	-85.081436
41.992188	-84.766510
42.480469	-84.445419
42.968750	-84.259300
43.457031	-85.293663
43.945312	-84.156952
44.433594	-84.638222
44.921875	-84.060776
45.410156	-82.743439
45.898438	-86.400009
46.386719	-84.108589
46.875000	-85.572495
47.363281	-82.669731
47.851562	-82.778725
48.339844	-82.654732
48.828125	-82.468628
49.316406	-83.613136
49.804688	-82.095963
50.292969	-81.962509
50.781250	-82.799744
51.269531	-84.112709
51.757812	-82.449371
52.246094	-81.475769
52.734375	-83.081238
53.222656	-82.766571
53.710938	-81.341270
54.199219	-79.822998
54.687500	-81.880859
55.175781	-81.093697
55.664062	-80.964798
56.152344	-80.257706
56.640625	-80.174294
57.128906	-79.010391
57.617188	-81.339935
58.105469	-80.699440
58.593750	-80.461205
59.082031	-80.939323
59.570312	-80.554794
60.058594	-81.215240
60.546875	-79.222557
61.035156	-78.494514
61.523438	-80.220375
62.011719	-78.617798
62.500000	-78.520187
62.988281	-75.899261
63.476562	-78.874794
63.964844	-77.665039
64.453125	-79.456764
64.941406	-80.077408
