"Date","Time","Lab_Temp_C","Lab_Pressure_kPa","Lab_Rel_Humidity","Gas_Flow_LPM","FlowSens_Gas_Temp_C","Thermocouple1_Temp_C","Thermocouple2_Temp_C","Purge_Gas"
"2024-09-08","12:38:23.718 PM","25.34","96.836","28.568","2.572","24.57","23.10","22.71","Compressed Air"
"2024-09-08","12:38:23.967 PM","25.34","96.836","28.568","2.572","24.57","23.23","22.64","Compressed Air"
"2024-09-08","12:38:24.230 PM","25.34","96.836","28.568","2.572","24.57","23.23","22.64","Compressed Air"
"2024-09-08","12:38:24.475 PM","25.34","96.834","28.573","2.569","24.615","23.23","22.64","Compressed Air"
"2024-09-08","12:38:24.735 PM","25.34","96.834","28.573","2.569","24.615","23.30","22.57","Compressed Air"
"2024-09-08","12:38:25.001 PM","25.34","96.834","28.573","2.569","24.615","23.30","22.57","Compressed Air"
"2024-09-08","12:38:25.221 PM","25.34","96.832","28.557","2.57","24.59","23.30","22.57","Compressed Air"
"2024-09-08","12:38:25.512 PM","25.34","96.832","28.557","2.57","24.59","23.30","22.66","Compressed Air"
"2024-09-08","12:38:25.742 PM","25.34","96.832","28.557","2.57","24.59","23.30","22.66","Compressed Air"
"2024-09-08","12:38:26.006 PM","25.34","96.832","28.562","2.57","24.615","23.18","22.66","Compressed Air"
"2024-09-08","12:38:26.323 PM","25.34","96.832","28.562","2.57","24.615","23.18","22.58","Compressed Air"
"2024-09-08","12:38:26.514 PM","25.34","96.831","28.568","2.569","24.605","23.18","22.58","Compressed Air"
"2024-09-08","12:38:26.763 PM","25.34","96.831","28.568","2.569","24.605","23.18","22.58","Compressed Air"
"2024-09-08","12:38:27.007 PM","25.34","96.831","28.568","2.569","24.605","23.18","22.69","Compressed Air"
"2024-09-08","12:38:27.256 PM","25.34","96.833","28.562","2.573","24.59","23.18","22.69","Compressed Air"
"2024-09-08","12:38:27.526 PM","25.34","96.833","28.562","2.573","24.59","23.25","22.69","Compressed Air"
"2024-09-08","12:38:27.753 PM","25.34","96.833","28.562","2.573","24.59","23.25","22.53","Compressed Air"
"2024-09-08","12:38:28.012 PM","25.34","96.834","28.568","2.57","24.65","23.25","22.53","Compressed Air"
"2024-09-08","12:38:28.267 PM","25.34","96.834","28.568","2.57","24.65","23.28","22.66","Compressed Air"
"2024-09-08","12:38:28.512 PM","25.34","96.834","28.568","2.57","24.65","23.28","22.66","Compressed Air"
"2024-09-08","12:38:28.785 PM","25.34","96.838","28.557","2.569","24.57","23.28","22.66","Compressed Air"
"2024-09-08","12:38:29.020 PM","25.34","96.838","28.557","2.569","24.57","23.16","22.70","Compressed Air"
"2024-09-08","12:38:29.277 PM","25.34","96.838","28.557","2.569","24.57","23.16","22.70","Compressed Air"
"2024-09-08","12:38:29.571 PM","25.35","96.837","28.557","2.568","24.62","23.27","22.70","Compressed Air"
"2024-09-08","12:38:29.807 PM","25.35","96.837","28.557","2.568","24.62","23.27","22.73","Compressed Air"
"2024-09-08","12:38:30.060 PM","25.35","96.837","28.557","2.568","24.62","23.27","22.73","Compressed Air"
"2024-09-08","12:38:30.317 PM","25.35","96.838","28.568","2.576","24.66","23.19","22.73","Compressed Air"
"2024-09-08","12:38:30.569 PM","25.35","96.838","28.568","2.576","24.66","23.19","22.53","Compressed Air"
"2024-09-08","12:38:30.909 PM","25.35","96.837","28.557","2.568","24.625","23.19","22.53","Compressed Air"
"2024-09-08","12:38:31.084 PM","25.35","96.837","28.557","2.568","24.625","23.30","22.53","Compressed Air"
"2024-09-08","12:38:31.343 PM","25.35","96.837","28.557","2.568","24.625","23.30","22.68","Compressed Air"
"2024-09-08","12:38:31.579 PM","25.35","96.83","28.557","2.566","24.62","23.30","22.68","Compressed Air"
"2024-09-08","12:38:31.828 PM","25.35","96.83","28.557","2.566","24.62","23.23","22.68","Compressed Air"
"2024-09-08","12:38:32.072 PM","25.35","96.83","28.557","2.566","24.62","23.23","22.66","Compressed Air"
"2024-09-08","12:38:32.335 PM","25.35","96.833","28.558","2.568","24.585","23.23","22.66","Compressed Air"
"2024-09-08","12:38:32.571 PM","25.35","96.833","28.558","2.568","24.585","23.18","22.59","Compressed Air"
"2024-09-08","12:38:32.823 PM","25.35","96.833","28.558","2.568","24.585","23.18","22.59","Compressed Air"
"2024-09-08","12:38:33.089 PM","25.35","96.837","28.547","2.568","24.57","23.18","22.59","Compressed Air"
"2024-09-08","12:38:33.344 PM","25.35","96.837","28.547","2.568","24.57","23.10","22.63","Compressed Air"
"2024-09-08","12:38:33.589 PM","25.35","96.837","28.547","2.568","24.57","23.10","22.63","Compressed Air"
"2024-09-08","12:38:33.842 PM","25.35","96.834","28.536","2.57","24.64","23.23","22.63","Compressed Air"
"2024-09-08","12:38:34.099 PM","25.35","96.834","28.536","2.57","24.64","23.23","22.71","Compressed Air"
"2024-09-08","12:38:34.350 PM","25.35","96.834","28.536","2.57","24.64","23.23","22.71","Compressed Air"
"2024-09-08","12:38:34.587 PM","25.35","96.836","28.547","2.567","24.615","23.18","22.71","Compressed Air"
"2024-09-08","12:38:34.844 PM","25.35","96.836","28.547","2.567","24.615","23.18","22.66","Compressed Air"
"2024-09-08","12:38:35.093 PM","25.35","96.836","28.547","2.567","24.615","23.18","22.66","Compressed Air"
"2024-09-08","12:38:35.341 PM","25.35","96.835","28.53","2.574","24.57","23.21","22.66","Compressed Air"
"2024-09-08","12:38:35.598 PM","25.35","96.835","28.53","2.574","24.57","23.21","22.68","Compressed Air"
"2024-09-08","12:38:35.841 PM","25.35","96.834","28.525","2.575","24.605","23.21","22.68","Compressed Air"
"2024-09-08","12:38:36.083 PM","25.35","96.834","28.525","2.575","24.605","23.19","22.68","Compressed Air"
"2024-09-08","12:38:36.344 PM","25.35","96.834","28.525","2.575","24.605","23.19","22.64","Compressed Air"
"2024-09-08","12:38:36.589 PM","25.35","96.832","28.536","2.572","24.6","23.19","22.64","Compressed Air"
"2024-09-08","12:38:36.839 PM","25.35","96.832","28.536","2.572","24.6","23.19","22.64","Compressed Air"
"2024-09-08","12:38:37.087 PM","25.35","96.832","28.536","2.572","24.6","23.19","22.69","Compressed Air"
"2024-09-08","12:38:37.343 PM","25.35","96.832","28.53","2.57","24.635","23.19","22.69","Compressed Air"
"2024-09-08","12:38:37.616 PM","25.35","96.832","28.53","2.57","24.635","23.19","22.62","Compressed Air"
"2024-09-08","12:38:37.840 PM","25.35","96.832","28.53","2.57","24.635","23.19","22.62","Compressed Air"
"2024-09-08","12:38:38.113 PM","25.35","96.831","28.535","1.755","24.61","23.19","22.62","Compressed Air"
"2024-09-08","12:38:38.344 PM","25.35","96.831","28.535","1.755","24.61","23.20","22.71","Compressed Air"
"2024-09-08","12:38:38.612 PM","25.35","96.831","28.535","1.755","24.61","23.20","22.71","Compressed Air"
"2024-09-08","12:38:38.852 PM","25.35","96.83","28.541","-0.001","24.635","23.20","22.71","Compressed Air"
"2024-09-08","12:38:39.129 PM","25.35","96.83","28.541","-0.001","24.635","23.25","22.68","Compressed Air"
"2024-09-08","12:38:39.399 PM","25.35","96.83","28.541","-0.001","24.635","23.25","22.68","Compressed Air"
"2024-09-08","12:38:39.684 PM","25.35","96.83","28.535","0","24.615","23.19","22.68","Compressed Air"
"2024-09-08","12:38:39.975 PM","25.35","96.83","28.535","0","24.615","23.19","22.63","Compressed Air"
"2024-09-08","12:38:40.162 PM","25.35","96.83","28.535","0","24.615","23.19","22.63","Compressed Air"
"2024-09-08","12:38:40.418 PM","25.35","96.832","28.541","0","24.645","23.30","22.63","Compressed Air"
"2024-09-08","12:38:40.671 PM","25.35","96.832","28.541","0","24.645","23.30","22.70","Compressed Air"
"2024-09-08","12:38:40.956 PM","25.35","96.829","28.552","0","24.69","23.30","22.70","Compressed Air"
"2024-09-08","12:38:41.200 PM","25.35","96.829","28.552","0","24.69","23.25","22.70","Compressed Air"
"2024-09-08","12:38:41.491 PM","25.35","96.829","28.552","0","24.69","23.25","22.73","Compressed Air"
"2024-09-08","12:38:41.740 PM","25.35","96.83","28.563","0","24.705","23.25","22.73","None"
"2024-09-08","12:38:42.052 PM","25.35","96.83","28.563","0","24.705","23.23","22.68","None"
"2024-09-08","12:38:42.256 PM","25.35","96.83","28.563","0","24.705","23.23","22.68","None"
"2024-09-08","12:38:42.534 PM","25.35","96.832","28.53","0","24.715","23.21","22.68","None"
"2024-09-08","12:38:42.750 PM","25.35","96.832","28.53","0","24.715","23.21","22.63","None"
"2024-09-08","12:38:43.002 PM","25.35","96.832","28.53","0","24.715","23.21","22.63","None"
"2024-09-08","12:38:43.258 PM","25.35","96.831","28.53","0","24.6","23.28","22.63","None"
"2024-09-08","12:38:43.504 PM","25.35","96.831","28.53","0","24.6","23.28","22.63","None"
"2024-09-08","12:38:43.761 PM","25.35","96.831","28.53","0","24.6","23.28","22.63","None"
"2024-09-08","12:38:44.023 PM","25.35","96.83","28.525","0","24.71","23.32","22.63","None"
"2024-09-08","12:38:44.309 PM","25.35","96.83","28.525","0","24.71","23.32","22.66","None"
"2024-09-08","12:38:44.509 PM","25.35","96.829","28.503","0","24.66","23.32","22.66","None"
"2024-09-08","12:38:44.773 PM","25.35","96.829","28.503","0","24.66","23.25","22.66","None"
"2024-09-08","12:38:45.026 PM","25.35","96.829","28.503","0","24.66","23.25","22.73","None"
"2024-09-08","12:38:45.276 PM","25.35","96.833","28.514","0","24.655","23.25","22.73","None"
"2024-09-08","12:38:45.556 PM","25.35","96.833","28.514","0","24.655","23.26","22.68","None"
"2024-09-08","12:38:45.782 PM","25.35","96.833","28.514","0","24.655","23.26","22.68","None"
"2024-09-08","12:38:46.084 PM","25.35","96.831","28.498","0","24.675","23.26","22.68","None"
"2024-09-08","12:38:46.301 PM","25.35","96.831","28.498","0","24.675","23.30","22.70","None"
